tanggal,pembukaan,tertinggi,terendah,penutupan,volume
2026-01-02,7000.0000,7050.0000,6975.0000,7050.0000,4330300
2026-01-05,7075.0000,7150.0000,7000.0000,7025.0000,9948600
2026-01-06,7100.0000,7150.0000,6975.0000,7075.0000,12032400
2026-01-07,7100.0000,7400.0000,7100.0000,7350.0000,18963000
2026-01-08,7425.0000,7550.0000,7250.0000,7400.0000,22058600
2026-01-09,7400.0000,7400.0000,7225.0000,7250.0000,7228400
2026-01-12,7250.0000,7300.0000,7100.0000,7150.0000,12933000
2026-01-13,7200.0000,7500.0000,7200.0000,7450.0000,17970700
2026-01-14,7550.0000,7700.0000,7450.0000,7450.0000,18886700
2026-01-15,7525.0000,7600.0000,7450.0000,7500.0000,9954100
2026-01-19,7525.0000,7550.0000,7450.0000,7500.0000,7882800
2026-01-20,7550.0000,7600.0000,7500.0000,7500.0000,8384200
2026-01-21,7500.0000,7525.0000,7300.0000,7425.0000,7412000
2026-01-22,7425.0000,8025.0000,7425.0000,7975.0000,39049700
2026-01-23,8200.0000,8550.0000,8025.0000,8450.0000,59682000
2026-01-26,8450.0000,8800.0000,8225.0000,8425.0000,31223200
2026-01-27,8625.0000,8625.0000,7900.0000,7950.0000,21061500
2026-01-28,7500.0000,7950.0000,7375.0000,7700.0000,28703200
2026-01-29,7700.0000,7700.0000,6750.0000,7400.0000,36035600
2026-01-30,7425.0000,7675.0000,7350.0000,7600.0000,17076000
2026-02-02,7975.0000,8150.0000,7725.0000,8075.0000,51350200
2026-02-03,7975.0000,8350.0000,7775.0000,8300.0000,27543600
2026-02-04,8325.0000,8575.0000,8075.0000,8200.0000,24874200
2026-02-05,8350.0000,8475.0000,8150.0000,8200.0000,25365300
2026-02-06,7950.0000,8125.0000,7875.0000,8025.0000,10755100
2026-02-09,8100.0000,8125.0000,7825.0000,7975.0000,18944800
2026-02-10,8000.0000,8350.0000,8000.0000,8275.0000,15747000
2026-02-11,8275.0000,8600.0000,8225.0000,8600.0000,20874700
2026-02-12,8575.0000,8800.0000,8500.0000,8650.0000,22740300
2026-02-13,8700.0000,8900.0000,8625.0000,8700.0000,17506400
2026-02-18,8725.0000,8900.0000,8600.0000,8900.0000,25034500
2026-02-19,8900.0000,9600.0000,8850.0000,9550.0000,39114300
2026-02-20,9550.0000,9575.0000,9200.0000,9325.0000,23839900
2026-02-23,9300.0000,9325.0000,8925.0000,9300.0000,17685600
2026-02-24,9225.0000,9250.0000,8900.0000,8950.0000,15632000
2026-02-25,8950.0000,9300.0000,8950.0000,9225.0000,16337500
2026-02-26,9225.0000,9275.0000,9025.0000,9250.0000,10690400
2026-02-27,9125.0000,9350.0000,8975.0000,9250.0000,10170300
