tanggal,pembukaan,tertinggi,terendah,penutupan,volume
2026-01-02,408.0000,414.0000,408.0000,410.0000,20154300
2026-01-05,410.0000,416.0000,410.0000,412.0000,28337100
2026-01-06,412.0000,416.0000,412.0000,416.0000,23831500
2026-01-07,416.0000,420.0000,412.0000,412.0000,29016200
2026-01-08,412.0000,418.0000,412.0000,412.0000,27569000
2026-01-09,414.0000,416.0000,412.0000,414.0000,14794900
2026-01-12,414.0000,416.0000,410.0000,412.0000,28961100
2026-01-13,412.0000,414.0000,408.0000,410.0000,23184200
2026-01-14,410.0000,412.0000,408.0000,410.0000,33489800
2026-01-15,410.0000,414.0000,410.0000,412.0000,23327100
2026-01-19,414.0000,416.0000,412.0000,416.0000,27739200
2026-01-20,416.0000,422.0000,416.0000,418.0000,42980800
2026-01-21,418.0000,420.0000,408.0000,412.0000,45310800
2026-01-22,412.0000,416.0000,408.0000,416.0000,24618800
2026-01-23,416.0000,418.0000,410.0000,414.0000,19755600
2026-01-26,414.0000,414.0000,410.0000,412.0000,23140800
2026-01-27,410.0000,412.0000,408.0000,410.0000,30452700
2026-01-28,408.0000,410.0000,390.0000,394.0000,112023100
2026-01-29,392.0000,400.0000,352.0000,394.0000,97320300
2026-01-30,394.0000,404.0000,394.0000,400.0000,24885200
2026-02-02,400.0000,406.0000,396.0000,396.0000,27047900
2026-02-03,396.0000,402.0000,390.0000,400.0000,30343000
2026-02-04,400.0000,402.0000,396.0000,398.0000,20833000
2026-02-05,400.0000,408.0000,398.0000,406.0000,30171200
2026-02-06,404.0000,410.0000,398.0000,404.0000,33247600
2026-02-09,406.0000,406.0000,400.0000,404.0000,21683100
2026-02-10,404.0000,408.0000,402.0000,406.0000,19079700
2026-02-11,404.0000,410.0000,400.0000,408.0000,36558600
2026-02-12,406.0000,406.0000,400.0000,402.0000,17403900
2026-02-13,402.0000,402.0000,398.0000,398.0000,26305900
2026-02-18,400.0000,402.0000,396.0000,400.0000,24551300
2026-02-19,400.0000,408.0000,398.0000,400.0000,70792900
2026-02-20,400.0000,402.0000,394.0000,398.0000,60053600
2026-02-23,400.0000,402.0000,398.0000,400.0000,88324300
2026-02-24,400.0000,402.0000,396.0000,398.0000,45262300
2026-02-25,398.0000,402.0000,396.0000,398.0000,50148800
2026-02-26,400.0000,402.0000,392.0000,396.0000,96840500
2026-02-27,396.0000,400.0000,390.0000,400.0000,268898800
2026-03-02,392.0000,398.0000,388.0000,390.0000,62812500
2026-03-03,390.0000,404.0000,388.0000,400.0000,107375700
2026-03-04,398.0000,398.0000,388.0000,392.0000,80847100
2026-03-05,392.0000,410.0000,392.0000,404.0000,76500100
2026-03-06,400.0000,404.0000,394.0000,400.0000,34823600
2026-03-09,394.0000,394.0000,376.0000,376.0000,81762200
2026-03-10,382.0000,394.0000,378.0000,394.0000,42790100
2026-03-11,394.0000,394.0000,384.0000,386.0000,11390000
2026-03-12,386.0000,392.0000,384.0000,392.0000,15925900
2026-03-13,388.0000,392.0000,380.0000,382.0000,29314000
2026-03-16,382.0000,384.0000,376.0000,380.0000,21616300
2026-03-17,380.0000,386.0000,376.0000,382.0000,25871300
2026-03-25,382.0000,382.0000,376.0000,378.0000,58877400
2026-03-26,380.0000,388.0000,380.0000,384.0000,38084300
2026-03-27,384.0000,384.0000,378.0000,380.0000,23821900
2026-03-30,378.0000,380.0000,374.0000,376.0000,36575200
2026-03-31,376.0000,384.0000,374.0000,378.0000,53745700
2026-04-01,380.0000,384.0000,374.0000,376.0000,33735000
2026-04-02,376.0000,378.0000,362.0000,364.0000,40416300
2026-04-06,364.0000,366.0000,356.0000,356.0000,34176600
2026-04-07,356.0000,360.0000,356.0000,356.0000,13751300
2026-04-08,360.0000,364.0000,354.0000,358.0000,81492400
2026-04-09,358.0000,360.0000,348.0000,350.0000,55581200
2026-04-10,350.0000,358.0000,348.0000,356.0000,38940400
2026-04-13,356.0000,358.0000,352.0000,354.0000,28461300
2026-04-14,358.0000,364.0000,356.0000,358.0000,57700400
2026-04-15,360.0000,364.0000,356.0000,358.0000,49644100
2026-04-16,362.0000,368.0000,358.0000,366.0000,38249400
2026-04-17,370.0000,386.0000,370.0000,376.0000,76103600
2026-04-20,380.0000,384.0000,370.0000,372.0000,37832600
2026-04-21,372.0000,386.0000,372.0000,386.0000,41834800
2026-04-22,388.0000,398.0000,384.0000,394.0000,45921300
2026-04-23,396.0000,406.0000,392.0000,396.0000,57352800
2026-04-24,396.0000,398.0000,380.0000,390.0000,31195800
2026-04-27,386.0000,390.0000,378.0000,386.0000,25689700
2026-04-28,386.0000,388.0000,366.0000,368.0000,48127900
2026-04-29,368.0000,378.0000,364.0000,368.0000,32182000
2026-04-30,368.0000,372.0000,352.0000,358.0000,51954800
2026-05-04,366.0000,380.0000,358.0000,372.0000,49515300
2026-05-05,372.0000,386.0000,372.0000,386.0000,45064100
2026-05-06,386.0000,392.0000,382.0000,386.0000,34175300
2026-05-07,388.0000,396.0000,382.0000,396.0000,39781100
2026-05-08,398.0000,398.0000,380.0000,380.0000,43370600
2026-05-11,382.0000,390.0000,378.0000,380.0000,31936700
2026-05-12,382.0000,386.0000,372.0000,374.0000,21677100
2026-05-13,374.0000,374.0000,368.0000,370.0000,17708500
2026-05-14,370.0000,370.0000,370.0000,370.0000,0
2026-05-15,370.0000,370.0000,370.0000,370.0000,0
2026-05-18,370.0000,370.0000,348.0000,354.0000,80858000
2026-05-19,356.0000,358.0000,344.0000,346.0000,38818500
2026-05-20,344.0000,356.0000,342.0000,352.0000,35103900
2026-05-21,358.0000,358.0000,342.0000,344.0000,30901700
2026-05-22,344.0000,352.0000,340.0000,348.0000,25381800
2026-05-25,350.0000,354.0000,344.0000,350.0000,23592100
2026-05-26,352.0000,352.0000,344.0000,346.0000,32454100
2026-05-27,346.0000,346.0000,346.0000,346.0000,0
2026-05-28,346.0000,346.0000,346.0000,346.0000,0
2026-05-29,346.0000,350.0000,344.0000,348.0000,14988600
2026-06-02,348.0000,352.0000,344.0000,348.0000,27688800
2026-06-03,352.0000,352.0000,340.0000,348.0000,40116300
2026-06-04,348.0000,348.0000,332.0000,338.0000,39268200
2026-06-05,338.0000,348.0000,330.0000,330.0000,28922200
2026-06-08,326.0000,328.0000,314.0000,314.0000,38559900
2026-06-09,314.0000,332.0000,310.0000,330.0000,44925000
2026-06-10,332.0000,348.0000,332.0000,348.0000,51905800
2026-06-11,352.0000,356.0000,348.0000,352.0000,40272300
2026-06-12,356.0000,360.0000,352.0000,356.0000,33615200
2026-06-15,358.0000,380.0000,358.0000,366.0000,53656100
2026-06-17,372.0000,378.0000,370.0000,374.0000,48106300
2026-06-18,376.0000,378.0000,370.0000,372.0000,20705100
2026-06-19,374.0000,376.0000,364.0000,366.0000,42647000
2026-06-22,336.0000,340.0000,330.0000,336.0000,39794000
2026-06-23,334.0000,336.0000,330.0000,330.0000,20424800
2026-06-24,332.0000,338.0000,328.0000,332.0000,19344100
2026-06-25,332.0000,342.0000,330.0000,338.0000,26549900
2026-06-26,342.0000,342.0000,332.0000,336.0000,12877300
2026-06-29,336.0000,338.0000,332.0000,332.0000,9996900
2026-06-30,332.0000,332.0000,318.0000,326.0000,41999500
2026-07-01,326.0000,328.0000,318.0000,324.0000,20658500
2026-07-02,324.0000,332.0000,318.0000,328.0000,9357400
2026-07-03,330.0000,338.0000,328.0000,338.0000,20230300
2026-07-06,338.0000,342.0000,330.0000,334.0000,13622800
2026-07-07,338.0000,348.0000,334.0000,348.0000,15341700
2026-07-08,348.0000,356.0000,340.0000,342.0000,23827400
2026-07-09,342.0000,344.0000,330.0000,334.0000,17619700
2026-07-10,334.0000,342.0000,334.0000,342.0000,9427000
2026-07-13,340.0000,350.0000,338.0000,350.0000,10993900
2026-07-14,350.0000,350.0000,340.0000,346.0000,12629400
2026-07-15,346.0000,348.0000,340.0000,346.0000,6359000
2026-07-16,346.0000,348.0000,342.0000,346.0000,10386600
2026-07-17,348.0000,352.0000,344.0000,352.0000,11084700
2026-07-20,352.0000,356.0000,348.0000,354.0000,14006100
2026-07-21,356.0000,358.0000,352.0000,358.0000,8567100
2026-07-22,358.0000,360.0000,352.0000,358.0000,9788900
2026-07-23,360.0000,368.0000,358.0000,360.0000,30335900
2026-07-24,358.0000,362.0000,354.0000,356.0000,17084700
2026-07-27,356.0000,356.0000,344.0000,350.0000,14790500
2026-07-28,350.0000,352.0000,346.0000,350.0000,6144500
2026-07-29,350.0000,350.0000,344.0000,348.0000,11339800
2026-07-30,344.0000,354.0000,344.0000,352.0000,8214000
2026-07-31,356.0000,364.0000,350.0000,360.0000,24090900
2026-08-03,360.0000,362.0000,350.0000,350.0000,21914300
2026-08-04,350.0000,354.0000,348.0000,354.0000,19897100
2026-08-05,356.0000,366.0000,350.0000,362.0000,29792500
2026-08-06,364.0000,364.0000,358.0000,362.0000,14008200
2026-08-07,362.0000,362.0000,356.0000,358.0000,15857000
2026-08-10,358.0000,360.0000,350.0000,352.0000,32202500
2026-08-11,354.0000,364.0000,352.0000,360.0000,32666900
2026-08-12,360.0000,362.0000,356.0000,360.0000,8694400
2026-08-13,356.0000,358.0000,352.0000,354.0000,11461300
2026-08-14,356.0000,356.0000,350.0000,354.0000,6913700
2026-08-18,354.0000,356.0000,350.0000,354.0000,67396600
2026-08-19,356.0000,364.0000,352.0000,362.0000,41883100
2026-08-20,364.0000,366.0000,360.0000,362.0000,18881500
2026-08-21,362.0000,364.0000,358.0000,360.0000,11030000
2026-08-24,360.0000,368.0000,356.0000,362.0000,23666600
2026-08-26,362.0000,364.0000,354.0000,354.0000,24866200
2026-08-27,352.0000,360.0000,350.0000,358.0000,10704400
2026-08-28,360.0000,360.0000,358.0000,360.0000,6010000
2026-08-31,360.0000,360.0000,350.0000,356.0000,28927000
2026-09-01,352.0000,356.0000,350.0000,354.0000,43324800
2026-09-02,354.0000,354.0000,348.0000,350.0000,25676700
2026-09-03,352.0000,358.0000,350.0000,356.0000,32366800
2026-09-04,358.0000,360.0000,356.0000,358.0000,15197800
2026-09-07,358.0000,360.0000,350.0000,358.0000,16629700
2026-09-08,358.0000,358.0000,354.0000,356.0000,8543700
2026-09-09,356.0000,360.0000,352.0000,354.0000,11695700
2026-09-10,354.0000,360.0000,352.0000,352.0000,17515400
2026-09-11,352.0000,352.0000,348.0000,352.0000,17178500
2026-09-14,352.0000,354.0000,348.0000,354.0000,12763300
2026-09-15,354.0000,356.0000,350.0000,354.0000,22481500
2026-09-16,354.0000,358.0000,340.0000,350.0000,51471900
2026-09-17,352.0000,352.0000,346.0000,352.0000,7562100
2026-09-18,352.0000,352.0000,346.0000,350.0000,14295900
