tanggal,pembukaan,tertinggi,terendah,penutupan,volume
2026-01-02,1585.0000,1660.0000,1585.0000,1645.0000,83708700
2026-01-05,1660.0000,1685.0000,1620.0000,1645.0000,51541500
2026-01-06,1655.0000,1960.0000,1595.0000,1805.0000,246575700
2026-01-07,1845.0000,1890.0000,1815.0000,1855.0000,81287400
2026-01-08,1850.0000,1890.0000,1685.0000,1710.0000,139761600
2026-01-09,1715.0000,1765.0000,1680.0000,1750.0000,67802500
2026-01-12,1800.0000,1975.0000,1750.0000,1940.0000,233409700
2026-01-13,1980.0000,2100.0000,1950.0000,2010.0000,246331900
2026-01-14,2030.0000,2070.0000,1960.0000,1975.0000,83825700
2026-01-15,2030.0000,2040.0000,1960.0000,1980.0000,48021300
2026-01-19,1980.0000,1990.0000,1890.0000,1935.0000,50684300
2026-01-20,1930.0000,2070.0000,1905.0000,2060.0000,90478900
2026-01-21,2050.0000,2060.0000,1955.0000,2000.0000,94603900
2026-01-22,2050.0000,2190.0000,2010.0000,2170.0000,129775400
2026-01-23,2180.0000,2300.0000,2080.0000,2280.0000,147369200
2026-01-26,2300.0000,2320.0000,2240.0000,2280.0000,69107600
2026-01-27,2280.0000,2290.0000,2180.0000,2220.0000,77736500
2026-01-28,2090.0000,2270.0000,1895.0000,2080.0000,155198800
2026-01-29,2060.0000,2120.0000,1770.0000,2100.0000,207378200
2026-01-30,2100.0000,2150.0000,1975.0000,1985.0000,95310700
2026-02-02,1890.0000,1970.0000,1735.0000,1850.0000,158423000
2026-02-03,1880.0000,1935.0000,1760.0000,1895.0000,73839100
2026-02-04,1910.0000,2010.0000,1870.0000,1920.0000,61250000
2026-02-05,1920.0000,1925.0000,1795.0000,1800.0000,88357500
2026-02-06,1705.0000,1830.0000,1690.0000,1740.0000,75251200
2026-02-09,1775.0000,1800.0000,1730.0000,1795.0000,33961400
2026-02-10,1800.0000,1945.0000,1780.0000,1890.0000,94151000
2026-02-11,1900.0000,1945.0000,1860.0000,1935.0000,48376200
2026-02-12,1940.0000,1990.0000,1920.0000,1925.0000,37169700
2026-02-13,1915.0000,1955.0000,1850.0000,1865.0000,47466300
2026-02-18,1870.0000,1970.0000,1870.0000,1965.0000,45677700
2026-02-19,1970.0000,2080.0000,1940.0000,2030.0000,131628600
2026-02-20,2030.0000,2070.0000,1985.0000,2070.0000,85280700
2026-02-23,2080.0000,2100.0000,2030.0000,2090.0000,51440400
2026-02-24,2080.0000,2090.0000,2010.0000,2020.0000,56621500
2026-02-25,2020.0000,2160.0000,2020.0000,2150.0000,103688300
2026-02-26,2160.0000,2160.0000,1985.0000,2080.0000,118703400
2026-02-27,2030.0000,2110.0000,1995.0000,2100.0000,48542600
2026-03-02,2050.0000,2140.0000,2020.0000,2120.0000,81056200
2026-03-03,2140.0000,2220.0000,2090.0000,2130.0000,126545900
2026-03-04,2110.0000,2120.0000,1925.0000,2010.0000,125243700
2026-03-05,2060.0000,2070.0000,1990.0000,2020.0000,34233600
2026-03-06,2000.0000,2030.0000,1955.0000,1980.0000,26064100
2026-03-09,1865.0000,1950.0000,1760.0000,1945.0000,68683900
2026-03-10,1960.0000,1985.0000,1905.0000,1960.0000,46967300
2026-03-11,1975.0000,2010.0000,1855.0000,1860.0000,43084500
2026-03-12,1860.0000,1940.0000,1840.0000,1880.0000,53847900
2026-03-13,1880.0000,1985.0000,1860.0000,1940.0000,60204600
2026-03-16,1945.0000,1950.0000,1840.0000,1875.0000,30043400
2026-03-17,1900.0000,1980.0000,1890.0000,1965.0000,68185100
2026-03-25,1910.0000,2030.0000,1900.0000,2010.0000,70312500
2026-03-26,2020.0000,2030.0000,1945.0000,1945.0000,22152100
2026-03-27,1955.0000,2000.0000,1945.0000,1970.0000,11335700
2026-03-30,1960.0000,2050.0000,1960.0000,2020.0000,87376200
2026-03-31,2030.0000,2040.0000,1970.0000,1985.0000,53688200
2026-04-01,2000.0000,2050.0000,1970.0000,2010.0000,91237500
2026-04-02,2000.0000,2000.0000,1875.0000,1880.0000,99539800
2026-04-06,1865.0000,1900.0000,1770.0000,1810.0000,70864100
