tanggal,pembukaan,tertinggi,terendah,penutupan,volume
2026-01-02,1810.0000,1825.0000,1810.0000,1820.0000,58883900
2026-01-05,1825.0000,1865.0000,1825.0000,1840.0000,78143000
2026-01-06,1850.0000,1925.0000,1820.0000,1865.0000,183422100
2026-01-07,1890.0000,2050.0000,1870.0000,2010.0000,295221400
2026-01-08,2120.0000,2250.0000,2010.0000,2030.0000,535722000
2026-01-09,2040.0000,2120.0000,2010.0000,2100.0000,192138400
2026-01-12,2150.0000,2210.0000,2020.0000,2150.0000,382134900
2026-01-13,2230.0000,2340.0000,2180.0000,2290.0000,478869800
2026-01-14,2300.0000,2330.0000,2210.0000,2230.0000,225784000
2026-01-15,2250.0000,2320.0000,2210.0000,2230.0000,128582000
2026-01-19,2230.0000,2250.0000,2130.0000,2170.0000,167472500
2026-01-20,2170.0000,2270.0000,2160.0000,2240.0000,141605900
2026-01-21,2250.0000,2280.0000,2180.0000,2260.0000,145474200
2026-01-22,2270.0000,2400.0000,2240.0000,2350.0000,374028500
2026-01-23,2370.0000,2420.0000,2280.0000,2400.0000,231231800
2026-01-26,2420.0000,2430.0000,2360.0000,2390.0000,154645200
2026-01-27,2400.0000,2410.0000,2210.0000,2290.0000,218547800
2026-01-28,2150.0000,2280.0000,2070.0000,2210.0000,337819000
2026-01-29,2210.0000,2250.0000,1900.0000,2220.0000,294890600
2026-01-30,2220.0000,2310.0000,2160.0000,2210.0000,151823900
2026-02-02,2250.0000,2270.0000,2070.0000,2140.0000,201818000
2026-02-03,2140.0000,2170.0000,2030.0000,2150.0000,148774000
2026-02-04,2160.0000,2230.0000,2130.0000,2180.0000,98841300
2026-02-05,2180.0000,2220.0000,2090.0000,2100.0000,125355100
2026-02-06,2050.0000,2120.0000,2030.0000,2080.0000,81490600
2026-02-09,2140.0000,2140.0000,2100.0000,2130.0000,61522200
2026-02-10,2140.0000,2220.0000,2130.0000,2170.0000,116176800
2026-02-11,2170.0000,2230.0000,2160.0000,2220.0000,118910500
