tanggal,pembukaan,tertinggi,terendah,penutupan,volume
2026-01-02,1270.0000,1285.0000,1265.0000,1280.0000,9488900
2026-01-05,1300.0000,1315.0000,1290.0000,1300.0000,25834000
2026-01-06,1300.0000,1305.0000,1280.0000,1285.0000,25818500
2026-01-07,1300.0000,1300.0000,1255.0000,1265.0000,22245500
2026-01-08,1275.0000,1290.0000,1240.0000,1245.0000,25047200
2026-01-09,1255.0000,1270.0000,1230.0000,1235.0000,21258800
2026-01-12,1235.0000,1255.0000,1225.0000,1245.0000,37991500
2026-01-13,1250.0000,1255.0000,1230.0000,1240.0000,20385700
2026-01-14,1245.0000,1270.0000,1235.0000,1245.0000,27776600
2026-01-15,1250.0000,1275.0000,1245.0000,1250.0000,39551500
2026-01-19,1250.0000,1295.0000,1250.0000,1295.0000,20894500
2026-01-20,1295.0000,1345.0000,1285.0000,1330.0000,68297900
2026-01-21,1330.0000,1335.0000,1275.0000,1295.0000,25481500
2026-01-22,1310.0000,1330.0000,1285.0000,1320.0000,38302600
2026-01-23,1320.0000,1320.0000,1275.0000,1305.0000,16404900
2026-01-26,1305.0000,1360.0000,1300.0000,1355.0000,55555100
2026-01-27,1360.0000,1395.0000,1340.0000,1345.0000,53544800
2026-01-28,1340.0000,1340.0000,1245.0000,1280.0000,32893000
2026-01-29,1250.0000,1255.0000,1100.0000,1205.0000,47307300
2026-01-30,1220.0000,1285.0000,1220.0000,1260.0000,39841500
2026-02-02,1260.0000,1285.0000,1230.0000,1240.0000,28654200
2026-02-03,1245.0000,1330.0000,1230.0000,1325.0000,32116500
2026-02-04,1320.0000,1320.0000,1285.0000,1295.0000,26679200
2026-02-05,1295.0000,1305.0000,1280.0000,1285.0000,15925300
2026-02-06,1265.0000,1275.0000,1240.0000,1270.0000,11725200
2026-02-09,1290.0000,1290.0000,1255.0000,1265.0000,9115400
2026-02-10,1270.0000,1320.0000,1270.0000,1305.0000,22474900
2026-02-11,1315.0000,1330.0000,1285.0000,1295.0000,23827400
2026-02-12,1300.0000,1310.0000,1280.0000,1285.0000,15789900
2026-02-13,1290.0000,1300.0000,1270.0000,1280.0000,13391300
2026-02-18,1295.0000,1315.0000,1260.0000,1300.0000,25572400
2026-02-19,1315.0000,1330.0000,1300.0000,1315.0000,28703000
2026-02-20,1325.0000,1330.0000,1310.0000,1315.0000,15049000
2026-02-23,1315.0000,1340.0000,1305.0000,1325.0000,25357300
2026-02-24,1325.0000,1330.0000,1295.0000,1300.0000,17807800
2026-02-25,1305.0000,1320.0000,1295.0000,1305.0000,16435600
2026-02-26,1310.0000,1310.0000,1250.0000,1250.0000,19849100
2026-02-27,1250.0000,1305.0000,1230.0000,1295.0000,32420200
2026-03-02,1335.0000,1380.0000,1315.0000,1370.0000,90256700
2026-03-03,1390.0000,1395.0000,1315.0000,1325.0000,49467300
2026-03-04,1330.0000,1340.0000,1215.0000,1220.0000,50503000
2026-03-05,1250.0000,1280.0000,1250.0000,1265.0000,22903600
2026-03-06,1270.0000,1290.0000,1250.0000,1255.0000,13930400
2026-03-09,1300.0000,1315.0000,1235.0000,1260.0000,39440500
2026-03-10,1260.0000,1275.0000,1225.0000,1245.0000,26337900
2026-03-11,1260.0000,1265.0000,1235.0000,1235.0000,13850000
2026-03-12,1240.0000,1260.0000,1230.0000,1235.0000,13237400
2026-03-13,1240.0000,1260.0000,1230.0000,1240.0000,13407100
2026-03-16,1240.0000,1300.0000,1215.0000,1285.0000,16757700
2026-03-17,1285.0000,1290.0000,1260.0000,1265.0000,9804500
2026-03-25,1280.0000,1335.0000,1280.0000,1330.0000,30444500
2026-03-26,1330.0000,1360.0000,1325.0000,1330.0000,21280500
2026-03-27,1340.0000,1375.0000,1325.0000,1355.0000,27056900
2026-03-30,1370.0000,1460.0000,1355.0000,1425.0000,78133000
2026-03-31,1425.0000,1435.0000,1385.0000,1405.0000,32935000
2026-04-01,1405.0000,1410.0000,1325.0000,1345.0000,45135700
2026-04-02,1355.0000,1395.0000,1340.0000,1350.0000,34246400
2026-04-06,1350.0000,1375.0000,1315.0000,1325.0000,20335000
2026-04-07,1335.0000,1415.0000,1335.0000,1400.0000,38880900
2026-04-08,1400.0000,1445.0000,1350.0000,1410.0000,43642400
2026-04-09,1415.0000,1425.0000,1385.0000,1390.0000,11002300
2026-04-10,1390.0000,1400.0000,1375.0000,1390.0000,15642900
2026-04-13,1415.0000,1440.0000,1400.0000,1440.0000,40543900
2026-04-14,1445.0000,1450.0000,1405.0000,1440.0000,22718300
2026-04-15,1440.0000,1490.0000,1420.0000,1480.0000,47750000
2026-04-16,1490.0000,1495.0000,1440.0000,1445.0000,12698500
2026-04-17,1470.0000,1495.0000,1445.0000,1480.0000,13910300
2026-04-20,1485.0000,1500.0000,1480.0000,1485.0000,12719800
2026-04-21,1475.0000,1485.0000,1455.0000,1460.0000,16646200
2026-04-22,1465.0000,1490.0000,1465.0000,1475.0000,6366200
2026-04-23,1475.0000,1525.0000,1475.0000,1490.0000,17373800
2026-04-24,1500.0000,1505.0000,1425.0000,1480.0000,12867900
2026-04-27,1480.0000,1580.0000,1440.0000,1560.0000,48745800
2026-04-28,1560.0000,1560.0000,1525.0000,1530.0000,15167900
2026-04-29,1545.0000,1570.0000,1505.0000,1550.0000,14761400
2026-04-30,1570.0000,1580.0000,1525.0000,1580.0000,22504500
2026-05-04,1580.0000,1580.0000,1545.0000,1570.0000,11236400
2026-05-05,1570.0000,1595.0000,1520.0000,1520.0000,17122600
2026-05-06,1510.0000,1565.0000,1510.0000,1560.0000,17601400
2026-05-07,1520.0000,1540.0000,1485.0000,1540.0000,15130000
2026-05-08,1550.0000,1555.0000,1485.0000,1500.0000,6813500
2026-05-11,1500.0000,1500.0000,1430.0000,1475.0000,13167900
2026-05-12,1475.0000,1490.0000,1440.0000,1490.0000,8360100
2026-05-13,1480.0000,1480.0000,1450.0000,1455.0000,3465800
2026-05-14,1455.0000,1455.0000,1455.0000,1455.0000,0
2026-05-15,1455.0000,1455.0000,1455.0000,1455.0000,0
2026-05-18,1455.0000,1485.0000,1400.0000,1465.0000,20441700
2026-05-19,1465.0000,1470.0000,1355.0000,1400.0000,15353600
2026-05-20,1360.0000,1400.0000,1330.0000,1390.0000,40137100
2026-05-21,1390.0000,1405.0000,1280.0000,1340.0000,24031400
2026-05-22,1325.0000,1365.0000,1300.0000,1350.0000,11464500
2026-05-25,1350.0000,1365.0000,1305.0000,1315.0000,8328800
2026-05-26,1315.0000,1320.0000,1290.0000,1290.0000,10664900
2026-05-27,1290.0000,1290.0000,1290.0000,1290.0000,0
2026-05-28,1290.0000,1290.0000,1290.0000,1290.0000,0
2026-05-29,1300.0000,1325.0000,1235.0000,1235.0000,105639600
2026-06-02,1235.0000,1290.0000,1205.0000,1280.0000,24820100
2026-06-03,1300.0000,1300.0000,1165.0000,1205.0000,45373900
2026-06-04,1205.0000,1230.0000,1170.0000,1230.0000,21988500
2026-06-05,1235.0000,1260.0000,1195.0000,1220.0000,32917800
2026-06-08,1200.0000,1215.0000,1150.0000,1165.0000,33953800
2026-06-09,1155.0000,1235.0000,1140.0000,1230.0000,30451700
2026-06-10,1240.0000,1305.0000,1220.0000,1240.0000,35706200
2026-06-11,1270.0000,1290.0000,1245.0000,1265.0000,35594200
2026-06-12,1280.0000,1315.0000,1250.0000,1250.0000,21209100
2026-06-15,1260.0000,1265.0000,1215.0000,1225.0000,37823400
2026-06-17,1230.0000,1260.0000,1215.0000,1225.0000,20758700
2026-06-18,1230.0000,1235.0000,1195.0000,1205.0000,12257400
2026-06-19,1215.0000,1260.0000,1205.0000,1225.0000,20107900
2026-06-22,1240.0000,1280.0000,1240.0000,1265.0000,27129400
2026-06-23,1265.0000,1275.0000,1225.0000,1275.0000,22416400
2026-06-24,1280.0000,1320.0000,1265.0000,1275.0000,17993400
2026-06-25,1280.0000,1315.0000,1250.0000,1290.0000,21330800
2026-06-26,1290.0000,1300.0000,1250.0000,1270.0000,11017300
2026-06-29,1270.0000,1270.0000,1215.0000,1240.0000,6573700
2026-06-30,1250.0000,1250.0000,1195.0000,1210.0000,15140600
2026-07-01,1230.0000,1235.0000,1200.0000,1225.0000,6687800
2026-07-02,1230.0000,1250.0000,1205.0000,1235.0000,9302500
2026-07-03,1235.0000,1260.0000,1235.0000,1255.0000,8838800
2026-07-06,1255.0000,1310.0000,1250.0000,1300.0000,18838400
2026-07-07,1300.0000,1315.0000,1280.0000,1295.0000,15798000
2026-07-08,1295.0000,1340.0000,1280.0000,1320.0000,15223400
2026-07-09,1320.0000,1325.0000,1295.0000,1300.0000,7096400
2026-07-10,1315.0000,1335.0000,1300.0000,1320.0000,4340400
2026-07-13,1330.0000,1335.0000,1315.0000,1325.0000,10458500
2026-07-14,1340.0000,1360.0000,1325.0000,1340.0000,22771300
2026-07-15,1340.0000,1365.0000,1290.0000,1350.0000,15563500
2026-07-16,1350.0000,1370.0000,1340.0000,1370.0000,19420100
2026-07-17,1370.0000,1375.0000,1350.0000,1355.0000,8279200
2026-07-20,1355.0000,1425.0000,1355.0000,1410.0000,15089400
2026-07-21,1415.0000,1510.0000,1400.0000,1455.0000,30384000
2026-07-22,1455.0000,1490.0000,1440.0000,1485.0000,21738700
2026-07-23,1490.0000,1520.0000,1385.0000,1410.0000,84981500
2026-07-24,1435.0000,1450.0000,1415.0000,1445.0000,25206700
2026-07-27,1440.0000,1460.0000,1415.0000,1455.0000,27150900
2026-07-28,1455.0000,1455.0000,1415.0000,1445.0000,18885100
2026-07-29,1445.0000,1470.0000,1440.0000,1465.0000,21058700
2026-07-30,1465.0000,1485.0000,1445.0000,1455.0000,20574000
2026-07-31,1455.0000,1475.0000,1445.0000,1465.0000,19085500
2026-08-03,1435.0000,1445.0000,1420.0000,1445.0000,27673900
2026-08-04,1470.0000,1470.0000,1435.0000,1450.0000,11529800
2026-08-05,1450.0000,1450.0000,1435.0000,1445.0000,12890600
2026-08-06,1445.0000,1450.0000,1430.0000,1430.0000,14573900
2026-08-07,1440.0000,1440.0000,1405.0000,1420.0000,19685100
2026-08-10,1420.0000,1425.0000,1400.0000,1405.0000,12487800
2026-08-11,1405.0000,1410.0000,1390.0000,1395.0000,12194300
2026-08-12,1400.0000,1410.0000,1390.0000,1395.0000,6517000
2026-08-13,1400.0000,1410.0000,1395.0000,1400.0000,6584400
2026-08-14,1410.0000,1420.0000,1385.0000,1400.0000,9517400
2026-08-18,1400.0000,1425.0000,1395.0000,1415.0000,8491700
2026-08-19,1420.0000,1425.0000,1390.0000,1390.0000,11133300
2026-08-20,1390.0000,1405.0000,1390.0000,1395.0000,8015800
2026-08-21,1400.0000,1400.0000,1375.0000,1380.0000,9576700
2026-08-24,1390.0000,1395.0000,1365.0000,1390.0000,8995500
2026-08-26,1390.0000,1395.0000,1365.0000,1365.0000,9238900
2026-08-27,1365.0000,1385.0000,1355.0000,1385.0000,8229900
2026-08-28,1390.0000,1390.0000,1350.0000,1365.0000,8166900
2026-08-31,1360.0000,1455.0000,1355.0000,1455.0000,25788900
2026-09-01,1450.0000,1450.0000,1390.0000,1400.0000,24392200
2026-09-02,1410.0000,1430.0000,1395.0000,1395.0000,13316500
2026-09-03,1400.0000,1415.0000,1385.0000,1400.0000,23419200
2026-09-04,1400.0000,1415.0000,1385.0000,1385.0000,16904700
2026-09-07,1405.0000,1455.0000,1390.0000,1450.0000,58910500
2026-09-08,1455.0000,1545.0000,1445.0000,1525.0000,48733900
2026-09-09,1525.0000,1550.0000,1500.0000,1550.0000,29606000
2026-09-10,1550.0000,1560.0000,1495.0000,1520.0000,31382800
2026-09-11,1520.0000,1530.0000,1500.0000,1520.0000,20265100
2026-09-14,1520.0000,1550.0000,1505.0000,1510.0000,13711200
2026-09-15,1505.0000,1510.0000,1465.0000,1490.0000,13876200
2026-09-16,1515.0000,1515.0000,1475.0000,1475.0000,6541100
2026-09-17,1475.0000,1475.0000,1460.0000,1470.0000,6274600
2026-09-18,1475.0000,1485.0000,1450.0000,1470.0000,13014500
