tanggal,pembukaan,tertinggi,terendah,penutupan,volume
2026-01-02,6500.0000,6825.0000,6450.0000,6800.0000,20750200
2026-01-05,6875.0000,7050.0000,6775.0000,7000.0000,27245500
2026-01-06,7100.0000,8100.0000,7075.0000,7750.0000,120596800
2026-01-07,8025.0000,8125.0000,7800.0000,7975.0000,82484700
2026-01-08,7950.0000,8450.0000,7775.0000,7900.0000,64232300
2026-01-09,7975.0000,8250.0000,7900.0000,8150.0000,37280700
2026-01-12,8300.0000,8450.0000,7400.0000,7925.0000,43065700
2026-01-13,8050.0000,8175.0000,7850.0000,8100.0000,35237100
2026-01-14,8100.0000,8250.0000,7950.0000,8075.0000,22473400
2026-01-15,8150.0000,8250.0000,7925.0000,8025.0000,24119000
2026-01-19,8050.0000,8100.0000,7500.0000,7650.0000,43676300
2026-01-20,7650.0000,7725.0000,7375.0000,7625.0000,33450000
2026-01-21,7725.0000,7750.0000,7500.0000,7600.0000,25449400
2026-01-22,7600.0000,7975.0000,7525.0000,7675.0000,31901600
2026-01-23,7800.0000,7800.0000,6925.0000,7200.0000,59590800
2026-01-26,7250.0000,8000.0000,7250.0000,7850.0000,58402900
2026-01-27,7900.0000,7900.0000,7550.0000,7800.0000,27470700
2026-01-28,6650.0000,7825.0000,6650.0000,7000.0000,89848800
2026-01-29,7000.0000,7200.0000,6200.0000,7150.0000,53064400
2026-01-30,7150.0000,7600.0000,7050.0000,7600.0000,40339300
2026-02-02,7200.0000,7200.0000,6475.0000,6475.0000,43852100
2026-02-03,6600.0000,6925.0000,6325.0000,6875.0000,28835800
2026-02-04,6925.0000,7475.0000,6825.0000,7475.0000,33951100
2026-02-05,7400.0000,7550.0000,7150.0000,7350.0000,13583700
2026-02-06,6900.0000,7250.0000,6900.0000,7250.0000,14166800
2026-02-09,7275.0000,7450.0000,7150.0000,7425.0000,13034400
2026-02-10,7450.0000,7650.0000,7400.0000,7650.0000,15910300
2026-02-11,7650.0000,7800.0000,7600.0000,7800.0000,13972200
2026-02-12,7775.0000,7825.0000,7525.0000,7775.0000,17078500
2026-02-13,7625.0000,7650.0000,7400.0000,7550.0000,16432700
2026-02-18,7425.0000,7550.0000,7300.0000,7525.0000,17284400
2026-02-19,7500.0000,7725.0000,7450.0000,7675.0000,18632100
2026-02-20,7700.0000,7975.0000,7625.0000,7900.0000,18268100
2026-02-23,8000.0000,8050.0000,7700.0000,7800.0000,23063700
2026-02-24,7825.0000,7875.0000,7325.0000,7450.0000,29926200
2026-02-25,7500.0000,7625.0000,7300.0000,7300.0000,17313300
2026-02-26,7400.0000,7425.0000,7125.0000,7300.0000,14333500
2026-02-27,7350.0000,7650.0000,7200.0000,7650.0000,48375200
2026-03-02,7625.0000,7775.0000,7300.0000,7300.0000,23742200
2026-03-03,7375.0000,7400.0000,6800.0000,6825.0000,37605700
2026-03-04,6700.0000,6700.0000,6025.0000,6100.0000,58604200
2026-03-05,6225.0000,6375.0000,6100.0000,6300.0000,19362100
2026-03-06,6250.0000,6250.0000,6025.0000,6125.0000,18133200
2026-03-09,5900.0000,5925.0000,5600.0000,5700.0000,20147400
2026-03-10,5800.0000,6025.0000,5775.0000,5825.0000,17061300
2026-03-11,5850.0000,6000.0000,5500.0000,5500.0000,22746900
2026-03-12,5575.0000,5650.0000,5425.0000,5525.0000,17532600
2026-03-13,5450.0000,5525.0000,4950.0000,4950.0000,49767000
2026-03-16,4950.0000,4970.0000,4510.0000,4510.0000,60242400
2026-03-17,4660.0000,5075.0000,4600.0000,4630.0000,155812200
2026-03-25,4900.0000,5125.0000,4680.0000,5000.0000,91767200
2026-03-26,5075.0000,5225.0000,4900.0000,4900.0000,34339400
2026-03-27,4900.0000,4970.0000,4780.0000,4850.0000,18268600
2026-03-30,4780.0000,4950.0000,4630.0000,4880.0000,21251200
2026-03-31,4960.0000,5050.0000,4860.0000,4920.0000,25534400
