tanggal,pembukaan,tertinggi,terendah,penutupan,volume
2026-01-02,1985.0000,1995.0000,1975.0000,1985.0000,10501900
2026-01-05,1985.0000,2000.0000,1985.0000,2000.0000,16412600
2026-01-06,2020.0000,2020.0000,1990.0000,1995.0000,30344000
2026-01-07,2000.0000,2010.0000,1985.0000,1995.0000,29010200
2026-01-08,1995.0000,2010.0000,1970.0000,1975.0000,37594900
2026-01-09,1985.0000,1995.0000,1955.0000,1955.0000,27339500
2026-01-12,1960.0000,1965.0000,1910.0000,1940.0000,24878800
2026-01-13,1945.0000,1975.0000,1940.0000,1975.0000,12686300
2026-01-14,2000.0000,2000.0000,1950.0000,1990.0000,13493500
2026-01-15,1990.0000,1990.0000,1940.0000,1980.0000,23147900
2026-01-19,1980.0000,1980.0000,1940.0000,1940.0000,17745400
2026-01-20,1940.0000,1950.0000,1930.0000,1930.0000,30271600
2026-01-21,1930.0000,1945.0000,1920.0000,1940.0000,28307400
2026-01-22,1955.0000,1960.0000,1940.0000,1950.0000,19947900
2026-01-23,1950.0000,1950.0000,1935.0000,1935.0000,35002800
2026-01-26,1935.0000,1940.0000,1910.0000,1925.0000,29407200
2026-01-27,1925.0000,1930.0000,1860.0000,1870.0000,41749400
2026-01-28,1850.0000,1895.0000,1705.0000,1735.0000,111395600
2026-01-29,1715.0000,1720.0000,1475.0000,1640.0000,153665600
2026-01-30,1645.0000,1795.0000,1645.0000,1745.0000,80156400
2026-02-02,1845.0000,1845.0000,1705.0000,1725.0000,50891300
2026-02-03,1725.0000,1755.0000,1705.0000,1750.0000,27038700
2026-02-04,1745.0000,1775.0000,1730.0000,1730.0000,24859100
2026-02-05,1740.0000,1830.0000,1740.0000,1770.0000,40363500
2026-02-06,1770.0000,1815.0000,1755.0000,1810.0000,27402100
2026-02-09,1810.0000,1945.0000,1810.0000,1920.0000,48588800
2026-02-10,1935.0000,1950.0000,1880.0000,1950.0000,15963800
2026-02-11,1940.0000,1945.0000,1920.0000,1930.0000,21476500
2026-02-12,1935.0000,1940.0000,1885.0000,1885.0000,16589700
2026-02-13,1905.0000,1920.0000,1845.0000,1845.0000,25502000
