tanggal,pembukaan,tertinggi,terendah,penutupan,volume
2026-01-02,3170.0000,3230.0000,3160.0000,3210.0000,80535600
2026-01-05,3280.0000,3400.0000,3260.0000,3390.0000,203158600
2026-01-06,3410.0000,3460.0000,3350.0000,3450.0000,194028600
2026-01-07,3490.0000,3930.0000,3480.0000,3850.0000,607319400
2026-01-08,3810.0000,3820.0000,3470.0000,3490.0000,354486100
2026-01-09,3500.0000,3690.0000,3460.0000,3630.0000,268748100
2026-01-12,3840.0000,3980.0000,3670.0000,3830.0000,465569800
2026-01-13,3830.0000,3930.0000,3820.0000,3880.0000,211536700
2026-01-14,3960.0000,4180.0000,3950.0000,4090.0000,271845900
2026-01-15,4170.0000,4180.0000,4010.0000,4050.0000,174954300
2026-01-19,4100.0000,4140.0000,3920.0000,4000.0000,187759300
2026-01-20,4000.0000,4120.0000,3950.0000,4120.0000,159637300
2026-01-21,4160.0000,4350.0000,4130.0000,4270.0000,325128500
2026-01-22,4270.0000,4270.0000,4090.0000,4220.0000,184847000
2026-01-23,4320.0000,4400.0000,4250.0000,4290.0000,203511600
2026-01-26,4400.0000,4970.0000,4400.0000,4760.0000,491662800
2026-01-27,4760.0000,4760.0000,4550.0000,4610.0000,225492900
2026-01-28,4600.0000,4710.0000,4250.0000,4420.0000,589421400
2026-01-29,4510.0000,4570.0000,3760.0000,4320.0000,818266300
2026-01-30,4300.0000,4350.0000,4030.0000,4210.0000,259289200
2026-02-02,3800.0000,3920.0000,3610.0000,3810.0000,388915700
2026-02-03,4000.0000,4050.0000,3810.0000,3930.0000,203197400
2026-02-04,3980.0000,4130.0000,3960.0000,3990.0000,215322600
2026-02-05,3980.0000,4000.0000,3810.0000,3810.0000,201930600
2026-02-06,3730.0000,3840.0000,3680.0000,3710.0000,182489100
2026-02-09,3800.0000,3900.0000,3790.0000,3890.0000,146110600
2026-02-10,3900.0000,3950.0000,3850.0000,3890.0000,114039900
2026-02-11,3890.0000,4020.0000,3870.0000,3990.0000,143161900
2026-02-12,4030.0000,4280.0000,4000.0000,4120.0000,225356100
2026-02-13,4050.0000,4140.0000,4000.0000,4050.0000,140456700
2026-02-18,4030.0000,4100.0000,3950.0000,4050.0000,73672200
2026-02-19,4050.0000,4300.0000,4050.0000,4230.0000,181438200
2026-02-20,4260.0000,4330.0000,4170.0000,4220.0000,123609900
2026-02-23,4320.0000,4440.0000,4290.0000,4390.0000,153052900
2026-02-24,4440.0000,4550.0000,4370.0000,4380.0000,166385100
2026-02-25,4400.0000,4500.0000,4340.0000,4460.0000,103583700
2026-02-26,4470.0000,4480.0000,4270.0000,4330.0000,99948100
