tanggal,pembukaan,tertinggi,terendah,penutupan,volume
2026-01-02,1975.0000,1980.0000,1955.0000,1970.0000,4834300
2026-01-05,1965.0000,2000.0000,1950.0000,1995.0000,7833500
2026-01-06,2000.0000,2030.0000,1995.0000,2020.0000,9027200
2026-01-07,2020.0000,2030.0000,1975.0000,1985.0000,9286100
2026-01-08,2030.0000,2030.0000,1970.0000,1980.0000,4331200
2026-01-09,1990.0000,2000.0000,1970.0000,1975.0000,2888200
2026-01-12,1980.0000,1985.0000,1940.0000,1945.0000,8188500
2026-01-13,1945.0000,1945.0000,1900.0000,1900.0000,13663200
2026-01-14,1900.0000,1915.0000,1870.0000,1890.0000,7036800
2026-01-15,1890.0000,1950.0000,1880.0000,1905.0000,8652300
2026-01-19,1905.0000,1970.0000,1895.0000,1910.0000,8615600
2026-01-20,1910.0000,1935.0000,1910.0000,1910.0000,4748100
2026-01-21,1915.0000,1930.0000,1900.0000,1930.0000,2975400
2026-01-22,1930.0000,1940.0000,1900.0000,1925.0000,4570300
2026-01-23,1940.0000,1940.0000,1890.0000,1910.0000,3352600
2026-01-26,1910.0000,1925.0000,1870.0000,1870.0000,5832900
2026-01-27,1870.0000,1890.0000,1845.0000,1855.0000,3442200
2026-01-28,1840.0000,1840.0000,1590.0000,1670.0000,17257300
2026-01-29,1670.0000,1805.0000,1500.0000,1700.0000,18053000
2026-01-30,1715.0000,1760.0000,1665.0000,1700.0000,15444100
2026-02-02,1700.0000,1710.0000,1605.0000,1620.0000,5824100
2026-02-03,1650.0000,1670.0000,1600.0000,1630.0000,13085100
2026-02-04,1640.0000,1655.0000,1610.0000,1630.0000,5883600
2026-02-05,1635.0000,1715.0000,1635.0000,1700.0000,22011500
2026-02-06,1690.0000,1740.0000,1640.0000,1710.0000,15289400
2026-02-09,1710.0000,1720.0000,1665.0000,1670.0000,2979900
2026-02-10,1665.0000,1695.0000,1665.0000,1685.0000,2469700
2026-02-11,1685.0000,1735.0000,1680.0000,1730.0000,3476200
2026-02-12,1730.0000,1730.0000,1705.0000,1710.0000,2442300
2026-02-13,1710.0000,1720.0000,1665.0000,1670.0000,4948400
2026-02-18,1670.0000,1710.0000,1670.0000,1690.0000,4839800
2026-02-19,1695.0000,1695.0000,1645.0000,1645.0000,5901000
2026-02-20,1650.0000,1660.0000,1635.0000,1635.0000,3060200
2026-02-23,1640.0000,1665.0000,1635.0000,1660.0000,2751000
2026-02-24,1660.0000,1665.0000,1615.0000,1620.0000,7588000
2026-02-25,1630.0000,1640.0000,1610.0000,1635.0000,2589500
2026-02-26,1640.0000,1650.0000,1600.0000,1605.0000,8805400
2026-02-27,1605.0000,1620.0000,1590.0000,1590.0000,4835300
2026-03-02,1585.0000,1590.0000,1455.0000,1500.0000,9646500
2026-03-03,1500.0000,1515.0000,1430.0000,1450.0000,5270300
2026-03-04,1445.0000,1445.0000,1340.0000,1360.0000,7294700
2026-03-05,1360.0000,1420.0000,1360.0000,1415.0000,3248200
2026-03-06,1415.0000,1425.0000,1355.0000,1380.0000,1933300
2026-03-09,1370.0000,1370.0000,1300.0000,1330.0000,7646600
2026-03-10,1330.0000,1520.0000,1330.0000,1500.0000,8231700
2026-03-11,1500.0000,1575.0000,1450.0000,1535.0000,7119200
2026-03-12,1535.0000,1540.0000,1435.0000,1435.0000,3451300
2026-03-13,1435.0000,1475.0000,1420.0000,1435.0000,1129600
2026-03-16,1435.0000,1435.0000,1350.0000,1360.0000,2626100
2026-03-17,1390.0000,1400.0000,1375.0000,1385.0000,1554900
2026-03-25,1385.0000,1415.0000,1350.0000,1400.0000,1289000
2026-03-26,1405.0000,1420.0000,1375.0000,1385.0000,697100
2026-03-27,1385.0000,1400.0000,1370.0000,1375.0000,600400
2026-03-30,1350.0000,1370.0000,1330.0000,1350.0000,1218500
2026-03-31,1350.0000,1370.0000,1315.0000,1320.0000,2081400
2026-04-01,1340.0000,1375.0000,1315.0000,1320.0000,3868400
2026-04-02,1320.0000,1340.0000,1295.0000,1295.0000,2234600
2026-04-06,1300.0000,1310.0000,1280.0000,1300.0000,1138400
2026-04-07,1305.0000,1320.0000,1295.0000,1310.0000,1003300
2026-04-08,1330.0000,1385.0000,1330.0000,1365.0000,2070700
2026-04-09,1370.0000,1410.0000,1350.0000,1410.0000,2279700
2026-04-10,1410.0000,1475.0000,1400.0000,1425.0000,1955400
2026-04-13,1425.0000,1435.0000,1385.0000,1425.0000,1090800
2026-04-14,1435.0000,1445.0000,1410.0000,1425.0000,2752400
2026-04-15,1425.0000,1460.0000,1410.0000,1415.0000,2453700
2026-04-16,1415.0000,1530.0000,1410.0000,1450.0000,6946700
2026-04-17,1460.0000,1460.0000,1410.0000,1420.0000,3020100
2026-04-20,1420.0000,1420.0000,1365.0000,1370.0000,4568100
2026-04-21,1350.0000,1395.0000,1350.0000,1375.0000,1942300
2026-04-22,1380.0000,1405.0000,1375.0000,1390.0000,3084500
2026-04-23,1395.0000,1420.0000,1355.0000,1355.0000,3729300
