tanggal,pembukaan,tertinggi,terendah,penutupan,volume
2026-01-02,6600.0000,6800.0000,6600.0000,6800.0000,19569100
2026-01-05,6775.0000,6875.0000,6675.0000,6875.0000,30633400
2026-01-06,6875.0000,6900.0000,6700.0000,6900.0000,33964700
2026-01-07,6800.0000,7075.0000,6800.0000,7025.0000,55249800
2026-01-08,7025.0000,7100.0000,6975.0000,7000.0000,30845500
2026-01-09,7000.0000,7100.0000,6825.0000,6875.0000,29171000
2026-01-12,6925.0000,7000.0000,6900.0000,7000.0000,24915100
2026-01-13,7075.0000,7300.0000,7025.0000,7300.0000,65659900
2026-01-14,7200.0000,7225.0000,7025.0000,7125.0000,40658400
2026-01-15,7200.0000,7200.0000,7000.0000,7050.0000,26410300
2026-01-19,7200.0000,7475.0000,7175.0000,7400.0000,51590900
2026-01-20,7350.0000,7375.0000,7225.0000,7275.0000,21167100
2026-01-21,6300.0000,6800.0000,6300.0000,6600.0000,269454100
2026-01-22,6700.0000,6850.0000,6625.0000,6775.0000,70220500
2026-01-23,6800.0000,6900.0000,6650.0000,6825.0000,52227800
2026-01-26,6850.0000,6875.0000,6700.0000,6875.0000,55468700
2026-01-27,6775.0000,6800.0000,6225.0000,6300.0000,145465800
2026-01-28,6200.0000,6475.0000,5775.0000,6175.0000,200262500
2026-01-29,6200.0000,6475.0000,5725.0000,6475.0000,136295200
2026-01-30,6525.0000,6550.0000,6300.0000,6350.0000,101087200
2026-02-02,6350.0000,6400.0000,6175.0000,6275.0000,71571500
2026-02-03,6375.0000,6800.0000,6325.0000,6800.0000,63526500
2026-02-04,6800.0000,6825.0000,6625.0000,6675.0000,58211100
2026-02-05,6725.0000,7000.0000,6725.0000,6950.0000,72792600
2026-02-06,6800.0000,6800.0000,6575.0000,6700.0000,49547300
2026-02-09,6750.0000,6750.0000,6525.0000,6650.0000,34797900
2026-02-10,6700.0000,6850.0000,6650.0000,6850.0000,45371100
2026-02-11,6800.0000,6825.0000,6700.0000,6750.0000,41050100
2026-02-12,6775.0000,6900.0000,6750.0000,6775.0000,26536900
2026-02-13,6775.0000,6775.0000,6575.0000,6650.0000,31212900
2026-02-18,6750.0000,6750.0000,6650.0000,6700.0000,25858200
2026-02-19,6700.0000,6775.0000,6550.0000,6600.0000,46704000
2026-02-20,6600.0000,6650.0000,6550.0000,6550.0000,28160900
2026-02-23,6625.0000,6650.0000,6550.0000,6625.0000,38075400
2026-02-24,6650.0000,6725.0000,6550.0000,6550.0000,51297100
2026-02-25,6600.0000,6675.0000,6575.0000,6650.0000,45214100
2026-02-26,6700.0000,6725.0000,6575.0000,6725.0000,30901600
2026-02-27,6725.0000,6750.0000,6575.0000,6675.0000,68396400
2026-03-02,6600.0000,6625.0000,6275.0000,6300.0000,60477400
2026-03-03,6400.0000,6425.0000,6250.0000,6275.0000,31573300
2026-03-04,6275.0000,6325.0000,6000.0000,6150.0000,49747800
2026-03-05,6300.0000,6350.0000,6200.0000,6325.0000,38471400
2026-03-06,6300.0000,6300.0000,6050.0000,6125.0000,38071100
2026-03-09,5900.0000,5900.0000,5800.0000,5850.0000,46625500
2026-03-10,5900.0000,6150.0000,5900.0000,6000.0000,33964900
2026-03-11,6000.0000,6050.0000,5875.0000,5950.0000,18403300
2026-03-12,5975.0000,6050.0000,5900.0000,5950.0000,20628100
2026-03-13,5900.0000,5950.0000,5775.0000,5825.0000,27856000
2026-03-16,5875.0000,5900.0000,5675.0000,5850.0000,37696400
2026-03-17,5925.0000,5925.0000,5750.0000,5800.0000,89895700
2026-03-25,6300.0000,6600.0000,6100.0000,6600.0000,134276600
2026-03-26,6575.0000,6575.0000,6225.0000,6250.0000,45012000
2026-03-27,6200.0000,6225.0000,6050.0000,6125.0000,32993200
