tanggal,pembukaan,tertinggi,terendah,penutupan,volume
2026-01-02,8075.0000,8075.0000,8000.0000,8025.0000,68612400
2026-01-05,8000.0000,8100.0000,8000.0000,8075.0000,73408800
2026-01-06,8175.0000,8175.0000,8075.0000,8175.0000,97624300
2026-01-07,8125.0000,8175.0000,8025.0000,8150.0000,93152500
2026-01-08,8100.0000,8150.0000,8050.0000,8050.0000,79823700
2026-01-09,8125.0000,8175.0000,8050.0000,8125.0000,79484700
2026-01-12,8075.0000,8100.0000,8000.0000,8025.0000,82935700
2026-01-13,8025.0000,8075.0000,8000.0000,8075.0000,80536300
2026-01-14,8025.0000,8050.0000,7950.0000,8000.0000,105724300
2026-01-15,8000.0000,8175.0000,7975.0000,8075.0000,151753100
2026-01-19,8075.0000,8125.0000,7975.0000,8125.0000,172100000
2026-01-20,8050.0000,8125.0000,8000.0000,8000.0000,82672500
2026-01-21,7925.0000,7950.0000,7700.0000,7700.0000,301825600
2026-01-22,7700.0000,7775.0000,7600.0000,7650.0000,268025900
2026-01-23,7600.0000,7675.0000,7550.0000,7650.0000,202878600
2026-01-26,7550.0000,7675.0000,7525.0000,7650.0000,213044100
2026-01-27,7575.0000,7625.0000,7500.0000,7500.0000,259830900
2026-01-28,7050.0000,7400.0000,6925.0000,7025.0000,1027287500
2026-01-29,6675.0000,7275.0000,6375.0000,7200.0000,1432993400
2026-01-30,7200.0000,7600.0000,7200.0000,7400.0000,528434900
2026-02-02,7600.0000,7600.0000,7325.0000,7600.0000,326948700
2026-02-03,7600.0000,7650.0000,7375.0000,7650.0000,206015400
2026-02-04,7650.0000,7825.0000,7600.0000,7800.0000,193370800
2026-02-05,7800.0000,7925.0000,7800.0000,7800.0000,142332400
2026-02-06,7700.0000,7775.0000,7600.0000,7675.0000,176352600
2026-02-09,7675.0000,7725.0000,7450.0000,7500.0000,174758300
2026-02-10,7500.0000,7550.0000,7450.0000,7475.0000,127704200
2026-02-11,7475.0000,7525.0000,7400.0000,7450.0000,213505000
2026-02-12,7450.0000,7475.0000,7300.0000,7325.0000,237465300
2026-02-13,7325.0000,7325.0000,7200.0000,7200.0000,356015300
2026-02-18,7225.0000,7375.0000,7225.0000,7275.0000,125301200
2026-02-19,7325.0000,7325.0000,7175.0000,7175.0000,133463400
2026-02-20,7175.0000,7250.0000,7150.0000,7225.0000,122959500
2026-02-23,7300.0000,7350.0000,7275.0000,7300.0000,100443800
2026-02-24,7275.0000,7325.0000,7225.0000,7225.0000,159225400
2026-02-25,7275.0000,7375.0000,7250.0000,7325.0000,133278000
2026-02-26,7350.0000,7375.0000,7200.0000,7300.0000,127811900
2026-02-27,7200.0000,7275.0000,7175.0000,7175.0000,193104700
2026-03-02,7075.0000,7150.0000,6975.0000,7025.0000,156182700
2026-03-03,7075.0000,7125.0000,7025.0000,7075.0000,103031100
2026-03-04,7075.0000,7075.0000,6825.0000,6875.0000,216518700
2026-03-05,6975.0000,7125.0000,6950.0000,7100.0000,110256300
2026-03-06,7075.0000,7100.0000,7000.0000,7000.0000,102725700
2026-03-09,6900.0000,6950.0000,6825.0000,6875.0000,150426400
2026-03-10,6950.0000,7050.0000,6925.0000,6975.0000,129977900
2026-03-11,6975.0000,7000.0000,6825.0000,6825.0000,91723400
2026-03-12,6825.0000,7025.0000,6825.0000,6900.0000,98787400
2026-03-13,6850.0000,7025.0000,6850.0000,6875.0000,107940600
2026-03-16,6850.0000,6875.0000,6700.0000,6750.0000,127757500
2026-03-17,6750.0000,6825.0000,6750.0000,6775.0000,160903900
2026-03-25,6675.0000,6925.0000,6675.0000,6900.0000,314281100
2026-03-26,6900.0000,6975.0000,6850.0000,6875.0000,145934900
2026-03-27,6775.0000,6850.0000,6700.0000,6700.0000,283556500
2026-03-30,6400.0000,6500.0000,6350.0000,6450.0000,242278100
2026-03-31,6450.0000,6550.0000,6450.0000,6450.0000,150657800
2026-04-01,6550.0000,6650.0000,6500.0000,6500.0000,132798100
2026-04-02,6550.0000,6600.0000,6500.0000,6575.0000,72725400
2026-04-06,6600.0000,6625.0000,6450.0000,6500.0000,57914600
2026-04-07,6500.0000,6525.0000,6450.0000,6500.0000,65168700
2026-04-08,6650.0000,6850.0000,6625.0000,6750.0000,163594000
2026-04-09,6775.0000,6800.0000,6450.0000,6475.0000,182409800
2026-04-10,6525.0000,6700.0000,6475.0000,6700.0000,167336100
2026-04-13,6650.0000,6700.0000,6575.0000,6575.0000,81955300
2026-04-14,6675.0000,6800.0000,6675.0000,6750.0000,105010900
2026-04-15,6775.0000,6800.0000,6550.0000,6550.0000,104880600
2026-04-16,6575.0000,6650.0000,6500.0000,6525.0000,122416100
2026-04-17,6500.0000,6550.0000,6425.0000,6425.0000,156827000
2026-04-20,6450.0000,6575.0000,6425.0000,6475.0000,137435700
2026-04-21,6475.0000,6525.0000,6425.0000,6500.0000,112151900
2026-04-22,6475.0000,6525.0000,6450.0000,6450.0000,95673700
2026-04-23,6450.0000,6550.0000,6425.0000,6425.0000,95913400
2026-04-24,6400.0000,6425.0000,6050.0000,6050.0000,435004800
2026-04-27,6025.0000,6050.0000,5950.0000,5975.0000,273263100
2026-04-28,6025.0000,6075.0000,5950.0000,6000.0000,174091200
2026-04-29,6000.0000,6050.0000,5950.0000,5975.0000,176050900
2026-04-30,5950.0000,5975.0000,5800.0000,5850.0000,303405400
2026-05-04,5800.0000,5950.0000,5800.0000,5900.0000,207566700
2026-05-05,5900.0000,6075.0000,5875.0000,5950.0000,179928300
2026-05-06,5950.0000,6000.0000,5900.0000,5950.0000,90843100
2026-05-07,6000.0000,6325.0000,6000.0000,6225.0000,238690900
2026-05-08,6225.0000,6425.0000,6175.0000,6175.0000,201784700
2026-05-11,6225.0000,6275.0000,6100.0000,6150.0000,126301300
2026-05-12,6125.0000,6150.0000,6050.0000,6125.0000,107394400
2026-05-13,6125.0000,6200.0000,6025.0000,6100.0000,147339600
2026-05-14,6100.0000,6100.0000,6100.0000,6100.0000,0
2026-05-15,6100.0000,6100.0000,6100.0000,6100.0000,0
2026-05-18,5950.0000,6125.0000,5900.0000,6125.0000,208748400
2026-05-19,6050.0000,6200.0000,5950.0000,5950.0000,184830100
2026-05-20,5975.0000,6100.0000,5875.0000,5975.0000,195107100
2026-05-21,6000.0000,6150.0000,5925.0000,5950.0000,210976100
2026-05-22,5900.0000,5975.0000,5825.0000,5900.0000,288919700
2026-05-25,5950.0000,6175.0000,5925.0000,6100.0000,263179200
2026-05-26,6050.0000,6100.0000,5950.0000,5975.0000,225158700
2026-05-27,5975.0000,5975.0000,5975.0000,5975.0000,0
2026-05-28,5975.0000,5975.0000,5975.0000,5975.0000,0
2026-05-29,5750.0000,5875.0000,5700.0000,5700.0000,1014028000
2026-06-02,5750.0000,5875.0000,5700.0000,5825.0000,346305200
2026-06-03,5775.0000,5825.0000,5525.0000,5525.0000,353332300
2026-06-04,5475.0000,5600.0000,5300.0000,5425.0000,550059500
2026-06-05,5325.0000,5375.0000,5075.0000,5075.0000,572612000
2026-06-08,4950.0000,5050.0000,4850.0000,4850.0000,705093300
2026-06-09,4850.0000,5150.0000,4820.0000,5150.0000,772898000
2026-06-10,5175.0000,5700.0000,5175.0000,5650.0000,747366000
2026-06-11,5650.0000,5875.0000,5550.0000,5825.0000,543032300
