tanggal,pembukaan,tertinggi,terendah,penutupan,volume
2026-01-02,4340.0000,4350.0000,4260.0000,4260.0000,32693200
2026-01-05,4260.0000,4270.0000,4210.0000,4230.0000,48778200
2026-01-06,4230.0000,4260.0000,4200.0000,4240.0000,53908900
2026-01-07,4200.0000,4240.0000,4200.0000,4200.0000,39295200
2026-01-08,4200.0000,4270.0000,4200.0000,4210.0000,40059400
2026-01-09,4230.0000,4240.0000,4180.0000,4180.0000,35407500
2026-01-12,4190.0000,4250.0000,4190.0000,4220.0000,24965900
2026-01-13,4250.0000,4340.0000,4240.0000,4340.0000,76022000
2026-01-14,4340.0000,4390.0000,4310.0000,4360.0000,41778700
2026-01-15,4380.0000,4600.0000,4370.0000,4540.0000,132483000
2026-01-19,4540.0000,4720.0000,4510.0000,4620.0000,123397300
2026-01-20,4620.0000,4640.0000,4560.0000,4570.0000,67785900
2026-01-21,4570.0000,4590.0000,4500.0000,4590.0000,54281000
2026-01-22,4600.0000,4670.0000,4590.0000,4590.0000,60255300
2026-01-23,4590.0000,4610.0000,4520.0000,4600.0000,37564400
2026-01-26,4590.0000,4600.0000,4520.0000,4530.0000,79139000
2026-01-27,4530.0000,4540.0000,4470.0000,4500.0000,40655600
2026-01-28,4380.0000,4550.0000,4270.0000,4440.0000,114151800
2026-01-29,4310.0000,4460.0000,3990.0000,4420.0000,242945800
2026-01-30,4450.0000,4590.0000,4430.0000,4490.0000,167017600
2026-02-02,4570.0000,4580.0000,4370.0000,4500.0000,85790700
2026-02-03,4570.0000,4630.0000,4380.0000,4590.0000,82653800
2026-02-04,4590.0000,4650.0000,4570.0000,4630.0000,92915700
2026-02-05,4630.0000,4730.0000,4570.0000,4570.0000,94551800
2026-02-06,4510.0000,4560.0000,4470.0000,4530.0000,59930200
2026-02-09,4570.0000,4570.0000,4450.0000,4520.0000,51513700
2026-02-10,4520.0000,4540.0000,4480.0000,4510.0000,38280100
2026-02-11,4500.0000,4510.0000,4460.0000,4480.0000,54082900
2026-02-12,4480.0000,4510.0000,4470.0000,4510.0000,27571700
2026-02-13,4510.0000,4510.0000,4470.0000,4480.0000,25116200
2026-02-18,4510.0000,4540.0000,4480.0000,4490.0000,38802300
2026-02-19,4520.0000,4550.0000,4450.0000,4450.0000,54011700
2026-02-20,4450.0000,4500.0000,4420.0000,4470.0000,48070400
2026-02-23,4470.0000,4510.0000,4460.0000,4500.0000,34453500
2026-02-24,4480.0000,4490.0000,4430.0000,4450.0000,58150200
2026-02-25,4470.0000,4520.0000,4440.0000,4500.0000,53012100
2026-02-26,4500.0000,4510.0000,4420.0000,4460.0000,53377800
2026-02-27,4460.0000,4460.0000,4400.0000,4400.0000,83010300
2026-03-02,4350.0000,4380.0000,4300.0000,4300.0000,77493000
2026-03-03,4310.0000,4360.0000,4300.0000,4300.0000,34412500
2026-03-04,4280.0000,4290.0000,4120.0000,4150.0000,101732000
2026-03-05,4220.0000,4320.0000,4200.0000,4280.0000,52177600
2026-03-06,4270.0000,4300.0000,4210.0000,4270.0000,47786400
2026-03-09,4150.0000,4330.0000,4130.0000,4290.0000,102376100
2026-03-10,4350.0000,4370.0000,4250.0000,4260.0000,66622300
2026-03-11,4300.0000,4330.0000,4280.0000,4290.0000,54719700
2026-03-12,4300.0000,4350.0000,4270.0000,4280.0000,87013000
2026-03-13,4290.0000,4310.0000,4220.0000,4240.0000,99440600
2026-03-16,4250.0000,4340.0000,4230.0000,4320.0000,126138200
2026-03-17,4330.0000,4390.0000,4320.0000,4390.0000,209818800
2026-03-25,4050.0000,4090.0000,3980.0000,4040.0000,247976300
2026-03-26,4050.0000,4060.0000,3970.0000,4000.0000,90175900
2026-03-27,3980.0000,3990.0000,3900.0000,3900.0000,76824500
2026-03-30,3860.0000,3860.0000,3780.0000,3850.0000,82872100
2026-03-31,3850.0000,3880.0000,3760.0000,3760.0000,76852900
2026-04-01,3830.0000,3840.0000,3720.0000,3720.0000,88881000
2026-04-02,3730.0000,3750.0000,3690.0000,3700.0000,53750100
2026-04-06,3700.0000,3720.0000,3630.0000,3640.0000,45425200
2026-04-07,3640.0000,3660.0000,3510.0000,3510.0000,101448300
2026-04-08,3650.0000,3800.0000,3630.0000,3780.0000,112845200
2026-04-09,3760.0000,3770.0000,3680.0000,3710.0000,55090400
2026-04-10,3730.0000,3820.0000,3700.0000,3730.0000,58848500
2026-04-13,3710.0000,3710.0000,3660.0000,3680.0000,36975400
2026-04-14,3740.0000,3780.0000,3710.0000,3740.0000,51368500
2026-04-15,3770.0000,3790.0000,3660.0000,3670.0000,57711000
2026-04-16,3700.0000,3700.0000,3660.0000,3700.0000,30456000
2026-04-17,3690.0000,3740.0000,3690.0000,3710.0000,22706000
2026-04-20,3710.0000,3730.0000,3660.0000,3670.0000,36946800
2026-04-21,3670.0000,3730.0000,3660.0000,3730.0000,30514900
2026-04-22,3750.0000,3840.0000,3740.0000,3830.0000,58900700
2026-04-23,3850.0000,3890.0000,3820.0000,3870.0000,56532500
2026-04-24,3850.0000,3860.0000,3720.0000,3770.0000,53993700
2026-04-27,3790.0000,3800.0000,3720.0000,3720.0000,27549200
2026-04-28,3750.0000,3790.0000,3680.0000,3790.0000,31602700
2026-04-29,3810.0000,3840.0000,3770.0000,3800.0000,27956600
2026-04-30,3790.0000,3800.0000,3720.0000,3720.0000,57549500
2026-05-04,3780.0000,3860.0000,3760.0000,3840.0000,39293500
2026-05-05,3840.0000,3970.0000,3810.0000,3920.0000,52767900
2026-05-06,3920.0000,3930.0000,3800.0000,3830.0000,41949100
2026-05-07,3880.0000,3990.0000,3860.0000,3980.0000,56083300
2026-05-08,3980.0000,3990.0000,3860.0000,3860.0000,58943300
2026-05-11,3890.0000,3890.0000,3800.0000,3820.0000,31597700
2026-05-12,3820.0000,3910.0000,3770.0000,3910.0000,44682300
2026-05-13,3890.0000,3890.0000,3820.0000,3870.0000,24634300
2026-05-14,3870.0000,3870.0000,3870.0000,3870.0000,0
2026-05-15,3870.0000,3870.0000,3870.0000,3870.0000,0
2026-05-18,3830.0000,3840.0000,3730.0000,3800.0000,37869300
2026-05-19,3810.0000,3880.0000,3770.0000,3810.0000,42431700
2026-05-20,3830.0000,3880.0000,3770.0000,3800.0000,54487000
2026-05-21,3810.0000,3860.0000,3780.0000,3800.0000,29621700
2026-05-22,3800.0000,3810.0000,3750.0000,3780.0000,25045300
