tanggal,pembukaan,tertinggi,terendah,penutupan,volume
2026-01-02,3660.0000,3670.0000,3620.0000,3640.0000,191985100
2026-01-05,3630.0000,3660.0000,3590.0000,3630.0000,230544800
2026-01-06,3630.0000,3690.0000,3630.0000,3680.0000,175820800
2026-01-07,3680.0000,3710.0000,3660.0000,3700.0000,195024700
2026-01-08,3710.0000,3760.0000,3700.0000,3710.0000,182019700
2026-01-09,3730.0000,3740.0000,3670.0000,3680.0000,143474700
2026-01-12,3680.0000,3740.0000,3660.0000,3700.0000,215159700
2026-01-13,3700.0000,3730.0000,3670.0000,3720.0000,227620800
2026-01-14,3740.0000,3750.0000,3700.0000,3720.0000,170097000
2026-01-15,3730.0000,3850.0000,3730.0000,3820.0000,407151300
2026-01-19,3850.0000,3900.0000,3810.0000,3840.0000,359652500
2026-01-20,3840.0000,3880.0000,3820.0000,3850.0000,170245800
2026-01-21,3850.0000,3850.0000,3800.0000,3820.0000,273678200
2026-01-22,3850.0000,3850.0000,3790.0000,3810.0000,153742700
2026-01-23,3810.0000,3850.0000,3760.0000,3850.0000,164603900
2026-01-26,3840.0000,3850.0000,3800.0000,3850.0000,120002700
2026-01-27,3850.0000,3850.0000,3780.0000,3820.0000,157633200
2026-01-28,3630.0000,3780.0000,3540.0000,3590.0000,726740400
2026-01-29,3550.0000,3780.0000,3290.0000,3780.0000,781321200
2026-01-30,3780.0000,3890.0000,3740.0000,3810.0000,532329000
2026-02-02,3860.0000,3880.0000,3750.0000,3830.0000,334659200
2026-02-03,3860.0000,3870.0000,3760.0000,3800.0000,201224300
2026-02-04,3820.0000,3880.0000,3800.0000,3870.0000,251005600
2026-02-05,3850.0000,3940.0000,3840.0000,3850.0000,342757200
2026-02-06,3800.0000,3850.0000,3770.0000,3780.0000,279127200
2026-02-09,3790.0000,3800.0000,3710.0000,3770.0000,215606400
2026-02-10,3750.0000,3790.0000,3730.0000,3780.0000,181835800
2026-02-11,3790.0000,3800.0000,3740.0000,3800.0000,147378100
2026-02-12,3780.0000,3790.0000,3760.0000,3790.0000,185678800
2026-02-13,3780.0000,3800.0000,3750.0000,3780.0000,144473700
2026-02-18,3780.0000,3840.0000,3760.0000,3830.0000,135223700
2026-02-19,3850.0000,3850.0000,3770.0000,3770.0000,154562300
2026-02-20,3790.0000,3870.0000,3780.0000,3840.0000,191533500
2026-02-23,3880.0000,3910.0000,3860.0000,3900.0000,189611200
2026-02-24,3880.0000,3890.0000,3860.0000,3870.0000,191295900
2026-02-25,3880.0000,3980.0000,3880.0000,3970.0000,263027700
2026-02-26,3970.0000,3970.0000,3920.0000,3950.0000,146158100
2026-02-27,3950.0000,3950.0000,3880.0000,3910.0000,263179300
2026-03-02,3840.0000,3840.0000,3800.0000,3820.0000,204655700
2026-03-03,3820.0000,3840.0000,3770.0000,3770.0000,113600400
2026-03-04,3770.0000,3770.0000,3660.0000,3690.0000,215656600
2026-03-05,3720.0000,3780.0000,3720.0000,3750.0000,96625300
2026-03-06,3750.0000,3750.0000,3670.0000,3670.0000,136987800
2026-03-09,3590.0000,3630.0000,3560.0000,3570.0000,215587500
2026-03-10,3600.0000,3610.0000,3560.0000,3560.0000,175353400
2026-03-11,3580.0000,3600.0000,3560.0000,3580.0000,100862200
2026-03-12,3580.0000,3610.0000,3570.0000,3570.0000,141366700
2026-03-13,3560.0000,3590.0000,3510.0000,3510.0000,159393900
2026-03-16,3500.0000,3510.0000,3430.0000,3480.0000,160328700
2026-03-17,3500.0000,3530.0000,3480.0000,3480.0000,204208500
2026-03-25,3440.0000,3540.0000,3410.0000,3540.0000,379422800
2026-03-26,3540.0000,3570.0000,3480.0000,3490.0000,162060500
2026-03-27,3460.0000,3490.0000,3420.0000,3420.0000,207067900
2026-03-30,3350.0000,3390.0000,3330.0000,3360.0000,317467700
2026-03-31,3350.0000,3400.0000,3330.0000,3330.0000,298589200
2026-04-01,3400.0000,3440.0000,3330.0000,3350.0000,279604500
2026-04-02,3340.0000,3390.0000,3320.0000,3320.0000,242569200
2026-04-06,3340.0000,3360.0000,3290.0000,3310.0000,184143400
2026-04-07,3310.0000,3320.0000,3220.0000,3230.0000,273842700
2026-04-08,3340.0000,3370.0000,3330.0000,3340.0000,416112900
2026-04-09,3310.0000,3330.0000,3260.0000,3280.0000,319141400
2026-04-10,3290.0000,3400.0000,3290.0000,3390.0000,353451500
2026-04-13,3390.0000,3410.0000,3350.0000,3370.0000,176083800
2026-04-14,3420.0000,3490.0000,3420.0000,3460.0000,280543100
2026-04-15,3500.0000,3510.0000,3400.0000,3400.0000,332898200
2026-04-16,3400.0000,3430.0000,3380.0000,3410.0000,228465700
2026-04-17,3410.0000,3450.0000,3410.0000,3430.0000,209108800
2026-04-20,3440.0000,3470.0000,3420.0000,3440.0000,354461400
2026-04-21,3250.0000,3300.0000,3230.0000,3270.0000,398239800
2026-04-22,3260.0000,3280.0000,3240.0000,3240.0000,223077500
2026-04-23,3240.0000,3270.0000,3150.0000,3160.0000,352657300
2026-04-24,3120.0000,3150.0000,3060.0000,3070.0000,428089200
2026-04-27,3060.0000,3100.0000,3050.0000,3050.0000,216480300
2026-04-28,3050.0000,3080.0000,3020.0000,3070.0000,232596600
2026-04-29,3070.0000,3110.0000,3050.0000,3070.0000,180641600
2026-04-30,3050.0000,3060.0000,2980.0000,2990.0000,382750500
2026-05-04,3010.0000,3040.0000,3000.0000,3040.0000,190480000
2026-05-05,3050.0000,3170.0000,3040.0000,3150.0000,253157600
2026-05-06,3150.0000,3190.0000,3130.0000,3160.0000,185002500
2026-05-07,3200.0000,3330.0000,3190.0000,3310.0000,312804400
2026-05-08,3310.0000,3360.0000,3260.0000,3260.0000,335638700
2026-05-11,3260.0000,3280.0000,3200.0000,3200.0000,196431000
2026-05-12,3200.0000,3240.0000,3170.0000,3220.0000,151508100
2026-05-13,3200.0000,3210.0000,3120.0000,3120.0000,155231500
2026-05-14,3120.0000,3120.0000,3120.0000,3120.0000,0
2026-05-15,3120.0000,3120.0000,3120.0000,3120.0000,0
2026-05-18,3040.0000,3100.0000,3010.0000,3060.0000,348373200
2026-05-19,3060.0000,3140.0000,3040.0000,3040.0000,224758600
2026-05-20,3060.0000,3110.0000,3030.0000,3040.0000,273501800
2026-05-21,3050.0000,3090.0000,3020.0000,3020.0000,173346000
2026-05-22,3020.0000,3070.0000,3000.0000,3050.0000,158122200
2026-05-25,3090.0000,3220.0000,3080.0000,3170.0000,242782900
2026-05-26,3150.0000,3150.0000,3070.0000,3070.0000,185037400
