tanggal,pembukaan,tertinggi,terendah,penutupan,volume
2026-01-02,1175.0000,1175.0000,1150.0000,1160.0000,8387700
2026-01-05,1150.0000,1170.0000,1145.0000,1160.0000,24958400
2026-01-06,1160.0000,1170.0000,1155.0000,1170.0000,13959300
2026-01-07,1190.0000,1190.0000,1165.0000,1165.0000,25128900
2026-01-08,1165.0000,1190.0000,1160.0000,1160.0000,19657400
2026-01-09,1165.0000,1170.0000,1155.0000,1160.0000,12324700
2026-01-12,1160.0000,1175.0000,1150.0000,1160.0000,19099100
2026-01-13,1165.0000,1180.0000,1160.0000,1165.0000,22021900
2026-01-14,1165.0000,1220.0000,1165.0000,1200.0000,94341600
2026-01-15,1210.0000,1245.0000,1200.0000,1220.0000,73045400
2026-01-19,1220.0000,1240.0000,1205.0000,1220.0000,51929900
2026-01-20,1220.0000,1235.0000,1215.0000,1220.0000,32176700
2026-01-21,1225.0000,1225.0000,1200.0000,1215.0000,38212700
2026-01-22,1215.0000,1235.0000,1215.0000,1230.0000,36345400
2026-01-23,1230.0000,1240.0000,1205.0000,1230.0000,33558600
2026-01-26,1230.0000,1235.0000,1210.0000,1230.0000,31539600
2026-01-27,1240.0000,1255.0000,1235.0000,1245.0000,62334100
2026-01-28,1230.0000,1245.0000,1165.0000,1195.0000,80973700
2026-01-29,1185.0000,1205.0000,1075.0000,1180.0000,73582900
2026-01-30,1185.0000,1245.0000,1185.0000,1230.0000,56374000
2026-02-02,1250.0000,1260.0000,1195.0000,1220.0000,49149700
2026-02-03,1220.0000,1235.0000,1175.0000,1225.0000,32456800
2026-02-04,1225.0000,1350.0000,1220.0000,1340.0000,181059100
2026-02-05,1340.0000,1345.0000,1305.0000,1320.0000,83713300
2026-02-06,1280.0000,1310.0000,1270.0000,1280.0000,67283700
2026-02-09,1300.0000,1300.0000,1245.0000,1255.0000,59703000
2026-02-10,1265.0000,1310.0000,1265.0000,1295.0000,58724300
2026-02-11,1310.0000,1345.0000,1310.0000,1345.0000,89168600
2026-02-12,1345.0000,1380.0000,1340.0000,1360.0000,78711600
2026-02-13,1360.0000,1390.0000,1350.0000,1365.0000,50873600
2026-02-18,1365.0000,1400.0000,1355.0000,1390.0000,40446100
2026-02-19,1395.0000,1395.0000,1345.0000,1365.0000,48209500
2026-02-20,1375.0000,1375.0000,1350.0000,1365.0000,16748000
2026-02-23,1365.0000,1385.0000,1365.0000,1380.0000,16209000
2026-02-24,1380.0000,1395.0000,1365.0000,1380.0000,25602500
2026-02-25,1385.0000,1410.0000,1365.0000,1395.0000,45426800
2026-02-26,1405.0000,1415.0000,1390.0000,1405.0000,39370200
2026-02-27,1400.0000,1410.0000,1370.0000,1390.0000,22946500
2026-03-02,1340.0000,1360.0000,1300.0000,1315.0000,71480500
2026-03-03,1315.0000,1345.0000,1310.0000,1340.0000,32026200
2026-03-04,1330.0000,1330.0000,1235.0000,1255.0000,57210400
