tanggal,pembukaan,tertinggi,terendah,penutupan,volume
2026-01-02,5125.0000,5150.0000,5025.0000,5075.0000,59263700
2026-01-05,5075.0000,5100.0000,5025.0000,5050.0000,108458200
2026-01-06,4990.0000,4990.0000,4880.0000,4880.0000,180600600
2026-01-07,4890.0000,4900.0000,4800.0000,4810.0000,284261700
2026-01-08,4820.0000,4880.0000,4810.0000,4810.0000,108534300
2026-01-09,4820.0000,4840.0000,4760.0000,4760.0000,104703800
2026-01-12,4780.0000,4850.0000,4720.0000,4770.0000,118384500
2026-01-13,4800.0000,4840.0000,4780.0000,4820.0000,93419500
2026-01-14,4840.0000,4850.0000,4770.0000,4840.0000,114314800
2026-01-15,4840.0000,5075.0000,4830.0000,4990.0000,245024400
2026-01-19,5025.0000,5100.0000,4980.0000,5000.0000,197645100
2026-01-20,5000.0000,5075.0000,4990.0000,5025.0000,93803800
2026-01-21,5025.0000,5025.0000,4930.0000,4990.0000,117548600
2026-01-22,4990.0000,5025.0000,4930.0000,4980.0000,145002200
2026-01-23,4980.0000,5000.0000,4870.0000,4990.0000,116237200
2026-01-26,4910.0000,4970.0000,4870.0000,4910.0000,225443300
2026-01-27,4860.0000,4910.0000,4800.0000,4810.0000,160620600
2026-01-28,4570.0000,4810.0000,4410.0000,4560.0000,643802800
2026-01-29,4420.0000,4640.0000,4070.0000,4630.0000,907054600
2026-01-30,4700.0000,4880.0000,4630.0000,4820.0000,343393600
2026-02-02,4900.0000,4920.0000,4710.0000,4800.0000,290622800
2026-02-03,4830.0000,4850.0000,4710.0000,4830.0000,169775800
2026-02-04,4860.0000,5025.0000,4830.0000,5000.0000,232816800
2026-02-05,5050.0000,5100.0000,5000.0000,5050.0000,209505400
2026-02-06,4950.0000,5050.0000,4890.0000,5050.0000,278775900
2026-02-09,5050.0000,5075.0000,4950.0000,5000.0000,177079900
2026-02-10,5000.0000,5100.0000,4990.0000,5100.0000,177110700
2026-02-11,5075.0000,5100.0000,4990.0000,5025.0000,201135900
2026-02-12,5025.0000,5075.0000,5000.0000,5075.0000,121407500
2026-02-13,5050.0000,5075.0000,4970.0000,5075.0000,157236900
2026-02-18,5075.0000,5275.0000,5050.0000,5275.0000,212076100
2026-02-19,5275.0000,5300.0000,5050.0000,5075.0000,133827800
2026-02-20,5100.0000,5175.0000,5050.0000,5125.0000,88563800
2026-02-23,5150.0000,5275.0000,5150.0000,5275.0000,131077800
2026-02-24,5275.0000,5375.0000,5250.0000,5375.0000,203553200
2026-02-25,5350.0000,5375.0000,5300.0000,5300.0000,147700600
2026-02-26,5350.0000,5350.0000,5200.0000,5325.0000,120621100
2026-02-27,5325.0000,5350.0000,5275.0000,5275.0000,206461200
2026-03-02,5125.0000,5175.0000,5050.0000,5075.0000,168721700
