tanggal,pembukaan,tertinggi,terendah,penutupan,volume
2026-01-02,2230.0000,2240.0000,2160.0000,2160.0000,29916900
2026-01-05,2150.0000,2200.0000,2120.0000,2180.0000,22066800
2026-01-06,2180.0000,2210.0000,2130.0000,2150.0000,45186400
2026-01-07,2160.0000,2190.0000,2150.0000,2170.0000,15519300
2026-01-08,2170.0000,2180.0000,2130.0000,2130.0000,27483800
2026-01-09,2130.0000,2140.0000,2070.0000,2080.0000,40644200
2026-01-12,2090.0000,2160.0000,2090.0000,2150.0000,28387300
2026-01-13,2160.0000,2160.0000,2100.0000,2110.0000,14165900
2026-01-14,2110.0000,2270.0000,2100.0000,2250.0000,56332400
2026-01-15,2250.0000,2330.0000,2240.0000,2290.0000,69989100
2026-01-19,2300.0000,2320.0000,2250.0000,2260.0000,30893700
2026-01-20,2270.0000,2280.0000,2230.0000,2230.0000,15889700
2026-01-21,2230.0000,2240.0000,2170.0000,2210.0000,20407900
2026-01-22,2210.0000,2260.0000,2180.0000,2220.0000,26684600
2026-01-23,2240.0000,2260.0000,2210.0000,2250.0000,38542800
2026-01-26,2250.0000,2260.0000,2200.0000,2250.0000,33129400
2026-01-27,2250.0000,2260.0000,2210.0000,2230.0000,17975700
2026-01-28,2210.0000,2230.0000,2070.0000,2100.0000,51763400
2026-01-29,2100.0000,2130.0000,1790.0000,2120.0000,65366000
2026-01-30,2120.0000,2270.0000,2120.0000,2250.0000,45111800
2026-02-02,2250.0000,2280.0000,2160.0000,2250.0000,41084100
2026-02-03,2260.0000,2270.0000,2200.0000,2220.0000,22069900
2026-02-04,2250.0000,2430.0000,2230.0000,2400.0000,126595000
2026-02-05,2420.0000,2470.0000,2360.0000,2400.0000,107683600
2026-02-06,2330.0000,2420.0000,2310.0000,2380.0000,30688100
2026-02-09,2410.0000,2420.0000,2330.0000,2410.0000,40961600
2026-02-10,2410.0000,2450.0000,2390.0000,2450.0000,29142200
2026-02-11,2450.0000,2480.0000,2390.0000,2400.0000,30621200
2026-02-12,2400.0000,2400.0000,2360.0000,2380.0000,10545500
2026-02-13,2370.0000,2390.0000,2340.0000,2350.0000,14370500
2026-02-18,2350.0000,2380.0000,2340.0000,2380.0000,11894900
2026-02-19,2380.0000,2380.0000,2320.0000,2350.0000,17806700
2026-02-20,2350.0000,2370.0000,2330.0000,2340.0000,7611500
2026-02-23,2340.0000,2400.0000,2340.0000,2400.0000,18571300
2026-02-24,2400.0000,2400.0000,2350.0000,2360.0000,13740700
2026-02-25,2360.0000,2390.0000,2360.0000,2390.0000,16638200
2026-02-26,2390.0000,2400.0000,2340.0000,2350.0000,11540900
2026-02-27,2350.0000,2380.0000,2330.0000,2360.0000,9325800
2026-03-02,2300.0000,2300.0000,2240.0000,2300.0000,21664200
2026-03-03,2290.0000,2290.0000,2140.0000,2160.0000,41658900
2026-03-04,2150.0000,2190.0000,2080.0000,2130.0000,18048900
2026-03-05,2150.0000,2250.0000,2150.0000,2240.0000,16370000
2026-03-06,2240.0000,2250.0000,2200.0000,2230.0000,12032900
2026-03-09,2180.0000,2200.0000,2140.0000,2190.0000,13933100
2026-03-10,2210.0000,2250.0000,2170.0000,2210.0000,16801800
2026-03-11,2220.0000,2250.0000,2200.0000,2210.0000,7413100
2026-03-12,2210.0000,2320.0000,2200.0000,2210.0000,34042800
2026-03-13,2210.0000,2220.0000,2130.0000,2130.0000,9843000
2026-03-16,2130.0000,2150.0000,2110.0000,2110.0000,4342300
2026-03-17,2120.0000,2150.0000,2100.0000,2110.0000,6259600
2026-03-25,2110.0000,2150.0000,2100.0000,2140.0000,4265400
2026-03-26,2160.0000,2170.0000,2100.0000,2110.0000,5047200
2026-03-27,2110.0000,2140.0000,2110.0000,2130.0000,3360800
2026-03-30,2130.0000,2160.0000,2100.0000,2160.0000,3492400
2026-03-31,2160.0000,2160.0000,2110.0000,2110.0000,5095800
2026-04-01,2140.0000,2170.0000,2110.0000,2130.0000,8220300
2026-04-02,2130.0000,2140.0000,2100.0000,2100.0000,4585800
2026-04-06,2100.0000,2110.0000,2070.0000,2080.0000,5646800
2026-04-07,2080.0000,2090.0000,2070.0000,2080.0000,4610100
2026-04-08,2120.0000,2130.0000,2080.0000,2090.0000,19833200
2026-04-09,2100.0000,2160.0000,2090.0000,2130.0000,18446000
2026-04-10,2130.0000,2170.0000,2110.0000,2110.0000,15462800
2026-04-13,2110.0000,2120.0000,2090.0000,2110.0000,9887900
2026-04-14,2110.0000,2150.0000,2110.0000,2130.0000,10046700
2026-04-15,2130.0000,2150.0000,2080.0000,2090.0000,21055500
2026-04-16,2100.0000,2120.0000,2070.0000,2080.0000,9507000
2026-04-17,2090.0000,2100.0000,2070.0000,2080.0000,9841400
2026-04-20,2080.0000,2100.0000,2030.0000,2040.0000,16508800
2026-04-21,2040.0000,2050.0000,1995.0000,2000.0000,21537000
2026-04-22,2000.0000,2020.0000,1990.0000,1995.0000,18096700
2026-04-23,2000.0000,2010.0000,1950.0000,1955.0000,14465600
2026-04-24,1955.0000,1955.0000,1870.0000,1880.0000,16817700
2026-04-27,1880.0000,1910.0000,1825.0000,1840.0000,22266300
2026-04-28,1840.0000,1845.0000,1765.0000,1800.0000,34719000
2026-04-29,1800.0000,1820.0000,1785.0000,1790.0000,12039600
2026-04-30,1790.0000,1795.0000,1735.0000,1775.0000,27167000
2026-05-04,1780.0000,1845.0000,1780.0000,1790.0000,19116200
2026-05-05,1785.0000,1860.0000,1770.0000,1820.0000,22254000
2026-05-06,1830.0000,1850.0000,1800.0000,1815.0000,16344000
2026-05-07,1830.0000,2000.0000,1830.0000,1990.0000,53662600
2026-05-08,1990.0000,1995.0000,1900.0000,1910.0000,43137700
2026-05-11,1910.0000,1925.0000,1830.0000,1835.0000,25112900
2026-05-12,1825.0000,1900.0000,1810.0000,1855.0000,27084200
2026-05-13,1865.0000,1890.0000,1815.0000,1830.0000,27422200
2026-05-14,1830.0000,1830.0000,1830.0000,1830.0000,0
2026-05-15,1830.0000,1830.0000,1830.0000,1830.0000,0
