tanggal,pembukaan,tertinggi,terendah,penutupan,volume
2026-01-02,3300.0000,3310.0000,3180.0000,3190.0000,84250300
2026-01-05,3190.0000,3240.0000,3160.0000,3190.0000,67372100
2026-01-06,3200.0000,3220.0000,3130.0000,3150.0000,88790700
2026-01-07,3160.0000,3180.0000,3010.0000,3050.0000,136811700
2026-01-08,2990.0000,3250.0000,2970.0000,3090.0000,123550300
2026-01-09,3160.0000,3180.0000,3050.0000,3100.0000,65776300
2026-01-12,3120.0000,3140.0000,2790.0000,2880.0000,145931800
2026-01-13,2920.0000,2920.0000,2700.0000,2810.0000,151446100
2026-01-14,2850.0000,2900.0000,2790.0000,2830.0000,73817500
2026-01-15,2840.0000,2890.0000,2750.0000,2830.0000,82956100
2026-01-19,2830.0000,3030.0000,2780.0000,2950.0000,151574500
2026-01-20,3000.0000,3060.0000,2880.0000,2900.0000,152341300
2026-01-21,2850.0000,2930.0000,2820.0000,2860.0000,65189000
2026-01-22,2900.0000,3020.0000,2750.0000,2750.0000,152078100
2026-01-23,2750.0000,2760.0000,2470.0000,2590.0000,180776300
2026-01-26,2600.0000,2670.0000,2520.0000,2580.0000,78433600
2026-01-27,2590.0000,2710.0000,2580.0000,2700.0000,82745700
2026-01-28,2300.0000,2390.0000,2300.0000,2300.0000,181051200
2026-01-29,1955.0000,2310.0000,1955.0000,2200.0000,787849100
2026-01-30,2280.0000,2280.0000,2070.0000,2160.0000,156714100
2026-02-02,2160.0000,2160.0000,1840.0000,1840.0000,137518200
2026-02-03,1800.0000,2000.0000,1720.0000,1980.0000,145588000
2026-02-04,2090.0000,2170.0000,2030.0000,2130.0000,134290400
2026-02-05,2120.0000,2250.0000,2080.0000,2100.0000,131798300
2026-02-06,2030.0000,2070.0000,1900.0000,1945.0000,112571900
2026-02-09,1960.0000,2040.0000,1920.0000,1995.0000,54460900
2026-02-10,2000.0000,2080.0000,1985.0000,2030.0000,54320600
2026-02-11,2050.0000,2340.0000,2040.0000,2280.0000,247586500
2026-02-12,2290.0000,2330.0000,2160.0000,2200.0000,119903300
2026-02-13,2150.0000,2200.0000,2120.0000,2150.0000,78790200
2026-02-18,2150.0000,2210.0000,2130.0000,2150.0000,63973200
2026-02-19,2170.0000,2180.0000,2070.0000,2100.0000,60660700
2026-02-20,2090.0000,2100.0000,2010.0000,2020.0000,58344100
2026-02-23,2030.0000,2170.0000,2030.0000,2140.0000,75359700
2026-02-24,2150.0000,2170.0000,2020.0000,2030.0000,74603100
2026-02-25,2040.0000,2070.0000,1965.0000,2020.0000,68254100
2026-02-26,2050.0000,2050.0000,1930.0000,1950.0000,59955200
2026-02-27,1950.0000,1995.0000,1875.0000,1990.0000,83933000
2026-03-02,1900.0000,1920.0000,1810.0000,1810.0000,92728400
2026-03-03,1820.0000,1910.0000,1760.0000,1780.0000,73495000
2026-03-04,1780.0000,1785.0000,1540.0000,1640.0000,140229200
2026-03-05,1670.0000,1695.0000,1610.0000,1635.0000,69621500
2026-03-06,1620.0000,1620.0000,1505.0000,1555.0000,156040600
2026-03-09,1355.0000,1575.0000,1330.0000,1500.0000,155744600
2026-03-10,1565.0000,1575.0000,1485.0000,1500.0000,82961500
2026-03-11,1510.0000,1565.0000,1465.0000,1470.0000,64282300
2026-03-12,1470.0000,1480.0000,1415.0000,1435.0000,58730300
2026-03-13,1435.0000,1440.0000,1365.0000,1370.0000,61328800
2026-03-16,1365.0000,1370.0000,1240.0000,1250.0000,119097700
2026-03-17,1285.0000,1440.0000,1230.0000,1355.0000,187031900
2026-03-25,1420.0000,1515.0000,1375.0000,1405.0000,136415800
2026-03-26,1410.0000,1430.0000,1310.0000,1315.0000,60957200
2026-03-27,1315.0000,1335.0000,1285.0000,1330.0000,41243500
2026-03-30,1280.0000,1340.0000,1255.0000,1330.0000,46132300
2026-03-31,1330.0000,1435.0000,1290.0000,1365.0000,106251400
2026-04-01,1430.0000,1485.0000,1410.0000,1460.0000,88565400
2026-04-02,1435.0000,1435.0000,1280.0000,1280.0000,120283000
2026-04-06,1240.0000,1360.0000,1200.0000,1345.0000,136761600
2026-04-07,1335.0000,1460.0000,1320.0000,1460.0000,178277200
2026-04-08,1580.0000,1770.0000,1500.0000,1765.0000,317058200
2026-04-09,1705.0000,1905.0000,1675.0000,1855.0000,434132600
2026-04-10,1890.0000,1995.0000,1860.0000,1915.0000,333267600
2026-04-13,1860.0000,2270.0000,1860.0000,2190.0000,485481000
2026-04-14,2280.0000,2480.0000,2250.0000,2440.0000,417393200
2026-04-15,2480.0000,2550.0000,2330.0000,2380.0000,317721200
2026-04-16,2340.0000,2460.0000,2210.0000,2270.0000,268520800
2026-04-17,2290.0000,2370.0000,2200.0000,2230.0000,202698300
2026-04-20,2270.0000,2290.0000,2090.0000,2140.0000,228624300
2026-04-21,2150.0000,2380.0000,2120.0000,2300.0000,381076600
