tanggal,pembukaan,tertinggi,terendah,penutupan,volume
2026-01-02,910.0000,915.0000,900.0000,910.0000,9489400
2026-01-05,915.0000,920.0000,900.0000,915.0000,12056500
2026-01-06,915.0000,940.0000,915.0000,930.0000,15875900
2026-01-07,930.0000,935.0000,915.0000,920.0000,11567800
2026-01-08,920.0000,925.0000,910.0000,910.0000,11101300
2026-01-09,915.0000,950.0000,910.0000,950.0000,18182100
2026-01-12,965.0000,975.0000,940.0000,940.0000,45750600
2026-01-13,950.0000,985.0000,950.0000,970.0000,38709500
2026-01-14,970.0000,1010.0000,955.0000,965.0000,39701300
2026-01-15,970.0000,980.0000,955.0000,955.0000,21860200
2026-01-19,955.0000,965.0000,940.0000,945.0000,14273500
2026-01-20,945.0000,960.0000,935.0000,945.0000,10589300
2026-01-21,940.0000,945.0000,925.0000,940.0000,13776400
2026-01-22,940.0000,960.0000,935.0000,940.0000,11475800
2026-01-23,940.0000,955.0000,940.0000,955.0000,8545300
2026-01-26,960.0000,960.0000,940.0000,945.0000,9234400
2026-01-27,950.0000,950.0000,925.0000,930.0000,12477200
2026-01-28,930.0000,930.0000,900.0000,910.0000,31391900
2026-01-29,910.0000,910.0000,790.0000,885.0000,40092100
2026-01-30,885.0000,905.0000,885.0000,900.0000,18781400
2026-02-02,905.0000,915.0000,890.0000,900.0000,18551600
2026-02-03,905.0000,920.0000,895.0000,910.0000,6381000
2026-02-04,915.0000,920.0000,910.0000,915.0000,4062500
2026-02-05,915.0000,930.0000,915.0000,920.0000,3899500
2026-02-06,910.0000,915.0000,890.0000,905.0000,11209300
2026-02-09,905.0000,910.0000,895.0000,900.0000,3616400
2026-02-10,905.0000,915.0000,900.0000,905.0000,3727900
2026-02-11,905.0000,910.0000,900.0000,910.0000,3352400
2026-02-12,905.0000,915.0000,900.0000,905.0000,7808300
2026-02-13,910.0000,910.0000,895.0000,895.0000,3152900
2026-02-18,895.0000,905.0000,885.0000,885.0000,11648100
2026-02-19,885.0000,895.0000,860.0000,870.0000,26218200
2026-02-20,875.0000,875.0000,860.0000,865.0000,5204900
2026-02-23,865.0000,880.0000,865.0000,880.0000,5392800
2026-02-24,880.0000,880.0000,865.0000,870.0000,5820200
2026-02-25,870.0000,875.0000,865.0000,870.0000,3550600
2026-02-26,870.0000,875.0000,835.0000,840.0000,29828200
2026-02-27,840.0000,850.0000,825.0000,830.0000,18185500
2026-03-02,800.0000,825.0000,790.0000,790.0000,31611100
2026-03-03,790.0000,820.0000,775.0000,780.0000,30796600
2026-03-04,780.0000,785.0000,745.0000,750.0000,33932200
2026-03-05,760.0000,780.0000,755.0000,755.0000,22222800
2026-03-06,755.0000,770.0000,750.0000,755.0000,12085600
2026-03-09,745.0000,745.0000,715.0000,720.0000,30268200
2026-03-10,735.0000,745.0000,725.0000,740.0000,13644300
2026-03-11,740.0000,765.0000,740.0000,760.0000,19292500
2026-03-12,760.0000,765.0000,745.0000,745.0000,11885800
2026-03-13,755.0000,765.0000,740.0000,740.0000,25963700
2026-03-16,735.0000,740.0000,720.0000,730.0000,9730400
2026-03-17,730.0000,745.0000,730.0000,735.0000,9851200
2026-03-25,735.0000,760.0000,735.0000,755.0000,10521900
2026-03-26,765.0000,765.0000,740.0000,745.0000,7778000
2026-03-27,745.0000,755.0000,740.0000,745.0000,6297500
2026-03-30,735.0000,740.0000,715.0000,730.0000,12539000
2026-03-31,735.0000,745.0000,725.0000,740.0000,9843000
2026-04-01,750.0000,760.0000,740.0000,750.0000,4389000
2026-04-02,755.0000,765.0000,750.0000,765.0000,7560400
2026-04-06,765.0000,765.0000,750.0000,755.0000,9454300
2026-04-07,755.0000,765.0000,750.0000,755.0000,4886000
2026-04-08,765.0000,805.0000,760.0000,805.0000,13587300
2026-04-09,800.0000,800.0000,765.0000,790.0000,6013200
2026-04-10,790.0000,800.0000,785.0000,795.0000,5286400
2026-04-13,790.0000,790.0000,770.0000,785.0000,5298300
2026-04-14,790.0000,805.0000,785.0000,800.0000,8520800
2026-04-15,800.0000,810.0000,790.0000,800.0000,7476200
2026-04-16,800.0000,815.0000,795.0000,800.0000,3937600
2026-04-17,800.0000,805.0000,790.0000,790.0000,4643200
2026-04-20,790.0000,800.0000,785.0000,785.0000,2085700
2026-04-21,785.0000,790.0000,775.0000,785.0000,9428100
2026-04-22,785.0000,805.0000,780.0000,800.0000,5985100
2026-04-23,800.0000,805.0000,790.0000,790.0000,6709200
2026-04-24,790.0000,795.0000,740.0000,745.0000,21151400
2026-04-27,740.0000,795.0000,730.0000,795.0000,20308500
2026-04-28,795.0000,825.0000,780.0000,825.0000,16698900
2026-04-29,830.0000,835.0000,800.0000,825.0000,12221600
2026-04-30,815.0000,815.0000,765.0000,770.0000,13726600
2026-05-04,775.0000,785.0000,765.0000,770.0000,4687000
2026-05-05,780.0000,785.0000,755.0000,770.0000,6423800
2026-05-06,770.0000,780.0000,760.0000,770.0000,6050100
2026-05-07,775.0000,785.0000,760.0000,785.0000,11610300
2026-05-08,785.0000,785.0000,755.0000,760.0000,11847500
2026-05-11,760.0000,765.0000,750.0000,760.0000,6487600
2026-05-12,760.0000,765.0000,750.0000,760.0000,8408000
2026-05-13,725.0000,740.0000,720.0000,735.0000,15305100
2026-05-14,735.0000,735.0000,735.0000,735.0000,0
2026-05-15,735.0000,735.0000,735.0000,735.0000,0
2026-05-18,735.0000,735.0000,705.0000,725.0000,11586300
2026-05-19,725.0000,730.0000,705.0000,715.0000,7656000
2026-05-20,710.0000,725.0000,700.0000,715.0000,11094700
2026-05-21,715.0000,720.0000,670.0000,670.0000,22006400
2026-05-22,675.0000,690.0000,670.0000,685.0000,8608300
2026-05-25,685.0000,700.0000,670.0000,675.0000,15318400
2026-05-26,680.0000,685.0000,660.0000,665.0000,13061100
2026-05-27,665.0000,665.0000,665.0000,665.0000,0
2026-05-28,665.0000,665.0000,665.0000,665.0000,0
2026-05-29,655.0000,675.0000,625.0000,630.0000,97711300
2026-06-02,630.0000,645.0000,620.0000,630.0000,30268100
2026-06-03,630.0000,630.0000,590.0000,605.0000,20519800
2026-06-04,605.0000,605.0000,565.0000,585.0000,30033500
2026-06-05,590.0000,600.0000,555.0000,560.0000,11802100
2026-06-08,555.0000,555.0000,520.0000,540.0000,18204700
2026-06-09,540.0000,575.0000,535.0000,565.0000,11660000
2026-06-10,570.0000,600.0000,565.0000,595.0000,15794800
2026-06-11,595.0000,600.0000,575.0000,580.0000,18094900
2026-06-12,590.0000,615.0000,590.0000,610.0000,14873600
2026-06-15,610.0000,635.0000,605.0000,620.0000,26734500
2026-06-17,620.0000,635.0000,605.0000,610.0000,12039000
2026-06-18,610.0000,610.0000,590.0000,595.0000,6310300
2026-06-19,595.0000,595.0000,555.0000,555.0000,74719500
2026-06-22,565.0000,575.0000,555.0000,565.0000,21787500
2026-06-23,570.0000,585.0000,560.0000,580.0000,17522900
2026-06-24,580.0000,590.0000,555.0000,555.0000,10768200
2026-06-25,565.0000,580.0000,555.0000,570.0000,11072300
2026-06-26,570.0000,575.0000,555.0000,555.0000,8119400
2026-06-29,560.0000,580.0000,560.0000,570.0000,6660200
2026-06-30,565.0000,570.0000,545.0000,545.0000,23281500
2026-07-01,550.0000,555.0000,530.0000,540.0000,23278700
2026-07-02,540.0000,550.0000,535.0000,545.0000,11373000
2026-07-03,550.0000,580.0000,550.0000,570.0000,17400900
2026-07-06,570.0000,575.0000,550.0000,555.0000,10152300
2026-07-07,560.0000,585.0000,555.0000,585.0000,18130000
2026-07-08,585.0000,585.0000,550.0000,550.0000,12354600
2026-07-09,550.0000,560.0000,545.0000,550.0000,11418800
2026-07-10,555.0000,560.0000,550.0000,555.0000,10158900
2026-07-13,555.0000,560.0000,540.0000,555.0000,21291800
2026-07-14,555.0000,575.0000,550.0000,565.0000,11181400
2026-07-15,565.0000,570.0000,550.0000,555.0000,14947400
2026-07-16,560.0000,575.0000,555.0000,570.0000,10890100
2026-07-17,570.0000,585.0000,560.0000,575.0000,18669100
2026-07-20,575.0000,590.0000,575.0000,580.0000,15119400
2026-07-21,585.0000,595.0000,575.0000,590.0000,21930800
2026-07-22,590.0000,605.0000,580.0000,585.0000,14910700
2026-07-23,590.0000,615.0000,590.0000,595.0000,20760600
2026-07-24,595.0000,595.0000,575.0000,575.0000,8573200
2026-07-27,575.0000,580.0000,555.0000,565.0000,10512200
2026-07-28,565.0000,570.0000,555.0000,560.0000,6271200
2026-07-29,565.0000,565.0000,555.0000,565.0000,9013400
2026-07-30,565.0000,590.0000,565.0000,580.0000,10293700
2026-07-31,585.0000,585.0000,570.0000,570.0000,14946600
2026-08-03,570.0000,580.0000,565.0000,565.0000,13569500
2026-08-04,565.0000,580.0000,565.0000,575.0000,11006800
2026-08-05,580.0000,595.0000,575.0000,585.0000,22309200
2026-08-06,590.0000,610.0000,580.0000,605.0000,22065600
2026-08-07,605.0000,610.0000,595.0000,600.0000,18891700
2026-08-10,605.0000,610.0000,595.0000,595.0000,15635000
2026-08-11,600.0000,600.0000,580.0000,585.0000,9120900
2026-08-12,585.0000,600.0000,580.0000,595.0000,4747000
2026-08-13,595.0000,600.0000,585.0000,585.0000,5477100
2026-08-14,585.0000,595.0000,580.0000,595.0000,4241600
2026-08-18,595.0000,625.0000,590.0000,610.0000,43405100
2026-08-19,645.0000,705.0000,635.0000,650.0000,139339400
2026-08-20,660.0000,665.0000,640.0000,645.0000,24940100
2026-08-21,650.0000,655.0000,635.0000,635.0000,13262900
2026-08-24,625.0000,645.0000,620.0000,635.0000,21245700
2026-08-26,635.0000,645.0000,625.0000,625.0000,19634300
2026-08-27,625.0000,650.0000,620.0000,645.0000,13292000
2026-08-28,645.0000,660.0000,635.0000,640.0000,23024300
2026-08-31,650.0000,660.0000,630.0000,650.0000,22366100
2026-09-01,650.0000,665.0000,640.0000,650.0000,38800700
2026-09-02,650.0000,670.0000,640.0000,655.0000,21276300
2026-09-03,665.0000,670.0000,655.0000,665.0000,26649000
2026-09-04,670.0000,680.0000,665.0000,670.0000,25909500
2026-09-07,670.0000,675.0000,650.0000,655.0000,19481900
2026-09-08,665.0000,680.0000,655.0000,660.0000,12961400
2026-09-09,665.0000,675.0000,645.0000,645.0000,15512000
2026-09-10,650.0000,655.0000,635.0000,635.0000,12142700
2026-09-11,640.0000,645.0000,625.0000,645.0000,9424000
2026-09-14,645.0000,650.0000,625.0000,650.0000,12524500
2026-09-15,650.0000,655.0000,635.0000,640.0000,6652800
2026-09-16,640.0000,645.0000,630.0000,635.0000,7053900
2026-09-17,635.0000,650.0000,630.0000,640.0000,6867500
2026-09-18,645.0000,650.0000,605.0000,605.0000,192604300
