tanggal,pembukaan,tertinggi,terendah,penutupan,volume
2026-01-02,372.0000,424.0000,370.0000,420.0000,11771094600
2026-01-05,428.0000,476.0000,420.0000,464.0000,13048421800
2026-01-06,466.0000,484.0000,452.0000,464.0000,8648116700
2026-01-07,464.0000,478.0000,452.0000,452.0000,6102514400
2026-01-08,450.0000,460.0000,442.0000,460.0000,3629921000
2026-01-09,470.0000,480.0000,456.0000,462.0000,7430491000
2026-01-12,468.0000,472.0000,394.0000,436.0000,9759299800
2026-01-13,436.0000,448.0000,396.0000,406.0000,9716507600
2026-01-14,414.0000,434.0000,410.0000,422.0000,6113687100
2026-01-15,426.0000,428.0000,404.0000,410.0000,4173617100
2026-01-19,410.0000,412.0000,390.0000,412.0000,6004590000
2026-01-20,432.0000,440.0000,414.0000,414.0000,9992920600
2026-01-21,408.0000,408.0000,380.0000,386.0000,8369517000
2026-01-22,390.0000,396.0000,346.0000,348.0000,11300872300
2026-01-23,350.0000,364.0000,330.0000,360.0000,9715093500
2026-01-26,358.0000,368.0000,332.0000,332.0000,8341641400
2026-01-27,336.0000,346.0000,328.0000,344.0000,5796234400
2026-01-28,294.0000,294.0000,294.0000,294.0000,2063059700
2026-01-29,250.0000,282.0000,250.0000,250.0000,24522161400
2026-01-30,258.0000,272.0000,246.0000,258.0000,10768790900
2026-02-02,260.0000,264.0000,220.0000,220.0000,12444107400
2026-02-03,212.0000,266.0000,198.0000,264.0000,13881927300
2026-02-04,258.0000,266.0000,240.0000,246.0000,9402318400
2026-02-05,242.0000,256.0000,240.0000,240.0000,4278275700
2026-02-06,232.0000,238.0000,218.0000,226.0000,6515359700
2026-02-09,236.0000,244.0000,224.0000,240.0000,5917512800
2026-02-10,238.0000,264.0000,236.0000,248.0000,10011575000
2026-02-11,252.0000,286.0000,252.0000,272.0000,15389213700
2026-02-12,280.0000,282.0000,266.0000,270.0000,7425236700
2026-02-13,264.0000,296.0000,262.0000,292.0000,11232277200
2026-02-18,292.0000,298.0000,284.0000,284.0000,10336439600
2026-02-19,286.0000,306.0000,286.0000,300.0000,9628948200
2026-02-20,302.0000,306.0000,292.0000,294.0000,3790944800
2026-02-23,300.0000,306.0000,294.0000,296.0000,4008241200
2026-02-24,296.0000,298.0000,270.0000,274.0000,8768902000
2026-02-25,270.0000,282.0000,262.0000,270.0000,6672829400
2026-02-26,274.0000,278.0000,252.0000,258.0000,6083786000
2026-02-27,258.0000,260.0000,244.0000,258.0000,4853064000
2026-03-02,252.0000,266.0000,246.0000,248.0000,5332814900
2026-03-03,258.0000,262.0000,248.0000,252.0000,4765414000
2026-03-04,256.0000,256.0000,226.0000,234.0000,7871045500
2026-03-05,246.0000,248.0000,238.0000,240.0000,3410343700
2026-03-06,240.0000,244.0000,226.0000,230.0000,3885133200
2026-03-09,214.0000,226.0000,200.0000,220.0000,6510531900
2026-03-10,230.0000,240.0000,228.0000,240.0000,5461317400
2026-03-11,242.0000,244.0000,226.0000,226.0000,2994827600
2026-03-12,226.0000,228.0000,216.0000,218.0000,3743282000
2026-03-13,220.0000,220.0000,206.0000,210.0000,4126257700
2026-03-16,214.0000,214.0000,202.0000,204.0000,3325002300
2026-03-17,208.0000,212.0000,202.0000,206.0000,2059278600
2026-03-25,208.0000,232.0000,206.0000,226.0000,4993415800
2026-03-26,228.0000,232.0000,214.0000,214.0000,3841879100
2026-03-27,214.0000,220.0000,210.0000,214.0000,1993219700
2026-03-30,214.0000,228.0000,206.0000,226.0000,3307221900
2026-03-31,230.0000,234.0000,216.0000,216.0000,3102922800
2026-04-01,224.0000,238.0000,222.0000,238.0000,4232886000
2026-04-02,232.0000,234.0000,226.0000,228.0000,3239932500
2026-04-06,228.0000,250.0000,228.0000,242.0000,6099108000
2026-04-07,242.0000,246.0000,234.0000,236.0000,2937748500
2026-04-08,246.0000,254.0000,244.0000,252.0000,7028235400
2026-04-09,248.0000,250.0000,240.0000,244.0000,3231004700
2026-04-10,246.0000,254.0000,246.0000,246.0000,3723636000
2026-04-13,242.0000,250.0000,240.0000,244.0000,2492525700
2026-04-14,250.0000,262.0000,246.0000,262.0000,6975324100
2026-04-15,266.0000,268.0000,252.0000,252.0000,4737542700
2026-04-16,254.0000,258.0000,248.0000,250.0000,2690537600
2026-04-17,250.0000,256.0000,248.0000,248.0000,2031335300
2026-04-20,250.0000,250.0000,240.0000,242.0000,2320011600
2026-04-21,242.0000,244.0000,238.0000,240.0000,2190621300
2026-04-22,242.0000,246.0000,240.0000,240.0000,1883526900
2026-04-23,240.0000,242.0000,230.0000,230.0000,3490960700
2026-04-24,232.0000,236.0000,216.0000,216.0000,4442692000
2026-04-27,220.0000,230.0000,218.0000,224.0000,2505952300
2026-04-28,228.0000,230.0000,220.0000,228.0000,1800570700
2026-04-29,230.0000,234.0000,228.0000,230.0000,1730505500
2026-04-30,230.0000,244.0000,220.0000,240.0000,4363737300
2026-05-04,240.0000,250.0000,230.0000,230.0000,3204619800
2026-05-05,230.0000,234.0000,226.0000,230.0000,1724471500
2026-05-06,234.0000,238.0000,228.0000,230.0000,1589946400
2026-05-07,236.0000,238.0000,230.0000,230.0000,2112241300
2026-05-08,230.0000,232.0000,216.0000,216.0000,2855783300
2026-05-11,216.0000,224.0000,208.0000,212.0000,3964376600
2026-05-12,214.0000,214.0000,208.0000,212.0000,1533188100
2026-05-13,210.0000,220.0000,210.0000,214.0000,2164725500
2026-05-14,214.0000,214.0000,214.0000,214.0000,0
2026-05-15,214.0000,214.0000,214.0000,214.0000,0
2026-05-18,214.0000,214.0000,202.0000,206.0000,2951177000
2026-05-19,208.0000,212.0000,178.0000,186.0000,9180486400
2026-05-20,181.0000,191.0000,167.0000,173.0000,10612750600
2026-05-21,179.0000,179.0000,157.0000,164.0000,7188689100
2026-05-22,164.0000,186.0000,160.0000,185.0000,6616733300
2026-05-25,183.0000,184.0000,171.0000,171.0000,4461704000
2026-05-26,169.0000,177.0000,166.0000,166.0000,2698201800
2026-05-27,166.0000,166.0000,166.0000,166.0000,0
2026-05-28,166.0000,166.0000,166.0000,166.0000,0
2026-05-29,168.0000,173.0000,166.0000,168.0000,2216070000
2026-06-02,171.0000,175.0000,160.0000,161.0000,2680035900
2026-06-03,162.0000,164.0000,141.0000,148.0000,5931078500
2026-06-04,149.0000,153.0000,137.0000,150.0000,4978373200
2026-06-05,152.0000,153.0000,139.0000,139.0000,3062335900
2026-06-08,132.0000,139.0000,126.0000,130.0000,4621181600
2026-06-09,130.0000,148.0000,129.0000,146.0000,5625440400
2026-06-10,146.0000,157.0000,142.0000,144.0000,7438604200
2026-06-11,144.0000,147.0000,136.0000,140.0000,2994048400
2026-06-12,144.0000,162.0000,143.0000,157.0000,6630659700
2026-06-15,165.0000,191.0000,163.0000,173.0000,13335601700
2026-06-17,175.0000,178.0000,165.0000,168.0000,4078182600
