tanggal,pembukaan,tertinggi,terendah,penutupan,volume
2026-01-02,4510.0000,4590.0000,4510.0000,4540.0000,4267600
2026-01-05,4560.0000,4590.0000,4500.0000,4570.0000,8656600
2026-01-06,4570.0000,4610.0000,4510.0000,4580.0000,12009200
2026-01-07,4580.0000,4580.0000,4460.0000,4550.0000,11204700
2026-01-08,4550.0000,4550.0000,4480.0000,4500.0000,9163000
2026-01-09,4500.0000,4530.0000,4470.0000,4490.0000,5274700
2026-01-12,4490.0000,4520.0000,4450.0000,4480.0000,8893000
2026-01-13,4490.0000,4530.0000,4480.0000,4520.0000,9560300
2026-01-14,4520.0000,4560.0000,4500.0000,4550.0000,9463000
2026-01-15,4550.0000,4590.0000,4540.0000,4570.0000,9656600
2026-01-19,4570.0000,4570.0000,4430.0000,4430.0000,19140600
2026-01-20,4450.0000,4470.0000,4400.0000,4420.0000,9670400
2026-01-21,4460.0000,4540.0000,4430.0000,4450.0000,12711000
2026-01-22,4460.0000,4510.0000,4460.0000,4500.0000,8859300
2026-01-23,4500.0000,4510.0000,4350.0000,4360.0000,15630800
2026-01-26,4380.0000,4450.0000,4320.0000,4390.0000,12876700
2026-01-27,4400.0000,4400.0000,4330.0000,4360.0000,10177600
2026-01-28,4330.0000,4450.0000,4280.0000,4360.0000,22495000
2026-01-29,4360.0000,4370.0000,3850.0000,4310.0000,16359500
2026-01-30,4310.0000,4430.0000,4260.0000,4430.0000,10956600
2026-02-02,4440.0000,4450.0000,4310.0000,4440.0000,5788200
2026-02-03,4430.0000,4530.0000,4350.0000,4530.0000,9547200
2026-02-04,4500.0000,4530.0000,4420.0000,4450.0000,7655700
2026-02-05,4450.0000,4520.0000,4440.0000,4520.0000,6483700
2026-02-06,4500.0000,4520.0000,4450.0000,4490.0000,6401100
2026-02-09,4510.0000,4530.0000,4450.0000,4530.0000,4979500
2026-02-10,4510.0000,4510.0000,4450.0000,4450.0000,6583000
2026-02-11,4510.0000,4510.0000,4440.0000,4480.0000,5136300
2026-02-12,4480.0000,4480.0000,4410.0000,4410.0000,3658000
2026-02-13,4420.0000,4430.0000,4300.0000,4300.0000,9578400
2026-02-18,4310.0000,4340.0000,4270.0000,4270.0000,4782000
2026-02-19,4270.0000,4320.0000,4270.0000,4270.0000,2103600
2026-02-20,4290.0000,4330.0000,4240.0000,4330.0000,3053800
2026-02-23,4340.0000,4430.0000,4330.0000,4430.0000,6080700
2026-02-24,4440.0000,4440.0000,4360.0000,4360.0000,4222100
2026-02-25,4390.0000,4410.0000,4340.0000,4340.0000,3724000
2026-02-26,4350.0000,4410.0000,4300.0000,4410.0000,7749400
2026-02-27,4370.0000,4390.0000,4250.0000,4250.0000,11742400
2026-03-02,4200.0000,4200.0000,3940.0000,3940.0000,19822200
2026-03-03,3950.0000,4090.0000,3950.0000,4000.0000,10229300
2026-03-04,4000.0000,4000.0000,3610.0000,3670.0000,25048900
2026-03-05,3720.0000,3770.0000,3610.0000,3680.0000,19816200
2026-03-06,3680.0000,3680.0000,3600.0000,3620.0000,14689200
2026-03-09,3500.0000,3510.0000,3390.0000,3510.0000,20089300
2026-03-10,3530.0000,3600.0000,3460.0000,3500.0000,13838600
2026-03-11,3510.0000,3630.0000,3500.0000,3630.0000,13729000
2026-03-12,3640.0000,3760.0000,3580.0000,3680.0000,13061400
2026-03-13,3700.0000,3700.0000,3520.0000,3600.0000,10407400
2026-03-16,3620.0000,3970.0000,3550.0000,3970.0000,15580900
2026-03-17,3970.0000,3970.0000,3720.0000,3970.0000,29917500
2026-03-25,4140.0000,4140.0000,4050.0000,4140.0000,16255600
2026-03-26,4120.0000,4120.0000,4020.0000,4030.0000,6543800
2026-03-27,4030.0000,4130.0000,4030.0000,4100.0000,7424900
2026-03-30,4100.0000,4120.0000,3990.0000,4010.0000,6823700
2026-03-31,4050.0000,4100.0000,4010.0000,4100.0000,8714400
2026-04-01,4120.0000,4150.0000,4060.0000,4150.0000,7222300
2026-04-02,4150.0000,4250.0000,4120.0000,4250.0000,9671800
2026-04-06,4250.0000,4250.0000,4110.0000,4150.0000,2189900
2026-04-07,4110.0000,4230.0000,4070.0000,4230.0000,5837800
2026-04-08,4230.0000,4490.0000,4220.0000,4490.0000,15297300
2026-04-09,4450.0000,4490.0000,4340.0000,4400.0000,14206000
2026-04-10,4400.0000,4450.0000,4320.0000,4400.0000,6553700
2026-04-13,4340.0000,4350.0000,4310.0000,4310.0000,3594800
2026-04-14,4310.0000,4350.0000,4260.0000,4330.0000,4989800
2026-04-15,4350.0000,4400.0000,4330.0000,4400.0000,6201500
2026-04-16,4430.0000,4490.0000,4380.0000,4470.0000,9881000
2026-04-17,4470.0000,4530.0000,4460.0000,4530.0000,9531800
2026-04-20,4530.0000,4540.0000,4460.0000,4480.0000,4926900
2026-04-21,4480.0000,4500.0000,4420.0000,4500.0000,5571300
2026-04-22,4500.0000,4500.0000,4390.0000,4390.0000,6112300
2026-04-23,4390.0000,4400.0000,4280.0000,4290.0000,5089500
2026-04-24,4290.0000,4310.0000,4110.0000,4140.0000,5062700
2026-04-27,4140.0000,4150.0000,4030.0000,4070.0000,3047700
2026-04-28,4070.0000,4090.0000,4000.0000,4090.0000,2414500
2026-04-29,4120.0000,4170.0000,4090.0000,4110.0000,2879300
2026-04-30,4150.0000,4150.0000,3970.0000,4010.0000,9736000
2026-05-04,4090.0000,4190.0000,4070.0000,4090.0000,4596300
2026-05-05,4120.0000,4140.0000,4070.0000,4090.0000,1394500
2026-05-06,4110.0000,4130.0000,4010.0000,4040.0000,6617500
2026-05-07,4080.0000,4220.0000,4050.0000,4220.0000,6005000
2026-05-08,4210.0000,4210.0000,4050.0000,4050.0000,4768900
2026-05-11,4050.0000,4120.0000,4010.0000,4030.0000,5005100
2026-05-12,4030.0000,4080.0000,3960.0000,3980.0000,7523700
2026-05-13,4000.0000,4220.0000,4000.0000,4160.0000,7538600
2026-05-14,4160.0000,4160.0000,4160.0000,4160.0000,0
2026-05-15,4160.0000,4160.0000,4160.0000,4160.0000,0
2026-05-18,4320.0000,4320.0000,4110.0000,4200.0000,7729800
2026-05-19,4200.0000,4200.0000,4060.0000,4060.0000,5981800
2026-05-20,4050.0000,4170.0000,4010.0000,4170.0000,5053900
2026-05-21,4170.0000,4270.0000,4150.0000,4270.0000,7687600
2026-05-22,4270.0000,4350.0000,4150.0000,4350.0000,5365000
2026-05-25,4360.0000,4440.0000,4300.0000,4400.0000,4607500
2026-05-26,4400.0000,4520.0000,4360.0000,4480.0000,10649900
2026-05-27,4480.0000,4480.0000,4480.0000,4480.0000,0
2026-05-28,4480.0000,4480.0000,4480.0000,4480.0000,0
2026-05-29,4420.0000,4440.0000,4250.0000,4270.0000,67380000
2026-06-02,4270.0000,4330.0000,4060.0000,4060.0000,16512300
2026-06-03,3950.0000,3970.0000,3810.0000,3860.0000,16330500
2026-06-04,3860.0000,3860.0000,3420.0000,3420.0000,25923000
2026-06-05,3400.0000,3540.0000,3360.0000,3380.0000,16024400
2026-06-08,3380.0000,3380.0000,3080.0000,3150.0000,12672200
2026-06-09,3120.0000,3300.0000,3120.0000,3300.0000,19685100
2026-06-10,3350.0000,3350.0000,3190.0000,3240.0000,13959500
2026-06-11,3250.0000,3310.0000,3180.0000,3260.0000,11776800
2026-06-12,3340.0000,3340.0000,3240.0000,3300.0000,4628500
2026-06-15,3350.0000,3540.0000,3300.0000,3410.0000,12123700
2026-06-17,3430.0000,3510.0000,3350.0000,3350.0000,9484000
2026-06-18,3360.0000,3380.0000,3270.0000,3340.0000,10630100
2026-06-19,3380.0000,3420.0000,3320.0000,3320.0000,59758000
2026-06-22,3440.0000,3440.0000,3160.0000,3170.0000,12257900
2026-06-23,3180.0000,3210.0000,3120.0000,3150.0000,9656900
