tanggal,pembukaan,tertinggi,terendah,penutupan,volume
2026-01-02,830.0000,840.0000,825.0000,825.0000,12405600
2026-01-05,830.0000,840.0000,825.0000,830.0000,16682700
2026-01-06,835.0000,850.0000,835.0000,845.0000,17612400
2026-01-07,845.0000,850.0000,835.0000,840.0000,14042600
2026-01-08,850.0000,850.0000,835.0000,835.0000,8881500
2026-01-09,835.0000,865.0000,830.0000,865.0000,24887100
2026-01-12,880.0000,895.0000,860.0000,865.0000,49101200
2026-01-13,875.0000,890.0000,860.0000,870.0000,19765400
2026-01-14,875.0000,915.0000,860.0000,905.0000,79631300
2026-01-15,915.0000,940.0000,905.0000,940.0000,114279800
2026-01-19,950.0000,990.0000,910.0000,915.0000,98449100
2026-01-20,910.0000,925.0000,900.0000,920.0000,25551400
2026-01-21,920.0000,920.0000,865.0000,875.0000,67131900
2026-01-22,875.0000,895.0000,875.0000,890.0000,37473800
2026-01-23,890.0000,890.0000,870.0000,880.0000,18237200
2026-01-26,880.0000,890.0000,860.0000,865.0000,39562500
2026-01-27,865.0000,865.0000,840.0000,845.0000,41327200
2026-01-28,845.0000,845.0000,800.0000,805.0000,60437900
2026-01-29,800.0000,805.0000,695.0000,790.0000,89625700
2026-01-30,795.0000,840.0000,795.0000,830.0000,43580000
2026-02-02,840.0000,845.0000,800.0000,810.0000,25375400
2026-02-03,815.0000,865.0000,815.0000,865.0000,35612200
2026-02-04,865.0000,870.0000,845.0000,865.0000,12480000
2026-02-05,865.0000,875.0000,850.0000,870.0000,27747200
2026-02-06,855.0000,860.0000,840.0000,845.0000,22620500
2026-02-09,850.0000,855.0000,830.0000,835.0000,15742300
2026-02-10,835.0000,845.0000,830.0000,840.0000,7387300
2026-02-11,840.0000,850.0000,835.0000,845.0000,14012800
2026-02-12,845.0000,850.0000,830.0000,840.0000,22292700
2026-02-13,840.0000,845.0000,830.0000,830.0000,10489200
2026-02-18,835.0000,835.0000,815.0000,820.0000,24320600
2026-02-19,820.0000,825.0000,805.0000,810.0000,25553200
2026-02-20,810.0000,815.0000,805.0000,810.0000,12818600
2026-02-23,815.0000,825.0000,815.0000,820.0000,12300400
2026-02-24,815.0000,825.0000,795.0000,795.0000,42352600
2026-02-25,800.0000,800.0000,790.0000,795.0000,18860700
2026-02-26,795.0000,800.0000,765.0000,770.0000,61242400
2026-02-27,775.0000,780.0000,765.0000,770.0000,29312000
2026-03-02,750.0000,760.0000,740.0000,745.0000,33701800
2026-03-03,745.0000,760.0000,740.0000,740.0000,35283000
2026-03-04,740.0000,745.0000,715.0000,720.0000,29685400
2026-03-05,730.0000,740.0000,715.0000,720.0000,21825000
2026-03-06,720.0000,725.0000,705.0000,710.0000,23181800
2026-03-09,700.0000,700.0000,670.0000,680.0000,36241100
2026-03-10,695.0000,705.0000,685.0000,695.0000,19733100
2026-03-11,700.0000,710.0000,690.0000,690.0000,15251500
2026-03-12,690.0000,700.0000,680.0000,700.0000,14622000
2026-03-13,700.0000,700.0000,680.0000,680.0000,14265000
2026-03-16,680.0000,690.0000,665.0000,680.0000,9499000
2026-03-17,685.0000,695.0000,680.0000,685.0000,8037100
2026-03-25,685.0000,695.0000,670.0000,695.0000,16312200
2026-03-26,710.0000,710.0000,690.0000,705.0000,9272300
2026-03-27,705.0000,705.0000,680.0000,685.0000,12545100
2026-03-30,675.0000,695.0000,665.0000,685.0000,10221300
2026-03-31,685.0000,725.0000,685.0000,710.0000,25694000
2026-04-01,730.0000,730.0000,710.0000,710.0000,15587000
2026-04-02,715.0000,725.0000,710.0000,715.0000,13761900
2026-04-06,715.0000,720.0000,700.0000,705.0000,7191600
2026-04-07,705.0000,705.0000,685.0000,690.0000,10132200
2026-04-08,715.0000,715.0000,700.0000,715.0000,16568400
2026-04-09,710.0000,725.0000,705.0000,715.0000,11370200
2026-04-10,715.0000,745.0000,715.0000,735.0000,16744000
2026-04-13,730.0000,735.0000,715.0000,720.0000,11890000
2026-04-14,730.0000,745.0000,725.0000,735.0000,18539400
2026-04-15,735.0000,765.0000,725.0000,760.0000,26362400
2026-04-16,760.0000,765.0000,745.0000,745.0000,9699400
2026-04-17,750.0000,750.0000,740.0000,740.0000,5664700
2026-04-20,745.0000,755.0000,735.0000,745.0000,8904600
2026-04-21,745.0000,745.0000,735.0000,745.0000,7588300
2026-04-22,745.0000,750.0000,740.0000,745.0000,8081300
2026-04-23,745.0000,750.0000,720.0000,725.0000,11661000
2026-04-24,730.0000,730.0000,695.0000,710.0000,14466600
2026-04-27,695.0000,705.0000,690.0000,700.0000,9458100
2026-04-28,700.0000,710.0000,690.0000,700.0000,5580600
2026-04-29,700.0000,725.0000,695.0000,720.0000,10624100
2026-04-30,720.0000,725.0000,690.0000,690.0000,15535700
2026-05-04,690.0000,695.0000,675.0000,675.0000,20226500
2026-05-05,675.0000,695.0000,675.0000,680.0000,7363800
2026-05-06,685.0000,695.0000,680.0000,685.0000,8365600
2026-05-07,690.0000,715.0000,685.0000,710.0000,17317700
2026-05-08,710.0000,720.0000,690.0000,700.0000,10459300
2026-05-11,700.0000,700.0000,685.0000,685.0000,7539200
2026-05-12,685.0000,700.0000,675.0000,695.0000,6594300
2026-05-13,700.0000,700.0000,680.0000,685.0000,4535300
2026-05-14,685.0000,685.0000,685.0000,685.0000,0
2026-05-15,685.0000,685.0000,685.0000,685.0000,0
2026-05-18,690.0000,690.0000,665.0000,675.0000,11591000
2026-05-19,680.0000,685.0000,655.0000,655.0000,13880900
2026-05-20,665.0000,675.0000,650.0000,675.0000,9530600
2026-05-21,680.0000,685.0000,655.0000,660.0000,13950900
2026-05-22,670.0000,675.0000,650.0000,655.0000,9692700
2026-05-25,665.0000,675.0000,655.0000,655.0000,5676500
2026-05-26,660.0000,670.0000,655.0000,655.0000,6034900
2026-05-27,655.0000,655.0000,655.0000,655.0000,0
2026-05-28,655.0000,655.0000,655.0000,655.0000,0
2026-05-29,655.0000,660.0000,635.0000,645.0000,35909400
2026-06-02,645.0000,645.0000,630.0000,640.0000,9829900
2026-06-03,645.0000,645.0000,590.0000,600.0000,27998100
2026-06-04,600.0000,600.0000,555.0000,580.0000,20045100
2026-06-05,580.0000,590.0000,555.0000,555.0000,14516700
2026-06-08,550.0000,550.0000,510.0000,530.0000,22582800
2026-06-09,530.0000,555.0000,525.0000,550.0000,25894400
2026-06-10,555.0000,580.0000,550.0000,575.0000,21020800
2026-06-11,575.0000,590.0000,565.0000,580.0000,12184700
2026-06-12,585.0000,600.0000,580.0000,600.0000,11214300
2026-06-15,605.0000,625.0000,570.0000,585.0000,44360200
2026-06-17,590.0000,600.0000,580.0000,590.0000,12313500
2026-06-18,590.0000,590.0000,560.0000,565.0000,36221700
2026-06-19,570.0000,575.0000,550.0000,550.0000,68357500
2026-06-22,555.0000,560.0000,540.0000,545.0000,33499900
2026-06-23,550.0000,550.0000,535.0000,545.0000,27225000
2026-06-24,550.0000,560.0000,530.0000,535.0000,17904600
2026-06-25,540.0000,585.0000,540.0000,580.0000,30806800
2026-06-26,585.0000,590.0000,555.0000,565.0000,15763000
2026-06-29,580.0000,580.0000,560.0000,560.0000,10447200
2026-06-30,565.0000,570.0000,555.0000,555.0000,14165800
2026-07-01,560.0000,565.0000,555.0000,555.0000,9133300
2026-07-02,560.0000,570.0000,555.0000,560.0000,11155300
2026-07-03,565.0000,580.0000,565.0000,575.0000,20921100
2026-07-06,575.0000,580.0000,565.0000,570.0000,17005800
2026-07-07,545.0000,565.0000,530.0000,565.0000,44864500
2026-07-08,565.0000,570.0000,545.0000,545.0000,20624300
2026-07-09,550.0000,560.0000,530.0000,530.0000,26871800
2026-07-10,535.0000,545.0000,530.0000,540.0000,14006000
2026-07-13,540.0000,550.0000,535.0000,545.0000,10693800
2026-07-14,545.0000,565.0000,545.0000,555.0000,17786900
2026-07-15,555.0000,565.0000,550.0000,560.0000,11274500
2026-07-16,565.0000,580.0000,565.0000,575.0000,17291100
2026-07-17,580.0000,580.0000,565.0000,570.0000,24848300
2026-07-20,575.0000,585.0000,570.0000,570.0000,12748100
2026-07-21,575.0000,585.0000,575.0000,585.0000,10848500
2026-07-22,590.0000,590.0000,570.0000,580.0000,14218800
2026-07-23,580.0000,605.0000,580.0000,585.0000,34174800
2026-07-24,580.0000,580.0000,565.0000,570.0000,13209500
2026-07-27,580.0000,580.0000,565.0000,570.0000,7215300
2026-07-28,570.0000,575.0000,560.0000,560.0000,6115300
2026-07-29,560.0000,565.0000,550.0000,555.0000,9399700
2026-07-30,560.0000,585.0000,560.0000,575.0000,10075500
2026-07-31,580.0000,585.0000,570.0000,575.0000,6097100
2026-08-03,575.0000,585.0000,570.0000,580.0000,9134700
2026-08-04,585.0000,590.0000,580.0000,585.0000,12968600
2026-08-05,590.0000,620.0000,590.0000,615.0000,21707100
2026-08-06,620.0000,625.0000,605.0000,605.0000,13610300
