tanggal,pembukaan,tertinggi,terendah,penutupan,volume
2026-01-02,2340.0000,2370.0000,2280.0000,2290.0000,57293900
2026-01-05,2300.0000,2310.0000,2220.0000,2240.0000,52380200
2026-01-06,2240.0000,2250.0000,2170.0000,2200.0000,58130500
2026-01-07,2200.0000,2210.0000,2070.0000,2080.0000,104848100
2026-01-08,1995.0000,2210.0000,1990.0000,2050.0000,112610600
2026-01-09,2070.0000,2080.0000,2000.0000,2010.0000,55269500
2026-01-12,2050.0000,2070.0000,1825.0000,1915.0000,124426400
2026-01-13,1920.0000,1945.0000,1855.0000,1930.0000,77576700
2026-01-14,2000.0000,2000.0000,1890.0000,1910.0000,75359800
2026-01-15,1915.0000,1915.0000,1830.0000,1850.0000,81694900
2026-01-19,1900.0000,2070.0000,1850.0000,2020.0000,177310900
2026-01-20,2010.0000,2090.0000,1955.0000,1970.0000,115113600
2026-01-21,1960.0000,1965.0000,1885.0000,1895.0000,76914500
2026-01-22,1910.0000,1920.0000,1805.0000,1815.0000,106463600
2026-01-23,1800.0000,1805.0000,1650.0000,1735.0000,110772900
2026-01-26,1735.0000,1755.0000,1640.0000,1710.0000,81516000
2026-01-27,1710.0000,1780.0000,1675.0000,1780.0000,68094300
2026-01-28,1515.0000,1660.0000,1515.0000,1560.0000,181637100
2026-01-29,1560.0000,1880.0000,1330.0000,1850.0000,610781200
2026-01-30,1850.0000,1930.0000,1685.0000,1800.0000,274497100
2026-02-02,1805.0000,1810.0000,1530.0000,1530.0000,195054000
2026-02-03,1500.0000,1720.0000,1470.0000,1665.0000,196174200
2026-02-04,1685.0000,1760.0000,1670.0000,1715.0000,94849200
2026-02-05,1715.0000,1815.0000,1700.0000,1710.0000,106296500
2026-02-06,1685.0000,1735.0000,1605.0000,1630.0000,84023100
2026-02-09,1670.0000,1675.0000,1615.0000,1645.0000,41297800
2026-02-10,1640.0000,1685.0000,1620.0000,1640.0000,57642000
2026-02-11,1670.0000,1930.0000,1670.0000,1925.0000,346104600
2026-02-12,1940.0000,1990.0000,1810.0000,1825.0000,241253900
2026-02-13,1805.0000,1860.0000,1755.0000,1810.0000,106551500
2026-02-18,1815.0000,1860.0000,1790.0000,1795.0000,71990400
2026-02-19,1805.0000,1825.0000,1755.0000,1755.0000,81546100
2026-02-20,1755.0000,1765.0000,1685.0000,1735.0000,135141500
2026-02-23,1780.0000,1850.0000,1775.0000,1800.0000,235823600
2026-02-24,1810.0000,1845.0000,1720.0000,1720.0000,146053100
2026-02-25,1740.0000,1765.0000,1680.0000,1680.0000,135624100
2026-02-26,1690.0000,1710.0000,1600.0000,1650.0000,71935800
2026-02-27,1630.0000,1655.0000,1560.0000,1600.0000,68484500
2026-03-02,1520.0000,1575.0000,1470.0000,1470.0000,151322300
2026-03-03,1490.0000,1540.0000,1450.0000,1450.0000,96883600
2026-03-04,1400.0000,1400.0000,1280.0000,1335.0000,158811100
2026-03-05,1330.0000,1415.0000,1315.0000,1320.0000,246101900
2026-03-06,1300.0000,1375.0000,1180.0000,1320.0000,246114800
2026-03-09,1160.0000,1350.0000,1155.0000,1280.0000,244804700
2026-03-10,1350.0000,1380.0000,1255.0000,1275.0000,228719100
2026-03-11,1295.0000,1325.0000,1260.0000,1305.0000,161937700
2026-03-12,1300.0000,1310.0000,1230.0000,1230.0000,104088200
2026-03-13,1205.0000,1240.0000,1155.0000,1195.0000,142449200
2026-03-16,1195.0000,1200.0000,1095.0000,1095.0000,182951000
2026-03-17,1130.0000,1210.0000,1105.0000,1125.0000,185097900
2026-03-25,1130.0000,1200.0000,1110.0000,1175.0000,164596100
2026-03-26,1190.0000,1220.0000,1125.0000,1125.0000,107189600
2026-03-27,1150.0000,1150.0000,1105.0000,1150.0000,96894700
2026-03-30,1100.0000,1170.0000,1090.0000,1130.0000,378736400
2026-03-31,1140.0000,1155.0000,1060.0000,1060.0000,454166000
2026-04-01,1100.0000,1150.0000,1085.0000,1130.0000,342066600
2026-04-02,1110.0000,1120.0000,1020.0000,1045.0000,379749800
2026-04-06,1000.0000,1150.0000,965.0000,1110.0000,406835000
2026-04-07,1100.0000,1230.0000,1075.0000,1170.0000,659217000
2026-04-08,1250.0000,1270.0000,1155.0000,1230.0000,1050888800
2026-04-09,1180.0000,1275.0000,1170.0000,1270.0000,673398800
2026-04-10,1320.0000,1410.0000,1300.0000,1345.0000,557865400
2026-04-13,1335.0000,1465.0000,1320.0000,1430.0000,655344100
2026-04-14,1470.0000,1560.0000,1440.0000,1515.0000,702456500
2026-04-15,1530.0000,1555.0000,1475.0000,1495.0000,484319900
2026-04-16,1505.0000,1585.0000,1480.0000,1545.0000,404432700
2026-04-17,1560.0000,1615.0000,1535.0000,1590.0000,356436000
2026-04-20,1600.0000,1620.0000,1505.0000,1535.0000,268054200
2026-04-21,1530.0000,1555.0000,1485.0000,1530.0000,245562300
2026-04-22,1525.0000,1530.0000,1465.0000,1510.0000,142289300
2026-04-23,1510.0000,1515.0000,1400.0000,1400.0000,128719700
2026-04-24,1400.0000,1430.0000,1310.0000,1315.0000,144157500
2026-04-27,1330.0000,1360.0000,1290.0000,1315.0000,311711000
2026-04-28,1330.0000,1340.0000,1280.0000,1285.0000,446759200
2026-04-29,1285.0000,1320.0000,1255.0000,1300.0000,448364000
2026-04-30,1285.0000,1290.0000,1190.0000,1200.0000,385324800
2026-05-04,1210.0000,1245.0000,1155.0000,1160.0000,500314900
2026-05-05,1165.0000,1300.0000,1140.0000,1300.0000,380337500
2026-05-06,1300.0000,1305.0000,1230.0000,1240.0000,315358600
2026-05-07,1270.0000,1290.0000,1185.0000,1190.0000,178341000
2026-05-08,1190.0000,1200.0000,1115.0000,1120.0000,127785200
2026-05-11,1115.0000,1130.0000,1010.0000,1030.0000,195387100
2026-05-12,1030.0000,1070.0000,920.0000,945.0000,498891100
2026-05-13,825.0000,885.0000,825.0000,850.0000,540831200
2026-05-14,850.0000,850.0000,850.0000,850.0000,0
2026-05-15,850.0000,850.0000,850.0000,850.0000,0
2026-05-18,805.0000,810.0000,725.0000,750.0000,666710600
2026-05-19,770.0000,775.0000,640.0000,650.0000,607248400
2026-05-20,645.0000,670.0000,575.0000,590.0000,586115800
2026-05-21,590.0000,600.0000,510.0000,535.0000,316088300
2026-05-22,492.0000,520.0000,468.0000,515.0000,725206200
2026-05-25,500.0000,510.0000,464.0000,486.0000,496509700
2026-05-26,482.0000,595.0000,478.0000,505.0000,871026600
2026-05-27,505.0000,505.0000,505.0000,505.0000,0
2026-05-28,505.0000,505.0000,505.0000,505.0000,0
2026-05-29,630.0000,630.0000,625.0000,630.0000,1884779200
2026-06-02,750.0000,785.0000,715.0000,785.0000,515638400
2026-06-03,855.0000,855.0000,670.0000,725.0000,1397838200
2026-06-04,720.0000,770.0000,640.0000,725.0000,1011159000
2026-06-05,750.0000,765.0000,660.0000,675.0000,646650900
