tanggal,pembukaan,tertinggi,terendah,penutupan,volume
2026-01-02,690.0000,760.0000,690.0000,750.0000,1993908700
2026-01-05,760.0000,790.0000,735.0000,755.0000,2024925300
2026-01-06,760.0000,825.0000,725.0000,815.0000,2537576500
2026-01-07,830.0000,865.0000,790.0000,800.0000,1833637100
2026-01-08,800.0000,835.0000,785.0000,800.0000,745635400
2026-01-09,810.0000,830.0000,800.0000,810.0000,759304200
2026-01-12,825.0000,835.0000,695.0000,790.0000,2030891400
2026-01-13,780.0000,790.0000,705.0000,710.0000,1998906700
2026-01-14,730.0000,775.0000,725.0000,750.0000,1034701400
2026-01-15,755.0000,775.0000,725.0000,765.0000,809404900
2026-01-19,775.0000,775.0000,730.0000,755.0000,647145600
2026-01-20,790.0000,805.0000,760.0000,770.0000,1114679000
2026-01-21,765.0000,765.0000,720.0000,735.0000,741403500
2026-01-22,745.0000,750.0000,660.0000,665.0000,1303478900
2026-01-23,665.0000,695.0000,600.0000,685.0000,1580535300
2026-01-26,685.0000,720.0000,630.0000,630.0000,1470064700
2026-01-27,640.0000,680.0000,625.0000,670.0000,905348700
2026-01-28,570.0000,625.0000,570.0000,570.0000,1844800500
2026-01-29,510.0000,575.0000,486.0000,525.0000,3489631500
2026-01-30,535.0000,580.0000,505.0000,540.0000,1118050000
2026-02-02,540.0000,545.0000,460.0000,460.0000,1427327000
2026-02-03,438.0000,530.0000,400.0000,525.0000,2548714600
2026-02-04,505.0000,535.0000,492.0000,505.0000,929693300
2026-02-05,505.0000,525.0000,496.0000,500.0000,515434900
2026-02-06,480.0000,498.0000,462.0000,464.0000,645985500
2026-02-09,472.0000,510.0000,458.0000,500.0000,833371600
2026-02-10,490.0000,535.0000,488.0000,505.0000,1174521900
2026-02-11,510.0000,580.0000,505.0000,565.0000,1455028300
2026-02-12,575.0000,585.0000,555.0000,565.0000,805864200
2026-02-13,560.0000,625.0000,540.0000,620.0000,1359097400
2026-02-18,635.0000,655.0000,625.0000,630.0000,783832800
2026-02-19,635.0000,655.0000,630.0000,640.0000,590392700
2026-02-20,640.0000,645.0000,610.0000,615.0000,415335700
2026-02-23,630.0000,640.0000,610.0000,615.0000,361890500
2026-02-24,615.0000,630.0000,560.0000,560.0000,1070919200
2026-02-25,545.0000,585.0000,540.0000,555.0000,1002859600
2026-02-26,565.0000,570.0000,515.0000,525.0000,747575900
2026-02-27,520.0000,540.0000,500.0000,525.0000,960661700
2026-03-02,505.0000,540.0000,494.0000,500.0000,842103500
2026-03-03,515.0000,525.0000,494.0000,500.0000,422285500
2026-03-04,505.0000,505.0000,450.0000,466.0000,1035659600
2026-03-05,490.0000,494.0000,464.0000,468.0000,456001100
2026-03-06,464.0000,468.0000,432.0000,438.0000,557251700
2026-03-09,400.0000,426.0000,380.0000,410.0000,802704300
2026-03-10,438.0000,462.0000,426.0000,460.0000,666843500
2026-03-11,462.0000,464.0000,428.0000,428.0000,567213700
2026-03-12,424.0000,434.0000,406.0000,410.0000,433423400
2026-03-13,408.0000,416.0000,392.0000,396.0000,488103200
2026-03-16,396.0000,414.0000,372.0000,394.0000,456749600
2026-03-17,400.0000,410.0000,388.0000,394.0000,381102100
2026-03-25,400.0000,460.0000,394.0000,460.0000,938460600
2026-03-26,460.0000,474.0000,438.0000,440.0000,780498200
2026-03-27,450.0000,468.0000,440.0000,448.0000,1125633800
2026-03-30,444.0000,458.0000,432.0000,456.0000,622885400
2026-03-31,460.0000,464.0000,434.0000,436.0000,572446300
2026-04-01,452.0000,505.0000,448.0000,505.0000,1347419100
2026-04-02,486.0000,492.0000,468.0000,468.0000,931241800
2026-04-06,468.0000,505.0000,462.0000,484.0000,1368623500
2026-04-07,486.0000,494.0000,476.0000,476.0000,573757100
2026-04-08,510.0000,520.0000,496.0000,515.0000,1200197000
2026-04-09,505.0000,510.0000,496.0000,500.0000,651785400
2026-04-10,505.0000,535.0000,505.0000,515.0000,878531300
2026-04-13,500.0000,530.0000,500.0000,525.0000,749143500
2026-04-14,535.0000,580.0000,530.0000,580.0000,1429141100
2026-04-15,590.0000,595.0000,555.0000,555.0000,805275200
2026-04-16,565.0000,575.0000,545.0000,555.0000,412235800
2026-04-17,555.0000,575.0000,550.0000,550.0000,370423000
2026-04-20,555.0000,575.0000,545.0000,550.0000,482819100
2026-04-21,550.0000,565.0000,550.0000,560.0000,389718100
2026-04-22,560.0000,570.0000,550.0000,550.0000,337895400
2026-04-23,555.0000,555.0000,515.0000,515.0000,561316500
2026-04-24,520.0000,525.0000,484.0000,486.0000,823577700
2026-04-27,494.0000,510.0000,492.0000,500.0000,520339700
2026-04-28,505.0000,510.0000,492.0000,505.0000,333518200
2026-04-29,510.0000,510.0000,498.0000,500.0000,191102100
2026-04-30,498.0000,505.0000,468.0000,496.0000,739186500
2026-05-04,500.0000,515.0000,492.0000,494.0000,362815700
2026-05-05,494.0000,515.0000,488.0000,510.0000,407467600
2026-05-06,525.0000,535.0000,520.0000,520.0000,500418000
2026-05-07,525.0000,535.0000,515.0000,515.0000,383670500
2026-05-08,515.0000,515.0000,472.0000,474.0000,513066500
2026-05-11,476.0000,500.0000,456.0000,468.0000,446651500
2026-05-12,470.0000,476.0000,458.0000,474.0000,249168200
2026-05-13,472.0000,505.0000,466.0000,484.0000,428713700
2026-05-14,484.0000,484.0000,484.0000,484.0000,0
2026-05-15,484.0000,484.0000,484.0000,484.0000,0
2026-05-18,480.0000,482.0000,424.0000,440.0000,707271300
2026-05-19,448.0000,450.0000,374.0000,388.0000,1608515700
2026-05-20,370.0000,392.0000,352.0000,378.0000,1400274000
2026-05-21,390.0000,390.0000,324.0000,334.0000,1178095800
2026-05-22,326.0000,398.0000,320.0000,378.0000,1219258500
2026-05-25,380.0000,384.0000,350.0000,350.0000,649999200
2026-05-26,350.0000,368.0000,330.0000,330.0000,584878500
2026-05-27,330.0000,330.0000,330.0000,330.0000,0
2026-05-28,330.0000,330.0000,330.0000,330.0000,0
