tanggal,pembukaan,tertinggi,terendah,penutupan,volume
2026-01-02,1100.0000,1105.0000,1080.0000,1100.0000,60691000
2026-01-05,1105.0000,1115.0000,1060.0000,1075.0000,83847600
2026-01-06,1075.0000,1135.0000,1075.0000,1125.0000,131699800
2026-01-07,1150.0000,1210.0000,1135.0000,1160.0000,193106100
2026-01-08,1185.0000,1210.0000,1150.0000,1150.0000,106776200
2026-01-09,1165.0000,1185.0000,1135.0000,1140.0000,63809800
2026-01-12,1135.0000,1135.0000,1055.0000,1065.0000,122897200
2026-01-13,1070.0000,1095.0000,1015.0000,1015.0000,87268000
2026-01-14,1015.0000,1045.0000,1010.0000,1045.0000,74793300
2026-01-15,1050.0000,1075.0000,1035.0000,1050.0000,66492700
2026-01-19,1065.0000,1065.0000,1020.0000,1035.0000,65533600
2026-01-20,1040.0000,1075.0000,1035.0000,1040.0000,65348400
2026-01-21,1045.0000,1075.0000,1025.0000,1075.0000,67109600
2026-01-22,1085.0000,1100.0000,1045.0000,1045.0000,74163300
2026-01-23,1050.0000,1060.0000,1025.0000,1035.0000,42110600
2026-01-26,1040.0000,1055.0000,1005.0000,1010.0000,63680600
2026-01-27,1025.0000,1055.0000,1020.0000,1040.0000,41146300
2026-01-28,1020.0000,1020.0000,885.0000,885.0000,168469200
2026-01-29,845.0000,885.0000,755.0000,855.0000,206258500
2026-01-30,870.0000,975.0000,855.0000,975.0000,99785700
2026-02-02,950.0000,950.0000,830.0000,830.0000,91039700
2026-02-03,830.0000,880.0000,780.0000,875.0000,93792200
2026-02-04,875.0000,890.0000,855.0000,890.0000,48999000
2026-02-05,890.0000,930.0000,885.0000,910.0000,63190800
2026-02-06,880.0000,895.0000,850.0000,855.0000,49977800
2026-02-09,855.0000,880.0000,835.0000,855.0000,30037400
2026-02-10,855.0000,900.0000,855.0000,895.0000,43865000
2026-02-11,900.0000,925.0000,895.0000,925.0000,52533300
2026-02-12,925.0000,935.0000,905.0000,925.0000,51990400
2026-02-13,920.0000,940.0000,905.0000,925.0000,28178100
2026-02-18,930.0000,990.0000,920.0000,980.0000,100309500
2026-02-19,990.0000,1025.0000,985.0000,990.0000,69834300
2026-02-20,995.0000,1000.0000,960.0000,970.0000,26610700
2026-02-23,975.0000,990.0000,975.0000,990.0000,23526200
2026-02-24,990.0000,995.0000,920.0000,925.0000,57112500
2026-02-25,935.0000,945.0000,910.0000,920.0000,32681700
2026-02-26,920.0000,940.0000,885.0000,900.0000,38961600
2026-02-27,885.0000,905.0000,875.0000,890.0000,34062000
2026-03-02,865.0000,875.0000,830.0000,830.0000,53260200
2026-03-03,835.0000,850.0000,805.0000,820.0000,40628200
2026-03-04,805.0000,810.0000,760.0000,780.0000,52355100
2026-03-05,785.0000,805.0000,765.0000,770.0000,35804400
2026-03-06,765.0000,770.0000,725.0000,735.0000,35679800
2026-03-09,675.0000,735.0000,660.0000,705.0000,55740000
2026-03-10,720.0000,745.0000,710.0000,730.0000,23222100
2026-03-11,740.0000,760.0000,735.0000,745.0000,30529600
2026-03-12,745.0000,750.0000,715.0000,725.0000,16446400
2026-03-13,715.0000,725.0000,700.0000,705.0000,18472100
2026-03-16,705.0000,740.0000,680.0000,710.0000,25962600
2026-03-17,710.0000,795.0000,705.0000,795.0000,61158100
2026-03-25,795.0000,845.0000,780.0000,835.0000,52683800
2026-03-26,845.0000,890.0000,835.0000,845.0000,75576500
2026-03-27,855.0000,860.0000,815.0000,820.0000,25188500
2026-03-30,795.0000,820.0000,790.0000,800.0000,28969300
2026-03-31,800.0000,815.0000,760.0000,765.0000,41375300
2026-04-01,795.0000,795.0000,755.0000,760.0000,54917700
2026-04-02,760.0000,770.0000,730.0000,735.0000,31806100
2026-04-06,735.0000,750.0000,730.0000,740.0000,15219500
2026-04-07,740.0000,750.0000,715.0000,720.0000,23008400
2026-04-08,740.0000,790.0000,740.0000,785.0000,56758900
2026-04-09,785.0000,820.0000,770.0000,815.0000,51904700
2026-04-10,830.0000,880.0000,825.0000,875.0000,77098600
2026-04-13,875.0000,925.0000,875.0000,925.0000,124626200
2026-04-14,945.0000,950.0000,915.0000,920.0000,65493000
2026-04-15,925.0000,935.0000,910.0000,920.0000,30665000
2026-04-16,930.0000,960.0000,915.0000,955.0000,54282000
2026-04-17,965.0000,975.0000,940.0000,950.0000,57127600
2026-04-20,950.0000,955.0000,915.0000,915.0000,29920400
2026-04-21,915.0000,925.0000,905.0000,905.0000,24857700
2026-04-22,910.0000,930.0000,905.0000,905.0000,12755500
2026-04-23,910.0000,915.0000,865.0000,870.0000,25806700
2026-04-24,870.0000,890.0000,830.0000,850.0000,27961400
2026-04-27,850.0000,880.0000,830.0000,830.0000,27833500
2026-04-28,830.0000,850.0000,795.0000,825.0000,55908100
2026-04-29,825.0000,835.0000,815.0000,815.0000,10704900
2026-04-30,815.0000,825.0000,800.0000,825.0000,35379300
2026-05-04,820.0000,845.0000,815.0000,815.0000,30933000
2026-05-05,815.0000,820.0000,800.0000,815.0000,20998900
2026-05-06,820.0000,830.0000,805.0000,805.0000,21362600
2026-05-07,815.0000,825.0000,790.0000,815.0000,36043300
2026-05-08,805.0000,805.0000,760.0000,760.0000,46034200
2026-05-11,760.0000,760.0000,725.0000,735.0000,30463500
2026-05-12,735.0000,750.0000,710.0000,750.0000,18270600
2026-05-13,730.0000,750.0000,725.0000,730.0000,21387100
2026-05-14,730.0000,730.0000,730.0000,730.0000,0
2026-05-15,730.0000,730.0000,730.0000,730.0000,0
2026-05-18,725.0000,725.0000,680.0000,700.0000,31182300
2026-05-19,700.0000,760.0000,695.0000,705.0000,42338900
2026-05-20,705.0000,725.0000,685.0000,695.0000,30187100
2026-05-21,705.0000,715.0000,650.0000,670.0000,37299500
2026-05-22,670.0000,670.0000,625.0000,660.0000,21747000
2026-05-25,670.0000,675.0000,645.0000,650.0000,20493300
2026-05-26,650.0000,670.0000,645.0000,655.0000,17431200
2026-05-27,655.0000,655.0000,655.0000,655.0000,0
2026-05-28,655.0000,655.0000,655.0000,655.0000,0
2026-05-29,660.0000,665.0000,615.0000,615.0000,83031300
2026-06-02,620.0000,645.0000,605.0000,605.0000,30118600
2026-06-03,610.0000,615.0000,540.0000,565.0000,65370600
2026-06-04,550.0000,560.0000,510.0000,555.0000,74189600
2026-06-05,545.0000,555.0000,505.0000,520.0000,41726700
2026-06-08,510.0000,520.0000,482.0000,490.0000,60627200
2026-06-09,490.0000,540.0000,482.0000,535.0000,63739700
2026-06-10,530.0000,555.0000,515.0000,540.0000,72209800
2026-06-11,530.0000,550.0000,510.0000,525.0000,36381300
2026-06-12,530.0000,570.0000,530.0000,550.0000,34198900
2026-06-15,575.0000,615.0000,565.0000,590.0000,49066800
2026-06-17,600.0000,610.0000,555.0000,580.0000,32912000
2026-06-18,580.0000,585.0000,560.0000,570.0000,11175400
2026-06-19,570.0000,590.0000,550.0000,550.0000,213478300
2026-06-22,540.0000,565.0000,540.0000,550.0000,22638800
2026-06-23,550.0000,560.0000,535.0000,545.0000,27830700
2026-06-24,555.0000,605.0000,510.0000,520.0000,165271000
2026-06-25,520.0000,550.0000,515.0000,530.0000,76351200
2026-06-26,530.0000,530.0000,496.0000,505.0000,59199200
2026-06-29,505.0000,520.0000,500.0000,510.0000,22842000
2026-06-30,520.0000,520.0000,484.0000,486.0000,41669500
2026-07-01,484.0000,492.0000,476.0000,482.0000,36960100
2026-07-02,484.0000,520.0000,484.0000,515.0000,36435200
2026-07-03,520.0000,535.0000,515.0000,525.0000,21564800
2026-07-06,525.0000,530.0000,505.0000,515.0000,14475700
2026-07-07,520.0000,535.0000,515.0000,515.0000,24235600
2026-07-08,515.0000,520.0000,496.0000,496.0000,21221600
2026-07-09,496.0000,510.0000,492.0000,510.0000,14822200
2026-07-10,510.0000,520.0000,500.0000,505.0000,12979800
2026-07-13,505.0000,510.0000,500.0000,510.0000,21821000
2026-07-14,515.0000,535.0000,510.0000,520.0000,31348400
2026-07-15,520.0000,525.0000,510.0000,515.0000,23613300
2026-07-16,515.0000,535.0000,510.0000,530.0000,35118000
2026-07-17,525.0000,545.0000,520.0000,535.0000,42204000
2026-07-20,540.0000,550.0000,530.0000,540.0000,31837100
2026-07-21,540.0000,555.0000,535.0000,550.0000,50936000
2026-07-22,560.0000,565.0000,530.0000,540.0000,83587500
2026-07-23,540.0000,570.0000,530.0000,535.0000,89056900
2026-07-24,535.0000,535.0000,510.0000,515.0000,45654900
2026-07-27,515.0000,520.0000,500.0000,520.0000,37232000
2026-07-28,520.0000,530.0000,515.0000,515.0000,17189300
2026-07-29,520.0000,525.0000,494.0000,510.0000,36370600
2026-07-30,510.0000,525.0000,505.0000,525.0000,23173800
2026-07-31,530.0000,545.0000,525.0000,530.0000,23917700
2026-08-03,520.0000,525.0000,505.0000,520.0000,47286000
