tanggal,pembukaan,tertinggi,terendah,penutupan,volume
2026-01-02,412.0000,416.0000,408.0000,412.0000,25979100
2026-01-05,414.0000,420.0000,410.0000,412.0000,52488200
2026-01-06,414.0000,418.0000,412.0000,414.0000,28024500
2026-01-07,414.0000,416.0000,410.0000,410.0000,33324900
2026-01-08,410.0000,414.0000,406.0000,406.0000,42875000
2026-01-09,406.0000,412.0000,402.0000,404.0000,54012000
2026-01-12,406.0000,410.0000,402.0000,404.0000,55152800
2026-01-13,404.0000,406.0000,400.0000,402.0000,62362300
2026-01-14,402.0000,408.0000,402.0000,406.0000,28263100
2026-01-15,406.0000,410.0000,404.0000,406.0000,31366700
2026-01-19,406.0000,408.0000,402.0000,402.0000,24371500
2026-01-20,402.0000,408.0000,402.0000,404.0000,21921100
2026-01-21,406.0000,408.0000,402.0000,408.0000,37726500
2026-01-22,408.0000,414.0000,406.0000,408.0000,60705400
2026-01-23,414.0000,432.0000,410.0000,432.0000,173902000
2026-01-26,432.0000,436.0000,418.0000,428.0000,124671000
2026-01-27,426.0000,430.0000,418.0000,428.0000,58588200
2026-01-28,410.0000,420.0000,396.0000,404.0000,129575900
2026-01-29,402.0000,402.0000,350.0000,392.0000,138913600
2026-01-30,396.0000,406.0000,396.0000,396.0000,81676200
2026-02-02,402.0000,412.0000,384.0000,392.0000,96803900
2026-02-03,390.0000,404.0000,390.0000,400.0000,58709200
2026-02-04,402.0000,406.0000,398.0000,402.0000,45456900
2026-02-05,404.0000,424.0000,404.0000,418.0000,133085700
2026-02-06,410.0000,416.0000,404.0000,406.0000,51248900
2026-02-09,410.0000,412.0000,402.0000,404.0000,38979500
2026-02-10,406.0000,416.0000,404.0000,412.0000,54483100
2026-02-11,414.0000,424.0000,414.0000,422.0000,104604600
2026-02-12,422.0000,432.0000,420.0000,426.0000,83723900
2026-02-13,426.0000,446.0000,422.0000,438.0000,120684900
2026-02-18,442.0000,442.0000,426.0000,434.0000,51101200
2026-02-19,434.0000,440.0000,428.0000,432.0000,31762800
2026-02-20,432.0000,434.0000,426.0000,430.0000,20526300
2026-02-23,428.0000,432.0000,424.0000,428.0000,37854900
2026-02-24,426.0000,440.0000,424.0000,428.0000,127429600
2026-02-25,428.0000,436.0000,428.0000,432.0000,39573000
2026-02-26,434.0000,434.0000,424.0000,426.0000,58614500
2026-02-27,426.0000,440.0000,420.0000,440.0000,64103400
2026-03-02,428.0000,440.0000,422.0000,430.0000,90423200
2026-03-03,430.0000,442.0000,428.0000,432.0000,57091800
2026-03-04,430.0000,430.0000,404.0000,412.0000,108228200
2026-03-05,416.0000,428.0000,410.0000,410.0000,34771000
2026-03-06,406.0000,412.0000,396.0000,400.0000,55865900
2026-03-09,384.0000,390.0000,370.0000,382.0000,85964900
2026-03-10,388.0000,394.0000,382.0000,388.0000,37375300
2026-03-11,392.0000,396.0000,384.0000,388.0000,21624800
2026-03-12,382.0000,390.0000,382.0000,386.0000,14481200
2026-03-13,386.0000,386.0000,376.0000,378.0000,52431300
2026-03-16,378.0000,378.0000,366.0000,370.0000,26646000
2026-03-17,372.0000,380.0000,372.0000,372.0000,15142400
2026-03-25,370.0000,382.0000,370.0000,376.0000,26607400
2026-03-26,378.0000,386.0000,372.0000,374.0000,23338700
2026-03-27,374.0000,378.0000,370.0000,372.0000,37625800
2026-03-30,370.0000,384.0000,362.0000,382.0000,111398500
2026-03-31,384.0000,386.0000,372.0000,378.0000,56504100
2026-04-01,382.0000,384.0000,370.0000,374.0000,77324400
2026-04-02,374.0000,376.0000,358.0000,360.0000,100108000
2026-04-06,360.0000,366.0000,350.0000,360.0000,35476700
2026-04-07,364.0000,366.0000,358.0000,362.0000,11597500
2026-04-08,368.0000,382.0000,368.0000,374.0000,48132200
2026-04-09,376.0000,382.0000,374.0000,378.0000,29991600
2026-04-10,380.0000,390.0000,378.0000,388.0000,38055100
2026-04-13,382.0000,392.0000,380.0000,388.0000,37003400
2026-04-14,396.0000,408.0000,390.0000,400.0000,96155200
2026-04-15,402.0000,408.0000,400.0000,400.0000,27999200
2026-04-16,404.0000,408.0000,400.0000,400.0000,13326200
2026-04-17,402.0000,406.0000,400.0000,404.0000,30189400
2026-04-20,402.0000,408.0000,402.0000,404.0000,34031600
2026-04-21,404.0000,410.0000,404.0000,406.0000,26993900
2026-04-22,408.0000,412.0000,406.0000,408.0000,35149700
2026-04-23,410.0000,414.0000,400.0000,404.0000,49292000
2026-04-24,404.0000,410.0000,396.0000,404.0000,48918700
2026-04-27,404.0000,416.0000,404.0000,414.0000,56425100
2026-04-28,418.0000,418.0000,398.0000,416.0000,70524500
