tanggal,pembukaan,tertinggi,terendah,penutupan,volume
2026-01-02,605.0000,620.0000,605.0000,615.0000,14079300
2026-01-05,620.0000,635.0000,610.0000,620.0000,25455700
2026-01-06,625.0000,650.0000,615.0000,640.0000,57287700
2026-01-07,645.0000,655.0000,635.0000,635.0000,57552100
2026-01-08,640.0000,660.0000,615.0000,620.0000,42773800
2026-01-09,625.0000,630.0000,615.0000,620.0000,14637600
2026-01-12,625.0000,635.0000,615.0000,625.0000,32049100
2026-01-13,630.0000,680.0000,630.0000,670.0000,136529000
2026-01-14,680.0000,720.0000,665.0000,695.0000,188288700
2026-01-15,695.0000,700.0000,660.0000,660.0000,65321800
2026-01-19,660.0000,685.0000,645.0000,675.0000,64869500
2026-01-20,680.0000,685.0000,665.0000,665.0000,38407000
2026-01-21,685.0000,690.0000,640.0000,665.0000,52030500
2026-01-22,680.0000,695.0000,665.0000,670.0000,90077700
2026-01-23,680.0000,715.0000,655.0000,705.0000,129138600
2026-01-26,735.0000,755.0000,710.0000,730.0000,305074000
2026-01-27,725.0000,725.0000,680.0000,715.0000,139757400
2026-01-28,650.0000,700.0000,610.0000,645.0000,184297600
2026-01-29,645.0000,685.0000,550.0000,670.0000,201726600
2026-01-30,675.0000,705.0000,650.0000,655.0000,113170000
2026-02-02,645.0000,665.0000,575.0000,585.0000,117116700
2026-02-03,585.0000,610.0000,570.0000,610.0000,59973700
2026-02-04,615.0000,670.0000,605.0000,635.0000,59832700
2026-02-05,640.0000,660.0000,630.0000,630.0000,49869600
2026-02-06,610.0000,625.0000,600.0000,610.0000,42440300
2026-02-09,610.0000,625.0000,610.0000,615.0000,26382000
2026-02-10,610.0000,630.0000,610.0000,620.0000,26684200
2026-02-11,625.0000,630.0000,610.0000,615.0000,51606500
2026-02-12,620.0000,625.0000,610.0000,620.0000,22469900
2026-02-13,620.0000,620.0000,610.0000,610.0000,20581900
2026-02-18,610.0000,620.0000,610.0000,620.0000,17533000
2026-02-19,625.0000,650.0000,615.0000,630.0000,103239200
2026-02-20,635.0000,640.0000,620.0000,630.0000,33799700
2026-02-23,640.0000,685.0000,635.0000,660.0000,139341100
2026-02-24,660.0000,665.0000,630.0000,630.0000,76449000
2026-02-25,635.0000,645.0000,625.0000,630.0000,48377300
2026-02-26,635.0000,635.0000,605.0000,615.0000,66602300
2026-02-27,610.0000,645.0000,600.0000,645.0000,60970700
2026-03-02,660.0000,735.0000,660.0000,725.0000,605659400
2026-03-03,760.0000,810.0000,730.0000,750.0000,800083500
2026-03-04,760.0000,770.0000,700.0000,740.0000,287259500
2026-03-05,760.0000,795.0000,720.0000,785.0000,343843600
2026-03-06,765.0000,805.0000,750.0000,770.0000,297394400
2026-03-09,785.0000,810.0000,720.0000,755.0000,391903000
2026-03-10,730.0000,750.0000,700.0000,735.0000,197175700
2026-03-11,730.0000,750.0000,710.0000,720.0000,85712500
2026-03-12,730.0000,760.0000,720.0000,755.0000,118935900
2026-03-13,765.0000,765.0000,730.0000,735.0000,79279500
2026-03-16,735.0000,745.0000,705.0000,745.0000,76607400
2026-03-17,750.0000,760.0000,730.0000,740.0000,74529900
2026-03-25,745.0000,785.0000,740.0000,755.0000,125805100
2026-03-26,760.0000,775.0000,740.0000,750.0000,112322100
2026-03-27,750.0000,770.0000,735.0000,755.0000,100247100
2026-03-30,755.0000,770.0000,745.0000,760.0000,109260300
2026-03-31,765.0000,770.0000,710.0000,710.0000,179397800
2026-04-01,720.0000,725.0000,655.0000,670.0000,202901900
2026-04-02,680.0000,705.0000,670.0000,675.0000,89948600
2026-04-06,675.0000,685.0000,655.0000,665.0000,53182300
2026-04-07,665.0000,745.0000,660.0000,725.0000,138469300
2026-04-08,690.0000,730.0000,690.0000,720.0000,148527200
2026-04-09,730.0000,760.0000,725.0000,730.0000,113384700
2026-04-10,740.0000,745.0000,720.0000,730.0000,41942900
2026-04-13,740.0000,780.0000,730.0000,765.0000,126120500
2026-04-14,775.0000,840.0000,765.0000,830.0000,246762800
2026-04-15,835.0000,835.0000,780.0000,785.0000,181468100
2026-04-16,780.0000,790.0000,750.0000,760.0000,143299400
2026-04-17,760.0000,780.0000,755.0000,770.0000,50313100
2026-04-20,805.0000,810.0000,755.0000,770.0000,106488200
2026-04-21,775.0000,895.0000,770.0000,840.0000,460447600
2026-04-22,840.0000,885.0000,835.0000,860.0000,204440800
2026-04-23,860.0000,955.0000,860.0000,925.0000,387845000
2026-04-24,940.0000,985.0000,895.0000,945.0000,425686100
2026-04-27,985.0000,995.0000,920.0000,960.0000,201391400
2026-04-28,960.0000,975.0000,930.0000,960.0000,88497000
2026-04-29,960.0000,995.0000,945.0000,955.0000,94899900
2026-04-30,955.0000,960.0000,850.0000,870.0000,297584900
2026-05-04,870.0000,910.0000,855.0000,880.0000,120608500
2026-05-05,885.0000,895.0000,845.0000,850.0000,67772400
2026-05-06,855.0000,910.0000,835.0000,905.0000,190409100
2026-05-07,910.0000,915.0000,815.0000,825.0000,195844700
2026-05-08,805.0000,855.0000,805.0000,835.0000,173563500
2026-05-11,835.0000,845.0000,780.0000,805.0000,119718800
