tanggal,pembukaan,tertinggi,terendah,penutupan,volume
2026-01-02,3760.0000,3900.0000,3750.0000,3750.0000,10798500
2026-01-05,3770.0000,3870.0000,3760.0000,3820.0000,13583500
2026-01-06,3800.0000,3810.0000,3630.0000,3800.0000,28187200
2026-01-07,3800.0000,4130.0000,3760.0000,4000.0000,39205800
2026-01-08,4030.0000,4310.0000,3890.0000,4300.0000,39681000
2026-01-09,4250.0000,4300.0000,4060.0000,4260.0000,72161000
2026-01-12,4290.0000,4440.0000,3630.0000,4010.0000,51011800
2026-01-13,4010.0000,4060.0000,3880.0000,3910.0000,27044400
2026-01-14,3940.0000,4250.0000,3930.0000,4110.0000,26166100
2026-01-15,4170.0000,4170.0000,3990.0000,4010.0000,13266700
2026-01-19,3990.0000,4030.0000,3890.0000,3940.0000,16304200
2026-01-20,3940.0000,4270.0000,3900.0000,4270.0000,33650900
2026-01-21,4260.0000,4260.0000,4060.0000,4150.0000,18124300
2026-01-22,4190.0000,4440.0000,4170.0000,4310.0000,41320000
2026-01-23,4340.0000,4360.0000,4230.0000,4360.0000,24894900
2026-01-26,4320.0000,4550.0000,4300.0000,4360.0000,31067400
2026-01-27,4350.0000,4550.0000,4320.0000,4490.0000,22273300
2026-01-28,3820.0000,3920.0000,3820.0000,3820.0000,94714500
2026-01-29,3300.0000,3560.0000,3250.0000,3250.0000,296795800
2026-01-30,3400.0000,3440.0000,3210.0000,3300.0000,99260600
2026-02-02,3270.0000,3350.0000,2830.0000,2910.0000,103514500
2026-02-03,3110.0000,3210.0000,2950.0000,3130.0000,63196600
2026-02-04,3130.0000,3230.0000,3030.0000,3100.0000,52879100
2026-02-05,3110.0000,3120.0000,2920.0000,2920.0000,44540300
2026-02-06,2800.0000,2950.0000,2780.0000,2890.0000,30593300
2026-02-09,2930.0000,2990.0000,2860.0000,2930.0000,24893800
2026-02-10,2930.0000,2990.0000,2880.0000,2900.0000,29122400
2026-02-11,2860.0000,3020.0000,2860.0000,3010.0000,50191500
2026-02-12,3040.0000,3060.0000,2990.0000,3010.0000,22676100
2026-02-13,2990.0000,3000.0000,2840.0000,2850.0000,45312000
2026-02-18,2810.0000,2930.0000,2810.0000,2890.0000,23378300
2026-02-19,2900.0000,2970.0000,2830.0000,2860.0000,31891500
