tanggal,pembukaan,tertinggi,terendah,penutupan,volume
2026-01-02,64.0000,69.0000,63.0000,69.0000,7020202800
2026-01-05,69.0000,71.0000,67.0000,68.0000,8987343900
2026-01-06,68.0000,70.0000,67.0000,68.0000,3387609800
2026-01-07,68.0000,69.0000,66.0000,67.0000,4281637900
2026-01-08,67.0000,67.0000,65.0000,66.0000,2604022900
2026-01-09,66.0000,67.0000,65.0000,66.0000,3299187600
2026-01-12,67.0000,67.0000,65.0000,66.0000,3384389300
2026-01-13,66.0000,68.0000,65.0000,67.0000,3132891700
2026-01-14,68.0000,73.0000,68.0000,69.0000,18437372600
2026-01-15,69.0000,70.0000,67.0000,68.0000,5561512700
2026-01-19,67.0000,68.0000,65.0000,66.0000,7028239800
2026-01-20,66.0000,68.0000,65.0000,66.0000,5220116600
2026-01-21,65.0000,66.0000,64.0000,64.0000,7269276700
2026-01-22,64.0000,65.0000,61.0000,62.0000,8304665000
2026-01-23,62.0000,62.0000,58.0000,60.0000,8845549400
2026-01-26,60.0000,62.0000,59.0000,60.0000,4896210800
2026-01-27,60.0000,65.0000,58.0000,65.0000,12307760600
2026-01-28,62.0000,64.0000,58.0000,60.0000,10963550000
2026-01-29,60.0000,63.0000,55.0000,63.0000,15220468500
2026-01-30,63.0000,64.0000,62.0000,64.0000,4190742000
2026-02-02,64.0000,64.0000,60.0000,61.0000,4681091200
2026-02-03,61.0000,63.0000,61.0000,62.0000,2063709800
2026-02-04,62.0000,63.0000,61.0000,62.0000,2039789700
2026-02-05,62.0000,62.0000,60.0000,60.0000,2841007700
2026-02-06,60.0000,60.0000,58.0000,60.0000,2643183600
2026-02-09,60.0000,61.0000,59.0000,60.0000,1596488300
2026-02-10,60.0000,60.0000,58.0000,59.0000,4569551300
2026-02-11,60.0000,61.0000,59.0000,60.0000,3907787700
2026-02-12,60.0000,60.0000,59.0000,60.0000,1419829400
2026-02-13,60.0000,61.0000,59.0000,59.0000,4200024900
2026-02-18,59.0000,61.0000,58.0000,60.0000,4716637100
2026-02-19,60.0000,61.0000,59.0000,61.0000,2247439900
2026-02-20,61.0000,63.0000,61.0000,61.0000,5194005200
2026-02-23,62.0000,64.0000,61.0000,62.0000,5794546700
2026-02-24,63.0000,63.0000,60.0000,61.0000,3555906000
2026-02-25,61.0000,62.0000,60.0000,60.0000,1364624900
2026-02-26,60.0000,61.0000,60.0000,60.0000,2397940400
2026-02-27,60.0000,61.0000,59.0000,61.0000,5304076700
2026-03-02,59.0000,60.0000,58.0000,59.0000,3939486600
2026-03-03,59.0000,60.0000,58.0000,58.0000,2822721700
2026-03-04,58.0000,58.0000,56.0000,57.0000,5917788000
2026-03-05,57.0000,58.0000,56.0000,57.0000,1945848400
2026-03-06,58.0000,58.0000,55.0000,56.0000,4466807200
2026-03-09,55.0000,56.0000,53.0000,55.0000,6992951900
2026-03-10,55.0000,57.0000,55.0000,55.0000,3339213800
2026-03-11,56.0000,58.0000,55.0000,57.0000,2671797300
2026-03-12,57.0000,58.0000,55.0000,56.0000,3371578900
2026-03-13,55.0000,56.0000,53.0000,55.0000,3802932400
2026-03-16,54.0000,54.0000,51.0000,52.0000,6367062200
2026-03-17,52.0000,53.0000,51.0000,51.0000,4306491000
2026-03-25,50.0000,53.0000,50.0000,53.0000,9934206000
2026-03-26,53.0000,53.0000,51.0000,52.0000,4495899400
2026-03-27,51.0000,52.0000,51.0000,51.0000,2800261100
2026-03-30,51.0000,52.0000,50.0000,52.0000,3209633400
2026-03-31,51.0000,52.0000,51.0000,51.0000,1837937600
2026-04-01,52.0000,53.0000,51.0000,53.0000,3587278100
2026-04-02,52.0000,53.0000,52.0000,53.0000,1867843400
2026-04-06,53.0000,53.0000,51.0000,52.0000,3043071700
2026-04-07,52.0000,52.0000,51.0000,51.0000,2472398300
2026-04-08,52.0000,53.0000,51.0000,52.0000,5218807000
2026-04-09,52.0000,52.0000,51.0000,52.0000,1148415900
2026-04-10,52.0000,52.0000,51.0000,52.0000,3341817300
2026-04-13,52.0000,53.0000,51.0000,52.0000,4235010800
2026-04-14,52.0000,53.0000,52.0000,52.0000,1611484100
2026-04-15,53.0000,53.0000,52.0000,52.0000,2258999200
2026-04-16,52.0000,53.0000,51.0000,52.0000,1887231700
2026-04-17,52.0000,53.0000,52.0000,52.0000,1112749400
2026-04-20,52.0000,54.0000,52.0000,53.0000,5355375400
2026-04-21,54.0000,57.0000,53.0000,56.0000,5512536000
2026-04-22,56.0000,57.0000,55.0000,56.0000,3432657000
2026-04-23,57.0000,57.0000,53.0000,54.0000,3728384800
2026-04-24,54.0000,54.0000,52.0000,52.0000,3359907700
2026-04-27,53.0000,54.0000,52.0000,53.0000,2799103600
2026-04-28,53.0000,54.0000,53.0000,53.0000,1376193600
2026-04-29,56.0000,58.0000,55.0000,55.0000,7685000300
2026-04-30,56.0000,57.0000,53.0000,54.0000,9260650700
2026-05-04,50.0000,51.0000,50.0000,51.0000,26429459800
2026-05-05,51.0000,51.0000,50.0000,50.0000,8111357900
2026-05-06,51.0000,51.0000,50.0000,50.0000,4506998400
2026-05-07,50.0000,50.0000,50.0000,50.0000,2994335700
2026-05-08,50.0000,51.0000,50.0000,50.0000,5975129800
2026-05-11,50.0000,51.0000,50.0000,50.0000,1502970500
2026-05-12,50.0000,51.0000,50.0000,50.0000,1918457200
2026-05-13,50.0000,51.0000,50.0000,50.0000,993936500
2026-05-14,50.0000,50.0000,50.0000,50.0000,0
2026-05-15,50.0000,50.0000,50.0000,50.0000,0
2026-05-18,50.0000,50.0000,50.0000,50.0000,1000157300
2026-05-19,50.0000,50.0000,50.0000,50.0000,345814000
2026-05-20,50.0000,50.0000,50.0000,50.0000,331704400
2026-05-21,50.0000,50.0000,50.0000,50.0000,323289500
2026-05-22,50.0000,50.0000,50.0000,50.0000,207040600
2026-05-25,50.0000,50.0000,50.0000,50.0000,217192000
2026-05-26,50.0000,50.0000,50.0000,50.0000,333371800
2026-05-27,50.0000,50.0000,50.0000,50.0000,0
2026-05-28,50.0000,50.0000,50.0000,50.0000,0
2026-05-29,50.0000,50.0000,50.0000,50.0000,2653923000
2026-06-02,50.0000,50.0000,50.0000,50.0000,398734700
2026-06-03,50.0000,50.0000,50.0000,50.0000,206119300
2026-06-04,50.0000,50.0000,50.0000,50.0000,163038900
2026-06-05,50.0000,50.0000,50.0000,50.0000,135370000
2026-06-08,50.0000,50.0000,50.0000,50.0000,105056400
2026-06-09,50.0000,50.0000,50.0000,50.0000,560561200
2026-06-10,50.0000,50.0000,50.0000,50.0000,551225800
2026-06-11,50.0000,50.0000,50.0000,50.0000,139923300
2026-06-12,50.0000,50.0000,50.0000,50.0000,67675000
2026-06-15,50.0000,50.0000,50.0000,50.0000,201214700
2026-06-17,50.0000,50.0000,50.0000,50.0000,226317100
2026-06-18,50.0000,50.0000,50.0000,50.0000,854768600
2026-06-19,50.0000,50.0000,50.0000,50.0000,1265000600
2026-06-22,50.0000,50.0000,50.0000,50.0000,423123800
