tanggal,pembukaan,tertinggi,terendah,penutupan,volume
2026-01-02,2150.0000,2150.0000,2070.0000,2150.0000,32471300
2026-01-05,2240.0000,2430.0000,2220.0000,2270.0000,72124500
2026-01-06,2290.0000,2310.0000,2240.0000,2250.0000,26263900
2026-01-07,2270.0000,2310.0000,2220.0000,2220.0000,24679900
2026-01-08,2220.0000,2300.0000,2140.0000,2220.0000,19978200
2026-01-09,2210.0000,2440.0000,2210.0000,2380.0000,66361500
2026-01-12,2590.0000,2800.0000,2480.0000,2770.0000,111801000
2026-01-13,2770.0000,2770.0000,2500.0000,2580.0000,116111800
2026-01-14,2650.0000,2710.0000,2580.0000,2600.0000,63146000
2026-01-15,2550.0000,2620.0000,2490.0000,2520.0000,37128100
2026-01-19,2680.0000,2690.0000,2550.0000,2560.0000,26624200
2026-01-20,2540.0000,2650.0000,2500.0000,2620.0000,52296000
2026-01-21,2650.0000,2670.0000,2530.0000,2550.0000,68321600
2026-01-22,2500.0000,2510.0000,2320.0000,2320.0000,55017800
2026-01-23,2450.0000,2470.0000,2300.0000,2330.0000,33196400
2026-01-26,2450.0000,2540.0000,2400.0000,2440.0000,63439200
2026-01-27,2440.0000,2460.0000,2360.0000,2410.0000,17764000
2026-01-28,2430.0000,2480.0000,2240.0000,2400.0000,51083100
2026-01-29,2450.0000,2490.0000,2040.0000,2330.0000,61410300
2026-01-30,2300.0000,2360.0000,2230.0000,2230.0000,25092200
2026-02-02,2000.0000,2050.0000,1900.0000,1900.0000,43096100
2026-02-03,1950.0000,2180.0000,1885.0000,2160.0000,65299200
2026-02-04,2200.0000,2310.0000,2130.0000,2260.0000,54084000
2026-02-05,2230.0000,2240.0000,2090.0000,2120.0000,36270900
2026-02-06,1965.0000,2300.0000,1960.0000,2260.0000,73806100
2026-02-09,2350.0000,2350.0000,2220.0000,2250.0000,37275500
2026-02-10,2250.0000,2510.0000,2250.0000,2500.0000,67194100
2026-02-11,2500.0000,2570.0000,2450.0000,2530.0000,31575900
2026-02-12,2540.0000,2660.0000,2480.0000,2650.0000,36848900
2026-02-13,2600.0000,2610.0000,2550.0000,2580.0000,17904000
2026-02-18,2550.0000,2610.0000,2500.0000,2600.0000,23526700
2026-02-19,2650.0000,2740.0000,2620.0000,2700.0000,47772600
2026-02-20,2720.0000,2820.0000,2680.0000,2750.0000,37844900
2026-02-23,2810.0000,2940.0000,2800.0000,2850.0000,39449700
2026-02-24,2850.0000,2900.0000,2780.0000,2830.0000,31447200
2026-02-25,2810.0000,3000.0000,2770.0000,2980.0000,29210600
2026-02-26,3000.0000,3220.0000,2900.0000,3200.0000,54148100
2026-02-27,3110.0000,3290.0000,3110.0000,3240.0000,39024000
2026-03-02,3300.0000,3440.0000,3170.0000,3250.0000,54563600
2026-03-03,3200.0000,3210.0000,3050.0000,3090.0000,35041400
2026-03-04,2960.0000,3030.0000,2840.0000,3000.0000,42088000
2026-03-05,3050.0000,3240.0000,2900.0000,2950.0000,57756700
2026-03-06,2880.0000,2900.0000,2700.0000,2760.0000,35572800
2026-03-09,2580.0000,2720.0000,2380.0000,2600.0000,27676700
2026-03-10,2680.0000,2730.0000,2580.0000,2700.0000,32243200
2026-03-11,2750.0000,2760.0000,2670.0000,2680.0000,16314500
2026-03-12,2660.0000,2670.0000,2540.0000,2630.0000,10215900
2026-03-13,2580.0000,2650.0000,2470.0000,2490.0000,20066400
2026-03-16,2450.0000,2640.0000,2410.0000,2600.0000,13930200
2026-03-17,2620.0000,2640.0000,2440.0000,2510.0000,26815500
2026-03-25,2300.0000,2470.0000,2260.0000,2440.0000,28619100
2026-03-26,2450.0000,2450.0000,2330.0000,2350.0000,9285200
2026-03-27,2350.0000,2450.0000,2330.0000,2390.0000,19087200
2026-03-30,2380.0000,2380.0000,2190.0000,2200.0000,31494800
2026-03-31,2250.0000,2260.0000,2110.0000,2180.0000,30203800
2026-04-01,2270.0000,2550.0000,2260.0000,2540.0000,39127400
2026-04-02,2540.0000,2540.0000,2330.0000,2340.0000,16284100
2026-04-06,2330.0000,2430.0000,2240.0000,2430.0000,11039100
2026-04-07,2390.0000,2420.0000,2320.0000,2420.0000,10141900
2026-04-08,2540.0000,2610.0000,2530.0000,2570.0000,26908900
2026-04-09,2520.0000,2660.0000,2460.0000,2590.0000,16118700
2026-04-10,2590.0000,2640.0000,2510.0000,2530.0000,12487300
2026-04-13,2500.0000,2540.0000,2450.0000,2480.0000,9735200
