tanggal,pembukaan,tertinggi,terendah,penutupan,volume
2026-01-02,5300.0000,5475.0000,5200.0000,5300.0000,26022500
2026-01-05,5250.0000,5675.0000,5125.0000,5600.0000,47695700
2026-01-06,5650.0000,5850.0000,5500.0000,5625.0000,44402700
2026-01-07,6000.0000,6500.0000,6000.0000,6325.0000,82907600
2026-01-08,6125.0000,6175.0000,5825.0000,6000.0000,53433900
2026-01-09,5950.0000,6350.0000,5800.0000,6300.0000,35534300
2026-01-12,6475.0000,6600.0000,6100.0000,6400.0000,45755200
2026-01-13,6400.0000,6900.0000,6350.0000,6575.0000,70320900
2026-01-14,6750.0000,6950.0000,6050.0000,6400.0000,80337800
2026-01-15,6700.0000,6775.0000,6175.0000,6350.0000,82102000
2026-01-19,6350.0000,6400.0000,6125.0000,6400.0000,44576800
2026-01-20,6400.0000,6425.0000,6125.0000,6225.0000,40803300
2026-01-21,6100.0000,6450.0000,6100.0000,6450.0000,38273300
2026-01-22,6450.0000,6575.0000,6350.0000,6525.0000,38082700
2026-01-23,6575.0000,6800.0000,6325.0000,6775.0000,38367300
2026-01-26,6900.0000,7225.0000,6725.0000,6825.0000,75502400
2026-01-27,6850.0000,6900.0000,6625.0000,6800.0000,26076100
2026-01-28,6600.0000,6725.0000,6100.0000,6375.0000,40088600
2026-01-29,6175.0000,6500.0000,5500.0000,6100.0000,74706800
2026-01-30,6100.0000,6475.0000,6100.0000,6450.0000,31034000
2026-02-02,6300.0000,6300.0000,5500.0000,5925.0000,50127800
2026-02-03,6200.0000,6250.0000,5725.0000,6200.0000,21684200
2026-02-04,6250.0000,6775.0000,6225.0000,6600.0000,33174100
2026-02-05,6650.0000,6700.0000,6300.0000,6300.0000,22258900
2026-02-06,5950.0000,6125.0000,5875.0000,6100.0000,20740200
2026-02-09,6200.0000,6300.0000,6100.0000,6275.0000,10233500
2026-02-10,6275.0000,6575.0000,6250.0000,6350.0000,17552100
2026-02-11,6450.0000,6875.0000,6450.0000,6850.0000,29182600
2026-02-12,6950.0000,7325.0000,6950.0000,7100.0000,45302700
2026-02-13,7000.0000,7050.0000,6800.0000,6975.0000,27254200
2026-02-18,7000.0000,7025.0000,6825.0000,6850.0000,18315100
2026-02-19,6950.0000,7100.0000,6850.0000,6850.0000,20900200
2026-02-20,6900.0000,7000.0000,6775.0000,6900.0000,9865100
2026-02-23,7000.0000,7200.0000,6950.0000,7100.0000,23934100
2026-02-24,7100.0000,7175.0000,6950.0000,7000.0000,14668700
2026-02-25,7150.0000,7500.0000,7150.0000,7350.0000,35312300
2026-02-26,7350.0000,7375.0000,7000.0000,7100.0000,23279500
2026-02-27,7025.0000,7900.0000,7025.0000,7900.0000,47589200
2026-03-02,7775.0000,7775.0000,7325.0000,7325.0000,29078800
2026-03-03,7325.0000,7550.0000,6475.0000,7200.0000,77438800
2026-03-04,7000.0000,7000.0000,6475.0000,6475.0000,39300600
2026-03-05,6700.0000,6850.0000,6275.0000,6325.0000,30118600
2026-03-06,6300.0000,6575.0000,6125.0000,6200.0000,21177700
2026-03-09,5825.0000,6300.0000,5525.0000,6075.0000,38132500
2026-03-10,6300.0000,6550.0000,6025.0000,6325.0000,24351600
2026-03-11,6350.0000,6500.0000,5900.0000,6425.0000,39670200
2026-03-12,6300.0000,6300.0000,6000.0000,6025.0000,18601400
2026-03-13,6025.0000,6075.0000,5600.0000,5650.0000,14767300
2026-03-16,5550.0000,5550.0000,5275.0000,5350.0000,14764300
2026-03-17,5350.0000,5650.0000,5350.0000,5575.0000,17793700
2026-03-25,5575.0000,5800.0000,5375.0000,5725.0000,17733800
2026-03-26,5650.0000,5700.0000,5425.0000,5600.0000,29117700
2026-03-27,5600.0000,5650.0000,5300.0000,5350.0000,10213400
2026-03-30,5300.0000,5300.0000,5050.0000,5100.0000,19311900
2026-03-31,5100.0000,5550.0000,5100.0000,5350.0000,31438200
2026-04-01,5650.0000,5900.0000,5550.0000,5750.0000,25239700
2026-04-02,5725.0000,5750.0000,5450.0000,5500.0000,11545400
2026-04-06,5475.0000,5700.0000,5450.0000,5675.0000,7105000
2026-04-07,5725.0000,5850.0000,5475.0000,5725.0000,15634900
2026-04-08,5950.0000,6400.0000,5900.0000,6200.0000,30766900
2026-04-09,6175.0000,6175.0000,5925.0000,6100.0000,19202100
2026-04-10,6200.0000,6275.0000,6125.0000,6150.0000,11397400
2026-04-13,6000.0000,6225.0000,5950.0000,6150.0000,16447500
2026-04-14,6300.0000,6575.0000,6200.0000,6425.0000,28370600
2026-04-15,6675.0000,6850.0000,6500.0000,6800.0000,26907800
2026-04-16,6875.0000,6925.0000,6600.0000,6775.0000,15621800
2026-04-17,6800.0000,6900.0000,6650.0000,6900.0000,16734900
2026-04-20,6775.0000,6950.0000,6700.0000,6800.0000,12552700
2026-04-21,6875.0000,6925.0000,6775.0000,6925.0000,7459500
2026-04-22,6925.0000,6950.0000,6825.0000,6875.0000,13758400
2026-04-23,6900.0000,6950.0000,6650.0000,6700.0000,13796900
2026-04-24,6775.0000,6850.0000,6650.0000,6700.0000,20275200
2026-04-27,6900.0000,7200.0000,6800.0000,6850.0000,22747600
2026-04-28,6875.0000,6950.0000,6775.0000,6800.0000,19233500
2026-04-29,6900.0000,7000.0000,6800.0000,6825.0000,6965200
2026-04-30,6900.0000,7000.0000,6725.0000,6850.0000,14325200
2026-05-04,6975.0000,6975.0000,6800.0000,6875.0000,6935000
2026-05-05,6850.0000,6875.0000,5925.0000,5975.0000,41292000
2026-05-06,6000.0000,6175.0000,5925.0000,6125.0000,18459900
2026-05-07,6200.0000,6400.0000,6100.0000,6300.0000,23450600
2026-05-08,6300.0000,6325.0000,5400.0000,5425.0000,35789300
2026-05-11,5500.0000,6150.0000,5375.0000,6025.0000,44066800
2026-05-12,6025.0000,6125.0000,5775.0000,6075.0000,17911000
2026-05-13,6025.0000,6050.0000,5850.0000,5875.0000,13913000
2026-05-14,5875.0000,5875.0000,5875.0000,5875.0000,0
2026-05-15,5875.0000,5875.0000,5875.0000,5875.0000,0
2026-05-18,5700.0000,5700.0000,5075.0000,5350.0000,39181800
2026-05-19,5350.0000,5400.0000,4620.0000,4950.0000,71095800
2026-05-20,4950.0000,5125.0000,4690.0000,4830.0000,49364400
2026-05-21,4990.0000,5000.0000,4460.0000,4670.0000,38577100
2026-05-22,4660.0000,5550.0000,4560.0000,5550.0000,68823000
2026-05-25,5550.0000,5675.0000,5450.0000,5475.0000,24726100
2026-05-26,5450.0000,5450.0000,4800.0000,4890.0000,29821500
2026-05-27,4890.0000,4890.0000,4890.0000,4890.0000,0
2026-05-28,4890.0000,4890.0000,4890.0000,4890.0000,0
2026-05-29,4630.0000,4860.0000,4520.0000,4730.0000,64346100
2026-06-02,4750.0000,4840.0000,4580.0000,4730.0000,20402000
2026-06-03,4750.0000,4760.0000,4120.0000,4320.0000,41882600
2026-06-04,4320.0000,4420.0000,3960.0000,4390.0000,27343000
2026-06-05,4650.0000,4830.0000,4430.0000,4570.0000,38589600
2026-06-08,4300.0000,4610.0000,4090.0000,4240.0000,28829500
2026-06-09,4240.0000,4810.0000,4160.0000,4710.0000,37430700
2026-06-10,4710.0000,4860.0000,4530.0000,4550.0000,27708400
2026-06-11,4520.0000,4540.0000,4240.0000,4270.0000,19740700
2026-06-12,4370.0000,4900.0000,4370.0000,4710.0000,29480800
2026-06-15,4900.0000,5475.0000,4840.0000,5075.0000,41972300
2026-06-17,5100.0000,5325.0000,4960.0000,4990.0000,11675000
2026-06-18,5025.0000,5200.0000,4910.0000,5125.0000,10189800
2026-06-19,5175.0000,5200.0000,4990.0000,5075.0000,9273300
2026-06-22,5350.0000,5350.0000,5125.0000,5175.0000,17085200
2026-06-23,5175.0000,5250.0000,4910.0000,4960.0000,9847000
2026-06-24,4980.0000,4990.0000,4590.0000,4590.0000,18753600
2026-06-25,4540.0000,4610.0000,4460.0000,4530.0000,21915900
2026-06-26,4520.0000,4560.0000,4330.0000,4450.0000,10268200
2026-06-29,4430.0000,4490.0000,4330.0000,4400.0000,6526600
2026-06-30,4370.0000,4370.0000,4120.0000,4120.0000,17645700
2026-07-01,4190.0000,4450.0000,4170.0000,4330.0000,16524900
2026-07-02,4330.0000,4430.0000,4280.0000,4340.0000,10993500
2026-07-03,4410.0000,4740.0000,4410.0000,4580.0000,20347400
2026-07-06,4600.0000,4650.0000,4540.0000,4580.0000,8396800
2026-07-07,4600.0000,4630.0000,4500.0000,4620.0000,5154700
2026-07-08,4590.0000,4620.0000,4500.0000,4510.0000,7577500
2026-07-09,4510.0000,4610.0000,4460.0000,4600.0000,7979100
2026-07-10,4620.0000,4750.0000,4620.0000,4690.0000,9207500
2026-07-13,4720.0000,4740.0000,4600.0000,4740.0000,5186000
2026-07-14,4750.0000,5100.0000,4750.0000,4930.0000,17448000
2026-07-15,4970.0000,4990.0000,4840.0000,4930.0000,9149000
2026-07-16,4930.0000,5125.0000,4880.0000,4960.0000,10728300
2026-07-17,4950.0000,4950.0000,4870.0000,4910.0000,9152000
2026-07-20,4900.0000,5000.0000,4900.0000,4920.0000,9256800
