tanggal,pembukaan,tertinggi,terendah,penutupan,volume
2026-01-02,6775.0000,6800.0000,6650.0000,6675.0000,7568100
2026-01-05,6675.0000,6850.0000,6625.0000,6850.0000,9359300
2026-01-06,6850.0000,7000.0000,6825.0000,7000.0000,12215300
2026-01-07,7000.0000,7000.0000,6700.0000,6725.0000,16067800
2026-01-08,6750.0000,6775.0000,6625.0000,6625.0000,25370300
2026-01-09,6625.0000,6700.0000,6575.0000,6600.0000,13134000
2026-01-12,6600.0000,6675.0000,6575.0000,6600.0000,11215000
2026-01-13,6600.0000,6700.0000,6600.0000,6700.0000,7063700
2026-01-14,6700.0000,6750.0000,6650.0000,6725.0000,9495000
2026-01-15,6700.0000,6800.0000,6700.0000,6750.0000,6184100
2026-01-19,6750.0000,6825.0000,6725.0000,6825.0000,10624000
2026-01-20,6775.0000,6825.0000,6700.0000,6700.0000,12443600
2026-01-21,6700.0000,6750.0000,6600.0000,6700.0000,11404500
2026-01-22,6700.0000,6800.0000,6700.0000,6750.0000,8856900
2026-01-23,6800.0000,6825.0000,6725.0000,6825.0000,7862000
2026-01-26,6825.0000,6825.0000,6750.0000,6800.0000,9878400
2026-01-27,6800.0000,6800.0000,6700.0000,6700.0000,17356900
2026-01-28,6750.0000,6850.0000,6625.0000,6850.0000,29694200
2026-01-29,6800.0000,6850.0000,6200.0000,6775.0000,38464300
2026-01-30,6775.0000,6850.0000,6750.0000,6800.0000,15374100
2026-02-02,6825.0000,7025.0000,6725.0000,7025.0000,17102800
2026-02-03,7025.0000,7275.0000,6950.0000,7200.0000,18698500
2026-02-04,7175.0000,7200.0000,7000.0000,7050.0000,13541400
2026-02-05,7050.0000,7150.0000,7000.0000,7000.0000,10782800
2026-02-06,6975.0000,7000.0000,6850.0000,6850.0000,10579300
2026-02-09,6900.0000,6900.0000,6800.0000,6825.0000,8702900
2026-02-10,6875.0000,7000.0000,6825.0000,6900.0000,8380100
2026-02-11,6700.0000,6800.0000,6700.0000,6700.0000,44043400
2026-02-12,6725.0000,6800.0000,6700.0000,6775.0000,13363300
2026-02-13,6750.0000,6775.0000,6675.0000,6675.0000,13926900
2026-02-18,6700.0000,6775.0000,6675.0000,6750.0000,7616100
2026-02-19,6750.0000,6825.0000,6725.0000,6725.0000,11967400
2026-02-20,6700.0000,6750.0000,6650.0000,6650.0000,14729900
2026-02-23,6650.0000,6700.0000,6650.0000,6650.0000,18992200
2026-02-24,6675.0000,6700.0000,6600.0000,6600.0000,26059800
2026-02-25,6550.0000,6675.0000,6550.0000,6575.0000,25622600
2026-02-26,6600.0000,6725.0000,6575.0000,6725.0000,24736800
2026-02-27,6600.0000,6700.0000,6450.0000,6450.0000,290204300
2026-03-02,6400.0000,6525.0000,6350.0000,6400.0000,44951600
2026-03-03,6450.0000,6500.0000,6375.0000,6400.0000,18791500
2026-03-04,6400.0000,6425.0000,6125.0000,6125.0000,43486700
2026-03-05,6200.0000,6300.0000,6125.0000,6225.0000,17643600
2026-03-06,6300.0000,6350.0000,6200.0000,6275.0000,25222700
2026-03-09,6125.0000,6150.0000,6025.0000,6050.0000,18757800
2026-03-10,6200.0000,6200.0000,5975.0000,6000.0000,24380900
2026-03-11,6050.0000,6100.0000,6000.0000,6025.0000,10903300
2026-03-12,6050.0000,6050.0000,5925.0000,6050.0000,21623200
2026-03-13,6050.0000,6075.0000,5900.0000,5900.0000,12186300
2026-03-16,5975.0000,6050.0000,5900.0000,5975.0000,15644300
2026-03-17,6000.0000,6025.0000,5950.0000,5975.0000,11855500
2026-03-25,6050.0000,6075.0000,5900.0000,6025.0000,36909800
2026-03-26,6050.0000,6150.0000,6025.0000,6075.0000,11366700
2026-03-27,6075.0000,6100.0000,5975.0000,5975.0000,9763500
2026-03-30,5925.0000,6000.0000,5900.0000,5950.0000,10150600
2026-03-31,6075.0000,6400.0000,6075.0000,6350.0000,34136900
2026-04-01,6375.0000,6575.0000,6275.0000,6575.0000,20919900
2026-04-02,6575.0000,6625.0000,6525.0000,6625.0000,17333500
2026-04-06,6600.0000,6650.0000,6500.0000,6575.0000,11555400
2026-04-07,6600.0000,6650.0000,6525.0000,6575.0000,11285700
2026-04-08,6625.0000,6700.0000,6600.0000,6650.0000,12894700
2026-04-09,6650.0000,6675.0000,6575.0000,6600.0000,17733300
2026-04-10,6625.0000,6700.0000,6600.0000,6700.0000,11637300
2026-04-13,6700.0000,6750.0000,6625.0000,6750.0000,11177700
2026-04-14,6750.0000,6850.0000,6725.0000,6825.0000,11118600
2026-04-15,6850.0000,6900.0000,6800.0000,6825.0000,12647200
2026-04-16,6900.0000,7000.0000,6875.0000,6975.0000,13791900
2026-04-17,6975.0000,7000.0000,6925.0000,6975.0000,8501300
2026-04-20,6975.0000,6975.0000,6900.0000,6925.0000,7789700
2026-04-21,6925.0000,7000.0000,6875.0000,7000.0000,8007700
2026-04-22,7000.0000,7025.0000,6950.0000,7025.0000,8697100
2026-04-23,7025.0000,7050.0000,6950.0000,6975.0000,9401600
2026-04-24,7000.0000,7000.0000,6825.0000,6900.0000,9547700
2026-04-27,6900.0000,6925.0000,6825.0000,6900.0000,4716400
2026-04-28,6900.0000,6925.0000,6750.0000,6825.0000,12570200
2026-04-29,6850.0000,6975.0000,6825.0000,6850.0000,5758000
2026-04-30,6900.0000,6975.0000,6750.0000,6750.0000,12872200
2026-05-04,6825.0000,7025.0000,6825.0000,6950.0000,11508000
2026-05-05,7000.0000,7000.0000,6950.0000,6950.0000,6591100
2026-05-06,6950.0000,7050.0000,6925.0000,7050.0000,8219400
2026-05-07,7050.0000,7175.0000,7000.0000,7125.0000,11398100
2026-05-08,7125.0000,7150.0000,6875.0000,6975.0000,6743500
2026-05-11,6950.0000,7000.0000,6800.0000,6925.0000,8963200
2026-05-12,6950.0000,6975.0000,6900.0000,6975.0000,5254700
2026-05-13,6975.0000,6975.0000,6775.0000,6825.0000,7820400
2026-05-14,6825.0000,6825.0000,6825.0000,6825.0000,0
2026-05-15,6825.0000,6825.0000,6825.0000,6825.0000,0
2026-05-18,6800.0000,6825.0000,6675.0000,6725.0000,9733400
2026-05-19,6750.0000,6750.0000,6600.0000,6650.0000,6597300
2026-05-20,6650.0000,6750.0000,6525.0000,6600.0000,11119500
2026-05-21,6600.0000,6825.0000,6600.0000,6750.0000,11456400
2026-05-22,6750.0000,6750.0000,6575.0000,6725.0000,2979100
2026-05-25,6700.0000,6975.0000,6700.0000,6950.0000,8238700
2026-05-26,6950.0000,6950.0000,6775.0000,6825.0000,13244900
2026-05-27,6825.0000,6825.0000,6825.0000,6825.0000,0
2026-05-28,6825.0000,6825.0000,6825.0000,6825.0000,0
2026-05-29,6825.0000,7050.0000,6750.0000,6925.0000,37316900
