tanggal,pembukaan,tertinggi,terendah,penutupan,volume
2026-01-02,2240.0000,2280.0000,2180.0000,2260.0000,21431600
2026-01-05,2290.0000,2310.0000,2190.0000,2240.0000,44920000
2026-01-06,2260.0000,2370.0000,2190.0000,2350.0000,56220600
2026-01-07,2380.0000,2600.0000,2340.0000,2550.0000,106742600
2026-01-08,2590.0000,2600.0000,2450.0000,2500.0000,42560000
2026-01-09,2510.0000,2930.0000,2510.0000,2880.0000,95610300
2026-01-12,3050.0000,3320.0000,2830.0000,3240.0000,119576100
2026-01-13,3330.0000,3330.0000,3090.0000,3260.0000,39560200
2026-01-14,3280.0000,3380.0000,3200.0000,3280.0000,55343100
2026-01-15,3280.0000,3450.0000,3230.0000,3450.0000,60314600
2026-01-19,3510.0000,3630.0000,3420.0000,3600.0000,81933200
2026-01-20,3570.0000,3670.0000,3450.0000,3670.0000,53407100
2026-01-21,3630.0000,3680.0000,3500.0000,3600.0000,59667300
2026-01-22,3600.0000,3840.0000,3540.0000,3700.0000,67976300
2026-01-23,3700.0000,3730.0000,3520.0000,3700.0000,30224700
2026-01-26,3760.0000,3760.0000,3620.0000,3760.0000,49515100
2026-01-27,3740.0000,3740.0000,3260.0000,3310.0000,79698100
2026-01-28,2870.0000,3430.0000,2870.0000,3350.0000,77204100
2026-01-29,3410.0000,3460.0000,2900.0000,3410.0000,80637100
2026-01-30,3440.0000,3490.0000,3210.0000,3240.0000,33442200
2026-02-02,3100.0000,3150.0000,2770.0000,2820.0000,61512000
2026-02-03,2950.0000,3140.0000,2780.0000,3130.0000,41791400
2026-02-04,3200.0000,3360.0000,3170.0000,3350.0000,29100800
2026-02-05,3320.0000,3470.0000,3270.0000,3340.0000,33937000
2026-02-06,3180.0000,3390.0000,3150.0000,3320.0000,26256300
2026-02-09,3370.0000,3430.0000,3310.0000,3380.0000,24914300
2026-02-10,3390.0000,3820.0000,3390.0000,3670.0000,56542800
2026-02-11,3720.0000,3800.0000,3540.0000,3640.0000,40626500
2026-02-12,3670.0000,3750.0000,3580.0000,3590.0000,19657800
2026-02-13,3610.0000,3660.0000,3540.0000,3560.0000,12788800
2026-02-18,3550.0000,3860.0000,3510.0000,3800.0000,39248600
2026-02-19,3880.0000,3950.0000,3800.0000,3870.0000,25806400
2026-02-20,3880.0000,3910.0000,3700.0000,3720.0000,15629300
2026-02-23,3780.0000,3850.0000,3730.0000,3750.0000,27277900
2026-02-24,3810.0000,3890.0000,3660.0000,3670.0000,35409200
2026-02-25,3710.0000,3810.0000,3630.0000,3700.0000,20462600
2026-02-26,3720.0000,3730.0000,3380.0000,3520.0000,55182000
2026-02-27,3430.0000,3710.0000,3320.0000,3670.0000,23141200
2026-03-02,3780.0000,4290.0000,3690.0000,4240.0000,96282000
2026-03-03,4340.0000,4370.0000,3860.0000,3990.0000,72480600
2026-03-04,3940.0000,3970.0000,3600.0000,3900.0000,60208900
2026-03-05,3920.0000,3990.0000,3820.0000,3920.0000,22839800
2026-03-06,3900.0000,4000.0000,3620.0000,3750.0000,41217600
2026-03-09,3510.0000,3710.0000,3360.0000,3690.0000,20218800
2026-03-10,3760.0000,4070.0000,3650.0000,4000.0000,27149700
2026-03-11,3900.0000,3990.0000,3690.0000,3690.0000,36157400
2026-03-12,3690.0000,3800.0000,3610.0000,3610.0000,12436100
2026-03-13,3590.0000,3630.0000,3450.0000,3620.0000,18690300
2026-03-16,3640.0000,3650.0000,3400.0000,3400.0000,14668100
2026-03-17,3400.0000,3620.0000,3400.0000,3530.0000,15322000
2026-03-25,3480.0000,3670.0000,3310.0000,3370.0000,28073300
2026-03-26,3390.0000,3420.0000,3150.0000,3170.0000,19911100
2026-03-27,3150.0000,3240.0000,3050.0000,3170.0000,20394700
2026-03-30,3160.0000,3280.0000,3060.0000,3280.0000,20160900
2026-03-31,3300.0000,3310.0000,3170.0000,3170.0000,11418000
2026-04-01,3250.0000,3370.0000,3220.0000,3330.0000,17729000
2026-04-02,3280.0000,3500.0000,3260.0000,3410.0000,15707200
2026-04-06,3430.0000,3520.0000,3350.0000,3470.0000,9488000
2026-04-07,3510.0000,3760.0000,3510.0000,3650.0000,20466100
2026-04-08,3670.0000,3740.0000,3620.0000,3650.0000,18337400
2026-04-09,3680.0000,3820.0000,3640.0000,3650.0000,17072400
2026-04-10,3750.0000,3750.0000,3570.0000,3700.0000,12487400
2026-04-13,3710.0000,3790.0000,3630.0000,3790.0000,14790600
2026-04-14,3790.0000,3790.0000,3660.0000,3680.0000,21192900
2026-04-15,3680.0000,3730.0000,3490.0000,3540.0000,30061000
2026-04-16,3540.0000,3600.0000,3520.0000,3530.0000,10414200
2026-04-17,3530.0000,3580.0000,3470.0000,3500.0000,7215700
2026-04-20,3530.0000,3550.0000,3410.0000,3440.0000,15609200
2026-04-21,3470.0000,4040.0000,3460.0000,3740.0000,84514700
2026-04-22,3820.0000,3840.0000,3700.0000,3770.0000,18552900
2026-04-23,3810.0000,4050.0000,3780.0000,3880.0000,58013400
2026-04-24,3920.0000,3930.0000,3570.0000,3700.0000,31654900
2026-04-27,3710.0000,3860.0000,3660.0000,3760.0000,18690500
2026-04-28,3810.0000,3880.0000,3730.0000,3770.0000,13137700
2026-04-29,3770.0000,3790.0000,3700.0000,3720.0000,8782200
2026-04-30,3740.0000,3750.0000,3510.0000,3650.0000,13910100
2026-05-04,3710.0000,3760.0000,3650.0000,3700.0000,8708300
2026-05-05,3680.0000,3870.0000,3660.0000,3820.0000,14783100
2026-05-06,3800.0000,3840.0000,3740.0000,3770.0000,11679800
