tanggal,pembukaan,tertinggi,terendah,penutupan,volume
2026-01-02,8500.0000,8800.0000,8450.0000,8775.0000,8834600
2026-01-05,8800.0000,8975.0000,8575.0000,8925.0000,13458600
2026-01-06,8975.0000,9675.0000,8950.0000,9550.0000,23178400
2026-01-07,9600.0000,9950.0000,9600.0000,9825.0000,19656000
2026-01-08,9825.0000,9875.0000,9525.0000,9700.0000,9101300
2026-01-09,9700.0000,9875.0000,9575.0000,9675.0000,5500700
2026-01-12,9850.0000,10150.0000,9300.0000,9900.0000,20147800
2026-01-13,9900.0000,10600.0000,9900.0000,10200.0000,12532300
2026-01-14,10200.0000,10325.0000,9975.0000,10150.0000,5579600
2026-01-15,10200.0000,10375.0000,9900.0000,10000.0000,8388200
2026-01-19,10100.0000,10175.0000,9725.0000,10000.0000,12474900
2026-01-20,10000.0000,10475.0000,9975.0000,10100.0000,6476000
2026-01-21,10125.0000,10125.0000,9875.0000,10075.0000,8911900
2026-01-22,10075.0000,10800.0000,10075.0000,10600.0000,12851700
2026-01-23,10650.0000,10650.0000,10300.0000,10575.0000,5142600
2026-01-26,10600.0000,10725.0000,10300.0000,10500.0000,7628800
2026-01-27,10500.0000,10675.0000,10425.0000,10525.0000,3828400
2026-01-28,9475.0000,9850.0000,8950.0000,9325.0000,52568800
2026-01-29,9250.0000,9375.0000,7950.0000,9100.0000,36006600
2026-01-30,9200.0000,9325.0000,8925.0000,9100.0000,8198500
2026-02-02,9125.0000,9225.0000,8125.0000,8200.0000,30167300
2026-02-03,8500.0000,9025.0000,8325.0000,9025.0000,10649600
2026-02-04,9000.0000,9125.0000,8850.0000,8900.0000,5437600
2026-02-05,9000.0000,9300.0000,8925.0000,9100.0000,9495700
2026-02-06,8700.0000,9075.0000,8600.0000,8850.0000,7749300
2026-02-09,9000.0000,9175.0000,8825.0000,9175.0000,4911200
2026-02-10,9075.0000,9225.0000,9000.0000,9100.0000,5942400
2026-02-11,9175.0000,9475.0000,9125.0000,9375.0000,6409000
2026-02-12,9400.0000,9675.0000,9325.0000,9550.0000,5034100
2026-02-13,9450.0000,9975.0000,9450.0000,9850.0000,11641000
2026-02-18,9850.0000,9900.0000,9750.0000,9875.0000,6240000
2026-02-19,9875.0000,10475.0000,9875.0000,10300.0000,30819300
2026-02-20,10450.0000,10500.0000,9800.0000,9800.0000,10426700
2026-02-23,9850.0000,10575.0000,9850.0000,10250.0000,23795800
2026-02-24,10300.0000,10450.0000,10175.0000,10300.0000,13056300
2026-02-25,10300.0000,12000.0000,10200.0000,12000.0000,87924500
2026-02-26,11900.0000,12750.0000,11625.0000,11825.0000,52911000
2026-02-27,11700.0000,11825.0000,11325.0000,11600.0000,16411300
2026-03-02,11200.0000,11525.0000,10750.0000,11075.0000,21254300
2026-03-03,11100.0000,11350.0000,10750.0000,10825.0000,13237700
2026-03-04,10525.0000,10525.0000,9500.0000,9725.0000,21836800
2026-03-05,10000.0000,10250.0000,9825.0000,10050.0000,10475200
2026-03-06,10000.0000,10025.0000,9200.0000,9200.0000,13793400
2026-03-09,8875.0000,9150.0000,8300.0000,8875.0000,9018000
2026-03-10,9275.0000,9875.0000,8950.0000,9700.0000,21065900
2026-03-11,9675.0000,9700.0000,9225.0000,9225.0000,8841000
2026-03-12,9225.0000,9250.0000,8900.0000,9175.0000,6663900
2026-03-13,9100.0000,9300.0000,8850.0000,9025.0000,5704900
2026-03-16,9025.0000,9075.0000,8525.0000,8975.0000,5446100
2026-03-17,9125.0000,9525.0000,9075.0000,9500.0000,8475700
2026-03-25,9450.0000,9950.0000,9375.0000,9700.0000,7965700
2026-03-26,9875.0000,10100.0000,9825.0000,9950.0000,6895800
2026-03-27,9950.0000,10025.0000,9800.0000,9875.0000,2596000
2026-03-30,9800.0000,10000.0000,9350.0000,9900.0000,5527400
2026-03-31,10025.0000,10250.0000,9950.0000,10150.0000,8339300
2026-04-01,10350.0000,10475.0000,9850.0000,9950.0000,4555000
2026-04-02,9900.0000,9975.0000,9600.0000,9625.0000,3817100
2026-04-06,9550.0000,9975.0000,9400.0000,9675.0000,4087600
2026-04-07,9750.0000,9900.0000,9725.0000,9775.0000,1730900
2026-04-08,9925.0000,10100.0000,9825.0000,10025.0000,3471800
2026-04-09,10000.0000,10000.0000,9750.0000,9800.0000,1953800
2026-04-10,9800.0000,9950.0000,9650.0000,9725.0000,3265700
2026-04-13,9700.0000,9775.0000,9525.0000,9675.0000,3888600
2026-04-14,9725.0000,9950.0000,9650.0000,9725.0000,4323200
2026-04-15,9875.0000,10275.0000,9800.0000,10000.0000,8905400
2026-04-16,10200.0000,10300.0000,9875.0000,10050.0000,4338800
2026-04-17,10050.0000,10125.0000,9900.0000,9925.0000,2030700
2026-04-20,9925.0000,10050.0000,9825.0000,10000.0000,3841800
2026-04-21,10100.0000,10100.0000,9900.0000,10000.0000,3369600
2026-04-22,10000.0000,10025.0000,9750.0000,9825.0000,3145200
2026-04-23,9825.0000,10175.0000,9825.0000,9925.0000,4859700
2026-04-24,9950.0000,10000.0000,9625.0000,9775.0000,3932100
2026-04-27,9800.0000,9925.0000,9750.0000,9900.0000,3716300
2026-04-28,9900.0000,9900.0000,9650.0000,9675.0000,5098800
2026-04-29,9725.0000,9775.0000,9525.0000,9675.0000,5279900
2026-04-30,9675.0000,10000.0000,9575.0000,9750.0000,8778500
2026-05-04,9975.0000,10125.0000,9650.0000,9750.0000,7757600
2026-05-05,9750.0000,9850.0000,9300.0000,9325.0000,8707300
2026-05-06,9325.0000,9575.0000,9150.0000,9500.0000,7639800
2026-05-07,9500.0000,9500.0000,9225.0000,9450.0000,12399300
2026-05-08,9450.0000,9500.0000,9025.0000,9150.0000,11669800
2026-05-11,9150.0000,9250.0000,8775.0000,9000.0000,8363700
2026-05-12,9075.0000,9175.0000,8675.0000,8925.0000,13392500
2026-05-13,8800.0000,9075.0000,8700.0000,9000.0000,6390400
2026-05-14,9000.0000,9000.0000,9000.0000,9000.0000,0
2026-05-15,9000.0000,9000.0000,9000.0000,9000.0000,0
2026-05-18,8775.0000,8800.0000,8200.0000,8575.0000,18187700
2026-05-19,8600.0000,8625.0000,8050.0000,8325.0000,16299600
2026-05-20,8200.0000,8300.0000,7775.0000,8000.0000,20850600
2026-05-21,8150.0000,8225.0000,7900.0000,7925.0000,6714000
2026-05-22,7900.0000,8225.0000,7650.0000,8100.0000,7495000
2026-05-25,8225.0000,8275.0000,7725.0000,7850.0000,7615500
2026-05-26,7850.0000,8000.0000,7725.0000,7775.0000,4247300
2026-05-27,7775.0000,7775.0000,7775.0000,7775.0000,0
2026-05-28,7775.0000,7775.0000,7775.0000,7775.0000,0
2026-05-29,7800.0000,7925.0000,7500.0000,7675.0000,28433300
2026-06-02,7675.0000,7775.0000,7475.0000,7750.0000,4859900
2026-06-03,7850.0000,7875.0000,7075.0000,7150.0000,10151000
2026-06-04,7150.0000,7250.0000,6575.0000,7050.0000,10208800
2026-06-05,7200.0000,7200.0000,6650.0000,6700.0000,5154500
2026-06-08,6700.0000,6750.0000,6250.0000,6500.0000,6729200
2026-06-09,6500.0000,7425.0000,6450.0000,7325.0000,7780900
2026-06-10,7325.0000,8625.0000,7100.0000,7925.0000,12874800
2026-06-11,7950.0000,7975.0000,7425.0000,7550.0000,6418000
2026-06-12,7625.0000,7800.0000,7575.0000,7700.0000,5343300
2026-06-15,7900.0000,8000.0000,7600.0000,7725.0000,5523600
2026-06-17,7725.0000,7900.0000,7575.0000,7650.0000,2246100
2026-06-18,7625.0000,7850.0000,7475.0000,7800.0000,2525600
2026-06-19,7850.0000,7850.0000,7475.0000,7475.0000,43097800
2026-06-22,7350.0000,7600.0000,7350.0000,7400.0000,1629800
2026-06-23,7425.0000,7450.0000,7200.0000,7275.0000,3261200
2026-06-24,7400.0000,7400.0000,7075.0000,7075.0000,4167800
2026-06-25,7075.0000,7600.0000,7075.0000,7200.0000,8583400
2026-06-26,7225.0000,7350.0000,7100.0000,7175.0000,3049400
2026-06-29,7200.0000,7225.0000,7000.0000,7075.0000,1969500
2026-06-30,7075.0000,7200.0000,6875.0000,7075.0000,15189500
2026-07-01,7175.0000,7175.0000,6950.0000,7000.0000,2489900
2026-07-02,6975.0000,7125.0000,6875.0000,6950.0000,2328200
2026-07-03,6950.0000,7125.0000,6925.0000,7075.0000,2504000
2026-07-06,7075.0000,7175.0000,7000.0000,7075.0000,1876900
