tanggal,pembukaan,tertinggi,terendah,penutupan,volume
2026-01-02,7475.0000,7475.0000,7300.0000,7400.0000,459000
2026-01-05,7375.0000,7450.0000,7200.0000,7200.0000,639800
2026-01-06,7150.0000,7250.0000,7075.0000,7100.0000,1707100
2026-01-07,7150.0000,7175.0000,6625.0000,6625.0000,3055500
2026-01-08,6600.0000,6800.0000,6500.0000,6800.0000,3627500
2026-01-09,6800.0000,6900.0000,6725.0000,6900.0000,1815800
2026-01-12,6925.0000,6950.0000,6700.0000,6875.0000,2427700
2026-01-13,6925.0000,6975.0000,6775.0000,6950.0000,2585500
2026-01-14,6950.0000,7000.0000,6750.0000,6850.0000,1661900
2026-01-15,6875.0000,7025.0000,6800.0000,6975.0000,1237200
2026-01-19,7000.0000,7175.0000,6975.0000,7000.0000,942900
2026-01-20,7000.0000,7175.0000,6875.0000,6975.0000,1032400
2026-01-21,6900.0000,6925.0000,6750.0000,6925.0000,892300
2026-01-22,6925.0000,7050.0000,6925.0000,7000.0000,957400
2026-01-23,6925.0000,7025.0000,6900.0000,7025.0000,390000
2026-01-26,7100.0000,7100.0000,6950.0000,6950.0000,457900
2026-01-27,7025.0000,7025.0000,6800.0000,7000.0000,617200
2026-01-28,6975.0000,6975.0000,6575.0000,6950.0000,2881100
2026-01-29,6600.0000,6600.0000,6075.0000,6500.0000,4097900
2026-01-30,6500.0000,6775.0000,6400.0000,6650.0000,1726100
2026-02-02,6600.0000,6775.0000,6600.0000,6600.0000,1453100
2026-02-03,6600.0000,6700.0000,6550.0000,6575.0000,1388400
2026-02-04,6600.0000,6700.0000,6525.0000,6575.0000,891800
2026-02-05,6600.0000,6625.0000,6400.0000,6400.0000,1391300
2026-02-06,6400.0000,6475.0000,6250.0000,6450.0000,1906000
2026-02-09,6550.0000,6650.0000,6450.0000,6575.0000,1114800
2026-02-10,6650.0000,6800.0000,6550.0000,6650.0000,1947900
2026-02-11,6700.0000,6750.0000,6575.0000,6675.0000,759100
2026-02-12,6675.0000,7000.0000,6550.0000,6875.0000,1157100
2026-02-13,6875.0000,6875.0000,6650.0000,6700.0000,928900
2026-02-18,6700.0000,6750.0000,6575.0000,6600.0000,949100
2026-02-19,6650.0000,6650.0000,6525.0000,6550.0000,459800
2026-02-20,6550.0000,6700.0000,6525.0000,6550.0000,534900
2026-02-23,6550.0000,6650.0000,6475.0000,6600.0000,1655700
2026-02-24,6550.0000,6575.0000,6475.0000,6475.0000,1936100
2026-02-25,6575.0000,6575.0000,6350.0000,6500.0000,2109800
2026-02-26,6500.0000,6500.0000,6325.0000,6325.0000,986100
2026-02-27,6325.0000,6375.0000,6200.0000,6200.0000,2191800
2026-03-02,6025.0000,6125.0000,5950.0000,5950.0000,1812100
2026-03-03,5950.0000,6050.0000,5850.0000,5875.0000,1573300
2026-03-04,5875.0000,5875.0000,5650.0000,5825.0000,1357600
2026-03-05,5825.0000,5950.0000,5750.0000,5850.0000,370000
2026-03-06,5850.0000,6075.0000,5775.0000,5800.0000,786200
2026-03-09,5625.0000,5675.0000,5425.0000,5550.0000,839200
2026-03-10,5550.0000,5675.0000,5525.0000,5550.0000,640400
2026-03-11,5600.0000,5800.0000,5475.0000,5750.0000,827500
2026-03-12,5725.0000,5750.0000,5525.0000,5550.0000,555100
2026-03-13,5500.0000,5500.0000,5400.0000,5400.0000,858200
2026-03-16,5400.0000,5450.0000,5200.0000,5425.0000,1356200
2026-03-17,5475.0000,5500.0000,5400.0000,5500.0000,505500
2026-03-25,5500.0000,5500.0000,5300.0000,5375.0000,1169000
2026-03-26,5400.0000,5450.0000,5300.0000,5375.0000,1487600
2026-03-27,5375.0000,5375.0000,5225.0000,5250.0000,546600
2026-03-30,5200.0000,5250.0000,5100.0000,5175.0000,1224200
2026-03-31,5150.0000,5150.0000,5000.0000,5050.0000,2157700
2026-04-01,5300.0000,5425.0000,5225.0000,5325.0000,1730700
2026-04-02,5300.0000,5300.0000,5125.0000,5125.0000,997200
2026-04-06,5125.0000,5150.0000,5025.0000,5125.0000,645700
2026-04-07,5100.0000,5100.0000,5000.0000,5025.0000,769000
2026-04-08,5100.0000,5275.0000,5100.0000,5200.0000,1255200
2026-04-09,5200.0000,5350.0000,5175.0000,5350.0000,1157500
2026-04-10,5375.0000,5400.0000,5275.0000,5300.0000,945000
2026-04-13,5275.0000,5500.0000,5250.0000,5300.0000,2669400
2026-04-14,5425.0000,5475.0000,5275.0000,5325.0000,1555000
2026-04-15,5375.0000,5400.0000,5250.0000,5275.0000,2788900
2026-04-16,5300.0000,5425.0000,5300.0000,5375.0000,1969300
2026-04-17,5400.0000,5550.0000,5375.0000,5500.0000,991400
2026-04-20,5575.0000,5600.0000,5400.0000,5425.0000,881200
2026-04-21,5375.0000,5500.0000,5350.0000,5500.0000,694800
2026-04-22,5500.0000,5625.0000,5475.0000,5575.0000,873100
2026-04-23,5600.0000,5600.0000,5325.0000,5375.0000,1081600
2026-04-24,5375.0000,5425.0000,5225.0000,5300.0000,1254800
2026-04-27,5275.0000,5300.0000,5125.0000,5250.0000,1197200
2026-04-28,5250.0000,5275.0000,5075.0000,5150.0000,776000
2026-04-29,5175.0000,5225.0000,5100.0000,5200.0000,1179900
2026-04-30,5200.0000,5225.0000,5175.0000,5200.0000,2949500
2026-05-04,5225.0000,5225.0000,5075.0000,5125.0000,702900
2026-05-05,5125.0000,5175.0000,5075.0000,5150.0000,592000
2026-05-06,5150.0000,5200.0000,5075.0000,5100.0000,1203200
2026-05-07,5125.0000,5300.0000,5125.0000,5225.0000,1224700
2026-05-08,5225.0000,5225.0000,5075.0000,5075.0000,1013900
2026-05-11,5100.0000,5225.0000,5075.0000,5225.0000,529300
2026-05-12,5275.0000,5275.0000,5100.0000,5200.0000,783300
2026-05-13,5200.0000,5225.0000,5075.0000,5075.0000,686200
2026-05-14,5075.0000,5075.0000,5075.0000,5075.0000,0
2026-05-15,5075.0000,5075.0000,5075.0000,5075.0000,0
2026-05-18,5075.0000,5075.0000,4860.0000,4880.0000,2365300
2026-05-19,4880.0000,4900.0000,4750.0000,4830.0000,2809800
2026-05-20,4820.0000,4830.0000,4720.0000,4750.0000,2850300
2026-05-21,4750.0000,4830.0000,4740.0000,4810.0000,1486800
2026-05-22,4860.0000,4920.0000,4810.0000,4900.0000,1635100
2026-05-25,4950.0000,5100.0000,4890.0000,4900.0000,4506100
2026-05-26,4920.0000,5100.0000,4890.0000,4990.0000,7039900
2026-05-27,4990.0000,4990.0000,4990.0000,4990.0000,0
2026-05-28,4990.0000,4990.0000,4990.0000,4990.0000,0
2026-05-29,4990.0000,5000.0000,4900.0000,4900.0000,7912500
2026-06-02,4950.0000,5050.0000,4900.0000,4970.0000,5318800
2026-06-03,5000.0000,5050.0000,4930.0000,4950.0000,6637100
2026-06-04,4440.0000,4440.0000,4210.0000,4270.0000,5174100
2026-06-05,4250.0000,4260.0000,4050.0000,4050.0000,4556100
2026-06-08,4040.0000,4090.0000,3880.0000,4000.0000,4041800
2026-06-09,4000.0000,4070.0000,3930.0000,4000.0000,6240400
2026-06-10,4000.0000,4050.0000,3990.0000,4000.0000,3252300
2026-06-11,4030.0000,4180.0000,4010.0000,4160.0000,2441100
2026-06-12,4190.0000,4240.0000,4090.0000,4110.0000,2337500
2026-06-15,4160.0000,4300.0000,4130.0000,4240.0000,2352700
2026-06-17,4260.0000,4310.0000,4190.0000,4200.0000,2413600
2026-06-18,4230.0000,4240.0000,4120.0000,4170.0000,1127800
2026-06-19,4180.0000,4220.0000,4020.0000,4020.0000,4340200
2026-06-22,4100.0000,4100.0000,3930.0000,4000.0000,4355800
2026-06-23,4000.0000,4200.0000,3990.0000,4190.0000,2715900
2026-06-24,4190.0000,4250.0000,4070.0000,4110.0000,1797500
2026-06-25,4070.0000,4260.0000,4020.0000,4160.0000,2326700
2026-06-26,4170.0000,4200.0000,4110.0000,4150.0000,1067200
2026-06-29,4210.0000,4210.0000,4090.0000,4160.0000,1997200
2026-06-30,4160.0000,4170.0000,4060.0000,4160.0000,4799500
2026-07-01,4160.0000,4200.0000,4150.0000,4160.0000,786600
2026-07-02,4170.0000,4240.0000,4170.0000,4220.0000,1033200
2026-07-03,4220.0000,4240.0000,4150.0000,4160.0000,712300
2026-07-06,4160.0000,4360.0000,4160.0000,4250.0000,1755500
2026-07-07,4280.0000,4500.0000,4280.0000,4500.0000,3094800
2026-07-08,4520.0000,4530.0000,4340.0000,4400.0000,1124000
2026-07-09,4400.0000,4410.0000,4400.0000,4400.0000,1649200
2026-07-10,4400.0000,4490.0000,4400.0000,4490.0000,429400
2026-07-13,4490.0000,4510.0000,4470.0000,4490.0000,839600
2026-07-14,4520.0000,4550.0000,4490.0000,4550.0000,570000
2026-07-15,4550.0000,4600.0000,4530.0000,4590.0000,478300
2026-07-16,4590.0000,4710.0000,4590.0000,4700.0000,783200
2026-07-17,4720.0000,4720.0000,4620.0000,4700.0000,1136700
2026-07-20,4700.0000,4750.0000,4650.0000,4660.0000,789700
2026-07-21,4670.0000,4700.0000,4610.0000,4660.0000,1493700
2026-07-22,4670.0000,4670.0000,4610.0000,4620.0000,774900
2026-07-23,4630.0000,4670.0000,4620.0000,4630.0000,3986800
2026-07-24,4630.0000,4640.0000,4590.0000,4630.0000,913200
2026-07-27,4630.0000,4660.0000,4550.0000,4560.0000,801300
