tanggal,pembukaan,tertinggi,terendah,penutupan,volume
2026-01-02,2330.0000,2370.0000,2330.0000,2360.0000,3646300
2026-01-05,2360.0000,2360.0000,2270.0000,2330.0000,11877800
2026-01-06,2330.0000,2340.0000,2140.0000,2160.0000,50503300
2026-01-07,2190.0000,2220.0000,2130.0000,2150.0000,24545600
2026-01-08,2160.0000,2200.0000,2130.0000,2170.0000,21252200
2026-01-09,2170.0000,2190.0000,2140.0000,2160.0000,9026400
2026-01-12,2190.0000,2220.0000,2130.0000,2170.0000,17110200
2026-01-13,2200.0000,2200.0000,2110.0000,2160.0000,25076100
2026-01-14,2160.0000,2280.0000,2160.0000,2230.0000,27273000
2026-01-15,2250.0000,2270.0000,2200.0000,2260.0000,12301600
2026-01-19,2280.0000,2340.0000,2230.0000,2260.0000,19529600
2026-01-20,2260.0000,2320.0000,2240.0000,2240.0000,14193000
2026-01-21,2240.0000,2270.0000,2190.0000,2230.0000,11181700
2026-01-22,2230.0000,2440.0000,2230.0000,2420.0000,31220400
2026-01-23,2440.0000,2450.0000,2350.0000,2400.0000,37541800
2026-01-26,2430.0000,2600.0000,2340.0000,2400.0000,80586000
2026-01-27,2400.0000,2490.0000,2360.0000,2460.0000,21018500
2026-01-28,2390.0000,2390.0000,2140.0000,2200.0000,40987700
2026-01-29,2150.0000,2260.0000,2050.0000,2240.0000,36856100
2026-01-30,2240.0000,2300.0000,2210.0000,2230.0000,30821400
2026-02-02,2250.0000,2260.0000,2130.0000,2220.0000,17305700
2026-02-03,2250.0000,2250.0000,2150.0000,2200.0000,14427700
2026-02-04,2220.0000,2220.0000,2110.0000,2140.0000,16190800
2026-02-05,2140.0000,2190.0000,2100.0000,2130.0000,17728900
2026-02-06,2090.0000,2160.0000,2020.0000,2150.0000,11714100
2026-02-09,2150.0000,2160.0000,2060.0000,2110.0000,37394400
2026-02-10,2140.0000,2220.0000,2140.0000,2200.0000,47168600
2026-02-11,2220.0000,2230.0000,2180.0000,2210.0000,48600500
2026-02-12,2230.0000,2260.0000,2190.0000,2220.0000,36998500
2026-02-13,2250.0000,2280.0000,2200.0000,2230.0000,37287600
2026-02-18,2230.0000,2270.0000,2190.0000,2240.0000,21448000
2026-02-19,2260.0000,2260.0000,2190.0000,2220.0000,20172400
2026-02-20,2240.0000,2280.0000,2200.0000,2260.0000,21442500
2026-02-23,2270.0000,2340.0000,2240.0000,2330.0000,30501000
2026-02-24,2330.0000,2390.0000,2300.0000,2330.0000,50499500
2026-02-25,2350.0000,2420.0000,2340.0000,2380.0000,40564400
2026-02-26,2430.0000,2430.0000,2270.0000,2320.0000,35291800
2026-02-27,2340.0000,2350.0000,2280.0000,2310.0000,26543100
2026-03-02,2240.0000,2280.0000,2190.0000,2210.0000,16276600
2026-03-03,2220.0000,2290.0000,2190.0000,2290.0000,25130300
2026-03-04,2270.0000,2300.0000,2110.0000,2180.0000,23421200
2026-03-05,2240.0000,2260.0000,2210.0000,2240.0000,12637200
2026-03-06,2240.0000,2240.0000,2120.0000,2160.0000,18932300
2026-03-09,2050.0000,2060.0000,1920.0000,2000.0000,37892200
2026-03-10,2030.0000,2100.0000,1980.0000,2050.0000,28950900
2026-03-11,2070.0000,2100.0000,2010.0000,2030.0000,10714500
2026-03-12,2070.0000,2200.0000,2040.0000,2140.0000,33040000
2026-03-13,2100.0000,2130.0000,1985.0000,2000.0000,20602700
2026-03-16,2000.0000,2040.0000,1950.0000,2020.0000,10299600
2026-03-17,2080.0000,2160.0000,2050.0000,2150.0000,14608800
2026-03-25,2150.0000,2220.0000,2110.0000,2200.0000,17810300
2026-03-26,2210.0000,2220.0000,2130.0000,2130.0000,5669700
2026-03-27,2140.0000,2150.0000,2070.0000,2090.0000,5369300
2026-03-30,2060.0000,2100.0000,2030.0000,2080.0000,3362100
2026-03-31,2110.0000,2130.0000,2070.0000,2090.0000,14483700
2026-04-01,2130.0000,2130.0000,2080.0000,2100.0000,5535200
2026-04-02,2100.0000,2110.0000,2040.0000,2080.0000,5695300
2026-04-06,2080.0000,2090.0000,2020.0000,2030.0000,4017800
2026-04-07,2050.0000,2100.0000,2010.0000,2080.0000,7711000
2026-04-08,2100.0000,2170.0000,2050.0000,2170.0000,17164000
2026-04-09,2150.0000,2150.0000,2100.0000,2120.0000,8114600
2026-04-10,2140.0000,2170.0000,2120.0000,2160.0000,7539900
2026-04-13,2150.0000,2170.0000,2110.0000,2140.0000,5986900
2026-04-14,2160.0000,2200.0000,2070.0000,2100.0000,22167200
2026-04-15,2100.0000,2130.0000,2060.0000,2070.0000,19114100
2026-04-16,2080.0000,2090.0000,2050.0000,2070.0000,9533200
2026-04-17,2070.0000,2070.0000,2020.0000,2050.0000,13056400
2026-04-20,2050.0000,2080.0000,2010.0000,2020.0000,10747600
2026-04-21,2020.0000,2030.0000,1980.0000,2020.0000,8784100
2026-04-22,2020.0000,2040.0000,1980.0000,1985.0000,12420900
2026-04-23,1990.0000,2000.0000,1945.0000,1955.0000,19671800
2026-04-24,1955.0000,1970.0000,1895.0000,1970.0000,15203100
2026-04-27,1970.0000,2020.0000,1945.0000,2010.0000,18691300
2026-04-28,2030.0000,2030.0000,1930.0000,1950.0000,14611500
2026-04-29,1950.0000,2010.0000,1945.0000,1985.0000,11623400
2026-04-30,1990.0000,2020.0000,1960.0000,1995.0000,22561900
2026-05-04,2000.0000,2080.0000,2000.0000,2080.0000,16177200
2026-05-05,2100.0000,2150.0000,2050.0000,2110.0000,15042800
2026-05-06,2120.0000,2180.0000,2100.0000,2130.0000,12400500
2026-05-07,2170.0000,2210.0000,2130.0000,2150.0000,20140300
2026-05-08,2170.0000,2320.0000,2130.0000,2240.0000,18576800
2026-05-11,2250.0000,2250.0000,2110.0000,2180.0000,15509100
2026-05-12,2200.0000,2350.0000,2200.0000,2350.0000,28837400
2026-05-13,2350.0000,2380.0000,2270.0000,2370.0000,16756400
2026-05-14,2370.0000,2370.0000,2370.0000,2370.0000,0
2026-05-15,2370.0000,2370.0000,2370.0000,2370.0000,0
2026-05-18,2210.0000,2300.0000,2160.0000,2300.0000,17546400
2026-05-19,2290.0000,2380.0000,2180.0000,2220.0000,17840900
2026-05-20,2180.0000,2250.0000,2100.0000,2150.0000,7801200
2026-05-21,2150.0000,2180.0000,2030.0000,2080.0000,12972800
2026-05-22,2100.0000,2110.0000,2020.0000,2050.0000,10055100
2026-05-25,2070.0000,2190.0000,2070.0000,2160.0000,7037100
2026-05-26,2170.0000,2180.0000,2140.0000,2160.0000,7936800
2026-05-27,2160.0000,2160.0000,2160.0000,2160.0000,0
2026-05-28,2160.0000,2160.0000,2160.0000,2160.0000,0
2026-05-29,2150.0000,2170.0000,2080.0000,2160.0000,40032200
2026-06-02,2160.0000,2180.0000,2060.0000,2130.0000,12720700
2026-06-03,2160.0000,2160.0000,2020.0000,2080.0000,25708700
2026-06-04,2060.0000,2070.0000,1895.0000,2060.0000,16859900
2026-06-05,2040.0000,2040.0000,1845.0000,1880.0000,17648700
2026-06-08,1800.0000,1825.0000,1680.0000,1715.0000,18392800
2026-06-09,1750.0000,1755.0000,1660.0000,1745.0000,27647000
2026-06-10,1745.0000,1835.0000,1705.0000,1815.0000,32487300
2026-06-11,1815.0000,1950.0000,1800.0000,1895.0000,55970600
