tanggal,pembukaan,tertinggi,terendah,penutupan,volume
2026-01-02,21875.0000,22075.0000,21875.0000,22025.0000,797600
2026-01-05,22025.0000,22075.0000,21900.0000,21925.0000,1043500
2026-01-06,22000.0000,22025.0000,21825.0000,21975.0000,1571900
2026-01-07,21975.0000,22025.0000,21875.0000,22025.0000,1680800
2026-01-08,22025.0000,22075.0000,21925.0000,22000.0000,1190400
2026-01-09,22000.0000,22025.0000,21825.0000,21925.0000,1625600
2026-01-12,21925.0000,21925.0000,21800.0000,21850.0000,1332200
2026-01-13,21850.0000,22050.0000,21725.0000,22000.0000,1602000
2026-01-14,22100.0000,22400.0000,22075.0000,22150.0000,2009000
2026-01-15,22150.0000,22350.0000,22150.0000,22275.0000,803300
2026-01-19,22300.0000,22350.0000,22125.0000,22325.0000,1009000
2026-01-20,22300.0000,22425.0000,22225.0000,22400.0000,941900
2026-01-21,22375.0000,22400.0000,22150.0000,22300.0000,1294000
2026-01-22,22300.0000,22775.0000,22300.0000,22725.0000,2256000
2026-01-23,22750.0000,22750.0000,22375.0000,22500.0000,1206900
2026-01-26,22525.0000,22750.0000,22500.0000,22650.0000,1094400
2026-01-27,22675.0000,22675.0000,22200.0000,22200.0000,1591800
2026-01-28,22150.0000,22500.0000,21600.0000,21925.0000,3444700
2026-01-29,21950.0000,22275.0000,20900.0000,22200.0000,4205400
2026-01-30,22300.0000,22325.0000,21825.0000,21950.0000,1885300
2026-02-02,21975.0000,22200.0000,21725.0000,21900.0000,2255200
2026-02-03,22050.0000,22125.0000,21825.0000,22025.0000,1327000
2026-02-04,22050.0000,22200.0000,22025.0000,22050.0000,1017500
2026-02-05,22100.0000,22200.0000,22050.0000,22125.0000,970400
2026-02-06,22075.0000,22075.0000,21800.0000,21950.0000,2329700
2026-02-09,22000.0000,22050.0000,21825.0000,22025.0000,961300
2026-02-10,22025.0000,22100.0000,21950.0000,22100.0000,1029900
2026-02-11,22100.0000,22300.0000,22000.0000,22250.0000,1043600
2026-02-12,22250.0000,22300.0000,22025.0000,22025.0000,970000
2026-02-13,22050.0000,22250.0000,22025.0000,22200.0000,695400
2026-02-18,22300.0000,22350.0000,22250.0000,22350.0000,886700
2026-02-19,22375.0000,22675.0000,22375.0000,22600.0000,1383000
2026-02-20,22700.0000,22750.0000,22425.0000,22475.0000,1528100
