tanggal,pembukaan,tertinggi,terendah,penutupan,volume
2026-01-02,2620.0000,2900.0000,2620.0000,2900.0000,48460600
2026-01-05,2890.0000,2920.0000,2730.0000,2850.0000,26750500
2026-01-06,2850.0000,2880.0000,2700.0000,2740.0000,30672300
2026-01-07,2740.0000,2760.0000,2510.0000,2550.0000,78900900
2026-01-08,2550.0000,2600.0000,2530.0000,2540.0000,52216200
2026-01-09,2540.0000,2590.0000,2540.0000,2590.0000,28108200
2026-01-12,2590.0000,2650.0000,2550.0000,2600.0000,34764600
2026-01-13,2610.0000,2740.0000,2610.0000,2740.0000,43994400
2026-01-14,2750.0000,2820.0000,2570.0000,2610.0000,77017500
2026-01-15,2630.0000,2750.0000,2620.0000,2700.0000,65947300
2026-01-19,2790.0000,2800.0000,2720.0000,2780.0000,27480600
2026-01-20,2790.0000,2960.0000,2730.0000,2930.0000,68481700
2026-01-21,2940.0000,2950.0000,2870.0000,2930.0000,28736000
2026-01-22,2950.0000,2970.0000,2840.0000,2880.0000,38397400
2026-01-23,2910.0000,2910.0000,2840.0000,2900.0000,19268500
2026-01-26,2940.0000,2950.0000,2790.0000,2840.0000,23163700
2026-01-27,2840.0000,2880.0000,2720.0000,2880.0000,42772500
2026-01-28,2860.0000,2870.0000,2470.0000,2750.0000,38249700
2026-01-29,2720.0000,2720.0000,2420.0000,2600.0000,63437500
2026-01-30,2620.0000,2830.0000,2620.0000,2770.0000,31015200
2026-02-02,2810.0000,2820.0000,2630.0000,2670.0000,16369100
2026-02-03,2720.0000,2800.0000,2680.0000,2790.0000,22082100
2026-02-04,2790.0000,2800.0000,2580.0000,2600.0000,48973200
2026-02-05,2600.0000,2640.0000,2520.0000,2590.0000,43676300
2026-02-06,2550.0000,2550.0000,2470.0000,2500.0000,23549300
2026-02-09,2520.0000,2570.0000,2510.0000,2550.0000,16521400
2026-02-10,2550.0000,2600.0000,2550.0000,2580.0000,14478100
2026-02-11,2600.0000,2610.0000,2560.0000,2580.0000,15451700
2026-02-12,2580.0000,2600.0000,2530.0000,2550.0000,18497000
2026-02-13,2570.0000,2580.0000,2550.0000,2560.0000,8372300
2026-02-18,2560.0000,2590.0000,2540.0000,2560.0000,13307900
2026-02-19,2560.0000,2560.0000,2480.0000,2480.0000,22011100
2026-02-20,2480.0000,2480.0000,2330.0000,2380.0000,49182100
2026-02-23,2380.0000,2420.0000,2350.0000,2420.0000,23218400
2026-02-24,2420.0000,2520.0000,2390.0000,2420.0000,34121600
2026-02-25,2430.0000,2470.0000,2380.0000,2410.0000,33385300
2026-02-26,2440.0000,2440.0000,2310.0000,2350.0000,25997700
2026-02-27,2350.0000,2420.0000,2330.0000,2380.0000,24504400
2026-03-02,2450.0000,2500.0000,2360.0000,2370.0000,66905000
2026-03-03,2390.0000,2480.0000,2380.0000,2430.0000,37359500
2026-03-04,2430.0000,2450.0000,2240.0000,2280.0000,25085300
2026-03-05,2320.0000,2370.0000,2310.0000,2330.0000,19822500
2026-03-06,2320.0000,2350.0000,2270.0000,2350.0000,9511100
2026-03-09,2280.0000,2280.0000,2170.0000,2170.0000,20180400
2026-03-10,2230.0000,2350.0000,2200.0000,2330.0000,22198600
2026-03-11,2330.0000,2390.0000,2250.0000,2280.0000,14730800
2026-03-12,2260.0000,2330.0000,2210.0000,2280.0000,12828300
2026-03-13,2280.0000,2280.0000,2200.0000,2250.0000,12897300
2026-03-16,2210.0000,2220.0000,2140.0000,2190.0000,8844200
2026-03-17,2190.0000,2260.0000,2190.0000,2240.0000,12846600
2026-03-25,2240.0000,2310.0000,2220.0000,2300.0000,13940800
2026-03-26,2310.0000,2500.0000,2240.0000,2490.0000,36234400
2026-03-27,2450.0000,2480.0000,2400.0000,2470.0000,13507600
2026-03-30,2460.0000,2460.0000,2360.0000,2440.0000,11387400
2026-03-31,2440.0000,2470.0000,2340.0000,2350.0000,12372400
2026-04-01,2370.0000,2460.0000,2370.0000,2460.0000,16823200
2026-04-02,2460.0000,2470.0000,2380.0000,2440.0000,9687400
2026-04-06,2440.0000,2480.0000,2420.0000,2440.0000,4107800
2026-04-07,2440.0000,2460.0000,2390.0000,2460.0000,12376300
2026-04-08,2490.0000,2620.0000,2470.0000,2590.0000,30852100
2026-04-09,2590.0000,2600.0000,2500.0000,2540.0000,16089800
2026-04-10,2540.0000,2600.0000,2510.0000,2590.0000,10096700
2026-04-13,2580.0000,2640.0000,2570.0000,2610.0000,18666500
2026-04-14,2640.0000,2700.0000,2620.0000,2670.0000,18994600
2026-04-15,2690.0000,2740.0000,2680.0000,2710.0000,13484300
2026-04-16,2720.0000,2720.0000,2630.0000,2670.0000,11206000
2026-04-17,2660.0000,2730.0000,2640.0000,2730.0000,9317600
2026-04-20,2730.0000,2730.0000,2660.0000,2690.0000,5465600
2026-04-21,2710.0000,2710.0000,2600.0000,2650.0000,11071500
2026-04-22,2650.0000,2690.0000,2570.0000,2600.0000,8616500
2026-04-23,2610.0000,2700.0000,2610.0000,2680.0000,13555900
2026-04-24,2690.0000,2690.0000,2590.0000,2630.0000,7371800
2026-04-27,2630.0000,2630.0000,2500.0000,2530.0000,7498200
2026-04-28,2530.0000,2530.0000,2340.0000,2350.0000,21364800
2026-04-29,2350.0000,2450.0000,2350.0000,2440.0000,12890500
2026-04-30,2440.0000,2540.0000,2400.0000,2480.0000,21146200
2026-05-04,2470.0000,2640.0000,2470.0000,2630.0000,16540800
2026-05-05,2630.0000,2630.0000,2520.0000,2590.0000,11072000
2026-05-06,2610.0000,2630.0000,2580.0000,2620.0000,9641600
2026-05-07,2620.0000,2630.0000,2580.0000,2600.0000,14778500
2026-05-08,2610.0000,2620.0000,2520.0000,2550.0000,21075800
2026-05-11,2410.0000,2530.0000,2400.0000,2530.0000,8267100
2026-05-12,2530.0000,2530.0000,2380.0000,2440.0000,8759200
2026-05-13,2470.0000,2560.0000,2380.0000,2540.0000,21951400
2026-05-14,2540.0000,2540.0000,2540.0000,2540.0000,0
2026-05-15,2540.0000,2540.0000,2540.0000,2540.0000,0
2026-05-18,2590.0000,2600.0000,2490.0000,2530.0000,15164300
2026-05-19,2530.0000,2570.0000,2470.0000,2510.0000,10781300
2026-05-20,2510.0000,2650.0000,2470.0000,2640.0000,24974100
2026-05-21,2650.0000,2760.0000,2540.0000,2580.0000,42552200
2026-05-22,2580.0000,2590.0000,2480.0000,2570.0000,26395200
2026-05-25,2600.0000,2670.0000,2520.0000,2630.0000,18937500
2026-05-26,2620.0000,2630.0000,2540.0000,2570.0000,22131300
2026-05-27,2570.0000,2570.0000,2570.0000,2570.0000,0
2026-05-28,2570.0000,2570.0000,2570.0000,2570.0000,0
2026-05-29,2530.0000,2560.0000,2450.0000,2450.0000,52176400
2026-06-02,2450.0000,2470.0000,2340.0000,2390.0000,18388100
2026-06-03,2400.0000,2420.0000,2220.0000,2270.0000,22799500
2026-06-04,2250.0000,2260.0000,2100.0000,2150.0000,28483200
2026-06-05,2150.0000,2150.0000,1935.0000,1935.0000,52567600
2026-06-08,1885.0000,1895.0000,1750.0000,1780.0000,46279400
2026-06-09,1780.0000,1935.0000,1780.0000,1895.0000,50272100
2026-06-10,1895.0000,1900.0000,1805.0000,1845.0000,51115400
2026-06-11,1845.0000,1920.0000,1825.0000,1860.0000,36787800
2026-06-12,1865.0000,1930.0000,1840.0000,1905.0000,30207300
2026-06-15,1940.0000,1960.0000,1900.0000,1910.0000,40065400
2026-06-17,1915.0000,1985.0000,1910.0000,1925.0000,26607500
2026-06-18,1935.0000,1985.0000,1895.0000,1940.0000,26336100
2026-06-19,1940.0000,1980.0000,1915.0000,1930.0000,10060000
2026-06-22,1930.0000,1950.0000,1900.0000,1905.0000,10639400
2026-06-23,1905.0000,1925.0000,1865.0000,1900.0000,22569900
2026-06-24,1900.0000,1960.0000,1875.0000,1880.0000,14096700
2026-06-25,1880.0000,2020.0000,1860.0000,2010.0000,37109600
2026-06-26,2000.0000,2020.0000,1940.0000,1965.0000,16072400
2026-06-29,1975.0000,1995.0000,1935.0000,1980.0000,10528400
2026-06-30,1970.0000,1980.0000,1915.0000,1945.0000,21959100
2026-07-01,1975.0000,2060.0000,1950.0000,2020.0000,15315200
2026-07-02,2020.0000,2030.0000,1925.0000,1945.0000,22267000
2026-07-03,1950.0000,2050.0000,1950.0000,2030.0000,12183200
2026-07-06,2050.0000,2060.0000,2000.0000,2000.0000,5948800
2026-07-07,2000.0000,2110.0000,1975.0000,2090.0000,13944800
2026-07-08,2100.0000,2110.0000,2000.0000,2010.0000,12433300
2026-07-09,1995.0000,2000.0000,1950.0000,1970.0000,10980500
2026-07-10,1970.0000,2020.0000,1960.0000,2000.0000,12864700
2026-07-13,2000.0000,2050.0000,1980.0000,2050.0000,7682800
2026-07-14,2050.0000,2050.0000,2010.0000,2020.0000,11089800
2026-07-15,2020.0000,2050.0000,2000.0000,2030.0000,13026100
2026-07-16,2030.0000,2040.0000,2010.0000,2030.0000,8436000
2026-07-17,2030.0000,2090.0000,2000.0000,2070.0000,10164700
2026-07-20,2070.0000,2140.0000,2050.0000,2080.0000,15535200
2026-07-21,2080.0000,2110.0000,2050.0000,2080.0000,12169100
2026-07-22,2090.0000,2120.0000,2080.0000,2080.0000,8730300
2026-07-23,2090.0000,2200.0000,2080.0000,2120.0000,15089600
2026-07-24,2120.0000,2140.0000,2080.0000,2130.0000,4492300
2026-07-27,2140.0000,2150.0000,2070.0000,2110.0000,13776600
2026-07-28,2100.0000,2130.0000,2080.0000,2100.0000,6026100
2026-07-29,2100.0000,2120.0000,2080.0000,2100.0000,4074900
2026-07-30,2100.0000,2190.0000,2080.0000,2180.0000,7372000
2026-07-31,2180.0000,2180.0000,2130.0000,2150.0000,11656100
2026-08-03,2250.0000,2250.0000,2130.0000,2180.0000,16529400
2026-08-04,2180.0000,2220.0000,2160.0000,2190.0000,11351900
2026-08-05,2190.0000,2230.0000,2180.0000,2230.0000,7955200
2026-08-06,2230.0000,2230.0000,2190.0000,2210.0000,6688800
2026-08-07,2210.0000,2220.0000,2170.0000,2200.0000,16486900
2026-08-10,2210.0000,2230.0000,2180.0000,2210.0000,7693100
2026-08-11,2210.0000,2230.0000,2180.0000,2200.0000,9781400
2026-08-12,2200.0000,2290.0000,2200.0000,2260.0000,10382100
2026-08-13,2260.0000,2270.0000,2230.0000,2260.0000,4735100
2026-08-14,2260.0000,2350.0000,2250.0000,2320.0000,9061000
2026-08-18,2350.0000,2450.0000,2310.0000,2330.0000,14687000
2026-08-19,2340.0000,2360.0000,2270.0000,2290.0000,9753400
2026-08-20,2320.0000,2340.0000,2210.0000,2250.0000,19575700
2026-08-21,2250.0000,2250.0000,2200.0000,2210.0000,15567900
2026-08-24,2220.0000,2230.0000,2190.0000,2210.0000,9139300
2026-08-25,2210.0000,2210.0000,2210.0000,2210.0000,0
2026-08-26,2220.0000,2220.0000,2110.0000,2140.0000,23700500
2026-08-27,2140.0000,2230.0000,2120.0000,2210.0000,12720000
2026-08-28,2210.0000,2230.0000,2150.0000,2170.0000,12489000
2026-08-31,2160.0000,2240.0000,2160.0000,2200.0000,16716200
2026-09-01,2240.0000,2260.0000,2220.0000,2240.0000,12148400
2026-09-02,2240.0000,2250.0000,2180.0000,2240.0000,12758000
2026-09-03,2240.0000,2380.0000,2240.0000,2380.0000,27610200
2026-09-04,2400.0000,2410.0000,2310.0000,2310.0000,15202300
2026-09-07,2350.0000,2370.0000,2310.0000,2310.0000,12844800
2026-09-08,2310.0000,2420.0000,2310.0000,2380.0000,14100700
2026-09-09,2400.0000,2410.0000,2310.0000,2340.0000,14878700
2026-09-10,2340.0000,2360.0000,2260.0000,2320.0000,22474300
2026-09-11,2280.0000,2290.0000,2230.0000,2250.0000,21427700
2026-09-14,2250.0000,2300.0000,2220.0000,2270.0000,13840100
2026-09-15,2270.0000,2320.0000,2220.0000,2270.0000,13510200
2026-09-16,2290.0000,2320.0000,2270.0000,2300.0000,7931300
2026-09-17,2300.0000,2350.0000,2270.0000,2320.0000,20702400
2026-09-18,2340.0000,2340.0000,2280.0000,2280.0000,8999900
