tanggal,pembukaan,tertinggi,terendah,penutupan,volume
2026-01-02,3410.0000,3440.0000,3380.0000,3430.0000,3821000
2026-01-05,3430.0000,3460.0000,3410.0000,3450.0000,3491500
2026-01-06,3460.0000,3470.0000,3380.0000,3390.0000,13214700
2026-01-07,3400.0000,3520.0000,3400.0000,3490.0000,12810800
2026-01-08,3500.0000,3540.0000,3500.0000,3510.0000,9285600
2026-01-09,3520.0000,3530.0000,3460.0000,3480.0000,3479900
2026-01-12,3480.0000,3490.0000,3430.0000,3450.0000,6588000
2026-01-13,3460.0000,3480.0000,3450.0000,3470.0000,3934900
2026-01-14,3490.0000,3530.0000,3480.0000,3490.0000,5319900
2026-01-15,3530.0000,3600.0000,3500.0000,3600.0000,7724800
2026-01-19,3600.0000,3610.0000,3550.0000,3580.0000,5723500
2026-01-20,3580.0000,3580.0000,3530.0000,3550.0000,6333400
2026-01-21,3560.0000,3560.0000,3510.0000,3550.0000,4979400
2026-01-22,3570.0000,3630.0000,3550.0000,3550.0000,8988500
2026-01-23,3570.0000,3610.0000,3560.0000,3600.0000,3774400
2026-01-26,3600.0000,3660.0000,3600.0000,3650.0000,9436000
2026-01-27,3660.0000,3700.0000,3640.0000,3660.0000,15110200
2026-01-28,3650.0000,3650.0000,3540.0000,3590.0000,12161500
2026-01-29,3590.0000,3590.0000,3350.0000,3550.0000,7449200
2026-01-30,3550.0000,3610.0000,3550.0000,3560.0000,4191900
2026-02-02,3580.0000,3630.0000,3520.0000,3610.0000,9878300
2026-02-03,3640.0000,3670.0000,3580.0000,3640.0000,4914000
2026-02-04,3670.0000,3790.0000,3630.0000,3790.0000,12536400
2026-02-05,3790.0000,3800.0000,3740.0000,3750.0000,8789400
2026-02-06,3700.0000,3750.0000,3620.0000,3670.0000,6065300
2026-02-09,3680.0000,3750.0000,3630.0000,3740.0000,4126300
2026-02-10,3750.0000,3760.0000,3720.0000,3740.0000,3122300
2026-02-11,3750.0000,3770.0000,3720.0000,3720.0000,4077300
2026-02-12,3720.0000,3830.0000,3720.0000,3800.0000,7404300
2026-02-13,3790.0000,3840.0000,3740.0000,3750.0000,5837500
2026-02-18,3790.0000,3840.0000,3770.0000,3800.0000,7733800
2026-02-19,3820.0000,3850.0000,3770.0000,3780.0000,3971800
2026-02-20,3800.0000,3810.0000,3750.0000,3760.0000,1824100
2026-02-23,3760.0000,3810.0000,3760.0000,3790.0000,3080800
2026-02-24,3770.0000,3770.0000,3730.0000,3740.0000,4289300
2026-02-25,3770.0000,3790.0000,3750.0000,3780.0000,2327300
2026-02-26,3800.0000,3860.0000,3690.0000,3730.0000,8879700
2026-02-27,3730.0000,3780.0000,3680.0000,3700.0000,3748600
2026-03-02,3640.0000,3650.0000,3570.0000,3600.0000,6963200
2026-03-03,3620.0000,3630.0000,3460.0000,3460.0000,12455600
2026-03-04,3440.0000,3440.0000,3180.0000,3300.0000,12109100
2026-03-05,3310.0000,3380.0000,3310.0000,3340.0000,7755500
2026-03-06,3330.0000,3340.0000,3290.0000,3310.0000,4512200
2026-03-09,3290.0000,3290.0000,3060.0000,3090.0000,14412800
2026-03-10,3130.0000,3240.0000,3120.0000,3180.0000,8138100
2026-03-11,3180.0000,3230.0000,3140.0000,3150.0000,6394100
2026-03-12,3150.0000,3160.0000,3110.0000,3130.0000,1669600
2026-03-13,3130.0000,3140.0000,3030.0000,3070.0000,6930500
2026-03-16,3070.0000,3090.0000,2990.0000,3070.0000,2980400
2026-03-17,3100.0000,3140.0000,3080.0000,3100.0000,2274100
2026-03-25,3100.0000,3120.0000,3050.0000,3120.0000,7077500
2026-03-26,3120.0000,3180.0000,3110.0000,3150.0000,4899500
2026-03-27,3150.0000,3150.0000,3110.0000,3120.0000,1480800
2026-03-30,3090.0000,3110.0000,3040.0000,3100.0000,2879800
2026-03-31,3100.0000,3110.0000,3050.0000,3070.0000,5158100
2026-04-01,3100.0000,3150.0000,3070.0000,3090.0000,3434200
2026-04-02,3090.0000,3120.0000,3050.0000,3080.0000,2689800
2026-04-06,3080.0000,3080.0000,3000.0000,3000.0000,6705700
2026-04-07,3010.0000,3100.0000,3000.0000,3000.0000,2246100
2026-04-08,3050.0000,3140.0000,3030.0000,3130.0000,3304800
2026-04-09,3140.0000,3150.0000,3090.0000,3120.0000,3121800
