tanggal,pembukaan,tertinggi,terendah,penutupan,volume
2026-01-02,1215.0000,1235.0000,1190.0000,1205.0000,33532500
2026-01-05,1215.0000,1240.0000,1205.0000,1225.0000,46518200
2026-01-06,1225.0000,1225.0000,1195.0000,1195.0000,56139100
2026-01-07,1195.0000,1210.0000,1180.0000,1195.0000,66577900
2026-01-08,1195.0000,1210.0000,1185.0000,1190.0000,40194800
2026-01-09,1200.0000,1200.0000,1180.0000,1185.0000,19865000
2026-01-12,1190.0000,1235.0000,1190.0000,1220.0000,60842500
2026-01-13,1230.0000,1230.0000,1210.0000,1230.0000,39389900
2026-01-14,1230.0000,1245.0000,1210.0000,1230.0000,45697500
2026-01-15,1230.0000,1245.0000,1200.0000,1205.0000,62817300
2026-01-19,1215.0000,1235.0000,1200.0000,1215.0000,59028000
2026-01-20,1205.0000,1210.0000,1190.0000,1190.0000,63111000
2026-01-21,1195.0000,1200.0000,1180.0000,1200.0000,45022400
2026-01-22,1205.0000,1230.0000,1200.0000,1225.0000,68058100
2026-01-23,1225.0000,1230.0000,1205.0000,1220.0000,40388700
2026-01-26,1220.0000,1220.0000,1180.0000,1180.0000,54910900
2026-01-27,1185.0000,1185.0000,1110.0000,1135.0000,111926900
2026-01-28,1110.0000,1130.0000,1070.0000,1100.0000,84670900
2026-01-29,1085.0000,1105.0000,1010.0000,1085.0000,90047800
2026-01-30,1095.0000,1150.0000,1090.0000,1145.0000,82357300
2026-02-02,1145.0000,1155.0000,1125.0000,1140.0000,81332000
2026-02-03,1145.0000,1170.0000,1125.0000,1150.0000,44686600
2026-02-04,1160.0000,1160.0000,1135.0000,1140.0000,45098700
2026-02-05,1140.0000,1160.0000,1115.0000,1115.0000,44406000
2026-02-06,1115.0000,1130.0000,1105.0000,1120.0000,33933600
2026-02-09,1130.0000,1130.0000,1090.0000,1105.0000,33061100
2026-02-10,1095.0000,1110.0000,1090.0000,1110.0000,44580100
2026-02-11,1110.0000,1110.0000,1095.0000,1105.0000,32635700
2026-02-12,1105.0000,1110.0000,1095.0000,1100.0000,42552400
2026-02-13,1095.0000,1100.0000,1080.0000,1080.0000,50565600
2026-02-18,1090.0000,1090.0000,1075.0000,1080.0000,35272100
2026-02-19,1085.0000,1095.0000,1080.0000,1080.0000,24202800
2026-02-20,1070.0000,1080.0000,1055.0000,1055.0000,72620200
2026-02-23,1060.0000,1095.0000,1055.0000,1080.0000,68164800
2026-02-24,1090.0000,1090.0000,1055.0000,1060.0000,64915700
2026-02-25,1075.0000,1115.0000,1070.0000,1115.0000,78710500
2026-02-26,1115.0000,1115.0000,1075.0000,1075.0000,62743300
2026-02-27,1085.0000,1105.0000,1075.0000,1100.0000,36614300
2026-03-02,1070.0000,1075.0000,1050.0000,1050.0000,52038500
2026-03-03,1050.0000,1070.0000,1035.0000,1035.0000,66036500
