tanggal,pembukaan,tertinggi,terendah,penutupan,volume
2026-01-02,1180.0000,1195.0000,1170.0000,1180.0000,9808000
2026-01-05,1180.0000,1195.0000,1175.0000,1185.0000,9251300
2026-01-06,1190.0000,1190.0000,1160.0000,1175.0000,19166700
2026-01-07,1175.0000,1180.0000,1160.0000,1170.0000,25193300
2026-01-08,1170.0000,1180.0000,1140.0000,1145.0000,29741700
2026-01-09,1150.0000,1155.0000,1140.0000,1145.0000,17456100
2026-01-12,1155.0000,1160.0000,1145.0000,1155.0000,28989900
2026-01-13,1155.0000,1165.0000,1140.0000,1150.0000,37606900
2026-01-14,1150.0000,1190.0000,1150.0000,1180.0000,55938200
2026-01-15,1190.0000,1205.0000,1165.0000,1180.0000,32630300
2026-01-19,1180.0000,1185.0000,1160.0000,1175.0000,13978700
2026-01-20,1175.0000,1215.0000,1155.0000,1200.0000,36890400
2026-01-21,1205.0000,1210.0000,1165.0000,1210.0000,23691900
2026-01-22,1215.0000,1275.0000,1210.0000,1265.0000,46929800
2026-01-23,1275.0000,1280.0000,1225.0000,1255.0000,22020400
2026-01-26,1265.0000,1275.0000,1240.0000,1275.0000,16414300
2026-01-27,1275.0000,1290.0000,1240.0000,1240.0000,25468700
2026-01-28,1225.0000,1245.0000,1135.0000,1175.0000,65678100
2026-01-29,1150.0000,1175.0000,1000.0000,1160.0000,73477100
2026-01-30,1165.0000,1215.0000,1160.0000,1185.0000,32454400
2026-02-02,1220.0000,1225.0000,1180.0000,1205.0000,18614800
2026-02-03,1225.0000,1225.0000,1180.0000,1225.0000,13040500
2026-02-04,1225.0000,1245.0000,1215.0000,1245.0000,16377200
2026-02-05,1250.0000,1255.0000,1230.0000,1235.0000,8196700
2026-02-06,1220.0000,1245.0000,1200.0000,1215.0000,7200600
2026-02-09,1220.0000,1225.0000,1185.0000,1200.0000,7164800
2026-02-10,1200.0000,1215.0000,1195.0000,1200.0000,6668200
2026-02-11,1200.0000,1340.0000,1200.0000,1330.0000,45942100
2026-02-12,1330.0000,1335.0000,1285.0000,1295.0000,27145000
2026-02-13,1305.0000,1330.0000,1305.0000,1325.0000,30492200
