tanggal,pembukaan,tertinggi,terendah,penutupan,volume
2026-01-02,580.0000,630.0000,580.0000,620.0000,390788900
2026-01-05,625.0000,645.0000,605.0000,625.0000,263126700
2026-01-06,645.0000,670.0000,635.0000,660.0000,419525600
2026-01-07,690.0000,720.0000,665.0000,670.0000,981577200
2026-01-08,655.0000,655.0000,625.0000,630.0000,479440100
2026-01-09,635.0000,655.0000,630.0000,650.0000,176705700
2026-01-12,665.0000,670.0000,615.0000,650.0000,356975200
2026-01-13,650.0000,790.0000,650.0000,775.0000,1744226300
2026-01-14,800.0000,815.0000,750.0000,770.0000,1163578300
2026-01-15,810.0000,845.0000,780.0000,790.0000,686073600
2026-01-19,780.0000,785.0000,735.0000,770.0000,406933700
2026-01-20,770.0000,785.0000,755.0000,770.0000,191848400
2026-01-21,765.0000,810.0000,755.0000,780.0000,341661600
2026-01-22,785.0000,830.0000,765.0000,790.0000,613809300
2026-01-23,810.0000,815.0000,770.0000,795.0000,274452800
2026-01-26,820.0000,860.0000,800.0000,805.0000,591935400
2026-01-27,810.0000,815.0000,760.0000,765.0000,288625100
2026-01-28,665.0000,775.0000,665.0000,755.0000,582208100
2026-01-29,765.0000,765.0000,645.0000,720.0000,768598200
2026-01-30,720.0000,735.0000,670.0000,700.0000,267077600
2026-02-02,650.0000,685.0000,595.0000,595.0000,331782000
2026-02-03,605.0000,655.0000,545.0000,650.0000,533863900
2026-02-04,635.0000,680.0000,625.0000,670.0000,334155800
2026-02-05,675.0000,680.0000,640.0000,650.0000,163977500
2026-02-06,635.0000,640.0000,605.0000,615.0000,185069100
2026-02-09,625.0000,670.0000,615.0000,655.0000,191340100
2026-02-10,655.0000,720.0000,655.0000,685.0000,292251400
2026-02-11,690.0000,730.0000,685.0000,730.0000,257309400
2026-02-12,740.0000,760.0000,725.0000,735.0000,278103600
2026-02-13,740.0000,755.0000,715.0000,725.0000,150512700
2026-02-18,765.0000,800.0000,745.0000,785.0000,368728600
2026-02-19,830.0000,945.0000,800.0000,905.0000,1295743500
2026-02-20,910.0000,935.0000,845.0000,855.0000,497874600
2026-02-23,875.0000,910.0000,860.0000,875.0000,324408800
2026-02-24,885.0000,910.0000,865.0000,880.0000,307250400
2026-02-25,900.0000,920.0000,830.0000,845.0000,597235900
2026-02-26,850.0000,855.0000,790.0000,820.0000,396969800
2026-02-27,825.0000,855.0000,775.0000,855.0000,308062600
2026-03-02,820.0000,855.0000,805.0000,815.0000,206065900
2026-03-03,805.0000,840.0000,750.0000,770.0000,465728400
2026-03-04,755.0000,760.0000,690.0000,710.0000,359323400
2026-03-05,745.0000,780.0000,725.0000,725.0000,308519100
2026-03-06,710.0000,730.0000,695.0000,715.0000,171020800
2026-03-09,660.0000,690.0000,630.0000,660.0000,278837200
2026-03-10,700.0000,760.0000,680.0000,755.0000,370522100
2026-03-11,755.0000,770.0000,730.0000,740.0000,184266400
2026-03-12,740.0000,745.0000,705.0000,725.0000,141769600
2026-03-13,720.0000,720.0000,670.0000,705.0000,189280300
2026-03-16,690.0000,700.0000,650.0000,685.0000,180588800
2026-03-17,705.0000,725.0000,690.0000,700.0000,175615900
2026-03-25,700.0000,745.0000,700.0000,730.0000,158712400
2026-03-26,740.0000,750.0000,685.0000,690.0000,179233800
2026-03-27,685.0000,710.0000,660.0000,665.0000,129688400
2026-03-30,655.0000,685.0000,640.0000,680.0000,87785900
2026-03-31,680.0000,730.0000,670.0000,730.0000,250844000
2026-04-01,745.0000,765.0000,730.0000,730.0000,197448900
2026-04-02,725.0000,740.0000,705.0000,730.0000,81871700
2026-04-06,720.0000,740.0000,705.0000,710.0000,66045400
2026-04-07,710.0000,720.0000,685.0000,695.0000,72276400
2026-04-08,715.0000,795.0000,715.0000,780.0000,215401400
2026-04-09,765.0000,775.0000,740.0000,745.0000,135857500
2026-04-10,755.0000,760.0000,740.0000,745.0000,98108100
2026-04-13,730.0000,750.0000,720.0000,730.0000,145267500
2026-04-14,745.0000,760.0000,735.0000,745.0000,222640300
2026-04-15,765.0000,775.0000,735.0000,740.0000,278757300
2026-04-16,750.0000,760.0000,725.0000,735.0000,134173600
2026-04-17,740.0000,755.0000,725.0000,755.0000,114058600
2026-04-20,760.0000,770.0000,725.0000,730.0000,142004900
2026-04-21,735.0000,740.0000,720.0000,730.0000,89720800
2026-04-22,735.0000,740.0000,700.0000,705.0000,189416500
2026-04-23,710.0000,715.0000,670.0000,675.0000,199164700
2026-04-24,680.0000,695.0000,645.0000,660.0000,236008000
2026-04-27,675.0000,690.0000,660.0000,680.0000,105909300
2026-04-28,685.0000,710.0000,670.0000,705.0000,132576400
2026-04-29,705.0000,710.0000,690.0000,690.0000,82903600
2026-04-30,690.0000,690.0000,640.0000,675.0000,227934500
2026-05-04,670.0000,680.0000,660.0000,675.0000,72054000
2026-05-05,670.0000,680.0000,615.0000,615.0000,228463800
2026-05-06,615.0000,665.0000,615.0000,655.0000,174974700
2026-05-07,655.0000,670.0000,635.0000,655.0000,105380200
2026-05-08,655.0000,655.0000,580.0000,580.0000,265645500
2026-05-11,585.0000,665.0000,560.0000,615.0000,233415500
2026-05-12,615.0000,615.0000,590.0000,600.0000,93168000
2026-05-13,600.0000,615.0000,585.0000,585.0000,88114700
2026-05-14,585.0000,585.0000,585.0000,585.0000,0
2026-05-15,585.0000,585.0000,585.0000,585.0000,0
2026-05-18,580.0000,580.0000,505.0000,540.0000,315024800
2026-05-19,550.0000,550.0000,464.0000,476.0000,721706300
2026-05-20,472.0000,498.0000,424.0000,460.0000,592863500
2026-05-21,468.0000,472.0000,424.0000,440.0000,234624600
2026-05-22,440.0000,484.0000,408.0000,482.0000,603681600
2026-05-25,486.0000,510.0000,472.0000,496.0000,377112300
2026-05-26,496.0000,510.0000,468.0000,476.0000,173316900
2026-05-27,476.0000,476.0000,476.0000,476.0000,0
2026-05-28,476.0000,476.0000,476.0000,476.0000,0
2026-05-29,476.0000,494.0000,464.0000,478.0000,160493900
2026-06-02,480.0000,492.0000,472.0000,474.0000,112248900
2026-06-03,474.0000,478.0000,426.0000,444.0000,174554000
2026-06-04,458.0000,458.0000,398.0000,432.0000,197605900
2026-06-05,434.0000,454.0000,430.0000,434.0000,186244100
2026-06-08,426.0000,462.0000,408.0000,440.0000,203960400
2026-06-09,440.0000,460.0000,424.0000,450.0000,225055500
2026-06-10,450.0000,488.0000,438.0000,472.0000,306080200
2026-06-11,468.0000,478.0000,442.0000,448.0000,161354500
2026-06-12,452.0000,486.0000,452.0000,482.0000,202671900
2026-06-15,496.0000,545.0000,494.0000,510.0000,384052700
2026-06-17,525.0000,550.0000,510.0000,515.0000,204638100
2026-06-18,515.0000,540.0000,505.0000,535.0000,152990400
2026-06-19,545.0000,565.0000,530.0000,540.0000,257517300
2026-06-22,545.0000,545.0000,505.0000,505.0000,122341600
2026-06-23,505.0000,535.0000,498.0000,535.0000,147119600
2026-06-24,525.0000,545.0000,490.0000,492.0000,147390200
2026-06-25,496.0000,520.0000,484.0000,505.0000,207329600
2026-06-26,510.0000,515.0000,484.0000,496.0000,99767000
2026-06-29,496.0000,510.0000,490.0000,494.0000,109912900
2026-06-30,494.0000,496.0000,462.0000,462.0000,112998300
2026-07-01,462.0000,510.0000,452.0000,510.0000,144014200
2026-07-02,510.0000,525.0000,505.0000,520.0000,83549300
2026-07-03,525.0000,540.0000,505.0000,520.0000,74105000
2026-07-06,520.0000,525.0000,500.0000,510.0000,44780500
2026-07-07,515.0000,515.0000,498.0000,510.0000,32357200
2026-07-08,505.0000,505.0000,478.0000,478.0000,86779700
2026-07-09,478.0000,505.0000,478.0000,496.0000,89954400
2026-07-10,505.0000,505.0000,490.0000,494.0000,42645700
2026-07-13,494.0000,500.0000,484.0000,500.0000,46083200
2026-07-14,500.0000,520.0000,496.0000,510.0000,89404900
2026-07-15,515.0000,530.0000,505.0000,520.0000,83260500
2026-07-16,525.0000,530.0000,515.0000,525.0000,48812000
2026-07-17,525.0000,530.0000,510.0000,515.0000,44914400
2026-07-20,515.0000,525.0000,515.0000,525.0000,58486900
2026-07-21,525.0000,540.0000,520.0000,540.0000,125965900
2026-07-22,540.0000,555.0000,525.0000,535.0000,112368200
