tanggal,pembukaan,tertinggi,terendah,penutupan,volume
2026-01-02,2290.0000,2350.0000,2260.0000,2330.0000,33768500
2026-01-05,2380.0000,2480.0000,2360.0000,2480.0000,98930000
2026-01-06,2500.0000,2730.0000,2500.0000,2700.0000,203198800
2026-01-07,2750.0000,2770.0000,2680.0000,2720.0000,112010500
2026-01-08,2710.0000,2710.0000,2530.0000,2560.0000,84234700
2026-01-09,2580.0000,2710.0000,2580.0000,2700.0000,64094600
2026-01-12,2760.0000,2890.0000,2660.0000,2890.0000,178530600
2026-01-13,2950.0000,3150.0000,2930.0000,3120.0000,301565000
2026-01-14,3160.0000,3190.0000,3020.0000,3060.0000,128273700
2026-01-15,3090.0000,3150.0000,2950.0000,2990.0000,125184800
2026-01-19,3030.0000,3070.0000,2930.0000,3060.0000,116660400
2026-01-20,3130.0000,3230.0000,3040.0000,3210.0000,168195300
2026-01-21,3260.0000,3410.0000,3220.0000,3310.0000,165486500
2026-01-22,3260.0000,3350.0000,3180.0000,3240.0000,119070600
2026-01-23,3350.0000,3380.0000,3230.0000,3300.0000,103617400
2026-01-26,3350.0000,3580.0000,3330.0000,3450.0000,211599000
2026-01-27,3470.0000,3490.0000,3130.0000,3210.0000,174852000
2026-01-28,3130.0000,3260.0000,2970.0000,3240.0000,237110300
2026-01-29,3300.0000,3330.0000,2810.0000,3170.0000,244629800
2026-01-30,3200.0000,3350.0000,3110.0000,3210.0000,147285200
2026-02-02,2960.0000,3020.0000,2730.0000,2730.0000,115937900
2026-02-03,2900.0000,2950.0000,2620.0000,2950.0000,112002800
2026-02-04,3010.0000,3110.0000,2990.0000,3030.0000,97456600
2026-02-05,3050.0000,3130.0000,2840.0000,3060.0000,148922200
2026-02-06,2940.0000,2990.0000,2810.0000,2850.0000,107512500
2026-02-09,2900.0000,3070.0000,2900.0000,3040.0000,67790000
2026-02-10,3060.0000,3180.0000,3020.0000,3090.0000,70308100
2026-02-11,3100.0000,3220.0000,3090.0000,3160.0000,61619200
2026-02-12,3180.0000,3280.0000,3180.0000,3190.0000,66660600
2026-02-13,3170.0000,3250.0000,3110.0000,3220.0000,49113000
2026-02-18,3200.0000,3300.0000,3160.0000,3290.0000,51711000
2026-02-19,3300.0000,3680.0000,3290.0000,3530.0000,144237200
2026-02-20,3600.0000,3680.0000,3530.0000,3590.0000,70740400
2026-02-23,3620.0000,3750.0000,3610.0000,3740.0000,65362200
2026-02-24,3750.0000,3900.0000,3750.0000,3790.0000,92209500
2026-02-25,3810.0000,3960.0000,3780.0000,3820.0000,90104000
2026-02-26,3840.0000,3850.0000,3520.0000,3640.0000,136401700
2026-02-27,3630.0000,3790.0000,3570.0000,3750.0000,83375700
2026-03-02,3800.0000,3950.0000,3760.0000,3940.0000,90636200
2026-03-03,3940.0000,3940.0000,3590.0000,3660.0000,87425600
2026-03-04,3530.0000,3590.0000,3400.0000,3430.0000,114676300
2026-03-05,3550.0000,3650.0000,3510.0000,3620.0000,39732600
2026-03-06,3620.0000,3620.0000,3400.0000,3480.0000,51959700
2026-03-09,3300.0000,3370.0000,3000.0000,3330.0000,132816900
2026-03-10,3450.0000,3510.0000,3340.0000,3500.0000,64342500
2026-03-11,3500.0000,3540.0000,3360.0000,3370.0000,42040200
2026-03-12,3370.0000,3390.0000,3230.0000,3370.0000,43996100
2026-03-13,3350.0000,3350.0000,3140.0000,3190.0000,66141600
2026-03-16,3080.0000,3100.0000,2970.0000,3060.0000,99499400
2026-03-17,3090.0000,3340.0000,3090.0000,3310.0000,70003100
2026-03-25,3130.0000,3250.0000,3100.0000,3190.0000,63871700
2026-03-26,3200.0000,3330.0000,3190.0000,3240.0000,31270600
2026-03-27,3200.0000,3280.0000,3200.0000,3230.0000,17831300
2026-03-30,3200.0000,3230.0000,3100.0000,3100.0000,56115800
2026-03-31,3120.0000,3210.0000,3070.0000,3140.0000,66624800
2026-04-01,3230.0000,3390.0000,3190.0000,3340.0000,72471100
2026-04-02,3300.0000,3320.0000,3190.0000,3260.0000,25817500
2026-04-06,3210.0000,3300.0000,3150.0000,3250.0000,27540000
2026-04-07,3260.0000,3300.0000,3160.0000,3160.0000,22386800
2026-04-08,3260.0000,3400.0000,3260.0000,3300.0000,65155700
2026-04-09,3260.0000,3300.0000,3210.0000,3230.0000,18990700
2026-04-10,3260.0000,3290.0000,3190.0000,3220.0000,28167900
2026-04-13,3220.0000,3230.0000,3100.0000,3150.0000,42114500
2026-04-14,3180.0000,3220.0000,3130.0000,3210.0000,48646100
2026-04-15,3260.0000,3440.0000,3260.0000,3350.0000,88346500
2026-04-16,3400.0000,3440.0000,3300.0000,3320.0000,46675000
2026-04-17,3330.0000,3370.0000,3290.0000,3370.0000,13612800
2026-04-20,3370.0000,3460.0000,3310.0000,3350.0000,57870700
2026-04-21,3450.0000,3490.0000,3360.0000,3370.0000,74905600
2026-04-22,3400.0000,3540.0000,3370.0000,3400.0000,69397300
2026-04-23,3420.0000,3440.0000,3330.0000,3380.0000,29249900
2026-04-24,3370.0000,3380.0000,3260.0000,3380.0000,36081500
2026-04-27,3390.0000,3480.0000,3380.0000,3470.0000,36621100
2026-04-28,3480.0000,3490.0000,3400.0000,3420.0000,26659900
2026-04-29,3430.0000,3440.0000,3360.0000,3400.0000,21530600
2026-04-30,3430.0000,3440.0000,3150.0000,3230.0000,54140100
2026-05-04,3230.0000,3270.0000,3170.0000,3200.0000,29676400
2026-05-05,3200.0000,3200.0000,3070.0000,3100.0000,33994900
2026-05-06,3100.0000,3160.0000,3070.0000,3110.0000,42688000
2026-05-07,3160.0000,3250.0000,3140.0000,3200.0000,87770200
2026-05-08,3200.0000,3240.0000,2720.0000,2780.0000,306091600
2026-05-11,2760.0000,3100.0000,2630.0000,2870.0000,194848600
2026-05-12,2890.0000,2910.0000,2770.0000,2870.0000,55519100
2026-05-13,2820.0000,2840.0000,2690.0000,2730.0000,60819200
2026-05-14,2730.0000,2730.0000,2730.0000,2730.0000,0
2026-05-15,2730.0000,2730.0000,2730.0000,2730.0000,0
2026-05-18,2630.0000,2660.0000,2340.0000,2660.0000,155530700
2026-05-19,2680.0000,2780.0000,2340.0000,2500.0000,308566800
2026-05-20,2500.0000,2650.0000,2250.0000,2350.0000,208580800
2026-05-21,2410.0000,2410.0000,2150.0000,2180.0000,135882000
2026-05-22,2180.0000,2720.0000,2180.0000,2720.0000,315769700
2026-05-25,2740.0000,2940.0000,2700.0000,2850.0000,225380900
2026-05-26,2850.0000,2850.0000,2720.0000,2720.0000,103528900
2026-05-27,2720.0000,2720.0000,2720.0000,2720.0000,0
2026-05-28,2720.0000,2720.0000,2720.0000,2720.0000,0
2026-05-29,2720.0000,2830.0000,2550.0000,2590.0000,108962300
2026-06-02,2610.0000,2640.0000,2520.0000,2640.0000,69974400
2026-06-03,2600.0000,2600.0000,2250.0000,2320.0000,172256000
2026-06-04,2320.0000,2500.0000,2050.0000,2490.0000,222312600
2026-06-05,2650.0000,2690.0000,2540.0000,2570.0000,169411600
2026-06-08,2470.0000,2620.0000,2290.0000,2420.0000,123229200
2026-06-09,2440.0000,2630.0000,2370.0000,2580.0000,84549400
2026-06-10,2530.0000,2830.0000,2450.0000,2660.0000,109293900
2026-06-11,2600.0000,2650.0000,2470.0000,2470.0000,97738200
2026-06-12,2520.0000,2670.0000,2520.0000,2540.0000,74638100
2026-06-15,2650.0000,2780.0000,2610.0000,2740.0000,100160100
2026-06-17,2770.0000,2820.0000,2690.0000,2730.0000,49144000
2026-06-18,2730.0000,2920.0000,2700.0000,2860.0000,78188600
2026-06-19,2920.0000,3130.0000,2870.0000,2930.0000,133420900
2026-06-22,3000.0000,3020.0000,2870.0000,2940.0000,50363800
2026-06-23,2940.0000,2950.0000,2810.0000,2840.0000,39214400
2026-06-24,2840.0000,2880.0000,2690.0000,2720.0000,38031100
2026-06-25,2670.0000,2940.0000,2620.0000,2900.0000,47877000
2026-06-26,2900.0000,2900.0000,2640.0000,2690.0000,43978800
2026-06-29,2690.0000,2790.0000,2610.0000,2630.0000,26504900
2026-06-30,2620.0000,2620.0000,2420.0000,2420.0000,39271900
2026-07-01,2440.0000,2640.0000,2360.0000,2540.0000,31830500
2026-07-02,2610.0000,2640.0000,2510.0000,2540.0000,20953100
2026-07-03,2620.0000,2720.0000,2620.0000,2700.0000,23591700
2026-07-06,2740.0000,2780.0000,2670.0000,2710.0000,25429300
2026-07-07,2710.0000,2720.0000,2630.0000,2720.0000,24388300
2026-07-08,2700.0000,2700.0000,2570.0000,2570.0000,26227900
2026-07-09,2550.0000,2630.0000,2540.0000,2570.0000,23708700
2026-07-10,2590.0000,2640.0000,2550.0000,2570.0000,22367100
2026-07-13,2570.0000,2650.0000,2480.0000,2640.0000,26164100
2026-07-14,2660.0000,2680.0000,2590.0000,2660.0000,33394100
2026-07-15,2670.0000,2690.0000,2620.0000,2650.0000,22101700
2026-07-16,2670.0000,2720.0000,2650.0000,2660.0000,32554300
2026-07-17,2650.0000,2670.0000,2600.0000,2660.0000,27449500
2026-07-20,2680.0000,2710.0000,2660.0000,2670.0000,25542800
2026-07-21,2690.0000,2760.0000,2680.0000,2720.0000,46555200
2026-07-22,2770.0000,2830.0000,2720.0000,2730.0000,54515700
2026-07-23,2740.0000,2930.0000,2740.0000,2780.0000,63130400
2026-07-24,2760.0000,2770.0000,2640.0000,2650.0000,35639700
2026-07-27,2640.0000,2700.0000,2600.0000,2640.0000,31804400
2026-07-28,2620.0000,2690.0000,2600.0000,2630.0000,15188100
2026-07-29,2640.0000,2660.0000,2550.0000,2610.0000,29125300
2026-07-30,2630.0000,2730.0000,2630.0000,2690.0000,33487200
2026-07-31,2760.0000,2760.0000,2700.0000,2720.0000,14583900
2026-08-03,2800.0000,2800.0000,2700.0000,2720.0000,12894500
2026-08-04,2750.0000,2920.0000,2740.0000,2910.0000,78402600
2026-08-05,2910.0000,2970.0000,2870.0000,2910.0000,58493600
2026-08-06,2980.0000,2990.0000,2810.0000,2840.0000,41157200
2026-08-07,2860.0000,2950.0000,2850.0000,2940.0000,29807200
2026-08-10,2960.0000,3080.0000,2960.0000,3040.0000,73811200
2026-08-11,3060.0000,3080.0000,2910.0000,2920.0000,44294300
2026-08-12,2940.0000,2960.0000,2870.0000,2910.0000,33555600
2026-08-13,2910.0000,2920.0000,2780.0000,2790.0000,38376400
2026-08-14,2790.0000,2950.0000,2740.0000,2900.0000,48562900
2026-08-18,2900.0000,2940.0000,2870.0000,2880.0000,37562500
2026-08-19,2860.0000,2880.0000,2840.0000,2850.0000,16348600
2026-08-20,2930.0000,2980.0000,2930.0000,2940.0000,41017300
2026-08-21,2960.0000,2980.0000,2920.0000,2950.0000,14507700
2026-08-24,2960.0000,2990.0000,2900.0000,2960.0000,37369900
2026-08-26,2960.0000,3180.0000,2910.0000,3020.0000,86461700
2026-08-27,3020.0000,3080.0000,2980.0000,3030.0000,32631700
2026-08-28,3030.0000,3070.0000,2980.0000,3040.0000,30410000
2026-08-31,3000.0000,3000.0000,2920.0000,2940.0000,49499200
2026-09-01,2940.0000,2980.0000,2910.0000,2910.0000,23378400
2026-09-02,2900.0000,2910.0000,2850.0000,2880.0000,22037200
2026-09-03,2930.0000,2950.0000,2890.0000,2920.0000,17122000
2026-09-04,2930.0000,2950.0000,2890.0000,2900.0000,15205800
2026-09-07,2900.0000,2930.0000,2870.0000,2880.0000,18927200
2026-09-08,2910.0000,3150.0000,2880.0000,3120.0000,105313200
2026-09-09,3120.0000,3140.0000,3070.0000,3110.0000,37251200
2026-09-10,3120.0000,3160.0000,3040.0000,3060.0000,27547100
2026-09-11,3000.0000,3050.0000,2940.0000,3050.0000,32472800
2026-09-14,2970.0000,2980.0000,2800.0000,2880.0000,77736800
2026-09-15,2880.0000,2900.0000,2810.0000,2810.0000,23912200
2026-09-16,2800.0000,2890.0000,2780.0000,2850.0000,41333300
2026-09-17,2870.0000,2890.0000,2830.0000,2870.0000,25889100
2026-09-18,2900.0000,2930.0000,2870.0000,2900.0000,37286400
