tanggal,pembukaan,tertinggi,terendah,penutupan,volume
2026-01-02,1350.0000,1460.0000,1335.0000,1450.0000,98009000
2026-01-05,1545.0000,1630.0000,1475.0000,1485.0000,238493400
2026-01-06,1490.0000,1515.0000,1455.0000,1500.0000,93342100
2026-01-07,1510.0000,1515.0000,1455.0000,1470.0000,60429000
2026-01-08,1465.0000,1465.0000,1395.0000,1405.0000,65084900
2026-01-09,1450.0000,1495.0000,1450.0000,1485.0000,63026700
2026-01-12,1495.0000,1550.0000,1455.0000,1530.0000,167025500
2026-01-13,1545.0000,1550.0000,1480.0000,1500.0000,90053500
2026-01-14,1540.0000,1575.0000,1470.0000,1480.0000,200124600
2026-01-15,1480.0000,1495.0000,1455.0000,1460.0000,51915300
2026-01-19,1460.0000,1490.0000,1420.0000,1480.0000,51312700
2026-01-20,1495.0000,1510.0000,1455.0000,1470.0000,44999200
2026-01-21,1470.0000,1485.0000,1430.0000,1480.0000,59779500
2026-01-22,1490.0000,1585.0000,1475.0000,1520.0000,140062600
2026-01-23,1520.0000,1530.0000,1465.0000,1515.0000,50313700
2026-01-26,1515.0000,1610.0000,1515.0000,1575.0000,285142100
2026-01-27,1580.0000,1580.0000,1525.0000,1530.0000,78965800
2026-01-28,1470.0000,1525.0000,1425.0000,1515.0000,134939700
2026-01-29,1530.0000,1535.0000,1290.0000,1505.0000,154852300
2026-01-30,1530.0000,1615.0000,1500.0000,1520.0000,280558200
2026-02-02,1475.0000,1500.0000,1350.0000,1425.0000,205881700
2026-02-03,1430.0000,1465.0000,1395.0000,1455.0000,67969700
2026-02-04,1450.0000,1495.0000,1445.0000,1490.0000,78627600
2026-02-05,1485.0000,1520.0000,1425.0000,1430.0000,138495200
2026-02-06,1395.0000,1500.0000,1385.0000,1480.0000,73134200
2026-02-09,1495.0000,1510.0000,1465.0000,1475.0000,87022100
2026-02-10,1470.0000,1570.0000,1470.0000,1550.0000,191218900
2026-02-11,1550.0000,1585.0000,1515.0000,1580.0000,121328900
2026-02-12,1580.0000,1600.0000,1570.0000,1580.0000,89851500
2026-02-13,1560.0000,1595.0000,1530.0000,1580.0000,69844500
2026-02-18,1585.0000,1685.0000,1550.0000,1685.0000,164531700
2026-02-19,1700.0000,1835.0000,1655.0000,1710.0000,314225500
2026-02-20,1730.0000,1820.0000,1705.0000,1730.0000,298062200
2026-02-23,1750.0000,1760.0000,1695.0000,1730.0000,109100000
2026-02-24,1725.0000,1775.0000,1675.0000,1685.0000,140191200
2026-02-25,1690.0000,1745.0000,1645.0000,1730.0000,100759500
2026-02-26,1730.0000,1730.0000,1630.0000,1680.0000,95037500
2026-02-27,1650.0000,1740.0000,1615.0000,1725.0000,141623700
2026-03-02,1825.0000,1995.0000,1765.0000,1995.0000,963259200
2026-03-03,1990.0000,2000.0000,1870.0000,1900.0000,532197800
2026-03-04,1880.0000,1985.0000,1770.0000,1820.0000,723304300
2026-03-05,1855.0000,1885.0000,1805.0000,1820.0000,231269700
2026-03-06,1830.0000,1910.0000,1745.0000,1765.0000,345228400
2026-03-09,1860.0000,1895.0000,1680.0000,1690.0000,428307900
2026-03-10,1630.0000,1745.0000,1590.0000,1725.0000,259946200
2026-03-11,1715.0000,1745.0000,1630.0000,1665.0000,149300500
2026-03-12,1705.0000,1750.0000,1700.0000,1730.0000,154755000
2026-03-13,1740.0000,1745.0000,1675.0000,1700.0000,127437700
2026-03-16,1700.0000,1750.0000,1635.0000,1750.0000,109700800
2026-03-17,1755.0000,1820.0000,1750.0000,1800.0000,138578400
2026-03-25,1750.0000,1825.0000,1730.0000,1750.0000,94149500
2026-03-26,1770.0000,1830.0000,1770.0000,1830.0000,94044900
2026-03-27,1830.0000,1875.0000,1810.0000,1840.0000,85868100
2026-03-30,1865.0000,1935.0000,1840.0000,1930.0000,150759900
2026-03-31,1925.0000,1925.0000,1825.0000,1825.0000,119184700
2026-04-01,1805.0000,1820.0000,1670.0000,1685.0000,217662300
2026-04-02,1710.0000,1735.0000,1605.0000,1605.0000,174610000
2026-04-06,1625.0000,1640.0000,1580.0000,1600.0000,104755400
2026-04-07,1600.0000,1660.0000,1600.0000,1630.0000,84524400
2026-04-08,1570.0000,1570.0000,1475.0000,1555.0000,259045700
2026-04-09,1580.0000,1615.0000,1545.0000,1550.0000,129946100
2026-04-10,1555.0000,1565.0000,1535.0000,1555.0000,77335300
2026-04-13,1600.0000,1655.0000,1600.0000,1650.0000,185611700
2026-04-14,1645.0000,1685.0000,1620.0000,1685.0000,104603400
2026-04-15,1680.0000,1730.0000,1675.0000,1685.0000,114179900
2026-04-16,1685.0000,1715.0000,1670.0000,1710.0000,77452200
2026-04-17,1710.0000,1715.0000,1690.0000,1700.0000,26922100
