tanggal,pembukaan,tertinggi,terendah,penutupan,volume
2026-01-02,700.0000,700.0000,655.0000,660.0000,42767000
2026-01-05,650.0000,655.0000,635.0000,650.0000,33675200
2026-01-06,650.0000,650.0000,630.0000,650.0000,23856600
2026-01-07,655.0000,655.0000,630.0000,630.0000,30496300
2026-01-08,630.0000,635.0000,585.0000,600.0000,60904600
2026-01-09,600.0000,605.0000,590.0000,600.0000,10404100
2026-01-12,600.0000,605.0000,590.0000,605.0000,11685000
2026-01-13,605.0000,610.0000,590.0000,600.0000,11275600
2026-01-14,600.0000,610.0000,590.0000,610.0000,12810000
2026-01-15,610.0000,615.0000,595.0000,615.0000,13965000
2026-01-19,615.0000,625.0000,600.0000,620.0000,14722300
2026-01-20,610.0000,615.0000,605.0000,615.0000,10091900
2026-01-21,610.0000,615.0000,590.0000,600.0000,19715600
2026-01-22,600.0000,610.0000,590.0000,600.0000,34323600
2026-01-23,600.0000,600.0000,585.0000,585.0000,19776900
2026-01-26,585.0000,590.0000,575.0000,585.0000,15834200
2026-01-27,585.0000,585.0000,570.0000,585.0000,14389400
2026-01-28,575.0000,575.0000,550.0000,570.0000,29765400
2026-01-29,555.0000,565.0000,535.0000,550.0000,34648700
2026-01-30,550.0000,560.0000,545.0000,555.0000,28469300
2026-02-02,550.0000,555.0000,540.0000,550.0000,14796700
2026-02-03,545.0000,555.0000,540.0000,545.0000,22944100
2026-02-04,545.0000,550.0000,535.0000,545.0000,28211600
2026-02-05,540.0000,545.0000,535.0000,535.0000,30851000
2026-02-06,535.0000,535.0000,525.0000,530.0000,23545300
2026-02-09,530.0000,535.0000,525.0000,535.0000,6338600
2026-02-10,530.0000,540.0000,530.0000,540.0000,8613100
2026-02-11,540.0000,545.0000,535.0000,545.0000,14406800
2026-02-12,545.0000,550.0000,540.0000,545.0000,14889100
2026-02-13,545.0000,550.0000,535.0000,550.0000,16187000
2026-02-18,550.0000,550.0000,540.0000,550.0000,8658200
2026-02-19,550.0000,550.0000,540.0000,540.0000,12947500
2026-02-20,540.0000,540.0000,535.0000,540.0000,5179700
2026-02-23,540.0000,545.0000,535.0000,540.0000,12558100
2026-02-24,540.0000,540.0000,535.0000,540.0000,10423100
2026-02-25,540.0000,545.0000,535.0000,545.0000,9972700
2026-02-26,545.0000,555.0000,530.0000,535.0000,29719500
2026-02-27,530.0000,535.0000,525.0000,525.0000,20069700
2026-03-02,520.0000,525.0000,510.0000,525.0000,18718900
2026-03-03,520.0000,525.0000,510.0000,520.0000,14465700
2026-03-04,510.0000,515.0000,500.0000,510.0000,21728400
