tanggal,pembukaan,tertinggi,terendah,penutupan,volume
2026-01-02,1165.0000,1190.0000,1150.0000,1165.0000,80059400
2026-01-05,1175.0000,1180.0000,1145.0000,1180.0000,65696500
2026-01-06,1215.0000,1325.0000,1215.0000,1300.0000,281990200
2026-01-07,1360.0000,1480.0000,1355.0000,1400.0000,499262900
2026-01-08,1360.0000,1360.0000,1255.0000,1305.0000,286791000
2026-01-09,1295.0000,1330.0000,1270.0000,1300.0000,144864400
2026-01-12,1330.0000,1335.0000,1230.0000,1300.0000,134711300
2026-01-13,1300.0000,1355.0000,1280.0000,1325.0000,284411200
2026-01-14,1340.0000,1445.0000,1340.0000,1410.0000,248212500
2026-01-15,1500.0000,1530.0000,1410.0000,1420.0000,228344800
2026-01-19,1400.0000,1400.0000,1340.0000,1395.0000,83245800
2026-01-20,1400.0000,1470.0000,1385.0000,1450.0000,95890000
2026-01-21,1440.0000,1475.0000,1415.0000,1465.0000,99291300
2026-01-22,1480.0000,1480.0000,1425.0000,1445.0000,80753200
2026-01-23,1475.0000,1475.0000,1420.0000,1470.0000,88492500
2026-01-26,1525.0000,1570.0000,1470.0000,1535.0000,294126500
2026-01-27,1535.0000,1535.0000,1445.0000,1450.0000,156732300
2026-01-28,1240.0000,1410.0000,1235.0000,1395.0000,189992200
2026-01-29,1395.0000,1400.0000,1205.0000,1370.0000,191832400
2026-01-30,1370.0000,1395.0000,1325.0000,1375.0000,82929700
2026-02-02,1345.0000,1350.0000,1220.0000,1245.0000,156619600
2026-02-03,1265.0000,1330.0000,1250.0000,1320.0000,74543700
2026-02-04,1345.0000,1380.0000,1320.0000,1380.0000,58597600
2026-02-05,1380.0000,1385.0000,1295.0000,1310.0000,86345200
2026-02-06,1275.0000,1305.0000,1255.0000,1300.0000,25703300
2026-02-09,1290.0000,1305.0000,1265.0000,1290.0000,45790900
2026-02-10,1290.0000,1350.0000,1280.0000,1330.0000,40372900
2026-02-11,1350.0000,1420.0000,1345.0000,1410.0000,93730000
2026-02-12,1430.0000,1495.0000,1430.0000,1475.0000,105310900
2026-02-13,1450.0000,1470.0000,1420.0000,1450.0000,60831600
2026-02-18,1455.0000,1475.0000,1445.0000,1455.0000,53603300
2026-02-19,1470.0000,1530.0000,1470.0000,1500.0000,77526200
2026-02-20,1510.0000,1535.0000,1460.0000,1475.0000,36427800
2026-02-23,1500.0000,1550.0000,1480.0000,1545.0000,78848900
2026-02-24,1545.0000,1595.0000,1525.0000,1530.0000,92937800
2026-02-25,1565.0000,1585.0000,1525.0000,1530.0000,57837800
2026-02-26,1485.0000,1520.0000,1410.0000,1445.0000,200542600
2026-02-27,1435.0000,1550.0000,1400.0000,1540.0000,164541600
2026-03-02,1515.0000,1530.0000,1435.0000,1445.0000,144989400
2026-03-03,1440.0000,1470.0000,1295.0000,1365.0000,239191000
2026-03-04,1360.0000,1360.0000,1270.0000,1325.0000,137085500
2026-03-05,1345.0000,1395.0000,1320.0000,1335.0000,37641200
2026-03-06,1350.0000,1360.0000,1310.0000,1360.0000,45233200
2026-03-09,1290.0000,1305.0000,1200.0000,1270.0000,104227500
2026-03-10,1300.0000,1360.0000,1300.0000,1355.0000,69069800
2026-03-11,1370.0000,1380.0000,1310.0000,1325.0000,44735300
2026-03-12,1320.0000,1325.0000,1240.0000,1240.0000,136642600
2026-03-13,1230.0000,1235.0000,1180.0000,1195.0000,75517000
2026-03-16,1185.0000,1185.0000,1100.0000,1125.0000,97563200
2026-03-17,1125.0000,1160.0000,1120.0000,1145.0000,35300000
2026-03-25,1150.0000,1225.0000,1120.0000,1210.0000,70142500
2026-03-26,1215.0000,1225.0000,1140.0000,1155.0000,41698900
2026-03-27,1150.0000,1160.0000,1125.0000,1155.0000,23557200
2026-03-30,1125.0000,1140.0000,1090.0000,1115.0000,29126700
2026-03-31,1115.0000,1130.0000,1070.0000,1085.0000,59394200
2026-04-01,1130.0000,1200.0000,1110.0000,1170.0000,75682800
2026-04-02,1160.0000,1160.0000,1115.0000,1120.0000,18124400
2026-04-06,1115.0000,1135.0000,1100.0000,1110.0000,15112000
2026-04-07,1120.0000,1135.0000,1085.0000,1125.0000,25526900
2026-04-08,1190.0000,1220.0000,1165.0000,1175.0000,59590300
2026-04-09,1170.0000,1185.0000,1130.0000,1135.0000,30503700
2026-04-10,1150.0000,1175.0000,1145.0000,1145.0000,27206600
2026-04-13,1130.0000,1140.0000,1095.0000,1100.0000,77377000
2026-04-14,1125.0000,1140.0000,1100.0000,1120.0000,92760100
2026-04-15,1150.0000,1190.0000,1140.0000,1150.0000,128144500
2026-04-16,1165.0000,1190.0000,1155.0000,1170.0000,80385200
2026-04-17,1170.0000,1235.0000,1165.0000,1230.0000,95429200
2026-04-20,1235.0000,1245.0000,1190.0000,1205.0000,78519300
2026-04-21,1210.0000,1210.0000,1165.0000,1165.0000,65964900
2026-04-22,1165.0000,1175.0000,1110.0000,1125.0000,96110000
2026-04-23,1135.0000,1140.0000,1115.0000,1120.0000,40754600
2026-04-24,1130.0000,1140.0000,1105.0000,1115.0000,57517700
2026-04-27,1120.0000,1160.0000,1120.0000,1135.0000,58316800
2026-04-28,1140.0000,1150.0000,1120.0000,1125.0000,33218500
2026-04-29,1140.0000,1145.0000,1105.0000,1105.0000,33527800
2026-04-30,1120.0000,1120.0000,1035.0000,1045.0000,95259600
2026-05-04,1040.0000,1065.0000,1020.0000,1035.0000,51878100
2026-05-05,1030.0000,1030.0000,990.0000,1005.0000,56437000
2026-05-06,1005.0000,1070.0000,1005.0000,1060.0000,61132400
2026-05-07,1060.0000,1105.0000,1040.0000,1105.0000,68422700
2026-05-08,1090.0000,1090.0000,1005.0000,1015.0000,57368100
2026-05-11,1030.0000,1085.0000,1000.0000,1050.0000,70908000
2026-05-12,1060.0000,1060.0000,1010.0000,1045.0000,38707400
2026-05-13,1025.0000,1035.0000,995.0000,1000.0000,52770400
2026-05-14,1000.0000,1000.0000,1000.0000,1000.0000,0
2026-05-15,1000.0000,1000.0000,1000.0000,1000.0000,0
2026-05-18,990.0000,990.0000,945.0000,990.0000,55070600
2026-05-19,1000.0000,1000.0000,850.0000,870.0000,177900900
