tanggal,pembukaan,tertinggi,terendah,penutupan,volume
2026-01-02,1915.0000,1930.0000,1910.0000,1930.0000,27636600
2026-01-05,1935.0000,1960.0000,1930.0000,1955.0000,32107000
2026-01-06,1955.0000,1960.0000,1875.0000,1900.0000,56607500
2026-01-07,1850.0000,1970.0000,1850.0000,1945.0000,55398900
2026-01-08,1965.0000,2020.0000,1960.0000,1960.0000,79475200
2026-01-09,1980.0000,1995.0000,1955.0000,1975.0000,23379900
2026-01-12,1975.0000,1995.0000,1930.0000,1965.0000,30511400
2026-01-13,1975.0000,1990.0000,1955.0000,1980.0000,24455600
2026-01-14,1995.0000,2070.0000,1995.0000,2030.0000,79691800
2026-01-15,2030.0000,2030.0000,1995.0000,2020.0000,32721200
2026-01-19,2050.0000,2060.0000,2000.0000,2040.0000,24114600
2026-01-20,2040.0000,2100.0000,2020.0000,2080.0000,46546600
2026-01-21,2080.0000,2100.0000,2040.0000,2090.0000,55138400
2026-01-22,2100.0000,2210.0000,2100.0000,2160.0000,93110000
2026-01-23,2160.0000,2300.0000,2140.0000,2270.0000,86989900
2026-01-26,2270.0000,2310.0000,2230.0000,2260.0000,49581000
2026-01-27,2260.0000,2260.0000,2120.0000,2160.0000,62735700
2026-01-28,2100.0000,2200.0000,2060.0000,2120.0000,76372900
2026-01-29,2130.0000,2130.0000,1845.0000,2080.0000,136964100
2026-01-30,2080.0000,2160.0000,2070.0000,2120.0000,72304800
2026-02-02,2170.0000,2260.0000,2140.0000,2180.0000,131625600
2026-02-03,2230.0000,2230.0000,2120.0000,2160.0000,54321900
2026-02-04,2170.0000,2210.0000,2150.0000,2200.0000,38052100
2026-02-05,2200.0000,2230.0000,2190.0000,2200.0000,29529900
2026-02-06,2170.0000,2230.0000,2120.0000,2230.0000,50045400
2026-02-09,2200.0000,2230.0000,2160.0000,2220.0000,47396200
2026-02-10,2240.0000,2250.0000,2200.0000,2220.0000,32413900
2026-02-11,2220.0000,2250.0000,2190.0000,2230.0000,24828700
2026-02-12,2250.0000,2260.0000,2220.0000,2220.0000,24789200
2026-02-13,2210.0000,2220.0000,2110.0000,2130.0000,55623500
2026-02-18,2150.0000,2160.0000,2120.0000,2160.0000,34315200
2026-02-19,2180.0000,2210.0000,2140.0000,2180.0000,32033700
2026-02-20,2180.0000,2190.0000,2150.0000,2190.0000,28861000
2026-02-23,2200.0000,2280.0000,2200.0000,2270.0000,57113300
2026-02-24,2270.0000,2280.0000,2220.0000,2250.0000,38507100
2026-02-25,2260.0000,2340.0000,2250.0000,2290.0000,62482800
2026-02-26,2310.0000,2340.0000,2270.0000,2300.0000,28090200
2026-02-27,2320.0000,2390.0000,2290.0000,2390.0000,71287900
2026-03-02,2450.0000,2500.0000,2390.0000,2450.0000,82931500
2026-03-03,2500.0000,2520.0000,2360.0000,2400.0000,69119700
2026-03-04,2400.0000,2420.0000,2280.0000,2340.0000,70501400
2026-03-05,2350.0000,2430.0000,2350.0000,2400.0000,53835200
2026-03-06,2400.0000,2440.0000,2320.0000,2370.0000,30108000
2026-03-09,2250.0000,2270.0000,2030.0000,2050.0000,131453600
2026-03-10,2050.0000,2050.0000,1885.0000,1970.0000,167238700
2026-03-11,1970.0000,1995.0000,1950.0000,1955.0000,75601200
2026-03-12,1955.0000,2050.0000,1930.0000,2040.0000,85440800
2026-03-13,2030.0000,2030.0000,1935.0000,1940.0000,55319400
2026-03-16,1940.0000,1950.0000,1885.0000,1935.0000,44209800
2026-03-17,1945.0000,1995.0000,1945.0000,1995.0000,56332600
2026-03-25,1970.0000,1990.0000,1940.0000,1955.0000,37441900
2026-03-26,1980.0000,1995.0000,1845.0000,1865.0000,98454400
2026-03-27,1865.0000,1875.0000,1825.0000,1835.0000,30907100
2026-03-30,1840.0000,1905.0000,1830.0000,1895.0000,46523100
2026-03-31,1895.0000,1900.0000,1830.0000,1845.0000,71011600
2026-04-01,1865.0000,1890.0000,1825.0000,1840.0000,51525200
2026-04-02,1850.0000,1850.0000,1790.0000,1795.0000,47987400
2026-04-06,1800.0000,1815.0000,1760.0000,1800.0000,34448800
2026-04-07,1800.0000,1825.0000,1755.0000,1755.0000,44205400
2026-04-08,1770.0000,1845.0000,1750.0000,1830.0000,70808800
2026-04-09,1830.0000,1830.0000,1780.0000,1790.0000,40513200
2026-04-10,1815.0000,1830.0000,1805.0000,1820.0000,21695100
2026-04-13,1830.0000,1865.0000,1825.0000,1830.0000,41613700
2026-04-14,1840.0000,1865.0000,1830.0000,1845.0000,25996900
2026-04-15,1845.0000,1930.0000,1845.0000,1895.0000,68013000
2026-04-16,1910.0000,1910.0000,1890.0000,1905.0000,32454200
2026-04-17,1915.0000,1920.0000,1905.0000,1910.0000,17245300
2026-04-20,1930.0000,1930.0000,1890.0000,1910.0000,29267000
2026-04-21,1910.0000,1915.0000,1875.0000,1915.0000,20806700
2026-04-22,1910.0000,1970.0000,1905.0000,1945.0000,38784200
2026-04-23,1945.0000,1950.0000,1905.0000,1940.0000,40279200
