tanggal,pembukaan,tertinggi,terendah,penutupan,volume
2026-01-02,1130.0000,1140.0000,1125.0000,1130.0000,16324700
2026-01-05,1135.0000,1170.0000,1115.0000,1160.0000,34257800
2026-01-06,1170.0000,1195.0000,1150.0000,1175.0000,40593400
2026-01-07,1175.0000,1215.0000,1170.0000,1200.0000,51006800
2026-01-08,1200.0000,1240.0000,1180.0000,1180.0000,70696700
2026-01-09,1180.0000,1200.0000,1170.0000,1195.0000,26646200
2026-01-12,1200.0000,1210.0000,1145.0000,1165.0000,37246200
2026-01-13,1175.0000,1270.0000,1175.0000,1270.0000,172765700
2026-01-14,1290.0000,1290.0000,1230.0000,1260.0000,111186900
2026-01-15,1255.0000,1300.0000,1235.0000,1300.0000,75452600
2026-01-19,1300.0000,1305.0000,1270.0000,1275.0000,47974000
2026-01-20,1275.0000,1295.0000,1260.0000,1260.0000,39836600
2026-01-21,1260.0000,1260.0000,1225.0000,1230.0000,32745100
2026-01-22,1240.0000,1260.0000,1220.0000,1230.0000,24158200
2026-01-23,1235.0000,1240.0000,1180.0000,1205.0000,43365200
2026-01-26,1205.0000,1255.0000,1205.0000,1245.0000,49794200
2026-01-27,1250.0000,1280.0000,1240.0000,1245.0000,64826800
2026-01-28,1230.0000,1235.0000,1105.0000,1130.0000,75864800
2026-01-29,1115.0000,1115.0000,965.0000,1030.0000,187681600
2026-01-30,1050.0000,1115.0000,1045.0000,1115.0000,62134200
2026-02-02,1140.0000,1150.0000,1060.0000,1120.0000,53237300
2026-02-03,1120.0000,1135.0000,1075.0000,1120.0000,26519800
2026-02-04,1120.0000,1125.0000,1100.0000,1120.0000,18251400
2026-02-05,1120.0000,1150.0000,1120.0000,1140.0000,19317700
2026-02-06,1115.0000,1130.0000,1100.0000,1125.0000,19178100
2026-02-09,1130.0000,1135.0000,1085.0000,1125.0000,22078000
2026-02-10,1125.0000,1140.0000,1110.0000,1140.0000,15322300
2026-02-11,1145.0000,1205.0000,1145.0000,1190.0000,99001100
2026-02-12,1200.0000,1215.0000,1185.0000,1205.0000,38112700
2026-02-13,1185.0000,1205.0000,1170.0000,1180.0000,20438700
2026-02-18,1160.0000,1165.0000,1130.0000,1160.0000,30642000
2026-02-19,1170.0000,1175.0000,1150.0000,1155.0000,15581900
2026-02-20,1160.0000,1165.0000,1140.0000,1140.0000,10673800
2026-02-23,1140.0000,1150.0000,1135.0000,1145.0000,14109800
2026-02-24,1145.0000,1145.0000,1110.0000,1110.0000,29122400
2026-02-25,1120.0000,1120.0000,1105.0000,1115.0000,13091700
2026-02-26,1120.0000,1130.0000,1100.0000,1100.0000,13021400
2026-02-27,1100.0000,1105.0000,1080.0000,1085.0000,15976800
2026-03-02,1085.0000,1110.0000,1050.0000,1090.0000,31257100
2026-03-03,1090.0000,1125.0000,1085.0000,1090.0000,22036400
2026-03-04,1060.0000,1080.0000,1025.0000,1040.0000,32274900
2026-03-05,1045.0000,1060.0000,1030.0000,1040.0000,9509900
2026-03-06,1035.0000,1040.0000,1010.0000,1025.0000,10684900
2026-03-09,1015.0000,1015.0000,975.0000,975.0000,31033000
2026-03-10,985.0000,1010.0000,985.0000,1000.0000,11652200
2026-03-11,1005.0000,1025.0000,995.0000,1000.0000,10547000
2026-03-12,990.0000,1000.0000,980.0000,990.0000,9998500
2026-03-13,990.0000,990.0000,955.0000,955.0000,18460800
2026-03-16,955.0000,955.0000,920.0000,950.0000,11328000
2026-03-17,950.0000,975.0000,940.0000,945.0000,19651300
2026-03-25,950.0000,1000.0000,945.0000,995.0000,19488400
2026-03-26,1000.0000,1030.0000,985.0000,995.0000,20088300
2026-03-27,995.0000,1010.0000,990.0000,1005.0000,12509300
2026-03-30,1000.0000,1020.0000,980.0000,1020.0000,9409100
2026-03-31,1020.0000,1025.0000,1005.0000,1020.0000,8953800
2026-04-01,1020.0000,1070.0000,1015.0000,1055.0000,52038100
2026-04-02,1050.0000,1050.0000,1010.0000,1020.0000,11631300
2026-04-06,1020.0000,1025.0000,1000.0000,1010.0000,4398100
2026-04-07,1010.0000,1020.0000,1000.0000,1015.0000,5428700
2026-04-08,1025.0000,1050.0000,1015.0000,1050.0000,16061200
2026-04-09,1060.0000,1070.0000,1030.0000,1035.0000,29971000
2026-04-10,1040.0000,1055.0000,1035.0000,1050.0000,10249200
2026-04-13,1045.0000,1065.0000,1020.0000,1065.0000,9607200
2026-04-14,1070.0000,1090.0000,1060.0000,1085.0000,19677300
2026-04-15,1085.0000,1105.0000,1080.0000,1095.0000,17208300
2026-04-16,1095.0000,1095.0000,1070.0000,1075.0000,9355000
2026-04-17,1075.0000,1085.0000,1040.0000,1040.0000,95372600
2026-04-20,1040.0000,1065.0000,1035.0000,1040.0000,13562400
2026-04-21,1040.0000,1040.0000,1025.0000,1030.0000,11554000
2026-04-22,1030.0000,1050.0000,1025.0000,1030.0000,15863100
2026-04-23,1030.0000,1055.0000,1020.0000,1025.0000,20325200
2026-04-24,1030.0000,1035.0000,985.0000,1000.0000,33712300
2026-04-27,1000.0000,1030.0000,995.0000,1010.0000,35408800
2026-04-28,1015.0000,1025.0000,1005.0000,1025.0000,11947000
2026-04-29,1025.0000,1030.0000,1010.0000,1020.0000,15633900
2026-04-30,1010.0000,1015.0000,980.0000,980.0000,29095700
2026-05-04,980.0000,1035.0000,980.0000,1030.0000,42240100
2026-05-05,1030.0000,1040.0000,1000.0000,1020.0000,22280700
2026-05-06,1030.0000,1080.0000,1030.0000,1055.0000,45933900
2026-05-07,1060.0000,1065.0000,1030.0000,1040.0000,28773100
2026-05-08,1030.0000,1030.0000,985.0000,995.0000,32178500
