tanggal,pembukaan,tertinggi,terendah,penutupan,volume
2026-01-02,2310.0000,2320.0000,2290.0000,2320.0000,6217500
2026-01-05,2320.0000,2350.0000,2320.0000,2340.0000,8906900
2026-01-06,2350.0000,2370.0000,2330.0000,2370.0000,16784600
2026-01-07,2460.0000,2460.0000,2380.0000,2420.0000,34828200
2026-01-08,2430.0000,2440.0000,2390.0000,2390.0000,15692800
2026-01-09,2390.0000,2420.0000,2390.0000,2390.0000,8648400
2026-01-12,2400.0000,2410.0000,2360.0000,2380.0000,19351700
2026-01-13,2390.0000,2420.0000,2370.0000,2420.0000,17873600
2026-01-14,2430.0000,2450.0000,2430.0000,2440.0000,22448800
2026-01-15,2440.0000,2460.0000,2430.0000,2450.0000,14964900
2026-01-19,2450.0000,2470.0000,2440.0000,2460.0000,18156900
2026-01-20,2450.0000,2470.0000,2440.0000,2470.0000,14155200
2026-01-21,2470.0000,2550.0000,2420.0000,2480.0000,42532000
2026-01-22,2490.0000,2550.0000,2490.0000,2530.0000,38152400
2026-01-23,2530.0000,2570.0000,2510.0000,2560.0000,30704900
2026-01-26,2570.0000,2600.0000,2560.0000,2590.0000,25968800
2026-01-27,2590.0000,2600.0000,2530.0000,2590.0000,25926900
2026-01-28,2530.0000,2580.0000,2400.0000,2450.0000,50716500
2026-01-29,2450.0000,2450.0000,2220.0000,2440.0000,37405600
2026-01-30,2440.0000,2500.0000,2420.0000,2480.0000,21023000
2026-02-02,2540.0000,2610.0000,2480.0000,2540.0000,65842000
2026-02-03,2540.0000,2550.0000,2490.0000,2520.0000,18391400
2026-02-04,2520.0000,2560.0000,2520.0000,2550.0000,21583800
2026-02-05,2580.0000,2650.0000,2560.0000,2590.0000,52650600
2026-02-06,2580.0000,2590.0000,2520.0000,2550.0000,22364000
2026-02-09,2550.0000,2580.0000,2520.0000,2580.0000,14194400
2026-02-10,2580.0000,2580.0000,2550.0000,2580.0000,13434000
2026-02-11,2580.0000,2590.0000,2550.0000,2550.0000,17360100
2026-02-12,2550.0000,2580.0000,2530.0000,2550.0000,14860100
2026-02-13,2560.0000,2560.0000,2540.0000,2550.0000,7763900
2026-02-18,2560.0000,2620.0000,2550.0000,2620.0000,26334600
2026-02-19,2630.0000,2660.0000,2610.0000,2640.0000,36299700
2026-02-20,2640.0000,2660.0000,2610.0000,2620.0000,14520100
2026-02-23,2630.0000,2640.0000,2600.0000,2630.0000,9446400
2026-02-24,2630.0000,2630.0000,2590.0000,2590.0000,15217600
2026-02-25,2620.0000,2630.0000,2600.0000,2630.0000,11896300
2026-02-26,2630.0000,2640.0000,2580.0000,2610.0000,12915200
2026-02-27,2610.0000,2620.0000,2570.0000,2600.0000,9458900
2026-03-02,2620.0000,2750.0000,2610.0000,2750.0000,73917100
2026-03-03,2840.0000,2940.0000,2810.0000,2920.0000,148905100
2026-03-04,2930.0000,2970.0000,2790.0000,2860.0000,121906900
2026-03-05,2860.0000,2970.0000,2860.0000,2970.0000,88323100
2026-03-06,2970.0000,3010.0000,2910.0000,2980.0000,94306700
2026-03-09,2990.0000,2990.0000,2840.0000,2950.0000,72725300
2026-03-10,2930.0000,2950.0000,2890.0000,2950.0000,26486000
2026-03-11,2940.0000,2950.0000,2850.0000,2870.0000,25995900
2026-03-12,2870.0000,2930.0000,2870.0000,2910.0000,25949100
2026-03-13,2920.0000,2940.0000,2880.0000,2910.0000,16326800
2026-03-16,2920.0000,2920.0000,2840.0000,2920.0000,27882300
2026-03-17,2900.0000,2930.0000,2880.0000,2910.0000,18156300
2026-03-25,2910.0000,3170.0000,2890.0000,3160.0000,134168900
2026-03-26,3160.0000,3180.0000,3040.0000,3130.0000,38485700
2026-03-27,3130.0000,3150.0000,3060.0000,3100.0000,26659000
2026-03-30,3130.0000,3160.0000,3100.0000,3150.0000,38180700
2026-03-31,3160.0000,3220.0000,3130.0000,3180.0000,48824200
2026-04-01,3180.0000,3190.0000,2970.0000,2980.0000,60499300
2026-04-02,3000.0000,3030.0000,2910.0000,2910.0000,41964800
2026-04-06,2930.0000,3010.0000,2930.0000,2980.0000,21950500
2026-04-07,3000.0000,3010.0000,2870.0000,2930.0000,33065800
2026-04-08,2870.0000,2930.0000,2810.0000,2860.0000,53019400
2026-04-09,2860.0000,2920.0000,2850.0000,2880.0000,19539100
2026-04-10,2880.0000,2900.0000,2860.0000,2890.0000,14675500
2026-04-13,2900.0000,2950.0000,2890.0000,2920.0000,27124500
2026-04-14,2950.0000,2960.0000,2910.0000,2930.0000,18535000
2026-04-15,2940.0000,2940.0000,2890.0000,2900.0000,18766700
2026-04-16,2890.0000,2900.0000,2860.0000,2870.0000,13610400
2026-04-17,2870.0000,2910.0000,2860.0000,2900.0000,11032000
2026-04-20,2900.0000,2910.0000,2850.0000,2870.0000,14870300
2026-04-21,2870.0000,2930.0000,2850.0000,2910.0000,17370400
2026-04-22,2930.0000,3000.0000,2920.0000,3000.0000,26315500
2026-04-23,3020.0000,3020.0000,2930.0000,2960.0000,21797100
2026-04-24,2960.0000,2960.0000,2880.0000,2900.0000,20405800
2026-04-27,2900.0000,2930.0000,2860.0000,2910.0000,11926400
2026-04-28,2910.0000,2920.0000,2880.0000,2890.0000,9708300
2026-04-29,2890.0000,2920.0000,2870.0000,2910.0000,8737300
2026-04-30,2920.0000,2930.0000,2850.0000,2870.0000,14060300
2026-05-04,2900.0000,2950.0000,2890.0000,2950.0000,17446300
2026-05-05,2960.0000,2970.0000,2910.0000,2950.0000,11847100
2026-05-06,2950.0000,2950.0000,2900.0000,2930.0000,10142900
2026-05-07,2910.0000,2930.0000,2870.0000,2880.0000,15964800
2026-05-08,2890.0000,2920.0000,2850.0000,2860.0000,12602300
2026-05-11,2860.0000,2900.0000,2810.0000,2870.0000,15126200
2026-05-12,2870.0000,2880.0000,2820.0000,2860.0000,10044200
2026-05-13,2860.0000,2860.0000,2820.0000,2830.0000,7812400
2026-05-14,2830.0000,2830.0000,2830.0000,2830.0000,0
2026-05-15,2830.0000,2830.0000,2830.0000,2830.0000,0
2026-05-18,2840.0000,2860.0000,2760.0000,2850.0000,17488500
2026-05-19,2850.0000,2870.0000,2640.0000,2650.0000,39725400
2026-05-20,2650.0000,2860.0000,2620.0000,2820.0000,46764500
2026-05-21,2820.0000,2850.0000,2700.0000,2710.0000,23420700
2026-05-22,2710.0000,2760.0000,2640.0000,2720.0000,15862400
2026-05-25,2750.0000,2860.0000,2700.0000,2800.0000,27203100
