tanggal,pembukaan,tertinggi,terendah,penutupan,volume
2026-01-02,342.0000,342.0000,338.0000,340.0000,45694400
2026-01-05,340.0000,344.0000,340.0000,342.0000,54896600
2026-01-06,346.0000,350.0000,344.0000,348.0000,72878700
2026-01-07,348.0000,350.0000,342.0000,344.0000,111803300
2026-01-08,346.0000,350.0000,344.0000,346.0000,62229500
2026-01-09,348.0000,356.0000,344.0000,352.0000,95115400
2026-01-12,398.0000,440.0000,364.0000,388.0000,2111181200
2026-01-13,390.0000,398.0000,368.0000,372.0000,478775300
2026-01-14,372.0000,382.0000,372.0000,374.0000,174050200
2026-01-15,374.0000,386.0000,374.0000,384.0000,206811500
2026-01-19,384.0000,388.0000,374.0000,374.0000,152357400
2026-01-20,374.0000,376.0000,368.0000,370.0000,154733700
2026-01-21,370.0000,378.0000,368.0000,370.0000,220984500
2026-01-22,372.0000,382.0000,370.0000,374.0000,148446500
2026-01-23,374.0000,382.0000,372.0000,380.0000,126605400
2026-01-26,380.0000,382.0000,372.0000,374.0000,136725000
2026-01-27,374.0000,376.0000,368.0000,370.0000,107564500
2026-01-28,368.0000,368.0000,350.0000,358.0000,216824600
2026-01-29,354.0000,362.0000,328.0000,352.0000,224007700
2026-01-30,356.0000,364.0000,354.0000,360.0000,88061900
2026-02-02,366.0000,368.0000,354.0000,360.0000,94923100
2026-02-03,360.0000,366.0000,358.0000,366.0000,86196800
2026-02-04,366.0000,368.0000,358.0000,362.0000,73000000
2026-02-05,366.0000,366.0000,360.0000,360.0000,62444300
2026-02-06,356.0000,360.0000,354.0000,358.0000,58520700
2026-02-09,358.0000,366.0000,354.0000,366.0000,57120200
2026-02-10,366.0000,366.0000,360.0000,364.0000,31757500
2026-02-11,364.0000,366.0000,360.0000,364.0000,50597500
2026-02-12,364.0000,374.0000,362.0000,372.0000,86945700
2026-02-13,372.0000,374.0000,366.0000,368.0000,49014500
2026-02-18,368.0000,370.0000,364.0000,366.0000,37455200
2026-02-19,366.0000,372.0000,366.0000,368.0000,50517100
2026-02-20,368.0000,374.0000,366.0000,374.0000,58504900
2026-02-23,376.0000,378.0000,372.0000,374.0000,49067400
2026-02-24,374.0000,376.0000,366.0000,366.0000,41459800
2026-02-25,368.0000,372.0000,368.0000,370.0000,32422300
2026-02-26,372.0000,380.0000,368.0000,372.0000,112139900
2026-02-27,374.0000,376.0000,366.0000,366.0000,53863200
2026-03-02,358.0000,362.0000,348.0000,356.0000,77067000
2026-03-03,356.0000,362.0000,350.0000,352.0000,51283900
2026-03-04,350.0000,352.0000,344.0000,346.0000,56065500
2026-03-05,350.0000,360.0000,348.0000,348.0000,48397500
2026-03-06,350.0000,352.0000,344.0000,348.0000,28967500
2026-03-09,340.0000,340.0000,332.0000,336.0000,63096000
2026-03-10,342.0000,346.0000,338.0000,342.0000,36544700
2026-03-11,346.0000,346.0000,340.0000,344.0000,25041000
2026-03-12,344.0000,344.0000,338.0000,340.0000,13126400
2026-03-13,340.0000,340.0000,332.0000,332.0000,23173300
2026-03-16,332.0000,336.0000,332.0000,332.0000,21792900
2026-03-17,334.0000,340.0000,334.0000,334.0000,14229200
2026-03-25,334.0000,340.0000,330.0000,336.0000,22019800
2026-03-26,338.0000,344.0000,334.0000,338.0000,24552800
2026-03-27,338.0000,340.0000,334.0000,336.0000,18690200
2026-03-30,336.0000,340.0000,328.0000,334.0000,47304100
2026-03-31,334.0000,338.0000,330.0000,338.0000,32667500
2026-04-01,340.0000,342.0000,338.0000,340.0000,19356400
2026-04-02,340.0000,340.0000,336.0000,338.0000,12702800
2026-04-06,340.0000,340.0000,336.0000,340.0000,9537900
2026-04-07,340.0000,342.0000,334.0000,334.0000,27949800
