tanggal,pembukaan,tertinggi,terendah,penutupan,volume
2026-01-02,342.0000,348.0000,338.0000,346.0000,90864300
2026-01-05,346.0000,348.0000,336.0000,340.0000,66783700
2026-01-06,340.0000,354.0000,334.0000,354.0000,193646400
2026-01-07,358.0000,372.0000,348.0000,350.0000,250674000
2026-01-08,352.0000,360.0000,340.0000,340.0000,139832300
2026-01-09,342.0000,344.0000,332.0000,338.0000,103608700
2026-01-12,338.0000,342.0000,320.0000,326.0000,126850400
2026-01-13,326.0000,330.0000,314.0000,318.0000,106460400
2026-01-14,318.0000,326.0000,316.0000,324.0000,67086800
2026-01-15,328.0000,332.0000,318.0000,330.0000,75551100
2026-01-19,332.0000,332.0000,320.0000,322.0000,52536300
2026-01-20,322.0000,330.0000,318.0000,322.0000,58994200
2026-01-21,320.0000,320.0000,306.0000,314.0000,102392300
2026-01-22,316.0000,320.0000,304.0000,304.0000,110590100
2026-01-23,306.0000,308.0000,296.0000,302.0000,91179600
2026-01-26,304.0000,306.0000,282.0000,286.0000,189436900
2026-01-27,286.0000,308.0000,284.0000,304.0000,106050700
2026-01-28,300.0000,300.0000,260.0000,260.0000,261165200
2026-01-29,256.0000,262.0000,222.0000,242.0000,463901600
2026-01-30,244.0000,256.0000,230.0000,250.0000,119936400
2026-02-02,250.0000,252.0000,214.0000,214.0000,241627500
2026-02-03,206.0000,252.0000,200.0000,252.0000,166362200
2026-02-04,258.0000,260.0000,236.0000,246.0000,122157700
2026-02-05,248.0000,272.0000,244.0000,260.0000,134461700
2026-02-06,256.0000,264.0000,236.0000,238.0000,135797500
2026-02-09,244.0000,260.0000,236.0000,256.0000,98780500
2026-02-10,262.0000,294.0000,258.0000,288.0000,243025100
2026-02-11,290.0000,312.0000,284.0000,308.0000,268827900
2026-02-12,308.0000,312.0000,298.0000,308.0000,129459200
2026-02-13,308.0000,314.0000,300.0000,306.0000,104777000
2026-02-18,312.0000,318.0000,306.0000,308.0000,71011000
2026-02-19,312.0000,320.0000,306.0000,312.0000,52337700
2026-02-20,314.0000,316.0000,304.0000,306.0000,34857900
2026-02-23,306.0000,320.0000,306.0000,308.0000,55496400
2026-02-24,308.0000,310.0000,290.0000,292.0000,140096600
