tanggal,pembukaan,tertinggi,terendah,penutupan,volume
2026-01-02,2730.0000,2780.0000,2600.0000,2600.0000,6595800
2026-01-05,2610.0000,2730.0000,2500.0000,2550.0000,8378400
2026-01-06,2550.0000,2710.0000,2400.0000,2450.0000,12657300
2026-01-07,2450.0000,2500.0000,2390.0000,2400.0000,6576400
2026-01-08,2400.0000,2450.0000,2310.0000,2340.0000,5421900
2026-01-09,2330.0000,2400.0000,2290.0000,2330.0000,4035500
2026-01-12,2310.0000,2330.0000,2210.0000,2280.0000,6863700
2026-01-13,2310.0000,2310.0000,2100.0000,2110.0000,5228700
2026-01-14,2190.0000,2310.0000,2110.0000,2170.0000,9072400
2026-01-15,2200.0000,2240.0000,2170.0000,2240.0000,3748800
2026-01-19,2230.0000,2240.0000,2170.0000,2240.0000,3558500
2026-01-20,2270.0000,2270.0000,2200.0000,2230.0000,2946900
2026-01-21,2230.0000,2230.0000,2140.0000,2200.0000,3894900
2026-01-22,2230.0000,2320.0000,2160.0000,2170.0000,7447900
2026-01-23,2170.0000,2220.0000,2060.0000,2100.0000,4861000
2026-01-26,2100.0000,2140.0000,1990.0000,1990.0000,7000800
2026-01-27,1980.0000,2060.0000,1930.0000,2020.0000,3954000
2026-01-28,1920.0000,1955.0000,1755.0000,1815.0000,7836600
2026-01-29,1830.0000,1870.0000,1545.0000,1840.0000,6951300
2026-01-30,1890.0000,1895.0000,1780.0000,1785.0000,1887000
2026-02-02,1850.0000,1850.0000,1600.0000,1750.0000,3948900
2026-02-03,1750.0000,1810.0000,1660.0000,1800.0000,1750800
2026-02-04,1800.0000,1825.0000,1750.0000,1775.0000,876600
2026-02-05,1755.0000,1790.0000,1750.0000,1765.0000,1081800
2026-02-06,1760.0000,1760.0000,1690.0000,1695.0000,1336900
2026-02-09,1690.0000,1695.0000,1635.0000,1685.0000,2260700
2026-02-10,1635.0000,1720.0000,1635.0000,1710.0000,1287500
2026-02-11,1710.0000,1760.0000,1695.0000,1745.0000,1560600
2026-02-12,1755.0000,1800.0000,1690.0000,1800.0000,3057400
2026-02-13,1800.0000,1800.0000,1720.0000,1720.0000,2783400
2026-02-18,1720.0000,1750.0000,1675.0000,1750.0000,2531500
2026-02-19,1750.0000,1760.0000,1705.0000,1760.0000,2451200
2026-02-20,1755.0000,1780.0000,1725.0000,1770.0000,2970100
2026-02-23,1760.0000,1765.0000,1735.0000,1745.0000,1100700
2026-02-24,1740.0000,1750.0000,1700.0000,1735.0000,1653700
2026-02-25,1725.0000,1755.0000,1725.0000,1750.0000,1844000
2026-02-26,1755.0000,1755.0000,1700.0000,1700.0000,1449700
2026-02-27,1695.0000,1695.0000,1670.0000,1670.0000,1308300
2026-03-02,1625.0000,1690.0000,1580.0000,1690.0000,3918600
2026-03-03,1685.0000,1700.0000,1605.0000,1700.0000,2660600
2026-03-04,1685.0000,1685.0000,1570.0000,1575.0000,3389600
2026-03-05,1600.0000,1610.0000,1555.0000,1585.0000,1572800
2026-03-06,1585.0000,1585.0000,1410.0000,1575.0000,7903500
2026-03-09,1500.0000,1500.0000,1410.0000,1445.0000,3619300
2026-03-10,1450.0000,1480.0000,1415.0000,1480.0000,1637100
2026-03-11,1480.0000,1495.0000,1430.0000,1495.0000,1010600
2026-03-12,1490.0000,1535.0000,1460.0000,1520.0000,1142400
2026-03-13,1520.0000,1520.0000,1445.0000,1490.0000,5208300
2026-03-16,1485.0000,1560.0000,1420.0000,1550.0000,4304300
2026-03-17,1555.0000,1620.0000,1555.0000,1620.0000,1397800
2026-03-25,1620.0000,1625.0000,1570.0000,1625.0000,782200
2026-03-26,1625.0000,1640.0000,1600.0000,1640.0000,455000
2026-03-27,1610.0000,1640.0000,1605.0000,1640.0000,793400
2026-03-30,1640.0000,1640.0000,1585.0000,1640.0000,1369300
2026-03-31,1640.0000,1640.0000,1585.0000,1625.0000,2030700
2026-04-01,1630.0000,1640.0000,1600.0000,1640.0000,1375300
2026-04-02,1640.0000,1640.0000,1610.0000,1625.0000,1213000
2026-04-06,1625.0000,1625.0000,1600.0000,1625.0000,800000
2026-04-07,1625.0000,1630.0000,1605.0000,1630.0000,1012800
2026-04-08,1660.0000,1680.0000,1630.0000,1680.0000,1005700
2026-04-09,1680.0000,1680.0000,1630.0000,1680.0000,1176100
2026-04-10,1680.0000,1715.0000,1660.0000,1715.0000,2400500
2026-04-13,1700.0000,1730.0000,1680.0000,1730.0000,1287300
2026-04-14,1755.0000,1755.0000,1705.0000,1755.0000,1961300
2026-04-15,1760.0000,1760.0000,1715.0000,1760.0000,1841000
2026-04-16,1760.0000,1775.0000,1735.0000,1775.0000,1330200
2026-04-17,1780.0000,1780.0000,1755.0000,1780.0000,903100
2026-04-20,1780.0000,1785.0000,1750.0000,1785.0000,1370100
2026-04-21,1785.0000,1785.0000,1740.0000,1785.0000,2233100
2026-04-22,1785.0000,1840.0000,1775.0000,1810.0000,3913000
2026-04-23,1810.0000,1845.0000,1790.0000,1845.0000,2187900
2026-04-24,1850.0000,1875.0000,1820.0000,1875.0000,2219300
2026-04-27,1875.0000,1885.0000,1810.0000,1875.0000,14914600
2026-04-28,1875.0000,1875.0000,1735.0000,1870.0000,13308400
2026-04-29,1860.0000,1865.0000,1790.0000,1855.0000,11306300
2026-04-30,1855.0000,1855.0000,1745.0000,1745.0000,2220400
2026-05-04,1745.0000,1760.0000,1615.0000,1705.0000,2432300
2026-05-05,1705.0000,1750.0000,1675.0000,1705.0000,548400
2026-05-06,1705.0000,1760.0000,1645.0000,1645.0000,1256900
2026-05-07,1655.0000,1675.0000,1640.0000,1645.0000,655800
2026-05-08,1650.0000,1650.0000,1590.0000,1600.0000,972600
2026-05-11,1570.0000,1595.0000,1520.0000,1580.0000,1882200
2026-05-12,1580.0000,1580.0000,1490.0000,1510.0000,1072400
2026-05-13,1510.0000,1515.0000,1465.0000,1475.0000,1100900
2026-05-14,1475.0000,1475.0000,1475.0000,1475.0000,0
2026-05-15,1475.0000,1475.0000,1475.0000,1475.0000,0
2026-05-18,1475.0000,1475.0000,1410.0000,1410.0000,643200
2026-05-19,1425.0000,1435.0000,1310.0000,1310.0000,919400
2026-05-20,1330.0000,1360.0000,1230.0000,1320.0000,1528700
2026-05-21,1310.0000,1310.0000,1220.0000,1305.0000,1689200
2026-05-22,1300.0000,1330.0000,1250.0000,1330.0000,1018700
2026-05-25,1340.0000,1350.0000,1320.0000,1340.0000,286900
2026-05-26,1345.0000,1475.0000,1345.0000,1470.0000,996800
2026-05-27,1470.0000,1470.0000,1470.0000,1470.0000,0
2026-05-28,1470.0000,1470.0000,1470.0000,1470.0000,0
2026-05-29,1460.0000,1525.0000,1395.0000,1525.0000,1618900
2026-06-02,1520.0000,1520.0000,1430.0000,1460.0000,1427900
2026-06-03,1460.0000,1460.0000,1315.0000,1365.0000,1819700
2026-06-04,1330.0000,1500.0000,1230.0000,1500.0000,1215000
2026-06-05,1480.0000,1480.0000,1355.0000,1455.0000,1966300
2026-06-08,1455.0000,1480.0000,1335.0000,1480.0000,1767500
2026-06-09,1470.0000,1525.0000,1390.0000,1525.0000,2112900
2026-06-10,1525.0000,1530.0000,1455.0000,1530.0000,3813500
2026-06-11,1520.0000,1530.0000,1440.0000,1470.0000,3080900
2026-06-12,1470.0000,1480.0000,1425.0000,1445.0000,3024900
2026-06-15,1445.0000,1445.0000,1375.0000,1375.0000,7183300
2026-06-17,1390.0000,1450.0000,1320.0000,1430.0000,5153700
2026-06-18,1430.0000,1445.0000,1390.0000,1425.0000,3291100
2026-06-19,1360.0000,1460.0000,1350.0000,1350.0000,9157000
2026-06-22,1380.0000,1400.0000,1340.0000,1400.0000,1630300
2026-06-23,1395.0000,1445.0000,1360.0000,1435.0000,1773700
2026-06-24,1425.0000,1450.0000,1375.0000,1390.0000,1229600
2026-06-25,1390.0000,1415.0000,1375.0000,1400.0000,561600
2026-06-26,1405.0000,1425.0000,1395.0000,1425.0000,842800
2026-06-29,1425.0000,1450.0000,1380.0000,1450.0000,924000
