tanggal,pembukaan,tertinggi,terendah,penutupan,volume
2026-01-02,3130.0000,3210.0000,3130.0000,3140.0000,25756100
2026-01-05,3170.0000,3360.0000,3150.0000,3320.0000,57034000
2026-01-06,3360.0000,3390.0000,3260.0000,3340.0000,50315400
2026-01-07,3500.0000,3650.0000,3430.0000,3530.0000,140927900
2026-01-08,3580.0000,3670.0000,3410.0000,3420.0000,82529900
2026-01-09,3420.0000,3500.0000,3370.0000,3490.0000,40490500
2026-01-12,3540.0000,3600.0000,3250.0000,3480.0000,99921100
2026-01-13,3540.0000,3720.0000,3520.0000,3660.0000,104818100
2026-01-14,3750.0000,4000.0000,3750.0000,3940.0000,127337300
2026-01-15,4030.0000,4110.0000,3810.0000,3870.0000,120696800
2026-01-19,3750.0000,3820.0000,3700.0000,3790.0000,68538700
2026-01-20,3790.0000,3790.0000,3590.0000,3620.0000,110699500
2026-01-21,3550.0000,3680.0000,3520.0000,3590.0000,70109500
2026-01-22,3650.0000,3690.0000,3560.0000,3610.0000,55045700
2026-01-23,3650.0000,3680.0000,3540.0000,3650.0000,31794000
2026-01-26,3780.0000,3970.0000,3710.0000,3760.0000,153043500
2026-01-27,3800.0000,3830.0000,3680.0000,3750.0000,52482500
2026-01-28,3570.0000,3740.0000,3200.0000,3340.0000,152825300
2026-01-29,3340.0000,3440.0000,2840.0000,3320.0000,144651900
2026-01-30,3320.0000,3400.0000,3160.0000,3240.0000,50719500
2026-02-02,3080.0000,3140.0000,2800.0000,2970.0000,106188900
2026-02-03,2980.0000,3250.0000,2820.0000,3220.0000,85635100
2026-02-04,3190.0000,3340.0000,3180.0000,3300.0000,46097200
2026-02-05,3300.0000,3400.0000,3240.0000,3240.0000,47683100
2026-02-06,3140.0000,3160.0000,3010.0000,3030.0000,35094800
2026-02-09,3050.0000,3210.0000,3050.0000,3160.0000,30796600
2026-02-10,3200.0000,3440.0000,3190.0000,3360.0000,65605500
2026-02-11,3390.0000,3890.0000,3370.0000,3810.0000,113420300
2026-02-12,3850.0000,4380.0000,3780.0000,4190.0000,183837600
2026-02-13,4190.0000,4240.0000,4050.0000,4050.0000,81413600
2026-02-18,4000.0000,4020.0000,3910.0000,3950.0000,61749100
2026-02-19,4000.0000,4120.0000,3920.0000,3990.0000,69471000
2026-02-20,4000.0000,4070.0000,3900.0000,3920.0000,33111200
2026-02-23,3990.0000,4180.0000,3990.0000,4160.0000,70220200
2026-02-24,4200.0000,4460.0000,4120.0000,4150.0000,114789100
2026-02-25,4400.0000,4470.0000,4310.0000,4340.0000,81943100
2026-02-26,4430.0000,4500.0000,4220.0000,4450.0000,70213200
2026-02-27,4450.0000,4640.0000,4320.0000,4600.0000,62311300
2026-03-02,4570.0000,4720.0000,4480.0000,4590.0000,53766500
2026-03-03,4580.0000,4580.0000,4230.0000,4250.0000,66199300
2026-03-04,4110.0000,4110.0000,3720.0000,3890.0000,127832700
2026-03-05,4010.0000,4030.0000,3810.0000,3890.0000,52882100
2026-03-06,3890.0000,3900.0000,3700.0000,3760.0000,40367000
2026-03-09,3490.0000,3560.0000,3350.0000,3420.0000,69120700
2026-03-10,3600.0000,3940.0000,3540.0000,3840.0000,78567800
2026-03-11,3880.0000,3900.0000,3660.0000,3690.0000,44729000
2026-03-12,3660.0000,3660.0000,3490.0000,3550.0000,42946100
2026-03-13,3500.0000,3600.0000,3350.0000,3390.0000,32775600
2026-03-16,3370.0000,3390.0000,3160.0000,3230.0000,29634700
2026-03-17,3250.0000,3390.0000,3250.0000,3320.0000,29207500
2026-03-25,3260.0000,3380.0000,3180.0000,3350.0000,30702100
2026-03-26,3380.0000,3380.0000,3160.0000,3160.0000,33060000
2026-03-27,3100.0000,3210.0000,3070.0000,3170.0000,24126800
2026-03-30,3090.0000,3210.0000,3050.0000,3120.0000,19097800
2026-03-31,3150.0000,3380.0000,3150.0000,3340.0000,42691900
2026-04-01,3500.0000,3660.0000,3450.0000,3610.0000,44985400
2026-04-02,3450.0000,3490.0000,3340.0000,3380.0000,37259500
2026-04-06,3380.0000,3600.0000,3270.0000,3560.0000,30505100
2026-04-07,3560.0000,3640.0000,3440.0000,3500.0000,35959100
2026-04-08,3670.0000,3890.0000,3640.0000,3800.0000,71678600
2026-04-09,3740.0000,3790.0000,3660.0000,3710.0000,22864500
2026-04-10,3760.0000,3820.0000,3730.0000,3750.0000,25477400
2026-04-13,3680.0000,3730.0000,3670.0000,3690.0000,26691100
2026-04-14,3760.0000,3950.0000,3750.0000,3950.0000,45459000
2026-04-15,4010.0000,4070.0000,3860.0000,3860.0000,50322900
2026-04-16,3920.0000,3990.0000,3800.0000,3840.0000,30228000
2026-04-17,3870.0000,3890.0000,3810.0000,3880.0000,16236400
2026-04-20,3880.0000,4010.0000,3740.0000,3770.0000,40853700
2026-04-21,3800.0000,3930.0000,3760.0000,3900.0000,20974400
2026-04-22,3880.0000,3910.0000,3840.0000,3890.0000,12803300
2026-04-23,3890.0000,4000.0000,3800.0000,3870.0000,31515800
2026-04-24,3850.0000,3860.0000,3750.0000,3770.0000,20481300
2026-04-27,3780.0000,3870.0000,3710.0000,3750.0000,23475700
2026-04-28,3780.0000,3800.0000,3640.0000,3660.0000,18802800
