tanggal,pembukaan,tertinggi,terendah,penutupan,volume
2026-01-02,3510.0000,3510.0000,3450.0000,3470.0000,34812500
2026-01-05,3490.0000,3590.0000,3480.0000,3580.0000,77224000
2026-01-06,3600.0000,3600.0000,3490.0000,3520.0000,77477100
2026-01-07,3540.0000,3550.0000,3500.0000,3540.0000,60466200
2026-01-08,3540.0000,3580.0000,3520.0000,3530.0000,61219400
2026-01-09,3550.0000,3560.0000,3450.0000,3450.0000,82708700
2026-01-12,3470.0000,3530.0000,3460.0000,3520.0000,89165400
2026-01-13,3600.0000,3660.0000,3550.0000,3620.0000,129812000
2026-01-14,3690.0000,3700.0000,3610.0000,3650.0000,98179400
2026-01-15,3650.0000,3680.0000,3610.0000,3660.0000,83981800
2026-01-19,3590.0000,3630.0000,3490.0000,3620.0000,147127900
2026-01-20,3550.0000,3680.0000,3550.0000,3600.0000,89987800
2026-01-21,3670.0000,3700.0000,3570.0000,3600.0000,104120400
2026-01-22,3670.0000,3790.0000,3660.0000,3740.0000,149259700
2026-01-23,3790.0000,3800.0000,3730.0000,3770.0000,109079700
2026-01-26,3780.0000,3850.0000,3750.0000,3850.0000,91258600
2026-01-27,3850.0000,3990.0000,3730.0000,3940.0000,161704800
2026-01-28,3800.0000,3800.0000,3390.0000,3470.0000,439277400
2026-01-29,3420.0000,3500.0000,3100.0000,3450.0000,582049700
2026-01-30,3550.0000,3740.0000,3540.0000,3600.0000,332372800
2026-02-02,3670.0000,3700.0000,3430.0000,3500.0000,157041400
2026-02-03,3540.0000,3550.0000,3420.0000,3450.0000,155611200
2026-02-04,3420.0000,3440.0000,3260.0000,3330.0000,215692700
2026-02-05,3350.0000,3360.0000,3260.0000,3290.0000,148908600
2026-02-06,3310.0000,3390.0000,3270.0000,3380.0000,137552600
2026-02-09,3430.0000,3430.0000,3340.0000,3350.0000,109053400
2026-02-10,3380.0000,3430.0000,3360.0000,3400.0000,129254100
2026-02-11,3430.0000,3530.0000,3420.0000,3530.0000,151785400
2026-02-12,3500.0000,3560.0000,3470.0000,3560.0000,114656400
2026-02-13,3540.0000,3550.0000,3440.0000,3450.0000,102244000
2026-02-18,3470.0000,3510.0000,3460.0000,3490.0000,82797000
2026-02-19,3500.0000,3500.0000,3460.0000,3480.0000,70690600
2026-02-20,3490.0000,3510.0000,3430.0000,3480.0000,75231500
2026-02-23,3480.0000,3550.0000,3480.0000,3550.0000,59621900
2026-02-24,3600.0000,3600.0000,3510.0000,3580.0000,119024300
2026-02-25,3580.0000,3660.0000,3580.0000,3600.0000,66237300
2026-02-26,3560.0000,3650.0000,3510.0000,3650.0000,111136200
2026-02-27,3630.0000,3630.0000,3530.0000,3540.0000,140862100
2026-03-02,3440.0000,3490.0000,3410.0000,3450.0000,80022100
2026-03-03,3520.0000,3530.0000,3440.0000,3450.0000,125403800
2026-03-04,3430.0000,3450.0000,3110.0000,3200.0000,206478300
2026-03-05,3300.0000,3350.0000,3210.0000,3260.0000,137853600
2026-03-06,3270.0000,3290.0000,3180.0000,3190.0000,84932600
2026-03-09,3160.0000,3160.0000,3000.0000,3100.0000,126776600
2026-03-10,3120.0000,3150.0000,2930.0000,2960.0000,288339600
2026-03-11,3000.0000,3020.0000,2930.0000,3000.0000,209073500
2026-03-12,3020.0000,3060.0000,2980.0000,3020.0000,100856000
2026-03-13,3030.0000,3050.0000,2920.0000,2970.0000,102546800
2026-03-16,2970.0000,2980.0000,2830.0000,2960.0000,95426400
2026-03-17,3050.0000,3050.0000,2960.0000,3050.0000,164842700
2026-03-25,3140.0000,3300.0000,3130.0000,3300.0000,228354400
2026-03-26,3240.0000,3260.0000,3130.0000,3170.0000,130477500
2026-03-27,3150.0000,3160.0000,3050.0000,3050.0000,72337500
2026-03-30,3050.0000,3110.0000,3030.0000,3040.0000,115529200
2026-03-31,3130.0000,3130.0000,3040.0000,3060.0000,95463800
2026-04-01,3150.0000,3150.0000,3100.0000,3150.0000,68303100
2026-04-02,3150.0000,3160.0000,3080.0000,3130.0000,56283200
2026-04-06,3200.0000,3200.0000,3100.0000,3160.0000,37192400
2026-04-07,3150.0000,3160.0000,3060.0000,3100.0000,49528200
2026-04-08,3150.0000,3180.0000,3110.0000,3160.0000,78411200
2026-04-09,3170.0000,3190.0000,3120.0000,3190.0000,58857300
2026-04-10,3190.0000,3220.0000,3170.0000,3210.0000,70335700
2026-04-13,3130.0000,3200.0000,3130.0000,3190.0000,77410000
2026-04-14,3190.0000,3200.0000,3110.0000,3120.0000,92852900
2026-04-15,3120.0000,3150.0000,3060.0000,3090.0000,89181500
2026-04-16,3100.0000,3150.0000,3100.0000,3120.0000,57013000
2026-04-17,3120.0000,3150.0000,3080.0000,3100.0000,96349500
2026-04-20,3130.0000,3160.0000,3050.0000,3100.0000,142308900
2026-04-21,3050.0000,3070.0000,2980.0000,3010.0000,137586500
2026-04-22,3010.0000,3030.0000,2990.0000,3000.0000,57088500
2026-04-23,3010.0000,3020.0000,2880.0000,2880.0000,164145000
2026-04-24,2880.0000,2940.0000,2750.0000,2810.0000,254588000
2026-04-27,2850.0000,2850.0000,2810.0000,2830.0000,77838700
2026-04-28,2790.0000,2820.0000,2750.0000,2820.0000,146311100
2026-04-29,2820.0000,2880.0000,2800.0000,2870.0000,144598700
2026-04-30,2860.0000,2870.0000,2810.0000,2810.0000,134260800
2026-05-04,2840.0000,2890.0000,2840.0000,2890.0000,81120300
2026-05-05,2910.0000,2940.0000,2870.0000,2880.0000,71127200
2026-05-06,2890.0000,2910.0000,2870.0000,2900.0000,82205900
2026-05-07,2950.0000,2980.0000,2920.0000,2930.0000,102205600
2026-05-08,2930.0000,3000.0000,2900.0000,2960.0000,102107300
2026-05-11,2990.0000,3010.0000,2920.0000,2960.0000,58491000
2026-05-12,3000.0000,3000.0000,2860.0000,2950.0000,91619700
2026-05-13,2950.0000,2970.0000,2920.0000,2960.0000,62623700
2026-05-14,2960.0000,2960.0000,2960.0000,2960.0000,0
2026-05-15,2960.0000,2960.0000,2960.0000,2960.0000,0
2026-05-18,2910.0000,3080.0000,2860.0000,3080.0000,148994300
2026-05-19,3080.0000,3130.0000,3030.0000,3080.0000,147808100
2026-05-20,3130.0000,3190.0000,3100.0000,3100.0000,191400600
2026-05-21,3100.0000,3120.0000,2950.0000,3000.0000,141907000
2026-05-22,3000.0000,3010.0000,2850.0000,2920.0000,138085300
2026-05-25,2880.0000,2960.0000,2870.0000,2930.0000,88999600
2026-05-26,2950.0000,3100.0000,2940.0000,3090.0000,136083800
2026-05-27,3090.0000,3090.0000,3090.0000,3090.0000,0
2026-05-28,3090.0000,3090.0000,3090.0000,3090.0000,0
