tanggal,pembukaan,tertinggi,terendah,penutupan,volume
2026-01-02,590.0000,595.0000,580.0000,585.0000,17675900
2026-01-05,585.0000,590.0000,575.0000,575.0000,26009100
2026-01-06,575.0000,585.0000,565.0000,565.0000,46844600
2026-01-07,570.0000,580.0000,555.0000,565.0000,68935700
2026-01-08,565.0000,595.0000,555.0000,555.0000,79219700
2026-01-09,555.0000,570.0000,555.0000,570.0000,45188200
2026-01-12,570.0000,570.0000,555.0000,560.0000,38947100
2026-01-13,560.0000,565.0000,555.0000,555.0000,29819600
2026-01-14,555.0000,560.0000,550.0000,550.0000,42360600
2026-01-15,555.0000,555.0000,545.0000,550.0000,34407300
2026-01-19,555.0000,555.0000,545.0000,545.0000,44146600
2026-01-20,545.0000,570.0000,545.0000,560.0000,59179300
2026-01-21,565.0000,575.0000,555.0000,575.0000,55905100
2026-01-22,580.0000,630.0000,575.0000,620.0000,260639000
2026-01-23,615.0000,650.0000,605.0000,625.0000,192535800
2026-01-26,630.0000,635.0000,605.0000,625.0000,72216500
2026-01-27,625.0000,645.0000,590.0000,600.0000,137951400
2026-01-28,565.0000,585.0000,535.0000,555.0000,142266200
2026-01-29,550.0000,555.0000,472.0000,520.0000,113530600
2026-01-30,520.0000,545.0000,510.0000,525.0000,69281400
2026-02-02,525.0000,535.0000,510.0000,530.0000,62678800
2026-02-03,535.0000,555.0000,530.0000,540.0000,64014200
2026-02-04,545.0000,580.0000,525.0000,530.0000,563109900
2026-02-05,530.0000,540.0000,525.0000,535.0000,63766900
2026-02-06,525.0000,535.0000,515.0000,525.0000,72324300
2026-02-09,525.0000,530.0000,520.0000,530.0000,11934900
2026-02-10,530.0000,535.0000,520.0000,525.0000,38694100
2026-02-11,530.0000,535.0000,525.0000,525.0000,33642300
2026-02-12,530.0000,530.0000,525.0000,525.0000,19524500
2026-02-13,525.0000,530.0000,520.0000,525.0000,35235100
2026-02-18,525.0000,530.0000,520.0000,525.0000,51208700
2026-02-19,525.0000,525.0000,510.0000,515.0000,85502900
2026-02-20,515.0000,520.0000,510.0000,515.0000,30096900
2026-02-23,520.0000,525.0000,510.0000,520.0000,38986300
2026-02-24,520.0000,520.0000,505.0000,510.0000,50887600
