tanggal,pembukaan,tertinggi,terendah,penutupan,volume
2026-01-02,29050.0000,30100.0000,29050.0000,30100.0000,2932800
2026-01-05,30000.0000,31200.0000,29975.0000,30800.0000,5271500
2026-01-06,30800.0000,31275.0000,30450.0000,31275.0000,4260000
2026-01-07,31275.0000,31800.0000,31250.0000,31500.0000,4616800
2026-01-08,31100.0000,31750.0000,31100.0000,31650.0000,2504900
2026-01-09,31125.0000,31800.0000,31125.0000,31500.0000,4066400
2026-01-12,31625.0000,31900.0000,30900.0000,31350.0000,2643600
2026-01-13,31350.0000,31550.0000,31100.0000,31450.0000,2386400
2026-01-14,31450.0000,31825.0000,31125.0000,31500.0000,2675500
2026-01-15,31300.0000,31675.0000,31050.0000,31050.0000,2853700
2026-01-19,31000.0000,31775.0000,30725.0000,31500.0000,3893200
2026-01-20,31100.0000,32000.0000,31100.0000,31975.0000,5647100
2026-01-21,27200.0000,28425.0000,27200.0000,27200.0000,46189400
2026-01-22,27225.0000,27675.0000,26075.0000,27450.0000,29386100
2026-01-23,27750.0000,27975.0000,27150.0000,27275.0000,5197700
2026-01-26,27500.0000,27800.0000,27225.0000,27275.0000,7015600
2026-01-27,27000.0000,27000.0000,24550.0000,25675.0000,21562000
2026-01-28,24300.0000,25125.0000,23775.0000,24950.0000,20669600
2026-01-29,24950.0000,24950.0000,22625.0000,24400.0000,13460000
2026-01-30,24900.0000,26100.0000,24750.0000,26050.0000,14599200
2026-02-02,26450.0000,26450.0000,24075.0000,24450.0000,8495900
2026-02-03,24600.0000,26525.0000,24475.0000,26175.0000,8608000
2026-02-04,27000.0000,28125.0000,26550.0000,27850.0000,13042700
2026-02-05,27850.0000,27850.0000,27150.0000,27400.0000,5215200
2026-02-06,27000.0000,27050.0000,26225.0000,26400.0000,5591300
2026-02-09,26950.0000,27150.0000,26600.0000,27000.0000,4055300
2026-02-10,27325.0000,27625.0000,27150.0000,27475.0000,5781600
2026-02-11,27450.0000,28600.0000,27450.0000,28450.0000,7662800
2026-02-12,29000.0000,30100.0000,28750.0000,28750.0000,8902300
2026-02-13,29300.0000,29475.0000,28900.0000,29400.0000,6423500
2026-02-18,29500.0000,29975.0000,28875.0000,29975.0000,6128700
2026-02-19,29975.0000,30875.0000,29800.0000,30275.0000,6794600
2026-02-20,30275.0000,30900.0000,30225.0000,30725.0000,3743400
2026-02-23,30725.0000,30800.0000,30275.0000,30725.0000,4506600
2026-02-24,30725.0000,30925.0000,30300.0000,30800.0000,5270600
2026-02-25,30875.0000,31500.0000,30725.0000,31500.0000,3953100
2026-02-26,31500.0000,31500.0000,30050.0000,30400.0000,4379000
2026-02-27,29975.0000,29975.0000,28475.0000,28600.0000,10181300
2026-03-02,28725.0000,29450.0000,28625.0000,28700.0000,3834500
2026-03-03,28700.0000,29975.0000,28700.0000,29450.0000,4095100
2026-03-04,30000.0000,30000.0000,28625.0000,28900.0000,6998000
2026-03-05,29000.0000,29750.0000,28900.0000,29625.0000,3964900
2026-03-06,29600.0000,29775.0000,29075.0000,29700.0000,3331200
2026-03-09,29450.0000,29575.0000,28650.0000,29575.0000,4326200
2026-03-10,30000.0000,30475.0000,29700.0000,29775.0000,4821100
2026-03-11,30425.0000,30425.0000,29000.0000,29000.0000,3405900
2026-03-12,29375.0000,29975.0000,29025.0000,29975.0000,3435000
2026-03-13,29925.0000,29950.0000,29075.0000,29075.0000,2328200
2026-03-16,28800.0000,29700.0000,28575.0000,29475.0000,2908000
2026-03-17,30000.0000,30250.0000,29725.0000,30000.0000,5571900
2026-03-25,30750.0000,30900.0000,30300.0000,30775.0000,5282600
2026-03-26,30775.0000,30875.0000,30300.0000,30800.0000,4291000
2026-03-27,30800.0000,30850.0000,30000.0000,30600.0000,3464100
2026-03-30,30825.0000,31450.0000,30300.0000,31125.0000,2942900
2026-03-31,31125.0000,31200.0000,30400.0000,31050.0000,5621600
2026-04-01,31000.0000,31800.0000,30650.0000,30925.0000,5616400
2026-04-02,30925.0000,31500.0000,30500.0000,30750.0000,2966100
2026-04-06,30600.0000,30725.0000,30350.0000,30550.0000,955600
2026-04-07,30625.0000,30725.0000,29750.0000,30000.0000,1611800
2026-04-08,29800.0000,31125.0000,29700.0000,31100.0000,2841700
2026-04-09,29600.0000,30625.0000,29600.0000,30025.0000,3237800
2026-04-10,30050.0000,31400.0000,30050.0000,31300.0000,5090400
2026-04-13,31300.0000,31300.0000,30825.0000,30875.0000,1164700
2026-04-14,30600.0000,31400.0000,30600.0000,31300.0000,3921900
2026-04-15,31300.0000,31475.0000,31125.0000,31475.0000,2887900
2026-04-16,31400.0000,31875.0000,31300.0000,31475.0000,3008600
2026-04-17,31475.0000,32050.0000,31475.0000,31700.0000,2600100
2026-04-20,31750.0000,31775.0000,31450.0000,31600.0000,1659300
2026-04-21,32000.0000,32225.0000,31725.0000,31975.0000,3372500
2026-04-22,32400.0000,32550.0000,32200.0000,32500.0000,3460500
2026-04-23,32625.0000,32825.0000,32200.0000,32500.0000,3299700
2026-04-24,32500.0000,32500.0000,31650.0000,31850.0000,2912800
2026-04-27,31425.0000,31425.0000,30200.0000,30675.0000,2868500
2026-04-28,30675.0000,30750.0000,30100.0000,30175.0000,2181700
2026-04-29,30250.0000,30975.0000,30100.0000,30425.0000,1691600
2026-04-30,29975.0000,29975.0000,28500.0000,29050.0000,7029800
2026-05-04,29000.0000,29400.0000,28500.0000,29100.0000,3439500
2026-05-05,29100.0000,29175.0000,28750.0000,28750.0000,2598800
2026-05-06,29000.0000,29350.0000,28700.0000,29350.0000,2535000
2026-05-07,29400.0000,29575.0000,29275.0000,29550.0000,1826700
2026-05-08,29550.0000,29550.0000,27400.0000,27400.0000,4791100
2026-05-11,27575.0000,27800.0000,27175.0000,27175.0000,3776000
2026-05-12,27200.0000,27400.0000,26250.0000,27175.0000,3876600
2026-05-13,27175.0000,27200.0000,26600.0000,26900.0000,2598700
2026-05-14,26900.0000,26900.0000,26900.0000,26900.0000,0
2026-05-15,26900.0000,26900.0000,26900.0000,26900.0000,0
2026-05-18,26900.0000,26900.0000,25600.0000,26475.0000,5329700
2026-05-19,26600.0000,26650.0000,25400.0000,25500.0000,3883000
2026-05-20,25500.0000,25500.0000,24700.0000,24850.0000,3562100
2026-05-21,24900.0000,25275.0000,23850.0000,24100.0000,2919700
2026-05-22,24100.0000,24225.0000,23500.0000,24050.0000,5451100
2026-05-25,24075.0000,24975.0000,24000.0000,24575.0000,4283500
2026-05-26,24575.0000,24650.0000,23625.0000,23800.0000,5015300
2026-05-27,23800.0000,23800.0000,23800.0000,23800.0000,0
2026-05-28,23800.0000,23800.0000,23800.0000,23800.0000,0
2026-05-29,23200.0000,24000.0000,22925.0000,22925.0000,28939600
2026-06-02,22600.0000,23000.0000,22100.0000,22500.0000,8257600
2026-06-03,22675.0000,22775.0000,21725.0000,22000.0000,7258900
2026-06-04,22025.0000,22125.0000,21500.0000,22000.0000,6039600
2026-06-05,21750.0000,21825.0000,21200.0000,21250.0000,5219300
2026-06-08,21200.0000,21275.0000,20425.0000,20875.0000,5393000
2026-06-09,20875.0000,21875.0000,20125.0000,21875.0000,5605400
2026-06-10,21850.0000,22325.0000,21475.0000,22000.0000,6375900
2026-06-11,22075.0000,22200.0000,21200.0000,21750.0000,4444900
2026-06-12,21900.0000,22825.0000,21900.0000,22500.0000,5608900
2026-06-15,22750.0000,23300.0000,22675.0000,22750.0000,5603800
2026-06-17,22775.0000,23200.0000,22775.0000,23000.0000,2812200
2026-06-18,23000.0000,23000.0000,22400.0000,22800.0000,7435400
2026-06-19,22850.0000,23175.0000,22575.0000,22675.0000,17466500
2026-06-22,22975.0000,22975.0000,22325.0000,22325.0000,5489500
2026-06-23,22350.0000,22575.0000,22250.0000,22500.0000,3731800
2026-06-24,22500.0000,22800.0000,21900.0000,22000.0000,4021000
2026-06-25,22100.0000,22525.0000,21875.0000,22500.0000,6633000
2026-06-26,22525.0000,22600.0000,21900.0000,22600.0000,5771900
2026-06-29,22600.0000,22725.0000,22100.0000,22575.0000,2991600
2026-06-30,22500.0000,23000.0000,21975.0000,23000.0000,5806300
2026-07-01,23000.0000,23000.0000,22000.0000,22025.0000,3260800
2026-07-02,22025.0000,22800.0000,22025.0000,22800.0000,3250400
2026-07-03,22800.0000,24300.0000,22800.0000,24000.0000,4589100
2026-07-06,24000.0000,24000.0000,23600.0000,23800.0000,2241800
2026-07-07,23800.0000,24050.0000,23725.0000,24000.0000,3165900
2026-07-08,24000.0000,24550.0000,23825.0000,24300.0000,3202100
2026-07-09,24300.0000,24375.0000,23825.0000,24050.0000,2807200
2026-07-10,24150.0000,24600.0000,24125.0000,24500.0000,3530400
2026-07-13,24750.0000,25900.0000,24575.0000,25900.0000,5522400
2026-07-14,25900.0000,27650.0000,25600.0000,27500.0000,5239300
2026-07-15,26725.0000,27550.0000,26525.0000,27400.0000,3349900
2026-07-16,27000.0000,27300.0000,26900.0000,26925.0000,5460400
2026-07-17,26950.0000,27100.0000,26550.0000,26550.0000,3399300
2026-07-20,26550.0000,26750.0000,25925.0000,26200.0000,5489400
2026-07-21,26500.0000,26500.0000,25975.0000,26100.0000,4167600
2026-07-22,26100.0000,26100.0000,25500.0000,25550.0000,3860800
2026-07-23,25525.0000,26175.0000,25350.0000,25500.0000,4396900
2026-07-24,25500.0000,25650.0000,25250.0000,25500.0000,3622000
2026-07-27,25400.0000,25675.0000,25125.0000,25400.0000,2856500
2026-07-28,25400.0000,25500.0000,25000.0000,25000.0000,3292200
2026-07-29,25000.0000,25100.0000,24500.0000,24500.0000,4799300
2026-07-30,23975.0000,24250.0000,23425.0000,24250.0000,9314000
2026-07-31,24000.0000,24100.0000,23825.0000,23950.0000,6777400
2026-08-03,24900.0000,24900.0000,23700.0000,23800.0000,4528600
2026-08-04,23800.0000,24000.0000,23700.0000,24000.0000,4196500
2026-08-05,23975.0000,24000.0000,23725.0000,23800.0000,5001400
2026-08-06,23975.0000,24000.0000,23625.0000,23800.0000,3604900
2026-08-07,23800.0000,23800.0000,23675.0000,23675.0000,3126900
2026-08-10,23675.0000,24450.0000,23650.0000,24050.0000,4484600
2026-08-11,24050.0000,24100.0000,23625.0000,23625.0000,3289700
2026-08-12,23625.0000,23625.0000,23250.0000,23300.0000,4416100
2026-08-13,23325.0000,23575.0000,23075.0000,23075.0000,3430900
2026-08-14,23125.0000,23425.0000,23075.0000,23275.0000,2698800
2026-08-18,23500.0000,24025.0000,23325.0000,23325.0000,4130500
2026-08-19,23400.0000,23900.0000,23300.0000,23575.0000,1940700
2026-08-20,23950.0000,23975.0000,23650.0000,23825.0000,5422900
2026-08-21,23875.0000,24000.0000,23700.0000,23900.0000,3736300
2026-08-24,23850.0000,24275.0000,23750.0000,24125.0000,3088600
2026-08-25,24125.0000,24125.0000,24125.0000,24125.0000,0
2026-08-26,24150.0000,24300.0000,23850.0000,23850.0000,8561500
2026-08-27,23925.0000,24475.0000,23850.0000,24475.0000,1865900
2026-08-28,24475.0000,24475.0000,24000.0000,24000.0000,3900400
2026-08-31,24000.0000,24350.0000,23725.0000,24200.0000,11778800
2026-09-01,24200.0000,26000.0000,24150.0000,25575.0000,7683500
2026-09-02,25600.0000,25675.0000,24950.0000,25050.0000,4146100
2026-09-03,25050.0000,25875.0000,25050.0000,25300.0000,3627200
2026-09-04,25375.0000,25400.0000,24950.0000,24950.0000,3324100
2026-09-07,25175.0000,25850.0000,25100.0000,25300.0000,2415300
2026-09-08,25450.0000,25975.0000,25400.0000,25875.0000,2465400
2026-09-09,25825.0000,26125.0000,25475.0000,26000.0000,5932800
2026-09-10,26025.0000,26975.0000,26025.0000,26375.0000,5299700
2026-09-11,26400.0000,26550.0000,26000.0000,26300.0000,2728900
2026-09-14,26400.0000,26800.0000,26250.0000,26400.0000,3504700
2026-09-15,26400.0000,26500.0000,26050.0000,26100.0000,3085100
2026-09-16,26300.0000,26400.0000,26000.0000,26075.0000,3413600
2026-09-17,26025.0000,26400.0000,25700.0000,25700.0000,3053100
2026-09-18,25750.0000,25900.0000,24825.0000,24825.0000,7669800
