tanggal,pembukaan,tertinggi,terendah,penutupan,volume
2026-01-02,2620.0000,2630.0000,2600.0000,2620.0000,7859600
2026-01-05,2620.0000,2620.0000,2580.0000,2580.0000,13513400
2026-01-06,2580.0000,2620.0000,2580.0000,2610.0000,16595700
2026-01-07,2610.0000,2640.0000,2600.0000,2600.0000,18804300
2026-01-08,2620.0000,2730.0000,2610.0000,2620.0000,44404400
2026-01-09,2640.0000,2680.0000,2620.0000,2620.0000,23053000
2026-01-12,2650.0000,2650.0000,2590.0000,2600.0000,44075100
2026-01-13,2600.0000,2630.0000,2590.0000,2600.0000,33925600
2026-01-14,2610.0000,2620.0000,2580.0000,2580.0000,15761400
2026-01-15,2580.0000,2590.0000,2420.0000,2450.0000,51451800
2026-01-19,2450.0000,2460.0000,2310.0000,2330.0000,56292600
2026-01-20,2330.0000,2360.0000,2320.0000,2320.0000,18395300
2026-01-21,2320.0000,2320.0000,2240.0000,2290.0000,30521200
2026-01-22,2270.0000,2310.0000,2270.0000,2280.0000,21043700
2026-01-23,2280.0000,2280.0000,2200.0000,2250.0000,20403500
2026-01-26,2250.0000,2260.0000,2130.0000,2150.0000,27241300
2026-01-27,2140.0000,2180.0000,2030.0000,2060.0000,35658400
2026-01-28,2000.0000,2020.0000,1930.0000,1980.0000,39800600
2026-01-29,1960.0000,1960.0000,1690.0000,1860.0000,74521700
2026-01-30,1890.0000,1960.0000,1885.0000,1925.0000,33230400
2026-02-02,1955.0000,2070.0000,1920.0000,2030.0000,52588100
2026-02-03,2010.0000,2110.0000,1995.0000,2010.0000,46081200
2026-02-04,2010.0000,2090.0000,1980.0000,2050.0000,49767000
2026-02-05,2060.0000,2250.0000,2040.0000,2210.0000,71314600
2026-02-06,2190.0000,2300.0000,2140.0000,2300.0000,71485600
2026-02-09,2300.0000,2300.0000,2250.0000,2300.0000,23163100
2026-02-10,2300.0000,2420.0000,2280.0000,2300.0000,56389900
2026-02-11,2300.0000,2320.0000,2250.0000,2260.0000,18622600
2026-02-12,2290.0000,2330.0000,2270.0000,2300.0000,40499400
2026-02-13,2320.0000,2370.0000,2300.0000,2300.0000,19683200
2026-02-18,2340.0000,2340.0000,2260.0000,2260.0000,16593000
2026-02-19,2270.0000,2310.0000,2220.0000,2220.0000,17971200
2026-02-20,2220.0000,2250.0000,2210.0000,2240.0000,7587400
2026-02-23,2260.0000,2370.0000,2250.0000,2370.0000,34184100
2026-02-24,2370.0000,2380.0000,2320.0000,2350.0000,24678900
2026-02-25,2350.0000,2370.0000,2320.0000,2330.0000,15559900
2026-02-26,2350.0000,2360.0000,2300.0000,2310.0000,15417900
2026-02-27,2320.0000,2410.0000,2310.0000,2380.0000,68472600
2026-03-02,2310.0000,2320.0000,2240.0000,2250.0000,23912200
2026-03-03,2260.0000,2280.0000,2080.0000,2080.0000,29682000
2026-03-04,2090.0000,2090.0000,1920.0000,1935.0000,31919800
2026-03-05,1975.0000,2040.0000,1975.0000,1990.0000,14954200
2026-03-06,1990.0000,2040.0000,1955.0000,1975.0000,11788500
2026-03-09,1955.0000,1955.0000,1845.0000,1880.0000,20756600
2026-03-10,1910.0000,1945.0000,1890.0000,1945.0000,11695700
2026-03-11,1965.0000,2050.0000,1945.0000,2000.0000,19351000
2026-03-12,2010.0000,2020.0000,1890.0000,1890.0000,27876700
2026-03-13,1890.0000,1910.0000,1870.0000,1870.0000,12154900
2026-03-16,1870.0000,1880.0000,1820.0000,1855.0000,10659400
2026-03-17,1865.0000,2080.0000,1865.0000,2000.0000,50594200
2026-03-25,1930.0000,1950.0000,1905.0000,1935.0000,34597400
2026-03-26,1935.0000,1960.0000,1920.0000,1940.0000,20185700
2026-03-27,1940.0000,1940.0000,1855.0000,1860.0000,20510900
2026-03-30,1820.0000,1845.0000,1810.0000,1835.0000,14256600
2026-03-31,1860.0000,1865.0000,1815.0000,1820.0000,21371200
2026-04-01,1845.0000,1970.0000,1845.0000,1910.0000,46209400
2026-04-02,1910.0000,1960.0000,1910.0000,1930.0000,17567700
