tanggal,pembukaan,tertinggi,terendah,penutupan,volume
2026-01-02,3280.0000,3380.0000,3260.0000,3330.0000,51232000
2026-01-05,3330.0000,3630.0000,3300.0000,3530.0000,146677500
2026-01-06,3540.0000,3570.0000,3440.0000,3460.0000,68114700
2026-01-07,3460.0000,3470.0000,3320.0000,3340.0000,70451900
2026-01-08,3340.0000,3430.0000,3310.0000,3360.0000,39372000
2026-01-09,3370.0000,3420.0000,3350.0000,3370.0000,38993200
2026-01-12,3370.0000,3370.0000,3150.0000,3200.0000,94959300
2026-01-13,3200.0000,3280.0000,3000.0000,3030.0000,79542400
2026-01-14,3040.0000,3180.0000,3040.0000,3110.0000,37816700
2026-01-15,3140.0000,3170.0000,3050.0000,3070.0000,45266200
2026-01-19,3070.0000,3180.0000,3030.0000,3150.0000,56617900
2026-01-20,3150.0000,3160.0000,3080.0000,3100.0000,29907500
2026-01-21,3070.0000,3070.0000,2940.0000,2980.0000,75423900
2026-01-22,3010.0000,3040.0000,2860.0000,2870.0000,66441500
2026-01-23,2870.0000,2940.0000,2740.0000,2930.0000,63774200
2026-01-26,2940.0000,2950.0000,2780.0000,2780.0000,45918300
2026-01-27,2790.0000,2840.0000,2750.0000,2770.0000,31429700
2026-01-28,2650.0000,2690.0000,2380.0000,2530.0000,133620000
2026-01-29,2490.0000,2600.0000,2160.0000,2510.0000,113137900
2026-01-30,2600.0000,2640.0000,2450.0000,2500.0000,42710800
2026-02-02,2500.0000,2540.0000,2180.0000,2260.0000,81999800
2026-02-03,2260.0000,2430.0000,2170.0000,2390.0000,67633800
2026-02-04,2400.0000,2450.0000,2310.0000,2340.0000,36285300
2026-02-05,2340.0000,2380.0000,2310.0000,2330.0000,20197700
2026-02-06,2270.0000,2270.0000,2150.0000,2200.0000,38546400
2026-02-09,2250.0000,2290.0000,2160.0000,2250.0000,23930900
2026-02-10,2270.0000,2360.0000,2250.0000,2310.0000,28163000
2026-02-11,2330.0000,2460.0000,2330.0000,2440.0000,64070300
2026-02-12,2470.0000,2560.0000,2420.0000,2470.0000,70367900
2026-02-13,2400.0000,2480.0000,2400.0000,2450.0000,21422200
2026-02-18,2450.0000,2630.0000,2450.0000,2560.0000,56376000
2026-02-19,2630.0000,2650.0000,2500.0000,2510.0000,40901700
2026-02-20,2520.0000,2560.0000,2460.0000,2500.0000,25846400
2026-02-23,2500.0000,2560.0000,2500.0000,2550.0000,26898700
2026-02-24,2560.0000,2590.0000,2480.0000,2480.0000,28682100
2026-02-25,2510.0000,2690.0000,2480.0000,2640.0000,62895700
2026-02-26,2650.0000,2680.0000,2490.0000,2510.0000,39833600
2026-02-27,2460.0000,2570.0000,2370.0000,2570.0000,29938500
2026-03-02,2400.0000,2470.0000,2340.0000,2350.0000,48216500
2026-03-03,2350.0000,2390.0000,2260.0000,2270.0000,30511800
2026-03-04,2270.0000,2300.0000,2150.0000,2160.0000,40777300
2026-03-05,2240.0000,2330.0000,2180.0000,2190.0000,22167200
2026-03-06,2190.0000,2210.0000,2050.0000,2100.0000,33884800
2026-03-09,1995.0000,2040.0000,1905.0000,1945.0000,49714100
2026-03-10,2030.0000,2120.0000,2010.0000,2090.0000,31774100
2026-03-11,2100.0000,2350.0000,2090.0000,2280.0000,62620800
2026-03-12,2250.0000,2280.0000,2100.0000,2100.0000,39245600
2026-03-13,2100.0000,2110.0000,2010.0000,2040.0000,18230700
2026-03-16,2040.0000,2070.0000,1975.0000,1995.0000,17983500
2026-03-17,2070.0000,2080.0000,1990.0000,2000.0000,16197900
2026-03-25,2000.0000,2230.0000,2000.0000,2200.0000,38022200
2026-03-26,2240.0000,2270.0000,2150.0000,2180.0000,22709400
2026-03-27,2150.0000,2230.0000,2140.0000,2200.0000,14668600
2026-03-30,2140.0000,2200.0000,2120.0000,2170.0000,17482200
2026-03-31,2180.0000,2200.0000,2120.0000,2130.0000,10847300
2026-04-01,2230.0000,2270.0000,2190.0000,2260.0000,27377900
2026-04-02,2210.0000,2230.0000,2130.0000,2130.0000,20285800
2026-04-06,2110.0000,2190.0000,2060.0000,2140.0000,12563900
2026-04-07,2180.0000,2210.0000,2100.0000,2140.0000,20570900
2026-04-08,2230.0000,2340.0000,2180.0000,2310.0000,47393000
2026-04-09,2270.0000,2300.0000,2210.0000,2260.0000,18335800
2026-04-10,2290.0000,2440.0000,2290.0000,2340.0000,37792700
2026-04-13,2300.0000,2420.0000,2260.0000,2380.0000,36377500
2026-04-14,2450.0000,2550.0000,2430.0000,2470.0000,48863500
2026-04-15,2510.0000,2570.0000,2450.0000,2470.0000,29697000
2026-04-16,2500.0000,2540.0000,2410.0000,2420.0000,17843100
2026-04-17,2410.0000,2570.0000,2380.0000,2520.0000,31712200
2026-04-20,2540.0000,2540.0000,2430.0000,2480.0000,21592400
2026-04-21,2480.0000,2500.0000,2440.0000,2470.0000,12706500
2026-04-22,2480.0000,2570.0000,2470.0000,2530.0000,31037000
2026-04-23,2560.0000,2570.0000,2400.0000,2400.0000,28911000
2026-04-24,2390.0000,2450.0000,2250.0000,2250.0000,30589200
2026-04-27,2300.0000,2410.0000,2300.0000,2320.0000,18593800
2026-04-28,2350.0000,2370.0000,2270.0000,2330.0000,12279600
2026-04-29,2330.0000,2460.0000,2330.0000,2370.0000,16538500
2026-04-30,2370.0000,2370.0000,2240.0000,2350.0000,21707600
2026-05-04,2390.0000,2430.0000,2320.0000,2350.0000,14839200
2026-05-05,2350.0000,2400.0000,2300.0000,2390.0000,16979000
2026-05-06,2410.0000,2450.0000,2390.0000,2400.0000,12374100
2026-05-07,2420.0000,2490.0000,2390.0000,2400.0000,22326700
2026-05-08,2400.0000,2410.0000,2290.0000,2300.0000,14947200
2026-05-11,2300.0000,2330.0000,2240.0000,2260.0000,14379900
2026-05-12,2270.0000,2290.0000,2180.0000,2250.0000,15548600
2026-05-13,2280.0000,2340.0000,2200.0000,2250.0000,19615000
2026-05-14,2250.0000,2250.0000,2250.0000,2250.0000,0
2026-05-15,2250.0000,2250.0000,2250.0000,2250.0000,0
2026-05-18,2200.0000,2220.0000,2050.0000,2150.0000,26180300
2026-05-19,2150.0000,2160.0000,1990.0000,2030.0000,27924200
2026-05-20,2030.0000,2100.0000,1980.0000,2000.0000,24064000
2026-05-21,2060.0000,2070.0000,1910.0000,1945.0000,31280900
2026-05-22,1945.0000,2160.0000,1800.0000,2120.0000,26769100
2026-05-25,2100.0000,2120.0000,2030.0000,2040.0000,18740900
2026-05-26,2060.0000,2070.0000,1990.0000,2010.0000,15725700
2026-05-27,2010.0000,2010.0000,2010.0000,2010.0000,0
2026-05-28,2010.0000,2010.0000,2010.0000,2010.0000,0
2026-05-29,2000.0000,2190.0000,1995.0000,2050.0000,38767300
2026-06-02,2120.0000,2140.0000,2050.0000,2060.0000,13053500
2026-06-03,2080.0000,2090.0000,1865.0000,1945.0000,34366100
2026-06-04,1890.0000,1920.0000,1655.0000,1700.0000,111211500
2026-06-05,1690.0000,1695.0000,1445.0000,1445.0000,82302100
2026-06-08,1310.0000,1490.0000,1270.0000,1365.0000,68619500
2026-06-09,1350.0000,1540.0000,1315.0000,1530.0000,97452900
2026-06-10,1550.0000,1615.0000,1500.0000,1545.0000,62572100
2026-06-11,1545.0000,1625.0000,1500.0000,1535.0000,37928200
2026-06-12,1570.0000,1625.0000,1570.0000,1595.0000,29599000
2026-06-15,1635.0000,1725.0000,1630.0000,1690.0000,43161100
2026-06-17,1725.0000,1740.0000,1645.0000,1660.0000,22985300
2026-06-18,1665.0000,1675.0000,1600.0000,1665.0000,15407500
2026-06-19,1670.0000,1735.0000,1625.0000,1705.0000,21443900
2026-06-22,1705.0000,1740.0000,1650.0000,1660.0000,19293600
2026-06-23,1660.0000,1695.0000,1640.0000,1685.0000,12794000
2026-06-24,1690.0000,1720.0000,1555.0000,1570.0000,21258500
2026-06-25,1560.0000,1665.0000,1555.0000,1655.0000,16780400
2026-06-26,1655.0000,1660.0000,1560.0000,1600.0000,14965800
2026-06-29,1695.0000,1700.0000,1560.0000,1560.0000,11263600
2026-06-30,1560.0000,1630.0000,1510.0000,1605.0000,18301800
2026-07-01,1615.0000,1625.0000,1560.0000,1600.0000,14111600
2026-07-02,1600.0000,1750.0000,1590.0000,1715.0000,31811700
2026-07-03,1720.0000,1760.0000,1710.0000,1720.0000,17139800
2026-07-06,1720.0000,1745.0000,1690.0000,1725.0000,9330200
2026-07-07,1725.0000,1745.0000,1700.0000,1735.0000,9369000
2026-07-08,1715.0000,1720.0000,1635.0000,1640.0000,15286500
2026-07-09,1640.0000,1655.0000,1605.0000,1640.0000,6873000
2026-07-10,1650.0000,1690.0000,1640.0000,1655.0000,6060400
2026-07-13,1650.0000,1670.0000,1630.0000,1670.0000,7055300
2026-07-14,1690.0000,1830.0000,1665.0000,1830.0000,44374100
2026-07-15,1870.0000,1885.0000,1820.0000,1850.0000,31470300
2026-07-16,1840.0000,2100.0000,1840.0000,2040.0000,64459300
2026-07-17,2030.0000,2050.0000,1970.0000,1995.0000,26093100
2026-07-20,2000.0000,2040.0000,1980.0000,2000.0000,17279500
2026-07-21,2010.0000,2100.0000,2000.0000,2060.0000,30416800
2026-07-22,2080.0000,2150.0000,2030.0000,2050.0000,20863900
2026-07-23,2070.0000,2110.0000,2020.0000,2030.0000,22748300
2026-07-24,2000.0000,2010.0000,1925.0000,1940.0000,16671700
2026-07-27,1940.0000,2050.0000,1940.0000,2010.0000,18039000
2026-07-28,2010.0000,2030.0000,1985.0000,2000.0000,8551700
2026-07-29,2020.0000,2040.0000,1885.0000,1960.0000,20170100
2026-07-30,1970.0000,2000.0000,1960.0000,1970.0000,8585100
2026-07-31,1980.0000,2040.0000,1980.0000,2000.0000,17278600
2026-08-03,2000.0000,2030.0000,1960.0000,1960.0000,11777500
2026-08-04,1980.0000,1990.0000,1935.0000,1950.0000,18300600
2026-08-05,1960.0000,1990.0000,1955.0000,1980.0000,11188300
2026-08-06,1995.0000,2000.0000,1945.0000,1965.0000,9048900
2026-08-07,1970.0000,2030.0000,1960.0000,2020.0000,15767600
2026-08-10,2050.0000,2080.0000,1965.0000,1975.0000,32479000
2026-08-11,1975.0000,1990.0000,1885.0000,1885.0000,27588000
2026-08-12,1890.0000,1970.0000,1885.0000,1965.0000,19033300
2026-08-13,1975.0000,1990.0000,1905.0000,1905.0000,12706900
2026-08-14,1910.0000,1960.0000,1910.0000,1935.0000,13322100
2026-08-18,1935.0000,2170.0000,1930.0000,2120.0000,153241200
2026-08-19,2120.0000,2130.0000,2030.0000,2060.0000,63670300
2026-08-20,2060.0000,2170.0000,2060.0000,2120.0000,45891500
2026-08-21,2140.0000,2150.0000,2080.0000,2090.0000,26184000
2026-08-24,2120.0000,2210.0000,2060.0000,2060.0000,55945600
2026-08-26,2050.0000,2090.0000,1970.0000,1970.0000,37954000
2026-08-27,1960.0000,2080.0000,1945.0000,2050.0000,33420400
2026-08-28,2060.0000,2090.0000,2010.0000,2020.0000,22109700
2026-08-31,2020.0000,2110.0000,2010.0000,2100.0000,35000900
2026-09-01,2150.0000,2250.0000,2120.0000,2130.0000,72137400
2026-09-02,2140.0000,2140.0000,2090.0000,2100.0000,12059600
2026-09-03,2100.0000,2140.0000,2090.0000,2090.0000,16788400
2026-09-04,2100.0000,2150.0000,2090.0000,2090.0000,21706700
2026-09-07,2090.0000,2130.0000,2060.0000,2100.0000,12749900
2026-09-08,2110.0000,2160.0000,2100.0000,2100.0000,27271000
2026-09-09,2110.0000,2160.0000,2100.0000,2110.0000,24273600
2026-09-10,2120.0000,2130.0000,2020.0000,2050.0000,31956300
2026-09-11,2010.0000,2030.0000,1980.0000,1995.0000,24131300
2026-09-14,1995.0000,1995.0000,1910.0000,1950.0000,25846800
2026-09-15,1945.0000,1970.0000,1935.0000,1940.0000,7327300
2026-09-16,1940.0000,1980.0000,1920.0000,1920.0000,10376200
2026-09-17,1925.0000,1955.0000,1910.0000,1940.0000,7294200
2026-09-18,1950.0000,1960.0000,1900.0000,1930.0000,8807600
